PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
21020,2013/12/09,2018/12/31,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,0.000,45.000,451.000,,,,,,,,,,,1.000,6.000,39.000,1.000,23.450,25.440,24.600,42832533.000,C,24.890,24.950,260000.000,1.000,1.000,23.950,79680.000,C,0.002,0.002,-0.001,-0.001,0.002
21020,2013/12/10,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,0.000,45.000,451.000,,,,,,,,,,,1.000,6.000,40.000,6.000,24.410,25.170,24.880,18390299.000,0.011382,24.820,24.880,260000.000,1.000,1.000,24.540,65591.000,0.011382,-0.003,-0.003,-0.002,-0.002,-0.003
21020,2013/12/11,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,,45.000,451.000,,,,,,,,,,,,,,,25.370,27.200,25.990,38395689.000,0.044614,25.950,25.990,260000.000,1.000,1.000,25.440,108452.000,0.044614,-0.012,-0.012,-0.011,-0.012,-0.011
21020,2013/12/12,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,,45.000,451.000,,,,,,,,,,,,,,,25.450,26.710,25.450,19632931.000,-0.020777,25.470,25.520,260000.000,1.000,1.000,26.200,72979.000,-0.020777,-0.003,-0.003,-0.001,-0.001,-0.004
21020,2013/12/13,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,0.000,45.000,451.000,,,,,,,,,,,1.000,6.000,41.000,6.000,25.520,26.300,26.230,12305108.000,0.030648,26.290,26.300,260000.000,1.000,1.000,25.610,35487.000,0.030648,0.001,0.001,0.003,0.003,-0.000
21020,2013/12/16,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,0.000,45.000,451.000,,,,,,,,,,,1.000,6.000,42.000,6.000,26.350,26.766,26.610,13068161.000,0.014487,26.610,26.620,260000.000,1.000,1.000,26.630,37058.000,0.014487,0.006,0.006,0.007,0.007,0.006
21020,2013/12/17,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,,45.000,451.000,,,,,,,,,,,,,,,25.950,26.590,26.100,11284758.000,-0.019166,26.090,26.100,260000.000,1.000,1.000,26.470,36649.000,-0.019166,-0.002,-0.002,-0.000,-0.000,-0.003
21020,2013/12/18,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,0.000,45.000,451.000,,,,,,,,,,,1.000,6.000,41.000,6.000,25.550,26.230,26.230,9895248.000,0.004981,26.220,26.230,260000.000,1.000,1.000,25.990,29990.000,0.004981,0.014,0.014,0.009,0.008,0.017
21020,2013/12/19,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,0.000,45.000,451.000,,,,,,,,,,,1.000,6.000,42.000,6.000,25.821,26.490,26.120,6853933.000,-0.004194,26.110,26.120,260000.000,1.000,1.000,26.090,28276.000,-0.004194,-0.001,-0.001,-0.002,-0.002,-0.001
21020,2013/12/20,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,,45.000,451.000,,,,,,,,,,,,,,,26.140,26.490,26.330,8457015.000,0.008040,26.350,26.360,260000.000,1.000,1.000,26.160,26763.000,0.008040,0.007,0.007,0.010,0.010,0.005
21020,2013/12/23,,11,3,4512,02376R10,AAL,AMERICAN AIRLINES GROUP INC,,AAL,481111,Q,A,R,20010,73578,3,4512,02376R10,,,,,,,,0.000,45.000,451.000,,,,,,,,,,,1.000,6.000,41.000,6.000,26.050,26.490,26.180,5366480.000,-0.005697,26.160,26.200,260000.000,1.000,1.000,26.290,15774.000,-0.005697,0.006,0.006,0.009,0.008,0.005
