PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10906,2001/01/02,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.938,19.875,19.000,398802.000,-0.047022,19.000,19.062,141245.000,1.000,1.000,19.625,562.000,-0.047022,-0.034,-0.034,-0.001,-0.001,-0.028
10906,2001/01/03,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.562,19.562,19.562,634447.000,0.029605,19.500,19.562,141245.000,1.000,1.000,18.875,663.000,0.029605,0.053,0.053,0.046,0.046,0.050
10906,2001/01/04,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,39.000,3.000,19.375,20.000,19.375,576458.000,-0.009585,19.312,19.438,141245.000,1.000,1.000,19.562,671.000,-0.009585,-0.012,-0.012,0.011,0.011,-0.011
10906,2001/01/05,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.375,19.500,18.688,308576.000,-0.035484,18.625,18.688,141245.000,1.000,1.000,19.375,545.000,-0.035484,-0.029,-0.029,-0.009,-0.009,-0.026
10906,2001/01/08,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.375,18.875,18.562,287692.000,-0.006689,18.562,18.625,141245.000,1.000,1.000,18.500,432.000,-0.006689,-0.003,-0.004,-0.005,-0.005,-0.002
10906,2001/01/09,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.125,18.875,18.312,767161.000,-0.013468,18.312,18.375,141245.000,1.000,1.000,18.562,593.000,-0.013468,0.005,0.005,0.012,0.012,0.004
10906,2001/01/10,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.250,19.188,18.938,590741.000,0.034130,18.938,19.000,141245.000,1.000,1.000,18.266,467.000,0.034130,0.014,0.014,0.021,0.020,0.010
10906,2001/01/11,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.375,19.188,18.438,811896.000,-0.026403,18.438,18.562,141245.000,1.000,1.000,18.812,396.000,-0.026403,0.015,0.015,0.027,0.027,0.010
10906,2001/01/12,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.250,18.625,18.438,1200842.000,0.000000,18.375,18.438,141245.000,1.000,1.000,18.375,496.000,0.000000,-0.004,-0.004,0.019,0.019,-0.006
10906,2001/01/16,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.250,19.250,19.000,611116.000,0.030508,19.000,19.188,141245.000,1.000,1.000,18.375,524.000,0.030508,0.006,0.006,0.019,0.019,0.006
10906,2001/01/17,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.938,19.625,19.250,1108809.000,0.013158,19.250,19.312,141245.000,1.000,1.000,19.125,803.000,0.013158,0.004,0.004,0.013,0.013,0.002
10906,2001/01/18,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.625,19.375,18.938,462697.000,-0.016234,18.938,19.000,141245.000,1.000,1.000,19.312,481.000,-0.016234,0.012,0.012,0.009,0.008,0.014
10906,2001/01/19,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.750,19.562,18.812,636626.000,-0.006601,18.812,18.875,141245.000,1.000,1.000,19.000,731.000,-0.006601,-0.004,-0.004,0.004,0.004,-0.004
10906,2001/01/22,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,18.750,19.312,19.062,528852.000,0.013289,19.000,19.062,141245.000,1.000,1.000,18.812,535.000,0.013289,0.000,0.000,0.005,0.005,0.000
10906,2001/01/23,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,19.062,19.875,19.812,508956.000,0.039344,19.812,19.875,141245.000,1.000,1.000,19.250,548.000,0.039344,0.016,0.016,0.015,0.015,0.013
10906,2001/01/24,,11,3,6022,06646R10,BKNG,BANKNORTH GROUP INC ME,,BKNG,,Q,A,R,8782,11610,1,6022,06646R10,,,,,,,,,,,,,,,,,,,,,,,,,19.688,20.188,19.938,1038405.000,0.006309,19.938,20.000,141245.000,1.000,1.000,19.812,595.000,0.006309,0.003,0.003,0.007,0.007,0.003
