PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
67467,2001/05/16,2002/01/01,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,2.000,53.000,533.000,,,,,,,,,,,,,,,11.750,12.730,12.710,472400.000,0.070767,,,112719.000,1.000,1.000,11.800,,0.070767,0.027,0.027,0.010,0.010,0.028
67467,2001/05/17,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.200,12.950,12.910,422400.000,0.015736,,,112719.000,1.000,1.000,12.610,,0.015736,0.006,0.006,0.011,0.010,0.003
67467,2001/05/18,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.900,13.500,13.400,358800.000,0.037955,,,112719.000,1.000,1.000,13.010,,0.037955,0.003,0.003,0.005,0.005,0.003
67467,2001/05/21,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,13.150,13.500,13.240,553800.000,-0.011940,13.200,13.440,112719.000,1.000,1.000,13.350,,-0.011940,0.019,0.019,0.016,0.016,0.016
67467,2001/05/22,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,13.210,13.490,13.300,292000.000,0.004532,13.260,13.440,112719.000,1.000,1.000,13.240,,0.004532,-0.002,-0.002,0.007,0.007,-0.003
67467,2001/05/23,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.800,13.250,12.980,406700.000,-0.024060,12.970,12.980,112719.000,1.000,1.000,13.250,,-0.024060,-0.017,-0.017,-0.007,-0.007,-0.016
67467,2001/05/24,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.800,13.240,13.110,587300.000,0.010015,13.070,13.120,112719.000,1.000,1.000,13.080,,0.010015,0.004,0.004,0.006,0.005,0.003
67467,2001/05/25,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,13.000,13.490,13.250,242000.000,0.010679,13.200,13.340,112719.000,1.000,1.000,13.210,,0.010679,-0.010,-0.010,0.003,0.003,-0.012
67467,2001/05/29,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.950,13.310,13.060,238000.000,-0.014340,13.020,13.270,112719.000,1.000,1.000,13.250,,-0.014340,-0.010,-0.010,-0.008,-0.008,-0.008
67467,2001/05/30,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.760,13.200,13.000,205900.000,-0.004594,13.000,13.010,112719.000,1.000,1.000,13.050,,-0.004594,-0.018,-0.018,-0.016,-0.016,-0.016
67467,2001/05/31,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,0.000,53.000,533.000,,,,,,,,,,,,,,,12.880,13.110,12.980,388700.000,-0.001538,12.820,13.100,112719.000,1.000,1.000,12.990,,-0.001538,0.008,0.008,0.007,0.007,0.006
67467,2001/06/01,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.850,13.140,12.990,194700.000,0.000770,12.930,13.090,112719.000,1.000,1.000,13.000,,0.000770,0.005,0.005,0.006,0.006,0.004
67467,2001/06/04,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.800,12.990,12.840,144900.000,-0.011547,12.810,12.840,112719.000,1.000,1.000,12.990,,-0.011547,0.005,0.005,0.005,0.005,0.005
67467,2001/06/05,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.760,12.950,12.910,313800.000,0.005452,12.870,13.020,112719.000,1.000,1.000,12.950,,0.005452,0.014,0.014,0.012,0.012,0.013
67467,2001/06/06,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.850,13.200,13.000,406000.000,0.006971,12.880,13.100,112719.000,1.000,1.000,12.950,,0.006971,-0.009,-0.010,-0.003,-0.003,-0.011
67467,2001/06/07,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.700,13.150,13.090,121900.000,0.006923,13.060,13.200,112719.000,1.000,1.000,13.100,,0.006923,0.005,0.005,0.005,0.005,0.005
67467,2001/06/08,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,12.800,13.140,13.110,216400.000,0.001528,13.080,13.320,112719.000,1.000,1.000,12.800,,0.001528,-0.010,-0.010,-0.002,-0.002,-0.009
67467,2001/06/11,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,13.120,13.330,13.300,622200.000,0.014493,13.230,13.480,112719.000,1.000,1.000,13.150,,0.014493,-0.010,-0.010,-0.006,-0.006,-0.008
67467,2001/06/12,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,13.140,13.850,13.750,595600.000,0.033835,13.670,13.860,112719.000,1.000,1.000,13.400,,0.033835,0.000,0.000,-0.001,-0.001,0.001
67467,2001/06/13,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,13.730,13.890,13.770,267000.000,0.001455,13.730,13.880,112719.000,1.000,1.000,13.760,,0.001455,-0.010,-0.010,-0.002,-0.003,-0.011
67467,2001/06/14,,11,1,5331,08930210,BLI,BIG LOTS INC,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,13.760,13.950,13.910,485300.000,0.010167,13.830,14.100,112719.000,1.000,1.000,13.770,,0.010167,-0.019,-0.019,-0.015,-0.015,-0.018
