PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
21020,20131209,AAL,,0.00200000,,,,,0.01438200
21020,20131210,AAL,0.01138200,-0.00300000,0.01438200,,,,0.05561400
21020,20131211,AAL,0.04461400,-0.01100000,0.05561400,0.05246391,,,-0.01677700
21020,20131212,AAL,-0.02077700,-0.00400000,-0.01677700,0.06921615,,,0.03064800
21020,20131213,AAL,0.03064800,-0.00000000,0.03064800,0.02187900,0.09372524,,0.00848700
21020,20131216,AAL,0.01448700,0.00600000,0.00848700,0.02255744,0.06105316,,-0.01616600
21020,20131217,AAL,-0.01916600,-0.00300000,-0.01616600,-0.02003295,-0.00671858,,-0.01201900
21020,20131218,AAL,0.00498100,0.01700000,-0.01201900,-0.03134955,0.00731250,,-0.00319400
21020,20131219,AAL,-0.00419400,-0.00100000,-0.00319400,-0.01225064,-0.02029578,,0.00304000
21020,20131220,AAL,0.00804000,0.00500000,0.00304000,-0.01092150,-0.03924938,0.05343301,-0.01069700
21020,20131223,AAL,-0.00569700,0.00500000,-0.01069700,-0.00807782,-0.02349951,0.03818696,-0.00032600
21020,20131224,AAL,0.00267400,0.00300000,-0.00032600,-0.02065048,-0.02091439,-0.02794099,-0.00957100
21020,20131226,AAL,-0.00457100,0.00500000,-0.00957100,-0.05537832,-0.06329532,-0.05751657,-0.04554100
21020,20131227,AAL,-0.04554100,-0.00000000,-0.04554100,-0.06099871,-0.07192193,-0.09275683,-0.00641500
21020,20131230,AAL,-0.00641500,-0.00000000,-0.00641500,-0.03767668,-0.04756872,-0.08652224,0.01496700
21020,20131231,AAL,0.01896700,0.00400000,0.01496700,0.02187658,-0.03384248,-0.05753506,0.01335600
21020,20140102,AAL,0.00435600,-0.00900000,0.01335600,0.07606081,0.02072754,-0.00016054,0.04653000
21020,20140103,AAL,0.04653000,-0.00000000,0.04653000,0.08246801,0.09182258,0.02488687,0.02146300
21020,20140106,AAL,0.01846300,-0.00300000,0.02146300,0.05794158,0.08782429,0.01088123,-0.01062400
21020,20140107,AAL,-0.00462400,0.00600000,-0.01062400,0.03808925,0.10030309,0.04945899,0.02694700
