PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
81540,20010102,AAS,-0.01113900,-0.02800000,0.01686100,,,,-0.02997500
81540,20010103,AAS,0.02002500,0.05000000,-0.02997500,-0.08363156,,,-0.07120900
81540,20010104,AAS,-0.08220900,-0.01100000,-0.07120900,-0.10782078,,,-0.00875900
81540,20010105,AAS,-0.03475900,-0.02600000,-0.00875900,-0.02148200,-0.03314382,,0.06294200
81540,20010108,AAS,0.06094200,-0.00200000,0.06294200,0.05079850,-0.05226332,,-0.00138900
81540,20010109,AAS,0.00261100,0.00400000,-0.00138900,0.09048117,0.00183017,,0.02645800
81540,20010110,AAS,0.03645800,0.01000000,0.02645800,-0.02026452,0.03251829,,-0.04392000
81540,20010111,AAS,-0.03392000,0.01000000,-0.04392000,0.00945775,0.07264337,,0.02810700
81540,20010112,AAS,0.02210700,-0.00600000,0.02810700,-0.02755160,-0.00325599,-0.03703078,-0.01108900
81540,20010116,AAS,-0.00508900,0.00600000,-0.01108900,0.01754279,-0.00126991,-0.05463916,0.00055800
81540,20010117,AAS,0.00255800,0.00200000,0.00055800,-0.10736531,-0.12288447,-0.11814164,-0.09690800
81540,20010118,AAS,-0.08290800,0.01400000,-0.09690800,-0.15134979,-0.13676429,-0.10769777,-0.05997800
81540,20010119,AAS,-0.06397800,-0.00400000,-0.05997800,-0.10943407,-0.11981666,-0.05648397,0.04903400
81540,20010122,AAS,0.04903400,0.00000000,0.04903400,0.02999484,-0.06987599,-0.07467331,0.04507400
81540,20010123,AAS,0.05807400,0.01300000,0.04507400,0.06568488,-0.09757098,-0.10090683,-0.02843500
81540,20010124,AAS,-0.02543500,0.00300000,-0.02843500,0.06269621,0.04732717,-0.08098515,0.04620900
81540,20010125,AAS,0.04120900,-0.00500000,0.04620900,0.01472051,0.11290582,-0.03917552,-0.00195800
81540,20010126,AAS,-0.00395800,-0.00200000,-0.00195800,0.07190656,0.08926960,-0.04155001,0.02653600
81540,20010129,AAS,0.03353600,0.00700000,0.02653600,0.00096045,0.01791667,-0.05345869,-0.02299300
81540,20010130,AAS,-0.01599300,0.00700000,-0.02299300,0.00565127,0.05028979,-0.05096298,0.00266600
81540,20010131,AAS,-0.00333400,-0.00600000,0.00266600,-0.03200247,-0.00833970,0.03905469,-0.01189900
81540,20010201,AAS,-0.00689900,0.00500000,-0.01189900,0.04114261,0.04474672,0.16262852,0.05068400
81540,20010202,AAS,0.03368400,-0.01700000,0.05068400,0.05413002,0.03301964,0.12512394,0.01494100
81540,20010205,AAS,0.01894100,0.00400000,0.01494100,0.10346293,0.09336467,0.11359838,0.03538000
81540,20010206,AAS,0.03338000,-0.00200000,0.03538000,0.04777599,0.08744947,0.14131041,-0.00263800
81540,20010207,AAS,-0.01063800,-0.00800000,-0.00263800,0.04030981,0.10773171,0.09991634,0.00795500
81540,20010208,AAS,0.00195500,-0.00600000,0.00795500,0.03837657,0.09000582,0.13728934,0.03348800
81540,20010209,AAS,0.02048800,-0.01300000,0.03348800,0.05348366,0.08682050,0.12151990,0.01132700
81540,20010212,AAS,0.02332700,0.01200000,0.01132700,0.08331640,0.08778622,0.18570083,0.03665300
81540,20010213,AAS,0.02765300,-0.00900000,0.03665300,0.04748828,0.08999776,0.18211559,-0.00109100
81540,20010214,AAS,-0.00309100,-0.00200000,-0.00109100,-0.00104062,0.04422275,0.15499087,-0.03590400
81540,20010215,AAS,-0.02790400,0.00800000,-0.03590400,0.00840288,0.05692991,0.14972120,0.04601700
81540,20010216,AAS,0.02701700,-0.01900000,0.04601700,0.03708182,0.07245645,0.16097692,0.02777800
81540,20010220,AAS,0.01077800,-0.01700000,0.02777800,0.08026565,0.04288418,0.12916427,0.00761400
81540,20010221,AAS,-0.01138600,-0.01900000,0.00761400,0.03559582,0.04469086,0.13355358,0.00072000
81540,20010222,AAS,-0.00128000,-0.00200000,0.00072000,0.01183486,0.08406924,0.12893263,0.00362000
81540,20010223,AAS,-0.00238000,-0.00600000,0.00362000,0.01488920,0.05013478,0.10785989,0.01052300
81540,20010226,AAS,0.02752300,0.01700000,0.01052300,0.02794153,0.03592195,0.10827381,0.01353600
81540,20010227,AAS,0.00553600,-0.00800000,0.01353600,-0.00905104,-0.00470974,0.03763380,-0.03199500
81540,20010228,AAS,-0.04599500,-0.01400000,-0.03199500,-0.01194630,0.00163717,0.04586443,0.00719100
81540,20010301,AAS,0.00819100,0.00100000,0.00719100,0.01538439,0.03978171,0.12388572,0.04200400
81540,20010302,AAS,0.03600400,-0.00600000,0.04200400,0.07219288,0.05040984,0.10065485,0.02144600
81540,20010305,AAS,0.02744600,0.00600000,0.02144600,0.04155004,0.01454608,0.05061143,-0.02214200
81540,20010306,AAS,-0.01214200,0.01000000,-0.02214200,-0.03979970,0.00902205,0.00407042,-0.03813300
81540,20010307,AAS,-0.03213300,0.00600000,-0.03813300,-0.08365975,-0.02341007,-0.02154196,-0.02467800
81540,20010308,AAS,-0.02267800,0.00200000,-0.02467800,-0.03847467,-0.04012120,-0.00158061,0.02332900
81540,20010309,AAS,-0.00167100,-0.02500000,0.02332900,-0.00243044,-0.05836870,-0.01220137,-0.00125400
81540,20010312,AAS,-0.04425400,-0.04300000,-0.00125400,-0.00610190,-0.06457962,-0.05142710,-0.02881300
81540,20010313,AAS,-0.01381300,0.01500000,-0.02881300,-0.01080743,-0.01173786,-0.00370475,0.01830600
81540,20010314,AAS,-0.00769400,-0.02600000,0.01830600,-0.02995008,-0.00761797,-0.02930131,-0.02031400
81540,20010315,AAS,-0.01431400,0.00600000,-0.02031400,-0.00384518,-0.03128969,-0.06741305,-0.00218600
81540,20010316,AAS,-0.02218600,-0.02000000,-0.00218600,-0.10501732,-0.11281688,-0.15849924,-0.08565700
81540,20010319,AAS,-0.06765700,0.01800000,-0.08565700,-0.05618945,-0.05665509,-0.11204107,0.03041600
81540,20010320,AAS,0.00641600,-0.02400000,0.03041600,-0.03715253,-0.05733425,-0.06361134,0.01822000
81540,20010321,AAS,0.00022000,-0.01800000,0.01822000,0.00535722,-0.07719428,-0.07830178,-0.04237400
81540,20010322,AAS,-0.04637400,-0.00400000,-0.04237400,-0.02181466,-0.07558164,-0.09914802,0.00304700
81540,20010323,AAS,0.02304700,0.02000000,0.00304700,-0.05742459,-0.00829429,-0.11835084,-0.01708200
81540,20010326,AAS,-0.00608200,0.01100000,-0.01708200,-0.02323054,-0.04780086,-0.10152570,-0.00832100
81540,20010327,AAS,0.01767900,0.02600000,-0.00832100,0.03852105,-0.00323407,-0.06189421,0.06297500
81540,20010328,AAS,0.03897500,-0.02400000,0.06297500,0.13463689,0.12255917,0.02794255,0.07466801
81540,20010329,AAS,0.06966800,-0.00500000,0.07466801,0.11062512,0.08656898,0.00229250,-0.02803400
81540,20010330,AAS,-0.01703400,0.01100000,-0.02803400,0.05007054,0.10856585,0.09771702,0.00486400
81540,20010402,AAS,-0.00713600,-0.01200000,0.00486400,0.00483213,0.14068713,0.09407115,0.02763400
81540,20010403,AAS,-0.00636600,-0.03400000,0.02763400,0.03744533,0.08266926,0.08166302,0.00548000
81540,20010404,AAS,0.00248000,-0.00300000,0.00548000,0.05201626,0.02772336,0.15497396,0.01763700
81540,20010405,AAS,0.06163700,0.04400000,0.01763700,0.03533260,0.06763691,0.15901611,0.01165000
81540,20010406,AAS,-0.00835000,-0.02000000,0.01165000,0.03342362,0.06732238,0.18214416,0.00335700
81540,20010409,AAS,0.01135700,0.00800000,0.00335700,0.00451724,0.02854910,0.17932991,-0.01093000
81540,20010410,AAS,0.01607000,0.02700000,-0.01093000,-0.01317223,0.01676779,0.10482039,-0.00543100
81540,20010411,AAS,-0.00743100,-0.00200000,-0.00543100,-0.02850877,-0.01291202,0.01516445,-0.01173600
81540,20010412,AAS,0.00326400,0.01500000,-0.01173600,-0.01736170,-0.02552309,0.04414000,-0.00025300
81540,20010416,AAS,-0.00325300,-0.00300000,-0.00025300,-0.01036315,-0.02724040,0.04163452,0.00171100
