PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
79057,20010102,ACL,-0.02798200,-0.02800000,0.00001800,,,,-0.09545501
79057,20010103,ACL,-0.04545500,0.05000000,-0.09545501,-0.13161184,,,-0.04296800
79057,20010104,ACL,-0.05396800,-0.01100000,-0.04296800,-0.09175382,,,0.04445600
79057,20010105,ACL,0.01845600,-0.02600000,0.04445600,0.00848191,-0.08131071,,0.00859000
79057,20010108,ACL,0.00659000,-0.00200000,0.00859000,0.00392531,-0.12861700,,-0.04819000
79057,20010109,ACL,-0.04419000,0.00400000,-0.04819000,-0.05319830,-0.05104772,,-0.01342500
79057,20010110,ACL,-0.00342500,0.01000000,-0.01342500,-0.08146365,-0.02911393,,-0.02030900
79057,20010111,ACL,-0.01030900,0.01000000,-0.02030900,-0.06021219,-0.09837139,,-0.02698600
79057,20010112,ACL,-0.03298600,-0.00600000,-0.02698600,-0.00996354,-0.07160701,-0.14770960,0.03888300
79057,20010116,ACL,0.04488300,0.00600000,0.03888300,-0.02626938,-0.05977456,-0.18435128,-0.03636400
79057,20010117,ACL,-0.03436400,0.00200000,-0.03636400,0.02634977,-0.02271452,-0.07336657,0.02514600
79057,20010118,ACL,0.03914600,0.01400000,0.02514600,-0.03430045,-0.02408023,-0.05273334,-0.02168500
79057,20010119,ACL,-0.02568500,-0.00400000,-0.02168500,0.05411322,0.05557322,-0.04915006,0.05096700
79057,20010122,ACL,0.05096700,0.00000000,0.05096700,0.04584645,0.03330006,-0.04168622,0.01710000
79057,20010123,ACL,0.03010000,0.01300000,0.01710000,0.06831914,0.07172179,0.00768272,-0.00137700
79057,20010124,ACL,0.00162300,0.00300000,-0.00137700,0.03084600,0.05986491,0.03719907,0.01472400
79057,20010125,ACL,0.00972400,-0.00500000,0.01472400,0.00238686,0.07190591,0.04673663,-0.01084100
79057,20010126,ACL,-0.01284100,-0.00200000,-0.01084100,0.00075128,0.01650738,0.07418484,-0.00303300
79057,20010129,ACL,0.00396700,0.00700000,-0.00303300,-0.04405959,-0.03102160,0.00079858,-0.03032200
79057,20010130,ACL,-0.02332200,0.00700000,-0.03032200,-0.04536307,-0.04143802,0.02629438,-0.01230700
79057,20010131,ACL,-0.01830700,-0.00600000,-0.01230700,-0.06219491,-0.07563365,-0.02016233,-0.02067600
79057,20010201,ACL,-0.01567600,0.00500000,-0.02067600,0.02491087,-0.00846663,0.06245162,0.05901000
79057,20010202,ACL,0.04201000,-0.01700000,0.05901000,0.05624131,0.01210697,0.02888934,0.01787100
79057,20010205,ACL,0.02187100,0.00400000,0.01787100,0.05512973,0.02109741,-0.00986998,-0.02120800
79057,20010206,ACL,-0.02320800,-0.00200000,-0.02120800,0.02578639,0.06398140,0.02069831,0.02964700
79057,20010207,ACL,0.02164700,-0.00800000,0.02964700,-0.01631000,0.05926093,-0.01802720,-0.02423300
79057,20010208,ACL,-0.03023300,-0.00600000,-0.02423300,0.02228184,0.01850684,0.01001573,0.01779600
79057,20010209,ACL,0.00479600,-0.01300000,0.01779600,-0.00835547,-0.00047429,0.01142378,-0.00165800
79057,20010212,ACL,0.01034200,0.01200000,-0.00165800,0.03279390,0.03715457,0.05793387,0.01634900
79057,20010213,ACL,0.00734900,-0.00900000,0.01634900,0.03862546,0.03097144,0.09522080,0.02336500
79057,20010214,ACL,0.02136500,-0.00200000,0.02336500,-0.00217957,0.01408083,0.07352068,-0.04116300
79057,20010215,ACL,-0.03316300,0.00800000,-0.04116300,-0.00328533,0.01133605,0.02958102,0.01504200
79057,20010216,ACL,-0.00395800,-0.01900000,0.01504200,-0.04091549,-0.00335810,-0.00375518,-0.01611300
79057,20010220,ACL,-0.03311300,-0.01700000,-0.01611300,-0.01328393,-0.03060986,0.00434472,-0.01250700
79057,20010221,ACL,-0.03150700,-0.01900000,-0.01250700,-0.00080570,-0.02564202,0.00350105,0.02887400
79057,20010222,ACL,0.02687400,-0.00200000,0.02887400,0.02957505,0.02725353,0.04073628,0.01426400
79057,20010223,ACL,0.00826400,-0.00600000,0.01426400,0.03779921,0.00724870,0.01828503,-0.00607100
79057,20010226,ACL,0.01092900,0.01700000,-0.00607100,0.03272599,0.04807236,0.04275660,0.02394600
79057,20010227,ACL,0.01594600,-0.00800000,0.02394600,0.00526002,0.04856593,0.01452612,-0.01233700
79057,20010228,ACL,-0.02633700,-0.01400000,-0.01233700,0.02009855,0.02869605,0.00119366,0.00910900
79057,20010301,ACL,0.01010900,0.00100000,0.00910900,0.01920142,0.03756180,0.06324781,0.02304100
79057,20010302,ACL,0.01704100,-0.00600000,0.02304100,0.00887206,0.01986387,0.02656607,-0.02302100
79057,20010305,ACL,-0.01702100,0.00600000,-0.02302100,-0.01861854,-0.02182649,0.02544122,-0.01838700
79057,20010306,ACL,-0.00838700,0.01000000,-0.01838700,-0.03545395,-0.00337824,0.04589578,0.00627800
79057,20010307,ACL,0.01227800,0.00600000,0.00627800,0.00220017,0.00196119,0.03121157,0.01444200
79057,20010308,ACL,0.01644200,0.00200000,0.01444200,0.05293185,0.01097952,0.04878855,0.03163000
79057,20010309,ACL,0.00663000,-0.02500000,0.03163000,0.07691938,0.06573708,0.08453582,0.03193600
79057,20010312,ACL,-0.01106400,-0.04300000,0.03193600,0.05133828,0.07262623,0.04997325,-0.01207000
79057,20010313,ACL,0.00293000,0.01500000,-0.01207000,0.02544888,0.06977796,0.06760874,0.00554800
79057,20010314,ACL,-0.02045200,-0.02600000,0.00554800,0.01771153,0.07970856,0.08312402,0.02436900
79057,20010315,ACL,0.03036900,0.00600000,0.02436900,0.03603390,0.05540418,0.06617573,0.00710500
79057,20010316,ACL,-0.01289500,-0.02000000,0.00710500,-0.04782369,-0.05319718,0.01119195,-0.07825100
79057,20010319,ACL,-0.06025100,0.01800000,-0.07825100,-0.06290779,-0.03481536,0.03352526,0.00584400
79057,20010320,ACL,-0.01815600,-0.02400000,0.00584400,-0.06659357,-0.03728749,0.03005354,0.00326400
79057,20010321,ACL,-0.01473600,-0.01800000,0.00326400,-0.01559199,-0.08129415,-0.00600927,-0.02532600
79057,20010322,ACL,-0.02932600,-0.00400000,-0.02532600,-0.03548488,-0.10345478,-0.04731079,-0.01395800
79057,20010323,ACL,0.00604200,0.02000000,-0.01395800,-0.02562916,-0.01560714,-0.06702241,0.01452600
79057,20010326,ACL,0.02552600,0.01100000,0.01452600,-0.03386272,-0.05534655,-0.08690564,-0.03332100
79057,20010327,ACL,-0.00732100,0.02600000,-0.03332100,0.01553639,-0.02469727,-0.06118608,0.03373400
79057,20010328,ACL,0.00973400,-0.02400000,0.03373400,0.01743645,0.01849002,-0.06742202,0.01643700
79057,20010329,ACL,0.01143700,-0.00500000,0.01643700,,,,
