PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
10516,20010102,ADM,-0.02500000,-0.02800000,0.00300000,,,,-0.09273500
10516,20010103,ADM,-0.04273500,0.05000000,-0.09273500,-0.07187353,,,0.01546400
10516,20010104,ADM,0.00446400,-0.01100000,0.01546400,-0.06700618,,,0.00822200
10516,20010105,ADM,-0.01777800,-0.02600000,0.00822200,0.08774685,-0.00199744,,0.06534800
10516,20010108,ADM,0.06334800,-0.00200000,0.06534800,0.06850371,-0.00919227,,-0.00400000
10516,20010109,ADM,0.00000000,0.00400000,-0.00400000,0.05133617,0.07424942,,-0.01000000
10516,20010110,ADM,0.00000000,0.01000000,-0.01000000,-0.04545734,0.02666469,,-0.03127700
10516,20010111,ADM,-0.02127700,0.01000000,-0.03127700,-0.03951188,0.02019892,,0.00165200
10516,20010112,ADM,-0.00434800,-0.00600000,0.00165200,-0.00570864,-0.01988847,-0.02151978,0.02456800
10516,20010116,ADM,0.03056800,0.00600000,0.02456800,0.02847074,-0.01359329,-0.02304682,0.00223700
10516,20010117,ADM,0.00423700,0.00200000,0.00223700,-0.04395791,-0.07296009,-0.00035174,-0.06885200
10516,20010118,ADM,-0.05485200,0.01400000,-0.06885200,-0.08399730,-0.05975296,-0.03409800,-0.01832100
10516,20010119,ADM,-0.02232100,-0.00400000,-0.01832100,-0.07745423,-0.05296978,-0.03432396,0.00913200
10516,20010122,ADM,0.00913200,0.00000000,0.00913200,0.02230218,-0.04630563,-0.06689072,0.03224900
10516,20010123,ADM,0.04524900,0.01300000,0.03224900,0.00222553,-0.08521382,-0.09988765,-0.03763200
10516,20010124,ADM,-0.03463200,0.00300000,-0.03763200,-0.01095913,-0.02030807,-0.09282209,-0.00396900
10516,20010125,ADM,-0.00896900,-0.00500000,-0.00396900,-0.00464760,0.03672432,-0.02531900,0.03819900
10516,20010126,ADM,0.03619900,-0.00200000,0.03819900,0.02604771,0.01929457,-0.03519674,-0.00787300
10516,20010129,ADM,-0.00087300,0.00700000,-0.00787300,0.07033276,0.02551641,-0.02179202,0.03845500
