PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
66800,20010102,AIG,-0.01712100,-0.02800000,0.01087900,,,,-0.05967700
66800,20010103,AIG,-0.00967700,0.05000000,-0.05967700,-0.10639286,,,-0.06131300
66800,20010104,AIG,-0.07231300,-0.01100000,-0.06131300,-0.10435298,,,0.01336000
66800,20010105,AIG,-0.01264000,-0.02600000,0.01336000,-0.03953541,-0.08388970,,0.00840100
66800,20010108,AIG,0.00640100,-0.00200000,0.00840100,0.00158859,-0.11539982,,-0.02025400
66800,20010109,AIG,-0.01625400,0.00400000,-0.02025400,-0.02765879,-0.07322781,,-0.01574700
66800,20010110,AIG,-0.00574700,0.01000000,-0.01574700,-0.07082292,-0.04822432,,-0.03528900
66800,20010111,AIG,-0.02528900,0.01000000,-0.03528900,-0.06929552,-0.08072165,,-0.01920400
66800,20010112,AIG,-0.02520400,-0.00600000,-0.01920400,-0.02947262,-0.06513267,-0.14435692,0.02593900
66800,20010116,AIG,0.03193900,0.00600000,0.02593900,0.00619016,-0.04509187,-0.15844599,0.00021100
66800,20010117,AIG,0.00221100,0.00200000,0.00021100,0.03034730,-0.02615150,-0.09872177,0.00364700
66800,20010118,AIG,0.01764700,0.01400000,0.00364700,-0.02007020,-0.01415187,-0.06220603,-0.02345700
66800,20010119,AIG,-0.02745700,-0.00400000,-0.02345700,-0.01435573,0.01162223,-0.07130752,0.00594400
66800,20010122,AIG,0.00594400,0.00000000,0.00594400,-0.01472840,-0.01111784,-0.07743090,0.00324800
66800,20010123,AIG,0.01624800,0.01300000,0.00324800,0.02853743,0.00768049,-0.03876676,0.01880200
66800,20010124,AIG,0.02180200,0.00300000,0.01880200,0.03630814,0.01765123,-0.00868111,0.01353500
66800,20010125,AIG,0.00853500,-0.00500000,0.01353500,0.02435965,0.03415390,0.01979959,-0.00787300
66800,20010126,AIG,-0.00987300,-0.00200000,-0.00787300,-0.00559431,0.01655511,0.02885428,-0.01121700
66800,20010129,AIG,-0.00421700,0.00700000,-0.01121700,-0.02697137,0.00513455,-0.00602238,-0.00791500
66800,20010130,AIG,-0.00091500,0.00700000,-0.00791500,-0.03907592,-0.03340824,-0.02685066,-0.02011700
66800,20010131,AIG,-0.02611700,-0.00600000,-0.02011700,-0.02702004,-0.04578832,-0.02906815,0.00111600
66800,20010201,AIG,0.00611600,0.00500000,0.00111600,0.00758848,-0.01128211,0.02224163,0.02693700
66800,20010202,AIG,0.00993700,-0.01700000,0.02693700,0.04541902,0.01645368,0.03342552,0.01683600
66800,20010205,AIG,0.02083600,0.00400000,0.01683600,0.02684990,0.00746561,0.01263057,-0.01659600
66800,20010206,AIG,-0.01859600,-0.00200000,-0.01659600,0.01192806,0.04014928,0.00603918,0.01204400
66800,20010207,AIG,0.00404400,-0.00800000,0.01204400,-0.01231011,0.03065526,-0.01488219,-0.00780900
66800,20010208,AIG,-0.01380900,-0.00600000,-0.00780900,0.02827255,0.02818922,0.01675037,0.02443500
66800,20010209,AIG,0.01143500,-0.01300000,0.02443500,0.03706787,0.03191572,0.04838455,0.02053300
66800,20010212,AIG,0.03253300,0.01200000,0.02053300,0.04841810,0.05203187,0.05887164,0.00319000
66800,20010213,AIG,-0.00581000,-0.00900000,0.00319000,-0.00850088,0.00792526,0.04752499,-0.03126600
66800,20010214,AIG,-0.03326600,-0.00200000,-0.03126600,-0.02910909,0.01495669,0.04551050,-0.00102500
66800,20010215,AIG,0.00697500,0.00800000,-0.00102500,-0.01339334,0.00958292,0.03751465,0.01900000
66800,20010216,AIG,0.00000000,-0.01900000,0.01900000,0.01145479,-0.01611121,0.01433206,-0.00632000
66800,20010220,AIG,-0.02332000,-0.01700000,-0.00632000,-0.00741824,-0.03797316,0.01047745,-0.02000700
66800,20010221,AIG,-0.03900700,-0.01900000,-0.02000700,-0.01515331,0.00218634,0.00970637,0.01122500
66800,20010222,AIG,0.00922500,-0.00200000,0.01122500,-0.01748985,-0.00505660,0.00892514,-0.00862500
66800,20010223,AIG,-0.01462500,-0.00600000,-0.00862500,-0.00641568,-0.03199049,-0.02264527,-0.00896000
66800,20010226,AIG,0.00804000,0.01700000,-0.00896000,0.02851202,0.01844695,0.00161918,0.04628200
66800,20010227,AIG,0.03828200,-0.00800000,0.04628200,0.01746837,0.01981182,-0.01936985,-0.01888800
66800,20010228,AIG,-0.03288800,-0.01400000,-0.01888800,0.02934159,0.01191233,0.01352651,0.00327900
66800,20010301,AIG,0.00427900,0.00100000,0.00327900,-0.00863184,0.02801637,0.02114530,0.00721700
66800,20010302,AIG,0.00121700,-0.00600000,0.00721700,0.00209179,0.02814857,-0.00483568,-0.00843200
66800,20010305,AIG,-0.00243200,0.00600000,-0.00843200,-0.02420677,-0.03940337,-0.02102442,-0.02304100
66800,20010306,AIG,-0.01304100,0.01000000,-0.02304100,-0.02422347,-0.01361675,0.00644270,0.00758400
66800,20010307,AIG,0.01358400,0.00600000,0.00758400,0.00299224,0.00178521,0.01391561,0.01871100
66800,20010308,AIG,0.02071100,0.00200000,0.01871100,0.02632641,-0.00503998,0.02284745,0.00041200
66800,20010309,AIG,-0.02458800,-0.02500000,0.00041200,0.01656886,0.00190178,0.02865540,-0.00129800
66800,20010312,AIG,-0.04429800,-0.04300000,-0.00129800,-0.00663196,0.01829700,-0.02009893,-0.00616500
66800,20010313,AIG,0.00883500,0.01500000,-0.00616500,-0.01976603,-0.00202159,-0.01461437,-0.01321800
66800,20010314,AIG,-0.03921800,-0.02600000,-0.01321800,0.01378163,0.01198021,0.01387455,0.03429100
66800,20010315,AIG,0.04029100,0.00600000,0.03429100,0.02972650,0.02173786,0.01689678,0.01047600
66800,20010316,AIG,-0.00952400,-0.02000000,0.01047600,0.01354676,-0.00627915,-0.00408992,-0.03082100
66800,20010319,AIG,-0.01282100,0.01800000,-0.03082100,0.00471498,0.02384455,0.04065634,0.02464900
66800,20010320,AIG,0.00064900,-0.02400000,0.02464900,-0.00786452,0.03531756,0.03062776,-0.00224700
66800,20010321,AIG,-0.02024700,-0.01800000,-0.00224700,0.02098571,0.00155823,0.01287398,-0.00090100
66800,20010322,AIG,-0.00490100,-0.00400000,-0.00090100,-0.01839921,-0.02390988,-0.00127454,-0.01560700
66800,20010323,AIG,0.00439300,0.02000000,-0.01560700,0.00178275,0.02429956,0.01777611,0.01842300
66800,20010326,AIG,0.02942300,0.01100000,0.01842300,-0.00345312,-0.00666846,0.01815390,-0.00604400
66800,20010327,AIG,0.01995600,0.02600000,-0.00604400,0.03691245,0.02023956,0.05650779,0.02336900
66800,20010328,AIG,-0.00063100,-0.02400000,0.02336900,0.00929570,0.01232657,0.01335940,-0.00838900
66800,20010329,AIG,-0.01338900,-0.00500000,-0.00838900,0.03435543,0.04852139,0.02258501,0.01959800
66800,20010330,AIG,0.03059800,0.01100000,0.01959800,0.05387195,0.07273886,0.09755564,0.04243500
66800,20010402,AIG,0.03043500,-0.01200000,0.04243500,0.06197894,0.07545720,0.07133367,0.00096800
66800,20010403,AIG,-0.03303200,-0.03400000,0.00096800,0.00298922,0.01336782,0.03339282,-0.03901500
66800,20010404,AIG,-0.04201500,-0.00300000,-0.03901500,-0.07190386,-0.01291740,-0.00105148,-0.03619100
66800,20010405,AIG,0.00780900,0.04400000,-0.03619100,-0.06568086,-0.02261270,0.02311154,0.00850700
66800,20010406,AIG,-0.01149300,-0.02000000,0.00850700,-0.03989350,-0.07486697,-0.00770842,-0.01283300
66800,20010409,AIG,-0.00483300,0.00800000,-0.01283300,-0.01916035,-0.09499496,-0.01650139,-0.01518600
66800,20010410,AIG,0.01181400,0.02700000,-0.01518600,-0.02739774,-0.05507954,-0.03932831,0.00083200
66800,20010411,AIG,-0.00116800,-0.00200000,0.00083200,-0.01905505,-0.02302125,-0.03609862,-0.00447900
66800,20010412,AIG,0.01052100,0.01500000,-0.00447900,-0.00383333,-0.03243289,-0.05448297,-0.00021300
66800,20010416,AIG,-0.00321300,-0.00300000,-0.00021300,-0.00246119,-0.01711711,-0.09414858,0.00225000
66800,20010417,AIG,0.01225000,0.01000000,0.00225000,-0.01783519,-0.02179886,-0.12162498,-0.01976400
66800,20010418,AIG,0.01923600,0.03900000,-0.01976400,-0.01016339,-0.01521306,-0.07449406,0.00749700
66800,20010419,AIG,0.02049700,0.01300000,0.00749700,-0.03666562,-0.03488063,-0.05922210,-0.02345600
66800,20010420,AIG,-0.03245600,-0.00900000,-0.02345600,-0.01407266,-0.03199009,-0.06606240,0.00221500
66800,20010423,AIG,-0.01278500,-0.01500000,0.00221500,-0.01892332,-0.03162203,-0.04995995,0.00187000
66800,20010424,AIG,-0.01013000,-0.01200000,0.00187000,0.00694464,-0.00946461,-0.03146172,0.00291200
66800,20010425,AIG,0.01891200,0.01600000,0.00291200,0.01502132,-0.00679811,-0.02219066,0.01012800
66800,20010426,AIG,0.01512800,0.00500000,0.01012800,0.00894030,0.01291794,-0.02206342,-0.00435500
66800,20010427,AIG,0.01064500,0.01500000,-0.00435500,0.02290385,0.02796435,-0.00453529,0.01663100
66800,20010430,AIG,0.01363100,-0.00300000,0.01663100,0.01207417,0.02608069,-0.00748333,-0.00055300
66800,20010501,AIG,0.01344700,0.01400000,-0.00055300,0.00661808,0.01271895,0.00273416,-0.00944400
66800,20010502,AIG,-0.00844400,0.00100000,-0.00944400,0.01121333,0.02395070,0.01654474,0.02108300
66800,20010503,AIG,0.00608300,-0.01500000,0.02108300,0.01770265,0.03448510,0.04828390,0.00595200
66800,20010504,AIG,0.01995200,0.01400000,0.00595200,0.02741733,0.01745924,0.04660533,0.00010300
66800,20010507,AIG,-0.00189700,-0.00200000,0.00010300,0.00577141,0.01747549,0.04473676,-0.00025700
66800,20010508,AIG,-0.00225700,-0.00200000,-0.00025700,0.00217018,0.02937493,0.04329908,0.00233300
66800,20010509,AIG,-0.00166700,-0.00400000,0.00233300,-0.00814304,-0.00228083,0.02172997,-0.01025500
66800,20010510,AIG,-0.01025500,-0.00000000,-0.01025500,-0.01065078,-0.01075848,0.02269115,-0.00284300
66800,20010511,AIG,-0.01084300,-0.00800000,-0.00284300,-0.01298171,-0.01086949,0.00608036,0.00004500
66800,20010514,AIG,0.00304500,0.00300000,0.00004500,0.00442186,-0.00349597,0.01377579,0.00728600
66800,20010515,AIG,0.00728600,0.00000000,0.00728600,0.00070670,-0.01269856,0.01709071,-0.00678200
66800,20010516,AIG,0.02121800,0.02800000,-0.00678200,-0.01274712,-0.01554158,-0.01793788,-0.01303400
66800,20010517,AIG,-0.01003400,0.00300000,-0.01303400,-0.02609965,-0.01876548,-0.02942446,-0.00586200
66800,20010518,AIG,-0.00286200,0.00300000,-0.00586200,-0.02245961,-0.02243022,-0.03336084,-0.00332400
66800,20010521,AIG,0.01267600,0.01600000,-0.00332400,-0.02386203,-0.04455845,-0.04766375,-0.01447800
66800,20010522,AIG,-0.01747800,-0.00300000,-0.01447800,-0.01611890,-0.03472638,-0.04781168,0.00157700
66800,20010523,AIG,-0.01442300,-0.01600000,0.00157700,-0.00843651,-0.01764090,-0.03340778,0.00443900
66800,20010524,AIG,0.00743900,0.00300000,0.00443900,0.01419386,-0.00340556,-0.02200399,0.00836800
66800,20010525,AIG,-0.00363200,-0.01200000,0.00836800,0.01976807,0.00666090,-0.01478247,0.00702800
66800,20010529,AIG,-0.00097200,-0.00800000,0.00702800,0.02453291,0.03010363,-0.01221775,0.00951800
66800,20010530,AIG,-0.00648200,-0.01600000,0.00951800,0.00254572,0.01514046,-0.01913656,-0.01408200
66800,20010531,AIG,-0.00808200,0.00600000,-0.01408200,-0.01944719,-0.00414804,-0.02126988,-0.01523500
66800,20010601,AIG,-0.01123500,0.00400000,-0.01523500,-0.02229953,-0.00546156,-0.00875036,0.00723600
66800,20010604,AIG,0.01223600,0.00500000,0.00723600,-0.01349596,-0.01781352,-0.01055850,-0.00522900
66800,20010605,AIG,0.00777100,0.01300000,-0.00522900,0.00449556,-0.02504187,0.00602469,0.00243200
66800,20010606,AIG,-0.00856800,-0.01100000,0.00243200,-0.00649593,-0.01471396,0.00084082,-0.00376500
66800,20010607,AIG,0.00123500,0.00500000,-0.00376500,0.00349572,0.00557253,0.00124535,0.00480800
66800,20010608,AIG,-0.00419200,-0.00900000,0.00480800,0.01139648,0.00869873,0.00316560,0.01035300
66800,20010611,AIG,0.00235300,-0.00800000,0.01035300,0.01298607,0.01162267,-0.00587036,-0.00211200
66800,20010612,AIG,-0.00111200,0.00100000,-0.00211200,0.01495902,0.01597813,-0.00864438,0.00679500
66800,20010613,AIG,-0.00420500,-0.01100000,0.00679500,0.02535929,0.03997185,0.02595888,0.02085600
66800,20010614,AIG,0.00285600,-0.01800000,0.02085600,0.04590049,0.05392610,0.05972448,0.01862200
66800,20010615,AIG,0.01362200,-0.00500000,0.01862200,0.05300562,0.05729207,0.06557961,0.01355200
66800,20010618,AIG,0.00855200,-0.00500000,0.01355200,0.04304108,0.07023128,0.08071810,0.01044600
66800,20010619,AIG,0.01344600,0.00300000,0.01044600,0.01624586,0.05621584,0.07160359,-0.00792400
66800,20010620,AIG,0.00107600,0.00900000,-0.00792400,0.01621091,0.04958499,0.08986061,0.01347800
66800,20010621,AIG,0.02447800,0.01100000,0.01347800,0.00533862,0.02984800,0.08465585,-0.00009100
66800,20010622,AIG,-0.00909100,-0.00900000,-0.00009100,0.01246913,0.01514953,0.07319175,-0.00070400
66800,20010625,AIG,-0.00670400,-0.00600000,-0.00070400,0.00118202,0.00660084,0.07726034,0.00200000
66800,20010626,AIG,0.00000000,-0.00200000,0.00200000,0.01188995,0.02516190,0.08176466,0.01068400
66800,20010627,AIG,0.00568400,-0.00500000,0.01068400,0.01946769,0.01836944,0.06860273,0.00660400
66800,20010628,AIG,0.01860400,0.01200000,0.00660400,0.00069881,0.00198572,0.03184788,-0.01633900
66800,20010629,AIG,-0.01733900,-0.00100000,-0.01633900,-0.00272893,0.01019694,0.02579267,0.00741000
66800,20010702,AIG,0.01741000,0.01000000,0.00741000,-0.00061439,0.01694615,0.02379917,0.00859000
66800,20010703,AIG,0.00659000,-0.00200000,0.00859000,0.00776262,-0.00223423,0.02306797,-0.00798600
66800,20010705,AIG,-0.01998600,-0.01200000,-0.00798600,0.01237431,0.00348861,0.02137269,0.01210000
66800,20010706,AIG,-0.01090000,-0.02300000,0.01210000,0.00683236,0.02268064,0.02462359,0.00283500
66800,20010709,AIG,0.00983500,0.00700000,0.00283500,0.01481493,0.01504942,0.02516643,0.00003600
66800,20010710,AIG,-0.01396400,-0.01400000,0.00003600,-0.00245551,0.00164286,0.01791900,-0.00530700
66800,20010711,AIG,-0.00630700,-0.00100000,-0.00530700,-0.02179631,-0.00665223,-0.00889992,-0.01681400
66800,20010712,AIG,0.00718600,0.02400000,-0.01681400,-0.02340123,-0.02038725,-0.01632295,-0.00112500
66800,20010713,AIG,0.00487500,0.00600000,-0.00112500,0.00262517,-0.00272253,0.02003178,0.02023000
66800,20010716,AIG,0.00923000,-0.01100000,0.02023000,0.00724536,-0.01499906,0.00089794,-0.01199300
66800,20010717,AIG,-0.00199300,0.01000000,-0.01199300,0.01503202,-0.00270601,-0.00091499,0.00670500
66800,20010718,AIG,0.00070500,-0.00600000,0.00670500,-0.01453587,0.00466580,-0.00208539,-0.00928700
66800,20010719,AIG,-0.00328700,0.00600000,-0.00928700,-0.01000441,-0.00177331,-0.02207862,-0.00748300
66800,20010720,AIG,-0.01048300,-0.00300000,-0.00748300,-0.00947529,-0.01462416,-0.01733373,0.00707200
66800,20010723,AIG,-0.00892800,-0.01600000,0.00707200,0.01097314,0.00848469,-0.00588408,0.01155600
66800,20010724,AIG,-0.00444400,-0.01600000,0.01155600,0.00030086,-0.01614919,-0.01914409,-0.01865400
66800,20010725,AIG,-0.00265400,0.01600000,-0.01865400,-0.02151229,-0.02146573,-0.01704797,-0.01471800
66800,20010726,AIG,-0.00471800,0.01000000,-0.01471800,-0.04232774,-0.02283236,-0.02446275,-0.00880600
66800,20010727,AIG,-0.00680600,0.00200000,-0.00880600,-0.01149179,-0.01831583,-0.03266124,0.01213600
66800,20010730,AIG,0.01113600,-0.00100000,0.01213600,0.00478518,-0.02900433,-0.01947682,0.00150300
66800,20010731,AIG,0.00750300,0.00600000,0.00150300,0.00175451,-0.02198947,-0.03783211,-0.01180800
66800,20010801,AIG,-0.00780800,0.00400000,-0.01180800,-0.01624287,-0.01300992,-0.03439776,-0.00581600
66800,20010802,AIG,-0.00181600,0.00400000,-0.00581600,-0.02231516,-0.00896352,-0.03173385,-0.00482400
66800,20010803,AIG,-0.00982400,-0.00500000,-0.00482400,-0.00130838,-0.01157068,-0.02976039,0.00928500
66800,20010806,AIG,-0.00171500,-0.01100000,0.00928500,0.00683112,-0.01063118,-0.03953431,0.00242300
