PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
82469,20010102,ALLE,0.00699300,-0.02800000,0.03499300,,,,-0.00833300
82469,20010103,ALLE,0.04166700,0.05000000,-0.00833300,0.04657142,,,0.01766700
82469,20010104,ALLE,0.00666700,-0.01100000,0.01766700,0.03716154,,,0.02600000
82469,20010105,ALLE,0.00000000,-0.02600000,0.02600000,0.04530757,0.07478138,,0.00200000
82469,20010108,ALLE,0.00000000,-0.00200000,0.00200000,0.02405984,0.03514676,,-0.00400000
82469,20010109,ALLE,0.00000000,0.00400000,-0.00400000,0.01447809,0.05847672,,0.01649000
82469,20010110,ALLE,0.02649000,0.01000000,0.01649000,0.02217742,0.05080121,,0.00935500
82469,20010111,ALLE,0.01935500,0.01000000,0.00935500,0.05886794,0.05684812,,0.03131600
82469,20010112,ALLE,0.02531600,-0.00600000,0.03131600,0.02229377,0.03545842,0.11402900,-0.01834600
82469,20010116,ALLE,-0.01234600,0.00600000,-0.01834600,0.01069346,0.03749852,0.07524501,-0.00200000
82469,20010117,ALLE,0.00000000,0.00200000,-0.00200000,0.00256678,0.04481572,0.10631556,0.02350000
82469,20010118,ALLE,0.03750000,0.01400000,0.02350000,0.01303631,0.02604653,0.07866113,-0.00804800
82469,20010119,ALLE,-0.01204800,-0.00400000,-0.00804800,0.00255630,-0.01803575,0.03852381,-0.01219500
82469,20010122,ALLE,-0.01219500,0.00000000,-0.01219500,0.01514903,0.03738124,0.07595835,0.03638300
82469,20010123,ALLE,0.04938300,0.01300000,0.03638300,0.02054679,0.03635812,0.07700396,-0.00300000
82469,20010124,ALLE,0.00000000,0.00300000,-0.00300000,0.02607821,0.00513353,0.05062346,-0.00676500
82469,20010125,ALLE,-0.01176500,-0.00500000,-0.00676500,-0.00775408,0.01545344,0.04231958,0.00200000
82469,20010126,ALLE,0.00000000,-0.00200000,0.00200000,0.01180383,0.04572945,0.02740514,0.01681000
82469,20010129,ALLE,0.02381000,0.00700000,0.01681000,0.01178916,0.00178323,0.03964905,-0.00700000
82469,20010130,ALLE,0.00000000,0.00700000,-0.00700000,0.00394053,-0.00091889,0.03541521,-0.00562800
82469,20010131,ALLE,-0.01162800,-0.00600000,-0.00562800,-0.01759074,0.00092670,0.00612775,-0.00500000
82469,20010201,ALLE,0.00000000,0.00500000,-0.00500000,0.00638452,0.01612181,0.03190331,0.01700000
82469,20010202,ALLE,0.00000000,-0.01700000,0.01700000,0.04342747,0.03043891,0.07771883,0.03129400
82469,20010205,ALLE,0.03529400,0.00400000,0.03129400,0.02680682,0.01605654,0.01800004,-0.02072700
82469,20010206,ALLE,-0.02272700,-0.00200000,-0.02072700,0.01778889,0.02980112,0.02889880,0.00800000
82469,20010207,ALLE,0.00000000,-0.00800000,0.00800000,-0.00680294,0.04054896,0.04193172,0.00600000
82469,20010208,ALLE,0.00000000,-0.00600000,0.00600000,0.02095662,0.03071448,0.04680162,0.00718600
82469,20010209,ALLE,-0.00581400,-0.01300000,0.00718600,0.03040509,0.01706215,0.04737851,0.01724000
82469,20010212,ALLE,0.02924000,0.01200000,0.01724000,0.01596022,0.02977067,0.04544256,-0.00804500
82469,20010213,ALLE,-0.01704500,-0.00900000,-0.00804500,0.02250665,0.03549539,0.06517612,0.01356100
82469,20010214,ALLE,0.01156100,-0.00200000,0.01356100,-0.00829276,0.01585148,0.05641572,-0.01371400
82469,20010215,ALLE,-0.00571400,0.00800000,-0.01371400,0.01891063,0.02782085,0.05838337,0.01900000
82469,20010216,ALLE,0.00000000,-0.01900000,0.01900000,0.02224841,0.02727473,0.04367765,0.01700000
82469,20010220,ALLE,0.00000000,-0.01700000,0.01700000,0.05399914,0.05411921,0.08276550,0.01900000
82469,20010221,ALLE,0.00000000,-0.01900000,0.01900000,0.03760563,0.04262424,0.07714733,0.00200000
82469,20010222,ALLE,0.00000000,-0.00200000,0.00200000,0.00384720,0.03856678,0.05389101,-0.01698900
82469,20010223,ALLE,-0.02298900,-0.00600000,-0.01698900,-0.04335972,-0.00736603,0.01957115,-0.02876500
82469,20010226,ALLE,-0.01176500,0.01700000,-0.02876500,-0.03729429,-0.01627340,0.01068956,0.00800000
82469,20010227,ALLE,0.00000000,-0.00800000,0.00800000,-0.01826981,-0.03277191,0.02044314,0.00209500
82469,20010228,ALLE,-0.01190500,-0.01400000,0.00209500,0.02090942,-0.02424418,0.01808212,0.01104800
82469,20010301,ALLE,0.01204800,0.00100000,0.01104800,0.02488741,0.00435629,0.04242801,0.01195200
82469,20010302,ALLE,0.00595200,-0.00600000,0.01195200,0.01108370,0.02094438,0.01301039,-0.01191700
82469,20010305,ALLE,-0.00591700,0.00600000,-0.01191700,0.00194103,0.01508421,-0.00165761,0.00190500
82469,20010306,ALLE,0.01190500,0.01000000,0.00190500,-0.02807356,-0.00499192,-0.03809274,-0.01776500
82469,20010307,ALLE,-0.01176500,0.00600000,-0.01776500,-0.02999725,-0.02996089,-0.05360964,-0.01390500
82469,20010308,ALLE,-0.01190500,0.00200000,-0.01390500,-0.01810621,-0.02818156,-0.02366558,0.01295200
82469,20010309,ALLE,-0.01204800,-0.02500000,0.01295200,0.04720209,0.03218679,0.05208301,0.04909800
82469,20010312,ALLE,0.00609800,-0.04300000,0.04909800,0.04690541,0.01592923,0.03051913,-0.01500000
82469,20010313,ALLE,0.00000000,0.01500000,-0.01500000,0.05390030,0.05189831,0.04790957,0.01993900
82469,20010314,ALLE,-0.00606100,-0.02600000,0.01993900,-0.00666369,0.05394554,0.02550014,-0.01209800
82469,20010315,ALLE,-0.00609800,0.00600000,-0.01209800,0.04581267,0.07945393,0.05081713,0.03840500
82469,20010316,ALLE,0.01840500,-0.02000000,0.03840500,-0.02801690,-0.02249875,0.00983857,-0.05414500
82469,20010319,ALLE,-0.03614500,0.01800000,-0.05414500,0.02016805,0.02774620,0.04212776,0.03650000
82469,20010320,ALLE,0.01250000,-0.02400000,0.03650000,-0.01182906,0.01370151,0.06329665,0.00565400
82469,20010321,ALLE,-0.01234600,-0.01800000,0.00565400,0.05790147,0.04151898,0.09214342,0.01650000
