PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
85257,20010102,AME,-0.04819300,-0.02800000,-0.02019300,,,,-0.00949400
85257,20010103,AME,0.04050600,0.05000000,-0.00949400,-0.01419336,,,0.01586600
85257,20010104,AME,0.00486600,-0.01100000,0.01586600,0.02652383,,,0.01873600
85257,20010105,AME,-0.00726400,-0.02600000,0.01873600,0.10676707,0.07666735,,0.07273199
85257,20010108,AME,0.07073200,-0.00200000,0.07273199,0.04827362,0.05742125,,-0.04044600
85257,20010109,AME,-0.03644600,0.00400000,-0.04044600,0.06847646,0.10300225,,0.03728100
85257,20010110,AME,0.04728100,0.01000000,0.03728100,-0.03784716,0.05287043,,-0.03257300
85257,20010111,AME,-0.02257300,0.01000000,-0.03257300,0.00493316,0.03522115,,0.00138100
85257,20010112,AME,-0.00461900,-0.00600000,0.00138100,-0.06639638,-0.07197857,0.00237723,-0.03616200
85257,20010116,AME,-0.03016200,0.00600000,-0.03616200,0.01189298,0.01572187,0.07552680,0.04823900
85257,20010117,AME,0.05023900,0.00200000,0.04823900,-0.03836581,-0.06904077,0.03127967,-0.04816900
85257,20010118,AME,-0.03416900,0.01400000,-0.04816900,0.01913544,-0.01654719,0.03615253,0.02050900
85257,20010119,AME,0.01650900,-0.00400000,0.02050900,-0.03955766,-0.02963735,0.00470100,-0.01160100
85257,20010122,AME,-0.01160100,0.00000000,-0.01160100,-0.00423144,-0.00598186,-0.07948234,-0.01300000
85257,20010123,AME,0.00000000,0.01300000,-0.01300000,-0.02532024,-0.05347870,-0.03936866,-0.00065300
85257,20010124,AME,0.00234700,0.00300000,-0.00065300,-0.01330681,-0.00455748,-0.07388021,0.00031600
85257,20010125,AME,-0.00468400,-0.00500000,0.00031600,-0.00537946,-0.02981936,-0.04637667,-0.00505900
85257,20010126,AME,-0.00705900,-0.00200000,-0.00505900,-0.01073410,-0.02445080,-0.05427866,-0.00605200
85257,20010129,AME,0.00094800,0.00700000,-0.00605200,-0.01663282,-0.01693077,-0.02329635,-0.00548500
85257,20010130,AME,0.00151500,0.00700000,-0.00548500,0.00208235,-0.00269955,-0.05615360,0.01356400
85257,20010131,AME,0.00756400,-0.00600000,0.01356400,0.00502168,-0.00617896,-0.01080105,-0.00312300
85257,20010201,AME,0.00187700,0.00500000,-0.00312300,0.01044817,-0.00090193,-0.03057672,0.00014000
85257,20010202,AME,-0.01686000,-0.01700000,0.00014000,-0.00087482,0.00718354,-0.01715234,0.00209800
85257,20010205,AME,0.00609800,0.00400000,0.00209800,0.00417712,0.01454398,-0.00221601,0.00200000
85257,20010206,AME,0.00000000,-0.00200000,0.00200000,0.01402756,0.01090491,0.00823463,0.00989400
85257,20010207,AME,0.00189400,-0.00800000,0.00989400,0.01289376,0.01492187,0.00899238,0.00108500
85257,20010208,AME,-0.00491500,-0.00600000,0.00108500,0.02639230,0.03054938,0.02951347,0.01566000
85257,20010209,AME,0.00266000,-0.01300000,0.01566000,0.02983337,0.04168295,0.04874393,0.01300900
85257,20010212,AME,0.02500900,0.01200000,0.01300900,0.05117909,0.06183488,0.07593693,0.02193900
85257,20010213,AME,0.01293900,-0.00900000,0.02193900,0.05860555,0.07514135,0.08531354,0.02243800
85257,20010214,AME,0.02043800,-0.00200000,0.02243800,0.04040852,0.07033223,0.08421613,-0.00442300
85257,20010215,AME,0.00357700,0.00800000,-0.00442300,-0.00073807,0.03414880,0.06457950,-0.01806300
85257,20010216,AME,-0.03706300,-0.01900000,-0.01806300,-0.01495565,0.02791680,0.06867658,0.00737700
85257,20010220,AME,-0.00962300,-0.01700000,0.00737700,0.02156865,0.03921461,0.09954591,0.03357400
