PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
14008,20010102,AMGN,-0.01661800,-0.02800000,0.01138200,,,,0.01660000
14008,20010103,AMGN,0.06660000,0.05000000,0.01660000,-0.02892471,,,-0.05423800
14008,20010104,AMGN,-0.06523800,-0.01100000,-0.05423800,-0.08401598,,,-0.04379100
14008,20010105,AMGN,-0.06979100,-0.02600000,-0.04379100,-0.08624355,-0.06327605,,0.00843100
14008,20010108,AMGN,0.00643100,-0.00200000,0.00843100,0.01309239,-0.02738265,,0.05244300
14008,20010109,AMGN,0.05644300,0.00400000,0.05244300,0.02978917,-0.06898585,,-0.03016100
14008,20010110,AMGN,-0.02016100,0.01000000,-0.03016100,0.00883337,-0.02845826,,-0.01205800
14008,20010111,AMGN,-0.00205800,0.01000000,-0.01205800,-0.05026985,0.00865238,,-0.00843300
14008,20010112,AMGN,-0.01443300,-0.00600000,-0.00843300,0.00341055,0.02484481,-0.04199903,0.02433500
14008,20010116,AMGN,0.03033500,0.00600000,0.02433500,-0.00402576,-0.04629700,-0.07364056,-0.01925900
14008,20010117,AMGN,-0.01725900,0.00200000,-0.01925900,0.01657831,-0.00454732,-0.07490921,0.01182600
14008,20010118,AMGN,0.02582600,0.01400000,0.01182600,-0.03734555,-0.02223758,-0.05030363,-0.02923300
14008,20010119,AMGN,-0.03323300,-0.00400000,-0.02923300,0.10782335,0.11376232,0.12537518,0.12708300
14008,20010122,AMGN,0.12708300,0.00000000,0.12708300,0.08269233,0.07538636,0.10454831,-0.01115200
14008,20010123,AMGN,0.00184800,0.01300000,-0.01115200,0.13500212,0.11538490,0.06508600,0.01637300
14008,20010124,AMGN,0.01937300,0.00300000,0.01637300,0.05373601,0.15320497,0.15193606,0.04753400
14008,20010125,AMGN,0.04253400,-0.00500000,0.04753400,0.06212962,0.18585459,0.16150211,-0.00234000
14008,20010126,AMGN,-0.00434000,-0.00200000,-0.00234000,0.02809379,0.03390846,0.15395999,-0.01659000
14008,20010129,AMGN,-0.00959000,0.00700000,-0.01659000,-0.02590927,0.03798964,0.11794666,-0.00700000
14008,20010130,AMGN,0.00000000,0.00700000,-0.00700000,-0.02714485,0.01718117,0.13510372,-0.00368300
14008,20010131,AMGN,-0.00968300,-0.00600000,-0.00368300,-0.02973010,-0.04830414,0.09884833,-0.01922200
14008,20010201,AMGN,-0.01422200,0.00500000,-0.01922200,0.00304785,-0.02019455,0.16094264,0.02601700
14008,20010202,AMGN,0.00901700,-0.01700000,0.02601700,-0.02031096,-0.03066875,0.00146553,-0.02723500
14008,20010205,AMGN,-0.02323500,0.00400000,-0.02723500,0.02315741,0.00021169,0.03760151,0.02487300
14008,20010206,AMGN,0.02287300,-0.00200000,0.02487300,0.01585396,0.02248049,0.03975868,0.01873300
14008,20010207,AMGN,0.01073300,-0.00800000,0.01873300,0.03788220,0.03599782,-0.01225957,-0.00550400
14008,20010208,AMGN,-0.01150400,-0.00600000,-0.00550400,0.06523198,0.06236554,0.04115004,0.05239100
14008,20010209,AMGN,0.03939100,-0.01300000,0.05239100,0.05759128,0.10306299,0.06901637,0.01039400
14008,20010212,AMGN,0.02239400,0.01200000,0.01039400,0.04595492,0.05883888,0.05811322,-0.01627400
14008,20010213,AMGN,-0.02527400,-0.00900000,-0.01627400,-0.00863932,0.03752063,0.05976204,-0.00232200
14008,20010214,AMGN,-0.00432200,-0.00200000,-0.00232200,-0.02557455,0.03644999,0.07255876,-0.00713200
14008,20010215,AMGN,0.00086800,0.00800000,-0.00713200,-0.00156414,-0.00781352,0.05361790,0.00772500
14008,20010216,AMGN,-0.01127500,-0.01900000,0.00772500,-0.02151722,-0.03887007,0.05686797,-0.02247400
14008,20010220,AMGN,-0.03947400,-0.01700000,-0.02247400,0.03405034,0.02500062,0.08186743,0.05096300
14008,20010221,AMGN,0.03196300,-0.01900000,0.05096300,0.02093775,0.02142716,0.05755126,-0.00596500
14008,20010222,AMGN,-0.00796500,-0.00200000,-0.00596500,0.05605865,0.03900429,0.07446759,0.01135200
14008,20010223,AMGN,0.00535200,-0.00600000,0.01135200,0.03006134,0.05694072,0.04830907,0.02470400
14008,20010226,AMGN,0.04170400,0.01700000,0.02470400,0.05249682,0.09857427,0.05277179,0.01566600
14008,20010227,AMGN,0.00766600,-0.00800000,0.01566600,0.02833073,0.03355977,0.05744702,-0.01135900
14008,20010228,AMGN,-0.02535900,-0.01400000,-0.01135900,-0.01124470,0.02384412,0.04441020,-0.01552700
14008,20010301,AMGN,-0.01452700,0.00100000,-0.01552700,-0.00135094,0.03863455,0.07636818,0.02602200
14008,20010302,AMGN,0.02002200,-0.00600000,0.02602200,0.00944404,0.01327960,0.06942373,-0.00082300
