PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
21020,20010102,AMR,-0.01275900,-0.02800000,0.01524100,,,,0.02592900
21020,20010103,AMR,0.07592900,0.05000000,0.02592900,0.08951109,,,0.04553500
21020,20010104,AMR,0.03453500,-0.01100000,0.04553500,0.11940646,,,0.04196500
21020,20010105,AMR,0.01596500,-0.02600000,0.04196500,0.03563744,0.07784798,,-0.04942900
21020,20010108,AMR,-0.05142900,-0.00200000,-0.04942900,-0.07173173,-0.00700301,,-0.06574700
21020,20010109,AMR,-0.06174700,0.00400000,-0.06574700,-0.12772700,-0.04542803,,-0.01642100
21020,20010110,AMR,-0.00642100,0.01000000,-0.01642100,-0.09797593,-0.10295952,,-0.01646200
21020,20010111,AMR,-0.00646200,0.01000000,-0.01646200,-0.06855405,-0.17457104,,-0.03627600
21020,20010112,AMR,-0.04227600,-0.00600000,-0.03627600,-0.03581145,-0.11601110,-0.04312957,0.01776900
21020,20010116,AMR,0.02376900,0.00600000,0.01776900,-0.03936189,-0.07186262,-0.07948480,-0.02024200
21020,20010117,AMR,-0.01824200,0.00200000,-0.02024200,0.01183141,-0.04230624,-0.08593667,0.01471600
21020,20010118,AMR,0.02871600,0.01400000,0.01471600,-0.02025550,-0.03956921,-0.13950693,-0.01406200
21020,20010119,AMR,-0.01806200,-0.00400000,-0.01406200,-0.02007911,-0.02312899,-0.19718094,-0.02006700
21020,20010122,AMR,-0.02006700,0.00000000,-0.02006700,-0.00730527,-0.01351025,-0.13119433,0.02795600
21020,20010123,AMR,0.04095600,0.01300000,0.02795600,-0.02272819,-0.02276423,-0.09537279,-0.02923000
21020,20010124,AMR,-0.02623000,0.00300000,-0.02923000,0.00951887,-0.02497718,-0.06717246,0.01173400
21020,20010125,AMR,0.00673400,-0.00500000,0.01173400,-0.03205474,-0.02565916,-0.06487273,-0.01472200
21020,20010126,AMR,-0.01672200,-0.00200000,-0.01472200,-0.00413617,-0.00657981,-0.03004534,-0.00101400
21020,20010129,AMR,0.00598600,0.00700000,-0.00101400,0.01139083,-0.00670314,-0.02042606,0.02762300
21020,20010130,AMR,0.03462300,0.00700000,0.02762300,0.05570893,0.05201081,0.02940138,0.02796100
21020,20010131,AMR,0.02196100,-0.00600000,0.02796100,0.06517673,0.04855398,0.02242560,0.00804700
21020,20010201,AMR,0.01304700,0.00500000,0.00804700,0.02664088,0.05401343,0.02755924,-0.00875700
21020,20010202,AMR,-0.02575700,-0.01700000,-0.00875700,-0.03254144,0.02152025,0.01519042,-0.03199400
21020,20010205,AMR,-0.02799400,0.00400000,-0.03199400,-0.05187723,-0.01793013,-0.02458442,-0.01266700
21020,20010206,AMR,-0.01466700,-0.00200000,-0.01266700,-0.05177830,-0.05205807,-0.00374076,-0.00823800
21020,20010207,AMR,-0.01623800,-0.00800000,-0.00823800,-0.05474226,-0.09116481,-0.04943567,-0.03526500
21020,20010208,AMR,-0.04126500,-0.00600000,-0.03526500,-0.03655790,-0.07807126,-0.02928679,0.00611300
21020,20010209,AMR,-0.00688700,-0.01300000,0.00611300,-0.05750005,-0.07627164,-0.05621207,-0.02962500
21020,20010212,AMR,-0.01762500,0.01200000,-0.02962500,-0.01998352,-0.06129367,-0.07671111,0.00311800
21020,20010213,AMR,-0.00588200,-0.00900000,0.00311800,-0.06185138,-0.08786218,-0.13282183,-0.03646200
21020,20010214,AMR,-0.03846200,-0.00200000,-0.03646200,-0.01545990,-0.03824607,-0.12443838,0.01876900
21020,20010215,AMR,0.02676900,0.00800000,0.01876900,-0.00521441,-0.03104242,-0.10511708,0.01330600
21020,20010216,AMR,-0.00569400,-0.01900000,0.01330600,-0.01511453,-0.04665695,-0.11562701,-0.04568800
21020,20010220,AMR,-0.06268800,-0.01700000,-0.04568800,-0.01522443,-0.03272717,-0.08826803,0.01771400
21020,20010221,AMR,-0.00128600,-0.01900000,0.01771400,0.00957731,0.04064613,-0.04727397,0.04031300
21020,20010222,AMR,0.03831300,-0.00200000,0.04031300,0.04612927,0.01151141,-0.02486926,-0.01105400
21020,20010223,AMR,-0.01705400,-0.00600000,-0.01105400,0.05583796,0.02380344,-0.00738070,0.02621800
21020,20010226,AMR,0.04321800,0.01700000,0.02621800,0.03315856,0.09248724,0.03879129,0.01828100
21020,20010227,AMR,0.01028100,-0.00800000,0.01828100,0.05415613,0.08371522,0.04463384,0.00921100
21020,20010228,AMR,-0.00478900,-0.01400000,0.00921100,-0.03200836,-0.01859706,0.02177592,-0.05904500
21020,20010301,AMR,-0.05804500,0.00100000,-0.05904500,0.01504504,0.06008236,0.06846912,0.06857999
21020,20010302,AMR,0.06258000,-0.00600000,0.06857999,0.02008855,0.04755498,0.07070226,0.01413200
21020,20010305,AMR,0.02013200,0.00600000,0.01413200,0.10625625,0.04957356,0.14544888,0.01975000
21020,20010306,AMR,0.02975000,0.01000000,0.01975000,0.02952623,0.03559222,0.12324349,-0.00485600
21020,20010307,AMR,0.00114400,0.00600000,-0.00485600,0.06290915,0.15371935,0.13035374,0.04657100
21020,20010308,AMR,0.04857100,0.00200000,0.04657100,0.05980786,0.09665620,0.16147179,0.01818800
21020,20010309,AMR,-0.00681200,-0.02500000,0.01818800,0.05963002,0.07537501,0.12255590,-0.00199300
21020,20010312,AMR,-0.04499300,-0.04300000,-0.00199300,-0.01246612,0.02646180,0.07501531,-0.02965100
21020,20010313,AMR,-0.01465100,0.01500000,-0.02965100,-0.04596223,0.01313640,0.04672541,-0.01744000
21020,20010314,AMR,-0.04344000,-0.02600000,-0.01744000,-0.00229762,0.01316299,0.15807286,0.04672800
21020,20010315,AMR,0.05272800,0.00600000,0.04672800,0.02488449,-0.00571702,0.08389362,-0.00171400
21020,20010316,AMR,-0.02171400,-0.02000000,-0.00171400,0.03416804,-0.01402660,0.06040477,-0.01030500
21020,20010319,AMR,0.00769500,0.01800000,-0.01030500,0.01385426,0.04039053,0.06487442,0.02576200
21020,20010320,AMR,0.00176200,-0.02400000,0.02576200,0.03408256,0.07802001,0.08577419,0.01829300
21020,20010321,AMR,0.00029300,-0.01800000,0.01829300,0.03952804,0.02767809,0.03858481,-0.00391300
21020,20010322,AMR,-0.00791300,-0.00400000,-0.00391300,-0.02695009,-0.01134042,-0.01617964,-0.04186100
21020,20010323,AMR,-0.02186100,0.02000000,-0.04186100,0.00660981,0.05142894,0.03649835,0.05423700
21020,20010326,AMR,0.06523700,0.01100000,0.05423700,0.01966430,0.03465031,0.07625578,0.00830700
21020,20010327,AMR,0.03430700,0.02600000,0.00830700,0.03925546,-0.00799160,0.07193357,-0.02150400
21020,20010328,AMR,-0.04550400,-0.02400000,-0.02150400,-0.01763328,-0.00768209,0.02090994,-0.00361600
