PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
83976,20010102,ANF,-0.10937500,-0.02800000,-0.08137500,,,,0.08684200
83976,20010103,ANF,0.13684200,0.05000000,0.08684200,0.12812669,,,0.13445699
83976,20010104,ANF,0.12345700,-0.01100000,0.13445699,0.24118109,,,0.00676900
83976,20010105,ANF,-0.01923100,-0.02600000,0.00676900,0.05407293,0.04696179,,-0.07643101
83976,20010108,ANF,-0.07843100,-0.00200000,-0.07643101,-0.06385168,0.15144805,,0.00511900
83976,20010109,ANF,0.00911900,0.00400000,0.00511900,-0.06523260,0.06835351,,0.00807200
83976,20010110,ANF,0.01807200,0.01000000,0.00807200,0.07916286,0.00169610,,0.06396400
83976,20010111,ANF,0.07396400,0.01000000,0.06396400,0.12457363,0.04282413,,0.04732200
83976,20010112,ANF,0.04132200,-0.00600000,0.04732200,0.13204717,0.14910801,0.20139732,0.01516400
83976,20010116,ANF,0.02116400,0.00600000,0.01516400,0.08894503,0.17066668,0.35360741,0.02390700
83976,20010117,ANF,0.02590700,0.00200000,0.02390700,-0.00625098,0.10994266,0.18483438,-0.04430300
83976,20010118,ANF,-0.03030300,0.01400000,-0.04430300,-0.06118656,-0.00090849,0.00081033,-0.04027100
83976,20010119,ANF,-0.04427100,-0.00400000,-0.04027100,0.00520749,0.04545659,0.09172699,0.09536800
83976,20010122,ANF,0.09536800,0.00000000,0.09536800,0.09521828,0.07332612,0.23888351,0.04172600
83976,20010123,ANF,0.05472600,0.01300000,0.04172600,0.12837490,0.03446313,0.21623493,-0.01243400
83976,20010124,ANF,-0.00943400,0.00300000,-0.01243400,0.07610520,0.13110517,0.25965072,0.04547600
83976,20010125,ANF,0.04047600,-0.00500000,0.04547600,0.03231292,0.17907386,0.18013048,-0.00028800
83976,20010126,ANF,-0.00228800,-0.00200000,-0.00028800,0.14289575,0.17802960,0.23551698,0.09391700
83976,20010129,ANF,0.10091700,0.00700000,0.09391700,0.04829905,0.08284779,0.16506183,-0.04166700
83976,20010130,ANF,-0.03466700,0.00700000,-0.04166700,0.08597963,0.13469949,0.17735784,0.03535100
