PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
39490,20010102,APA,0.01070500,-0.02800000,0.03870500,,,,-0.11619601
39490,20010103,APA,-0.06619600,0.05000000,-0.11619601,-0.11017607,,,-0.03625900
39490,20010104,APA,-0.04725900,-0.01100000,-0.03625900,-0.05999447,,,0.09544400
39490,20010105,APA,0.06944400,-0.02600000,0.09544400,0.06794051,-0.00970976,,0.01220400
39490,20010108,APA,0.01020400,-0.00200000,0.01220400,0.08060637,-0.07348374,,-0.02603900
39490,20010109,APA,-0.02203900,0.00400000,-0.02603900,-0.02592718,0.02986790,,-0.01187800
39490,20010110,APA,-0.00187800,0.01000000,-0.01187800,-0.04621986,0.06098941,,-0.00811900
39490,20010111,APA,0.00188100,0.01000000,-0.00811900,-0.03651496,-0.05032293,,-0.01653500
39490,20010112,APA,-0.02253500,-0.00600000,-0.01653500,-0.02971904,-0.06730283,-0.07532577,-0.00503900
39490,20010116,APA,0.00096100,0.00600000,-0.00503900,-0.07238597,-0.09252594,-0.16208063,-0.05190400
39490,20010117,APA,-0.04990400,0.00200000,-0.05190400,-0.10569775,-0.12869167,-0.09865072,-0.05036400
39490,20010118,APA,-0.03636400,0.01400000,-0.05036400,-0.08777996,-0.10770202,-0.05207527,0.01343400
39490,20010119,APA,0.00943400,-0.00400000,0.01343400,-0.01701550,-0.07375175,-0.12245086,0.02076800
39490,20010122,APA,0.02076800,0.00000000,0.02076800,0.02249784,-0.08078261,-0.14628953,-0.01198300
39490,20010123,APA,0.00101700,0.01300000,-0.01198300,0.00472893,-0.03321411,-0.12581990,-0.00401600
39490,20010124,APA,-0.00101600,0.00300000,-0.00401600,0.02871512,0.06436293,-0.07181843,0.04467400
39490,20010125,APA,0.03967400,-0.00500000,0.04467400,0.01112426,0.02013765,-0.09045557,-0.02833300
39490,20010126,APA,-0.03033300,-0.00200000,-0.02833300,-0.01082686,-0.02686535,-0.10030026,-0.02585000
39490,20010129,APA,-0.01885000,0.00700000,-0.02585000,-0.09836229,-0.06103968,-0.13923098,-0.04665800
39490,20010130,APA,-0.03965800,0.00700000,-0.04665800,-0.07799595,-0.06338257,-0.09617899,-0.00702300
39490,20010131,APA,-0.01302300,-0.00600000,-0.00702300,-0.06602567,-0.11673290,-0.05998385,-0.01333300
39490,20010201,APA,-0.00833300,0.00500000,-0.01333300,0.04868386,-0.02464410,-0.00530788,0.07004600
39490,20010202,APA,0.05304600,-0.01700000,0.07004600,0.05657104,0.00092955,-0.02575292,-0.00001000
39490,20010205,APA,0.00399000,0.00400000,-0.00001000,0.09802519,0.07602897,0.01208748,0.02634200
39490,20010206,APA,0.02434200,-0.00200000,0.02634200,0.04924924,0.10744602,0.03849517,0.02238700
39490,20010207,APA,0.01438700,-0.00800000,0.02238700,0.04258429,0.11421820,-0.01123373,-0.00595200
39490,20010208,APA,-0.01195200,-0.00600000,-0.00595200,0.04034921,0.06722583,0.04125352,0.02429000
39490,20010209,APA,0.01129000,-0.01300000,0.02429000,0.00348344,0.05233208,0.05291851,-0.01487100
39490,20010212,APA,-0.00287100,0.01200000,-0.01487100,0.02982212,0.04594017,0.12290294,0.02019600
39490,20010213,APA,0.01119600,-0.00900000,0.02019600,-0.00886113,0.00928702,0.11562371,-0.01413400
39490,20010214,APA,-0.01613400,-0.00200000,-0.01413400,-0.02076252,-0.01142333,0.10133667,-0.02681000
39490,20010215,APA,-0.01881000,0.00800000,-0.02681000,-0.01597449,-0.01077695,0.05530122,0.02473500
39490,20010216,APA,0.00573500,-0.01900000,0.02473500,0.03439358,0.03991692,0.09163491,0.03687600
39490,20010220,APA,0.01987600,-0.01700000,0.03687600,0.07104038,0.03014864,0.07453094,0.01053400
39490,20010221,APA,-0.00846600,-0.01900000,0.01053400,0.03337032,0.03097595,0.03954253,-0.01330500
39490,20010222,APA,-0.01530500,-0.00200000,-0.01330500,-0.01405747,0.04533515,0.03390570,-0.01167000
39490,20010223,APA,-0.01767000,-0.00600000,-0.01167000,-0.03110880,0.01587669,0.00505774,-0.00617400
39490,20010226,APA,0.01082600,0.01700000,-0.00617400,-0.01213682,-0.01453687,0.02463455,0.00569300
39490,20010227,APA,-0.00230700,-0.00800000,0.00569300,-0.01705833,-0.04108700,-0.01058915,-0.01655300
39490,20010228,APA,-0.03055300,-0.01400000,-0.01655300,-0.00215819,-0.01970129,0.01129954,0.00905100
39490,20010301,APA,0.01005100,0.00100000,0.00905100,0.02356033,0.02339753,0.06788894,0.03197400
39490,20010302,APA,0.02597400,-0.00600000,0.03197400,0.06274939,0.04977988,0.06476447,0.02046700
39490,20010305,APA,0.02646700,0.00600000,0.02046700,0.08296883,0.07336955,0.05647627,0.02779600
39490,20010306,APA,0.03779600,0.01000000,0.02779600,0.07976693,0.12486829,0.07630170,0.02841400
39490,20010307,APA,0.03441400,0.00600000,0.02841400,0.07896073,0.13728204,0.11311467,0.01993000
39490,20010308,APA,0.02193000,0.00200000,0.01993000,0.05731207,0.10941003,0.13421430,0.00894200
