PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
70332,20010102,APC,-0.02560500,-0.02800000,0.00239500,,,,-0.11728300
70332,20010103,APC,-0.06728300,0.05000000,-0.11728300,-0.15118616,,,-0.04472800
70332,20010104,APC,-0.05572800,-0.01100000,-0.04472800,-0.09100627,,,0.07108200
70332,20010105,APC,0.04508200,-0.02600000,0.07108200,0.02966148,-0.08048912,,0.00623500
70332,20010108,APC,0.00423500,-0.00200000,0.00623500,0.03471495,-0.12334211,,-0.04102000
70332,20010109,APC,-0.03702000,0.00400000,-0.04102000,-0.05514935,-0.03058510,,-0.02054300
70332,20010110,APC,-0.01054300,0.01000000,-0.02054300,-0.05963802,0.01673825,,0.00229500
70332,20010111,APC,0.01229500,0.01000000,0.00229500,-0.01884553,-0.05364683,,-0.00047800
70332,20010112,APC,-0.00647800,-0.00600000,-0.00047800,0.02642952,-0.03663979,-0.11543293,0.02448100
70332,20010116,APC,0.03048100,0.00600000,0.02448100,-0.03597175,-0.05454398,-0.17461925,-0.05846900
70332,20010117,APC,-0.05646900,0.00200000,-0.05846900,-0.09237609,-0.09106898,-0.11737881,-0.05775500
70332,20010118,APC,-0.04375500,0.01400000,-0.05775500,-0.11177333,-0.09030746,-0.07447988,0.00172100
70332,20010119,APC,-0.00227900,-0.00400000,0.00172100,-0.01748768,-0.05307962,-0.10569568,0.04023900
70332,20010122,APC,0.04023900,0.00000000,0.04023900,0.04645191,-0.07288828,-0.10953761,0.00389200
70332,20010123,APC,0.01689200,0.01300000,0.00389200,0.01664438,-0.04089471,-0.09553797,-0.02675400
70332,20010124,APC,-0.02375400,0.00300000,-0.02675400,0.04512237,0.08915820,-0.00832845,0.06880800
70332,20010125,APC,0.06380800,-0.00500000,0.06880800,-0.00346427,0.04096636,-0.05335911,-0.04230600
70332,20010126,APC,-0.04430600,-0.00200000,-0.04230600,0.00395251,-0.01937762,-0.07262741,-0.01955200
70332,20010129,APC,-0.01255200,0.00700000,-0.01955200,-0.09471422,-0.05732362,-0.12820116,-0.03496600
70332,20010130,APC,-0.02796600,0.00700000,-0.03496600,-0.05566350,-0.03273832,-0.07318766,-0.00184700
70332,20010131,APC,-0.00784700,-0.00600000,-0.00184700,-0.08003135,-0.13717875,-0.06022092,-0.04489500
70332,20010201,APC,-0.03989500,0.00500000,-0.04489500,0.06613694,0.01024102,0.05154571,0.11731100
70332,20010202,APC,0.10031100,-0.01700000,0.11731100,0.08721926,0.04786054,0.02846043,0.01746100
70332,20010205,APC,0.02146100,0.00400000,0.01746100,0.17649236,0.12242047,0.06022165,0.03538800
70332,20010206,APC,0.03338800,-0.00200000,0.03538800,0.08288342,0.15564574,0.11854536,0.02817300
70332,20010207,APC,0.02017300,-0.00800000,0.02817300,0.06331767,0.20597572,0.04675134,-0.00048900
70332,20010208,APC,-0.00648900,-0.00600000,-0.00048900,0.07011104,0.12614620,0.13689287,0.04238900
70332,20010209,APC,0.02938900,-0.01300000,0.04238900,0.01904432,0.08383657,0.13429077,-0.02257400
70332,20010212,APC,-0.01057400,0.01200000,-0.02257400,0.06799063,0.09613812,0.22585153,0.04762600
70332,20010213,APC,0.03862600,-0.00900000,0.04762600,0.02328286,0.06547983,0.22732641,-0.00138100
70332,20010214,APC,-0.00338100,-0.00200000,-0.00138100,0.02597087,0.04605142,0.25931737,-0.01979900
70332,20010215,APC,-0.01179900,0.00800000,-0.01979900,0.01577609,0.04063880,0.16960605,0.03706000
70332,20010216,APC,0.01806000,-0.01900000,0.03706000,0.01690148,0.06230233,0.14705991,-0.00000600
70332,20010220,APC,-0.01700600,-0.01700000,-0.00000600,0.02161125,0.00130060,0.09288546,-0.01411000
70332,20010221,APC,-0.03311000,-0.01900000,-0.01411000,-0.02631520,-0.00992128,0.05192283,-0.01311700
70332,20010222,APC,-0.01511700,-0.00200000,-0.01311700,-0.03655043,-0.00113133,0.04203804,-0.01044500
70332,20010223,APC,-0.01644500,-0.00600000,-0.01044500,-0.03000872,-0.04252078,-0.00427507,-0.00649000
70332,20010226,APC,0.01051000,0.01700000,-0.00649000,-0.00124484,-0.02802518,0.03247941,0.01572100
70332,20010227,APC,0.00772100,-0.00800000,0.01572100,0.00048298,-0.02273486,-0.02038204,-0.00867400
70332,20010228,APC,-0.02267400,-0.01400000,-0.00867400,0.02153970,0.00475790,-0.00533899,0.01500000
70332,20010301,APC,0.01600000,0.00100000,0.01500000,0.03535489,0.04527152,0.04131383,0.02962200
70332,20010302,APC,0.02362200,-0.00600000,0.02962200,0.06367564,0.06947874,0.02301018,0.01769200
70332,20010305,APC,0.02369200,0.00600000,0.01769200,0.06830364,0.07385973,0.04250875,0.01900500
70332,20010306,APC,0.02900500,0.01000000,0.01900500,0.10076598,0.15079975,0.12225760,0.06001400
70332,20010307,APC,0.06601400,0.00600000,0.06001400,0.04367510,0.09454242,0.09886795,-0.03405900
70332,20010308,APC,-0.03205900,0.00200000,-0.03405900,0.04785890,0.08709649,0.13535558,0.02386800
70332,20010309,APC,-0.00113200,-0.02500000,0.02386800,-0.02235045,0.05109529,0.11957690,-0.01311500
70332,20010312,APC,-0.05611500,-0.04300000,-0.01311500,-0.01771148,0.00429017,0.07510426,-0.02927300
70332,20010313,APC,-0.01427300,0.01500000,-0.02927300,-0.02816648,-0.03679271,0.09641504,0.01258700
70332,20010314,APC,-0.01341300,-0.02600000,0.01258700,-0.04156706,-0.02950184,0.05490998,-0.02608300
70332,20010315,APC,-0.02008300,0.00600000,-0.02608300,-0.01481244,-0.05309622,0.02359231,-0.00207200
70332,20010316,APC,-0.02207200,-0.02000000,-0.00207200,-0.02525391,-0.04072248,0.00993117,0.00295800
70332,20010319,APC,0.02095800,0.01800000,0.00295800,0.06760899,0.05263570,0.05456809,0.06695000
70332,20010320,APC,0.04295000,-0.02400000,0.06695000,0.04543527,0.01661920,-0.02064164,-0.02303000
70332,20010321,APC,-0.04103000,-0.01800000,-0.02303000,0.00387298,0.00461463,-0.02394979,-0.03768000
70332,20010322,APC,-0.04168000,-0.00400000,-0.03768000,-0.04986760,0.01797208,-0.03682081,0.01130100
70332,20010323,APC,0.03130100,0.02000000,0.01130100,-0.01036067,0.03249407,-0.00917004,0.01775400
70332,20010326,APC,0.02875400,0.01100000,0.01775400,-0.02936691,-0.08948806,-0.03561915,-0.05643500
70332,20010327,APC,-0.03043500,0.02600000,-0.05643500,-0.02932453,-0.05692751,-0.03861209,0.00958600
70332,20010328,APC,-0.01441400,-0.02400000,0.00958600,-0.06298453,-0.03719669,-0.03085433,-0.01823700
70332,20010329,APC,-0.02323700,-0.00500000,-0.01823700,0.02364307,-0.01553455,0.00262565,0.03341900
70332,20010330,APC,0.04441900,0.01100000,0.03341900,-0.02247266,-0.06698052,-0.03577272,-0.03578600
70332,20010402,APC,-0.04778600,-0.01200000,-0.03578600,-0.02745808,-0.03457348,-0.11653770,-0.02337700
70332,20010403,APC,-0.05737700,-0.03400000,-0.02337700,-0.00936607,0.00396176,-0.05064195,0.05268900
