PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
28222,20010102,APD,-0.01372000,-0.02800000,0.01428000,,,,-0.04227200
28222,20010103,APD,0.00772800,0.05000000,-0.04227200,-0.00175162,,,0.02480400
28222,20010104,APD,0.01380400,-0.01100000,0.02480400,-0.00217655,,,0.01389700
28222,20010105,APD,-0.01210300,-0.02600000,0.01389700,0.03864106,0.01273907,,0.00046900
28222,20010108,APD,-0.00153100,-0.00200000,0.00046900,-0.02435135,-0.04128516,,-0.03927600
28222,20010109,APD,-0.03527600,0.00400000,-0.03927600,-0.04417118,-0.00553164,,-0.00523100
28222,20010110,APD,0.00476900,0.01000000,-0.00523100,-0.09013123,-0.07422498,,-0.04639200
28222,20010111,APD,-0.03639200,0.01000000,-0.04639200,-0.06167386,-0.09869376,,-0.01042000
28222,20010112,APD,-0.01642000,-0.00600000,-0.01042000,-0.06692461,-0.11003240,-0.09631484,-0.01100800
28222,20010116,APD,-0.00500800,0.00600000,-0.01100800,-0.03316182,-0.08410585,-0.12396372,-0.01206700
28222,20010117,APD,-0.01006700,0.00200000,-0.01206700,-0.04382696,-0.09893536,-0.10157684,-0.02078000
28222,20010118,APD,-0.00678000,0.01400000,-0.02078000,-0.04719871,-0.06775598,-0.13753603,-0.01477100
28222,20010119,APD,-0.01877100,-0.00400000,-0.01477100,-0.02519811,-0.04808517,-0.14458257,0.01043500
28222,20010122,APD,0.01043500,0.00000000,0.01043500,-0.01747989,-0.05028694,-0.15876421,-0.01300000
28222,20010123,APD,0.00000000,0.01300000,-0.01300000,0.01178759,-0.02444716,-0.10923597,0.01421200
28222,20010124,APD,0.01721200,0.00300000,0.01421200,0.01830109,0.01356341,-0.08704329,0.01684400
28222,20010125,APD,0.01184400,-0.00500000,0.01684400,0.00573198,0.00323706,-0.06530518,-0.02475600
28222,20010126,APD,-0.02675600,-0.00200000,-0.02475600,0.00335526,0.00458597,-0.04440635,0.01183200
28222,20010129,APD,0.01883200,0.00700000,0.01183200,0.00577234,0.03759209,-0.01414290,0.01944400
28222,20010130,APD,0.02644400,0.00700000,0.01944400,0.03038633,0.02161908,-0.00281389,-0.00109800
28222,20010131,APD,-0.00709800,-0.00600000,-0.00109800,0.01805276,0.00440675,0.01820931,-0.00023400
28222,20010201,APD,0.00476600,0.00500000,-0.00023400,0.01617241,0.04806622,0.05187479,0.01752700
28222,20010202,APD,0.00052700,-0.01700000,0.01752700,0.03911017,0.05791168,0.06365684,0.02154600
28222,20010205,APD,0.02554600,0.00400000,0.02154600,0.02716227,0.02578223,0.06399728,-0.01161100
28222,20010206,APD,-0.01361100,-0.00200000,-0.01161100,0.02709276,0.04451208,0.06674446,0.01737300
28222,20010207,APD,0.00937300,-0.00800000,0.01737300,0.03158954,0.07094462,0.07631602,0.02611900
28222,20010208,APD,0.02011900,-0.00600000,0.02611900,0.04239186,0.05222145,0.10138398,-0.00065400
28222,20010209,APD,-0.01365400,-0.01300000,-0.00065400,0.01282315,0.01834535,0.07619959,-0.01251300
28222,20010212,APD,-0.00051300,0.01200000,-0.01251300,0.00837473,0.05181309,0.07748160,0.02156700
28222,20010213,APD,0.01256700,-0.00900000,0.02156700,0.01039220,0.03559103,0.08024186,0.00124000
28222,20010214,APD,-0.00076000,-0.00200000,0.00124000,0.02769079,0.01433464,0.08558407,0.00467400
28222,20010215,APD,0.01267400,0.00800000,0.00467400,0.00907622,0.01822098,0.07040488,0.00323000
28222,20010216,APD,-0.01577000,-0.01900000,0.00323000,0.04849370,0.07120829,0.08893623,0.04090600
28222,20010220,APD,0.02390600,-0.01700000,0.04090600,0.02796592,0.03389943,0.08415231,-0.01453200
28222,20010221,APD,-0.03353200,-0.01900000,-0.01453200,0.02183724,0.02932590,0.06371086,-0.00339700
28222,20010222,APD,-0.00539700,-0.00200000,-0.00339700,-0.04519523,-0.00327557,0.01014357,-0.02862500
28222,20010223,APD,-0.03462500,-0.00600000,-0.02862500,-0.01093169,0.01465578,0.03249909,0.02234700
