PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
76605,20010102,AZO,-0.02193000,-0.02800000,0.00607000,,,,-0.01861000
76605,20010103,AZO,0.03139000,0.05000000,-0.01861000,0.00817045,,,0.01969600
76605,20010104,AZO,0.00869600,-0.01100000,0.01969600,0.01321378,,,0.01091400
76605,20010105,AZO,-0.01508600,-0.02600000,0.01091400,0.03429302,0.02322252,,0.00418800
76605,20010108,AZO,0.00218800,-0.00200000,0.00418800,0.00466349,0.00671468,,-0.01055000
76605,20010109,AZO,-0.00655000,0.00400000,-0.01055000,-0.00107056,0.02949187,,0.00538500
76605,20010110,AZO,0.01538500,0.01000000,0.00538500,-0.02417970,-0.00848695,,-0.01865800
76605,20010111,AZO,-0.00865800,0.01000000,-0.01865800,-0.00079242,-0.00724633,,0.01255000
76605,20010112,AZO,0.00655000,-0.00600000,0.01255000,-0.00563453,-0.01104230,0.01269246,0.00050800
76605,20010116,AZO,0.00650800,0.00600000,0.00050800,0.03078774,0.01745808,0.02467348,0.01739700
76605,20010117,AZO,0.01939700,0.00200000,0.01739700,-0.02212341,-0.02831534,0.00182465,-0.03937000
76605,20010118,AZO,-0.02537000,0.01400000,-0.03937000,-0.02704990,-0.01411059,-0.02251632,-0.00467700
76605,20010119,AZO,-0.00867700,-0.00400000,-0.00467700,-0.12199521,-0.10697248,-0.11528582,-0.08096300
76605,20010122,AZO,-0.08096300,0.00000000,-0.08096300,-0.07836240,-0.10055017,-0.11318718,0.00842900
76605,20010123,AZO,0.02142900,0.01300000,0.00842900,-0.10137808,-0.14242174,-0.13014168,-0.02864100
76605,20010124,AZO,-0.02564100,0.00300000,-0.02864100,0.00808875,-0.07849896,-0.10684023,0.02892300
76605,20010125,AZO,0.02392300,-0.00500000,0.02892300,0.00167952,-0.07239453,-0.08647319,0.00200000
76605,20010126,AZO,0.00000000,-0.00200000,0.00200000,0.03659310,0.01561910,-0.09445400,0.00533600
76605,20010129,AZO,0.01233600,0.00700000,0.00533600,-0.01015238,-0.01044894,-0.11121459,-0.01734000
76605,20010130,AZO,-0.01034000,0.00700000,-0.01734000,-0.03488085,-0.00455608,-0.14657894,-0.02273100
76605,20010131,AZO,-0.02873100,-0.00600000,-0.02273100,-0.05507660,-0.04836218,-0.12426098,-0.01575700
76605,20010201,AZO,-0.01075700,0.00500000,-0.01575700,-0.01967425,-0.03167206,-0.10175150,0.01855300
76605,20010202,AZO,0.00155300,-0.01700000,0.01855300,-0.01222859,-0.05116315,-0.03727396,-0.01524500
76605,20010205,AZO,-0.01124500,0.00400000,-0.01524500,-0.00864845,-0.04588475,-0.05614447,-0.01211800
76605,20010206,AZO,-0.01411800,-0.00200000,-0.01211800,-0.01530254,-0.01231435,-0.01674347,0.01197800
76605,20010207,AZO,0.00397800,-0.00800000,0.01197800,-0.00995849,-0.00655663,-0.05328163,-0.00984800
76605,20010208,AZO,-0.01584800,-0.00600000,-0.00984800,0.01205326,-0.01471872,-0.04507606,0.01018200
76605,20010209,AZO,-0.00281800,-0.01300000,0.01018200,0.01229969,0.01196362,-0.03902463,0.01222300
76605,20010212,AZO,0.02422300,0.01200000,0.01222300,0.04718239,0.04861787,0.00082090,0.02437200
76605,20010213,AZO,0.01537200,-0.00900000,0.02437200,0.04675191,0.04618228,0.03268858,0.00937600
