PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
77659,20010102,BBBY,-0.04748600,-0.02800000,-0.01948600,,,,0.11422300
77659,20010103,BBBY,0.16422300,0.05000000,0.11422300,0.06325195,,,-0.02174600
77659,20010104,BBBY,-0.03274600,-0.01100000,-0.02174600,0.08239081,,,-0.00264600
77659,20010105,BBBY,-0.02864600,-0.02600000,-0.00264600,-0.02937018,0.05235552,,-0.00604300
77659,20010108,BBBY,-0.00804300,-0.00200000,-0.00604300,-0.04885721,0.03052242,,-0.04183800
77659,20010109,BBBY,-0.03783800,0.00400000,-0.04183800,-0.03077878,-0.05294320,,0.01809000
77659,20010110,BBBY,0.02809000,0.01000000,0.01809000,-0.00255867,-0.01118176,,0.02278700
77659,20010111,BBBY,0.03278700,0.01000000,0.02278700,0.00568324,-0.04280938,,-0.03368300
77659,20010112,BBBY,-0.03968300,-0.00600000,-0.03368300,0.05287708,0.02720704,0.08173855,0.06562500
77659,20010116,BBBY,0.07162500,0.00600000,0.06562500,0.05359083,0.09868249,0.13422036,0.02370700
77659,20010117,BBBY,0.02570700,0.00200000,0.02370700,0.01919736,0.00663436,-0.04821143,-0.06663200
77659,20010118,BBBY,-0.05263200,0.01400000,-0.06663200,-0.05566605,-0.02780168,-0.03868240,-0.01187300
77659,20010119,BBBY,-0.01587300,-0.00400000,-0.01187300,-0.06508219,0.02053116,-0.02360076,0.01344100
77659,20010122,BBBY,0.01344100,0.00000000,0.01344100,-0.00630238,-0.05082662,-0.02554613,-0.00769500
77659,20010123,BBBY,0.00530500,0.01300000,-0.00769500,-0.02679187,-0.10383733,-0.01511711,-0.03202400
77659,20010124,BBBY,-0.02902400,0.00300000,-0.03202400,-0.01361174,-0.01220627,-0.00592622,0.02673900
77659,20010125,BBBY,0.02173900,-0.00500000,0.02673900,0.01984152,0.02600887,-0.00245414,0.02593600
77659,20010126,BBBY,0.02393600,-0.00200000,0.02593600,0.08971213,0.04766003,0.07035778,0.03455800
77659,20010129,BBBY,0.04155800,0.00700000,0.03455800,0.06510611,0.05861882,0.00577794,0.00297500
77659,20010130,BBBY,0.00997500,0.00700000,0.00297500,0.09593123,0.15397177,0.03807621,0.05538300
77659,20010131,BBBY,0.04938300,-0.00600000,0.05538300,0.02895060,0.09274502,0.07991400,-0.02852900
77659,20010201,BBBY,-0.02352900,0.00500000,-0.02852900,0.06739561,0.10811258,0.13778986,0.04109600
77659,20010202,BBBY,0.02409600,-0.01700000,0.04109600,0.00342745,0.06204620,0.11331371,-0.00870600
77659,20010205,BBBY,-0.00470600,0.00400000,-0.00870600,0.05600560,0.08272369,0.14607619,0.02327700
77659,20010206,BBBY,0.02127700,-0.00200000,0.02327700,0.02249477,0.03450706,0.19104659,0.00800000
77659,20010207,BBBY,0.00000000,-0.00800000,0.00800000,0.01119626,0.04324169,0.13780231,-0.01946300
77659,20010208,BBBY,-0.02546300,-0.00600000,-0.01946300,-0.03572962,-0.02222691,0.08089174,-0.02500500
77659,20010209,BBBY,-0.03800500,-0.01300000,-0.02500500,0.00483446,0.03597477,0.09893604,0.05219800
