PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
71563,20010102,BBT,-0.03182600,-0.02800000,-0.00382600,,,,-0.01366800
71563,20010103,BBT,0.03633200,0.05000000,-0.01366800,0.00570142,,,0.02268600
71563,20010104,BBT,0.01168600,-0.01100000,0.02268600,0.01623107,,,0.00619800
71563,20010105,BBT,-0.01980200,-0.02600000,0.00619800,0.02027643,0.00376064,,-0.00810100
71563,20010108,BBT,-0.01010100,-0.00200000,-0.00810100,-0.03534586,-0.02730595,,-0.03461200
71563,20010109,BBT,-0.03061200,0.00400000,-0.03461200,-0.01086708,0.01793095,,0.03329800
71563,20010110,BBT,0.04329800,0.01000000,0.03329800,-0.01281975,-0.01423638,,-0.01000000
71563,20010111,BBT,0.00000000,0.01000000,-0.01000000,0.00636921,-0.03687657,,-0.01599700
71563,20010112,BBT,-0.02199700,-0.00600000,-0.01599700,-0.01842409,-0.02133946,-0.01716631,0.00784100
71563,20010116,BBT,0.01384100,0.00600000,0.00784100,0.00311210,0.02649043,-0.00178572,0.01165200
71563,20010117,BBT,0.01365200,0.00200000,0.01165200,0.00209750,-0.02445946,-0.00588318,-0.01736700
71563,20010118,BBT,-0.00336700,0.01400000,-0.01736700,-0.01367000,-0.02207959,-0.03607334,-0.00782400
71563,20010119,BBT,-0.01182400,-0.00400000,-0.00782400,-0.02172802,-0.00246395,-0.03995418,0.00341900
71563,20010122,BBT,0.00341900,0.00000000,0.00341900,-0.00050131,-0.00634729,-0.02824058,0.00403600
71563,20010123,BBT,0.01703600,0.01300000,0.00403600,-0.03142334,-0.05644500,-0.03200491,-0.03817600
71563,20010124,BBT,-0.03517600,0.00300000,-0.03817600,-0.02288430,-0.02718514,-0.05185973,0.01194400
71563,20010125,BBT,0.00694400,-0.00500000,0.01194400,-0.01274007,-0.00551831,-0.02773921,0.01406900
71563,20010126,BBT,0.01206900,-0.00200000,0.01406900,0.02420466,-0.01102587,-0.01370094,-0.00202600
71563,20010129,BBT,0.00497400,0.00700000,-0.00202600,0.00756496,-0.01942988,-0.02620526,-0.00455900
71563,20010130,BBT,0.00244100,0.00700000,-0.00455900,-0.00953280,0.01657963,-0.04041964,-0.00292900
71563,20010131,BBT,-0.00892900,-0.00600000,-0.00292900,-0.01545599,-0.00353105,-0.03094307,-0.00800300
71563,20010201,BBT,-0.00300300,0.00500000,-0.00800300,0.01368296,0.00728212,0.00181198,0.02466700
71563,20010202,BBT,0.00766700,-0.01700000,0.02466700,0.01441185,0.00691102,-0.00400128,-0.00237000
71563,20010205,BBT,0.00163000,0.00400000,-0.00237000,0.01285024,0.00198563,-0.01715104,-0.00939500
71563,20010206,BBT,-0.01139500,-0.00200000,-0.00939500,-0.00131377,0.01530532,0.03185374,0.01047000
71563,20010207,BBT,0.00247000,-0.00800000,0.01047000,0.00914135,0.03124757,0.02805087,0.00819000
71563,20010208,BBT,0.00219000,-0.00600000,0.00819000,0.03829694,0.02646192,0.03364433,0.01982900
71563,20010209,BBT,0.00682900,-0.01300000,0.01982900,0.02357429,0.02438674,0.03117321,-0.00467500
71563,20010212,BBT,0.00732500,0.01200000,-0.00467500,0.01970570,0.03822616,0.03962635,0.00442100
71563,20010213,BBT,-0.00457900,-0.00900000,0.00442100,0.00372544,0.03173983,0.04668217,0.00389400
71563,20010214,BBT,0.00189400,-0.00200000,0.00389400,-0.00689524,0.00831981,0.03945594,-0.01529100
71563,20010215,BBT,-0.00729100,0.00800000,-0.01529100,0.01908297,0.01895763,0.04517853,0.03042600
71563,20010216,BBT,0.01142600,-0.01900000,0.03042600,0.01689106,0.02490209,0.04852901,0.00193800
71563,20010220,BBT,-0.01506200,-0.01700000,0.00193800,0.04883124,0.03778746,0.07470507,0.01763500
71563,20010221,BBT,-0.00136500,-0.01900000,0.01763500,-0.00354503,0.01107249,0.04142963,-0.02315700
71563,20010222,BBT,-0.02515700,-0.00200000,-0.02315700,0.00471765,0.03571336,0.04366737,0.01048800
71563,20010223,BBT,0.00448800,-0.00600000,0.01048800,-0.02090776,-0.00112309,0.01731070,-0.00806400
71563,20010226,BBT,0.00893600,0.01700000,-0.00806400,0.02355682,0.01739165,0.04160140,0.02073200
71563,20010227,BBT,0.01273200,-0.00800000,0.02073200,0.01419617,0.00117451,0.03845055,0.00142800
71563,20010228,BBT,-0.01257200,-0.01400000,0.00142800,0.02727584,0.03015560,0.03999094,0.00536600
