PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
16816,20170807,BHF,,0.00200000,,,,,-0.07609500
16816,20170808,BHF,-0.07809500,-0.00200000,-0.07609500,,,,-0.00316300
16816,20170809,BHF,-0.00316300,-0.00000000,-0.00316300,-0.03619933,,,0.04538200
16816,20170810,BHF,0.03138200,-0.01400000,0.04538200,0.03181889,,,-0.01006000
16816,20170811,BHF,-0.00906000,0.00100000,-0.01006000,0.01442680,-0.06550453,,-0.02052300
16816,20170814,BHF,-0.01052300,0.01000000,-0.02052300,-0.01938655,0.02265177,,0.01133200
16816,20170815,BHF,0.01133200,-0.00000000,0.01133200,-0.01911832,0.01589785,,-0.00979200
16816,20170816,BHF,-0.00879200,0.00100000,-0.00979200,-0.01021858,-0.04008976,,-0.01160900
16816,20170817,BHF,-0.02660900,-0.01500000,-0.01160900,0.00633293,-0.00282409,,0.02844300
16816,20170818,BHF,0.02644300,-0.00200000,0.02844300,0.00485619,0.00628539,-0.05868039,-0.01127000
16816,20170821,BHF,-0.01027000,0.00100000,-0.01127000,0.01316628,-0.00863896,0.01372757,-0.00384500
16816,20170822,BHF,0.00615500,0.01000000,-0.00384500,-0.02190226,-0.00565445,0.01002053,-0.00678800
16816,20170823,BHF,-0.00978800,-0.00300000,-0.00678800,-0.03204053,-0.01556288,-0.05513789,-0.02147800
16816,20170824,BHF,-0.02347800,-0.00200000,-0.02147800,-0.02618658,-0.04121978,-0.04369660,0.00197700
16816,20170825,BHF,0.00397700,0.00200000,0.00197700,-0.02312086,-0.03369860,-0.02707566,-0.00360100
16816,20170828,BHF,-0.00360100,0.00000000,-0.00360100,0.00495131,-0.02333860,-0.03163833,0.00658900
16816,20170829,BHF,0.00758900,0.00100000,0.00658900,0.02208278,0.00194204,-0.00377505,0.01903200
16816,20170830,BHF,0.02403200,0.00500000,0.01903200,0.01922055,0.01756940,0.00158358,-0.00652500
16816,20170831,BHF,-0.00052500,0.00600000,-0.00652500,0.01797423,0.02104466,-0.02145455,0.00535900
16816,20170901,BHF,0.00735900,0.00200000,0.00535900,-0.05283789,-0.02872135,-0.06185274,-0.05131500
16816,20170905,BHF,-0.05931500,-0.00800000,-0.05131500,-0.06512849,-0.05423212,-0.07638200,-0.01964200
16816,20170906,BHF,-0.01664200,0.00300000,-0.01964200,-0.07307712,-0.07475216,-0.07339816,-0.00338500
16816,20170907,BHF,-0.00338500,-0.00000000,-0.00338500,0.00650906,-0.04030104,-0.02407737,0.03005700
16816,20170908,BHF,0.02905700,-0.00100000,0.03005700,0.02630284,-0.04631366,-0.02679163,-0.00054900
16816,20170911,BHF,0.01045100,0.01100000,-0.00054900,0.02830239,0.00446745,-0.02481682,-0.00154800
16816,20170912,BHF,0.00145200,0.00300000,-0.00154800,-0.00019543,0.02677307,-0.02945881,0.00189900
16816,20170913,BHF,0.00289900,0.00100000,0.00189900,0.00625544,0.03641653,-0.04192363,0.00587800
16816,20170914,BHF,0.00487800,-0.00100000,0.00587800,0.02282382,0.02097665,-0.02090157,0.01490000
16816,20170915,BHF,0.01690000,0.00200000,0.01490000,0.03160463,0.03209514,-0.01582557,0.01049200
16816,20170918,BHF,0.01149200,0.00100000,0.01049200,0.01954718,0.02752286,0.03257313,-0.00589400
16816,20170919,BHF,-0.00489400,0.00100000,-0.00589400,0.01343999,0.03465889,0.06295343,0.00883700
16816,20170920,BHF,0.00983700,0.00100000,0.00883700,0.00922094,0.03504297,0.07326445,0.00630500
16816,20170921,BHF,0.00330500,-0.00300000,0.00630500,0.02594846,0.03065430,0.05278715,0.01061600
16816,20170922,BHF,0.01161600,0.00100000,0.01061600,0.02469890,0.02770200,0.06078835,0.00765600
16816,20170925,BHF,0.00565600,-0.00200000,0.00765600,0.05231973,0.06817129,0.09776074,0.03340100
16816,20170926,BHF,0.03340100,0.00000000,0.03340100,0.04839357,0.06611361,0.10332814,0.00671900
16816,20170927,BHF,0.01071900,0.00400000,0.00671900,0.02481786,0.04367954,0.08048034,-0.01503200
16816,20170928,BHF,-0.01403200,0.00100000,-0.01503200,-0.00638569,0.03498180,0.06695799,0.00212300
16816,20170929,BHF,0.00612300,0.00400000,0.00212300,-0.01391897,0.02630525,0.05504498,-0.00087500
16816,20171002,BHF,0.00312500,0.00400000,-0.00087500,-0.01350684,-0.02201248,0.04575273,-0.01462500
16816,20171003,BHF,-0.01262500,0.00200000,-0.01462500,-0.02872421,-0.04158471,0.02257709,-0.01328800
16816,20171004,BHF,-0.01228800,0.00100000,-0.01328800,-0.01590661,-0.01479159,0.02893002,0.01232500
16816,20171005,BHF,0.01832500,0.00600000,0.01232500,0.00728490,-0.00842526,0.02662407,0.00842900
16816,20171006,BHF,0.00742900,-0.00100000,0.00842900,0.00777518,-0.02026000,0.00540541,-0.01274900
16816,20171009,BHF,-0.01474900,-0.00200000,-0.01274900,-0.00675611,-0.00798845,-0.03007756,-0.00233300
16816,20171010,BHF,-0.00033300,0.00200000,-0.00233300,-0.00773200,0.01300559,-0.02925429,0.00748400
16816,20171011,BHF,0.00948400,0.00200000,0.00748400,0.00315971,-0.00130421,-0.01608391,-0.00195600
16816,20171012,BHF,-0.00395600,-0.00200000,-0.00195600,0.00399578,-0.01115257,-0.01962654,-0.00149600
16816,20171013,BHF,-0.00049600,0.00100000,-0.00149600,-0.00808329,-0.00300818,-0.02332665,-0.00464900
16816,20171016,BHF,-0.00264900,0.00200000,-0.00464900,-0.00069507,0.00481763,-0.00321238,0.00547400
