PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
75034,20010102,BHI,0.01954900,-0.02800000,0.04754900,,,,-0.08097300
75034,20010103,BHI,-0.03097300,0.05000000,-0.08097300,-0.04847028,,,-0.01639700
75034,20010104,BHI,-0.02739700,-0.01100000,-0.01639700,-0.07634659,,,0.01817500
75034,20010105,BHI,-0.00782500,-0.02600000,0.01817500,0.01276565,-0.01875655,,0.01146400
75034,20010108,BHI,0.00946400,-0.00200000,0.01146400,0.05379385,-0.04296279,,0.02412500
75034,20010109,BHI,0.02812500,0.00400000,0.02412500,0.03215244,0.03275375,,-0.00392100
75034,20010110,BHI,0.00607900,0.01000000,-0.00392100,0.03206958,0.06234635,,0.01114800
75034,20010111,BHI,0.02114800,0.01000000,0.01114800,0.01641604,0.05340210,,0.00895900
75034,20010112,BHI,0.00295900,-0.00600000,0.00895900,0.03535390,0.05710684,0.03575061,0.01464900
75034,20010116,BHI,0.02064900,0.00600000,0.01464900,-0.03007002,-0.02362285,-0.06683845,-0.05257800
75034,20010117,BHI,-0.05057800,0.00200000,-0.05257800,-0.10176993,-0.08355256,-0.05057814,-0.06422800
75034,20010118,BHI,-0.05022800,0.01400000,-0.06422800,-0.09144363,-0.06961940,-0.01056058,0.02483300
75034,20010119,BHI,0.02083300,-0.00400000,0.02483300,-0.02516431,-0.06375800,-0.01381764,0.01569900
75034,20010122,BHI,0.01569900,0.00000000,0.01569900,0.04393675,-0.07569701,-0.02330609,0.00245600
75034,20010123,BHI,0.01545600,0.01300000,0.00245600,0.04047626,-0.00178908,-0.02602677,0.02135300
75034,20010124,BHI,0.02435300,0.00300000,0.02135300,0.05859304,0.10205960,0.01207094,0.03323200
75034,20010125,BHI,0.02823200,-0.00500000,0.03323200,0.04054061,0.06013733,-0.01357370,-0.01389600
75034,20010126,BHI,-0.01589600,-0.00200000,-0.01389600,-0.02593464,-0.00283142,-0.06748005,-0.04441600
75034,20010129,BHI,-0.03741600,0.00700000,-0.04441600,-0.05479642,-0.00176345,-0.07812685,0.00349500
75034,20010130,BHI,0.01049500,0.00700000,0.00349500,-0.03645339,-0.01785922,-0.02008487,0.00479200
75034,20010131,BHI,-0.00120800,-0.00600000,0.00479200,-0.01218795,-0.06959274,0.02600348,-0.02035700
75034,20010201,BHI,-0.01535700,0.00500000,-0.02035700,0.03053395,-0.01091765,0.04821197,0.04655700
75034,20010202,BHI,0.02955700,-0.01700000,0.04655700,0.05098208,0.05970354,0.05767864,0.02470800
75034,20010205,BHI,0.02870800,0.00400000,0.02470800,0.10346527,0.08647019,0.08544569,0.02967400
75034,20010206,BHI,0.02767400,-0.00200000,0.02967400,0.04693254,0.07325316,0.05447513,-0.00738800
75034,20010207,BHI,-0.01538800,-0.00800000,-0.00738800,0.02313264,0.09553223,0.02234310,0.00140300
75034,20010208,BHI,-0.00459700,-0.00600000,0.00140300,0.02269654,0.07770135,0.06587885,0.02916200
75034,20010209,BHI,0.01616200,-0.01300000,0.02916200,0.00438997,0.02612996,0.08618721,-0.02608800
75034,20010212,BHI,-0.01408800,0.01200000,-0.02608800,0.01153018,0.00539878,0.09017763,0.00853900
75034,20010213,BHI,-0.00046100,-0.00900000,0.00853900,-0.03519695,-0.00516171,0.06648403,-0.01806000
75034,20010214,BHI,-0.02006000,-0.00200000,-0.01806000,-0.07114138,-0.06827953,0.02229180,-0.06282400
