PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
87267,20010102,BLK,-0.04761900,-0.02800000,-0.01961900,,,,-0.05468800
87267,20010103,BLK,-0.00468800,0.05000000,-0.05468800,-0.07187381,,,0.00001100
87267,20010104,BLK,-0.01098900,-0.01100000,0.00001100,-0.11770025,,,-0.06606300
87267,20010105,BLK,-0.09206300,-0.02600000,-0.06606300,-0.04456145,-0.11211571,,0.02297900
87267,20010108,BLK,0.02097900,-0.00200000,0.02297900,-0.05371746,-0.10565255,,-0.00913700
87267,20010109,BLK,-0.00513700,0.00400000,-0.00913700,0.04742834,-0.02352229,,0.03302900
87267,20010110,BLK,0.04302900,0.01000000,0.03302900,-0.02075567,-0.06539729,,-0.04300300
87267,20010111,BLK,-0.03300300,0.01000000,-0.04300300,0.00495362,0.01896594,,0.01623900
87267,20010112,BLK,0.01023900,-0.00600000,0.01623900,-0.00666294,0.01695246,-0.10009009,0.02102700
87267,20010116,BLK,0.02702700,0.00600000,0.02102700,0.09701274,0.08633097,-0.02961550,0.05721100
87267,20010117,BLK,0.05921100,0.00200000,0.05721100,0.06909290,0.03985655,0.01377949,-0.01089400
87267,20010118,BLK,0.00310600,0.01400000,-0.01089400,0.03573426,0.07510410,0.00368145,-0.00993200
87267,20010119,BLK,-0.01393200,-0.00400000,-0.00993200,-0.01770747,0.06135724,0.08281061,0.00314000
87267,20010122,BLK,0.00314000,0.00000000,0.00314000,-0.01049552,0.03573723,0.05458418,-0.00361000
87267,20010123,BLK,0.00939000,0.01300000,-0.00361000,-0.03173709,-0.05253927,0.03035155,-0.03090700
87267,20010124,BLK,-0.02790700,0.00300000,-0.03090700,-0.02191362,-0.02858684,0.00965836,0.01297400
87267,20010125,BLK,0.00797400,-0.00500000,0.01297400,-0.01459446,-0.01521655,0.05923443,0.00358200
87267,20010126,BLK,0.00158200,-0.00200000,0.00358200,0.05266978,0.01686395,0.08054175,0.03565400
87267,20010129,BLK,0.04265400,0.00700000,0.03565400,0.02063763,0.00186306,0.03807039,-0.01815100
87267,20010130,BLK,-0.01115100,0.00700000,-0.01815100,0.00107195,0.01777274,-0.03528396,-0.01532900
87267,20010131,BLK,-0.02132900,-0.00600000,-0.01532900,-0.01202326,0.02699606,-0.00248968,0.02205400
87267,20010201,BLK,0.02705400,0.00500000,0.02205400,0.05993374,0.07846595,0.06282083,0.05358500
87267,20010202,BLK,0.03658500,-0.01700000,0.05358500,0.03518711,0.00112248,0.01790218,-0.03929400
87267,20010205,BLK,-0.03529400,0.00400000,-0.03929400,0.01991970,0.02610724,0.02824962,0.00687800
87267,20010206,BLK,0.00487800,-0.00200000,0.00687800,0.01449439,0.09168274,0.11084863,0.04829100
87267,20010207,BLK,0.04029100,-0.00800000,0.04829100,0.06470375,0.07756345,0.10672789,0.00926600
87267,20010208,BLK,0.00326600,-0.00600000,0.00926600,0.05104133,0.01777217,0.09560923,-0.00560500
87267,20010209,BLK,-0.01860500,-0.01300000,-0.00560500,0.01951401,0.07535310,0.07599974,0.01619900
87267,20010212,BLK,0.02819900,0.01200000,0.01619900,0.02409888,0.08220744,0.10851550,0.01384000
87267,20010213,BLK,0.00484000,-0.00900000,0.01384000,0.02044080,0.02365136,0.11542082,-0.00946800
87267,20010214,BLK,-0.01146800,-0.00200000,-0.00946800,0.00330080,0.01352471,0.09142040,-0.00103900
87267,20010215,BLK,0.00696100,0.00800000,-0.00103900,-0.02127381,0.00790631,0.02544004,-0.01095400
87267,20010216,BLK,-0.02995400,-0.01900000,-0.01095400,-0.05788413,-0.05331896,0.01601466,-0.04713300
87267,20010220,BLK,-0.06413300,-0.01700000,-0.04713300,-0.03885766,-0.04867948,0.02671855,0.01823900
87267,20010221,BLK,-0.00076100,-0.01900000,0.01823900,-0.03579059,-0.04655662,-0.02430919,-0.00714400
87267,20010222,BLK,-0.00914400,-0.00200000,-0.00714400,0.03572040,-0.02254480,-0.01006234,0.02497000
87267,20010223,BLK,0.01897000,-0.00600000,0.02497000,0.06046597,0.02711800,0.03474565,0.04211900
87267,20010226,BLK,0.05911900,0.01700000,0.04211900,0.04820210,0.05882004,0.00106315,-0.01812800
87267,20010227,BLK,-0.02612800,-0.00800000,-0.01812800,-0.00354468,0.01396882,-0.03542302,-0.02502400
87267,20010228,BLK,-0.03902400,-0.01400000,-0.02502400,-0.02184449,0.04330930,-0.00688042,0.02184300
87267,20010301,BLK,0.02284300,0.00100000,0.02184300,0.00698547,0.02935990,0.00457677,0.01121100
87267,20010302,BLK,0.00521100,-0.00600000,0.01121100,0.00309731,-0.03938641,-0.01283642,-0.02945100
87267,20010305,BLK,-0.02345100,0.00600000,-0.02945100,-0.02733342,-0.03096567,0.02640981,-0.00898900
87267,20010306,BLK,0.00101100,0.01000000,-0.00898900,-0.03721430,-0.00434864,0.00985488,0.00157600
87267,20010307,BLK,0.00757600,0.00600000,0.00157600,-0.00823369,-0.02674030,0.01646669,-0.00074700
87267,20010308,BLK,0.00125300,0.00200000,-0.00074700,-0.03331717,-0.07043029,-0.04245825,-0.03382400
87267,20010309,BLK,-0.05882400,-0.02500000,-0.03382400,0.01819090,0.01136756,-0.02673364,0.05443600
87267,20010312,BLK,0.01143600,-0.04300000,0.05443600,0.02889797,0.02993611,-0.00064774,0.01024300
87267,20010313,BLK,0.02524300,0.01500000,0.01024300,0.09645306,0.05816302,0.05488175,0.03138600
87267,20010314,BLK,0.00538600,-0.02600000,0.03138600,0.02412728,0.04172897,0.01655205,-0.01773500
87267,20010315,BLK,-0.01173500,0.00600000,-0.01773500,0.01564382,0.07922655,0.00784214,0.00218900
87267,20010316,BLK,-0.01781100,-0.02000000,0.00218900,-0.03551385,0.00570145,0.01675977,-0.02062800
87267,20010319,BLK,-0.00262800,0.01800000,-0.02062800,-0.03952017,-0.02588451,0.00307540,-0.02237700
87267,20010320,BLK,-0.04637700,-0.02400000,-0.02237700,-0.03087472,-0.04481599,0.01191772,0.01136800
87267,20010321,BLK,-0.00663200,-0.01800000,0.01136800,-0.05868306,-0.07469993,-0.03269694,-0.05024200
