PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
57568,20010102,BLL,-0.03527800,-0.02800000,-0.00727800,,,,0.01047800
57568,20010103,BLL,0.06047800,0.05000000,0.01047800,0.00962222,,,0.00702100
57568,20010104,BLL,-0.00397900,-0.01100000,0.00702100,0.03074294,,,0.01268400
57568,20010105,BLL,-0.01331600,-0.02600000,0.01268400,0.01741934,0.02019229,,-0.00204900
57568,20010108,BLL,-0.00404900,-0.00200000,-0.00204900,0.01606959,0.03435350,,0.00548500
57568,20010109,BLL,0.00948500,0.00400000,0.00548500,0.02442434,0.04370909,,0.02087200
57568,20010110,BLL,0.03087200,0.01000000,0.02087200,0.00698398,0.01775722,,-0.01911500
57568,20010111,BLL,-0.00911500,0.01000000,-0.01911500,-0.01263811,-0.00925310,,-0.01371100
57568,20010112,BLL,-0.01971100,-0.00600000,-0.01371100,-0.05944363,-0.03498500,-0.01435263,-0.02744800
57568,20010116,BLL,-0.02144800,0.00600000,-0.02744800,-0.05452698,-0.05431965,-0.02180431,-0.01432900
57568,20010117,BLL,-0.01232900,0.00200000,-0.01432900,-0.05697733,-0.08865243,-0.04544620,-0.01538700
57568,20010118,BLL,-0.00138700,0.01400000,-0.01538700,-0.06675899,-0.10522674,-0.08865868,-0.03766700
57568,20010119,BLL,-0.04166700,-0.00400000,-0.03766700,-0.06819678,-0.10784883,-0.11799638,-0.01594200
57568,20010122,BLL,-0.01594200,0.00000000,-0.01594200,-0.04228139,-0.07169509,-0.10678161,0.01203700
57568,20010123,BLL,0.02503700,0.01300000,0.01203700,0.00280133,-0.05110847,-0.10520165,0.00705700
57568,20010124,BLL,0.01005700,0.00300000,0.00705700,-0.02274092,-0.07497086,-0.15955056,-0.04051900
57568,20010125,BLL,-0.04551900,-0.00500000,-0.04051900,-0.07644937,-0.08140098,-0.17997348,-0.04420000
57568,20010126,BLL,-0.04620000,-0.00200000,-0.04420000,-0.08047323,-0.06401159,-0.16783687,0.00300000
57568,20010129,BLL,0.01000000,0.00700000,0.00300000,-0.05989032,-0.09205147,-0.16017484,-0.01863400
57568,20010130,BLL,-0.01163400,0.00700000,-0.01863400,-0.00896530,-0.09144598,-0.14031839,0.00675100
57568,20010131,BLL,0.00075100,-0.00600000,0.00675100,0.00641335,-0.03571810,-0.10908120,0.01852400
57568,20010201,BLL,0.02352400,0.00500000,0.01852400,0.01801313,0.00246690,-0.07876960,-0.00671600
57568,20010202,BLL,-0.02371600,-0.01700000,-0.00671600,0.02615248,0.01411432,-0.05011512,0.01478300
