PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
11976,20010102,BMCS,-0.02678600,-0.02800000,0.00121400,,,,0.09678900
11976,20010103,BMCS,0.14678900,0.05000000,0.09678900,0.58437612,,,0.43900001
11976,20010104,BMCS,0.42800000,-0.01100000,0.43900001,0.58946700,,,0.00359100
11976,20010105,BMCS,-0.02240900,-0.02600000,0.00359100,0.39864038,0.53669309,,-0.02378800
11976,20010108,BMCS,-0.02578800,-0.00200000,-0.02378800,0.05487211,0.67460818,,0.07835300
11976,20010109,BMCS,0.08235300,0.00400000,0.07835300,0.13125447,0.62114282,,0.07423900
11976,20010110,BMCS,0.08423900,0.01000000,0.07423900,0.23758438,0.20612401,,0.06518801
11976,20010111,BMCS,0.07518800,0.01000000,0.06518801,0.13547709,0.19603514,,-0.00798600
11976,20010112,BMCS,-0.01398600,-0.00600000,-0.00798600,0.06271771,0.23467958,0.90586068,0.00582000
11976,20010116,BMCS,0.01182000,0.00600000,0.00582000,-0.04625329,0.09202664,0.84486703,-0.04405600
11976,20010117,BMCS,-0.04205600,0.00200000,-0.04405600,0.12444768,0.18938734,0.93964873,0.16892700
11976,20010118,BMCS,0.18292700,0.01400000,0.16892700,0.18897107,0.18620764,0.43234467,0.06379400
11976,20010119,BMCS,0.05979400,-0.00400000,0.06379400,0.21932489,0.17345387,0.40980283,-0.01945500
11976,20010122,BMCS,-0.01945500,0.00000000,-0.01945500,-0.00482379,0.11273182,0.38248402,-0.04673000
11976,20010123,BMCS,-0.03373000,0.01300000,-0.04673000,-0.07440430,0.15434618,0.26639416,-0.00916000
11976,20010124,BMCS,-0.00616000,0.00300000,-0.00916000,-0.06056213,-0.01928589,0.16725421,-0.00533100
11976,20010125,BMCS,-0.01033100,-0.00500000,-0.00533100,-0.03705691,-0.10037636,0.06760732,-0.02305200
11976,20010126,BMCS,-0.02505200,-0.00200000,-0.02305200,0.01656741,-0.03980916,0.12879685,0.04653300
11976,20010129,BMCS,0.05353300,0.00700000,0.04653300,0.01303080,-0.00176889,0.11184434,-0.00903300
11976,20010130,BMCS,-0.00203300,0.00700000,-0.00903300,-0.01224785,-0.04017594,0.10706078,-0.04695300
11976,20010131,BMCS,-0.05295300,-0.00600000,-0.04695300,0.00419934,0.02659925,0.00677257,0.06381699
11976,20010201,BMCS,0.06881700,0.00500000,0.06381699,-0.05938042,-0.02576248,-0.12335989,-0.07153100
11976,20010202,BMCS,-0.08853100,-0.01700000,-0.07153100,-0.00046874,-0.05582521,-0.09401923,0.01366000
11976,20010205,BMCS,0.01766000,0.00400000,0.01366000,-0.05336874,-0.04097028,-0.04304725,0.00633800
11976,20010206,BMCS,0.00433800,-0.00200000,0.00633800,0.05238114,0.03739061,-0.00352855,0.03175800
11976,20010207,BMCS,0.02375800,-0.00800000,0.03175800,0.11136842,0.04488048,0.07240060,0.07140100
11976,20010208,BMCS,0.06540100,-0.00600000,0.07140100,0.08508598,0.10650928,0.07819348,-0.01670300
11976,20010209,BMCS,-0.02970300,-0.01300000,-0.01670300,0.09153776,0.13202920,0.06883751,0.03698000
11976,20010212,BMCS,0.04898000,0.01200000,0.03698000,0.01608676,0.12114895,0.07425144,-0.00267300
11976,20010213,BMCS,-0.01167300,-0.00900000,-0.00267300,0.01544091,0.06868613,0.10673113,-0.01768500
11976,20010214,BMCS,-0.01968500,-0.00200000,-0.01768500,-0.03194937,-0.01359887,0.03087322,-0.01201600
11976,20010215,BMCS,-0.00401600,0.00800000,-0.01201600,-0.03805157,-0.00605044,0.09887020,-0.00922600
11976,20010216,BMCS,-0.02822600,-0.01900000,-0.00922600,0.02193821,0.00167241,0.12879263,0.04397100
11976,20010220,BMCS,0.02697100,-0.01700000,0.04397100,0.02577278,-0.00284332,0.11217315,-0.00726300
11976,20010221,BMCS,-0.02626300,-0.01900000,-0.00726300,0.08947227,0.06640982,0.13513835,0.05386700
11976,20010222,BMCS,0.05186700,-0.00200000,0.05386700,-0.02164931,0.01115171,-0.00180881,-0.06500600
11976,20010223,BMCS,-0.07100600,-0.00600000,-0.06500600,0.04506520,0.08105851,0.07384878,0.06155600
11976,20010226,BMCS,0.07855600,0.01700000,0.06155600,-0.01464584,0.03032997,0.03085078,-0.00578000
11976,20010227,BMCS,-0.01378000,-0.00800000,-0.00578000,0.02861420,0.01320530,0.00972366,-0.02392400
11976,20010228,BMCS,-0.03792400,-0.01400000,-0.02392400,-0.04208245,-0.05090467,0.01390520,-0.01344800
11976,20010301,BMCS,-0.01244800,0.00100000,-0.01344800,-0.08485660,-0.03647005,-0.02359429,-0.05072300
11976,20010302,BMCS,-0.05672300,-0.00600000,-0.05072300,-0.10054970,-0.12472505,-0.05209211,-0.03940800
11976,20010305,BMCS,-0.03340800,0.00600000,-0.03940800,-0.03517491,-0.07067318,-0.04129621,0.05912400
11976,20010306,BMCS,0.06912400,0.01000000,0.05912400,0.00456829,-0.06060949,-0.04717913,-0.01246600
11976,20010307,BMCS,-0.00646600,0.00600000,-0.01246600,-0.05265487,-0.13780458,-0.18120238,-0.09310599
11976,20010308,BMCS,-0.09110600,0.00200000,-0.09310599,-0.17246676,-0.16117980,-0.19006995,-0.07762500
11976,20010309,BMCS,-0.10262500,-0.02500000,-0.07762500,-0.20609041,-0.17576302,-0.26864296,-0.06338300
11976,20010312,BMCS,-0.10638300,-0.04300000,-0.06338300,,,,
