PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
43772,20010102,BMS,-0.04096800,-0.02800000,-0.01296800,,,,-0.02669900
43772,20010103,BMS,0.02330100,0.05000000,-0.02669900,-0.05034095,,,-0.01177000
43772,20010104,BMS,-0.02277000,-0.01100000,-0.01177000,-0.06970180,,,-0.03225200
43772,20010105,BMS,-0.05825200,-0.02600000,-0.03225200,-0.03725964,-0.07427181,,0.00612400
43772,20010108,BMS,0.00412400,-0.00200000,0.00612400,-0.05943473,-0.09695919,,-0.03480100
43772,20010109,BMS,-0.03080100,0.00400000,-0.03480100,-0.03263023,-0.07352760,,-0.00364400
43772,20010110,BMS,0.00635600,0.01000000,-0.00364400,-0.04060765,-0.06545890,,-0.00157900
43772,20010111,BMS,0.00842100,0.01000000,-0.00157900,0.00296999,-0.02630812,,0.00808800
43772,20010112,BMS,0.00208800,-0.00600000,0.00808800,0.00687860,-0.03235700,-0.10540929,0.00025000
43772,20010116,BMS,0.00625000,0.00600000,0.00025000,-0.00196411,-0.00727310,-0.10576815,-0.01028200
43772,20010117,BMS,-0.00828200,0.00200000,-0.01028200,-0.04087417,-0.03457224,-0.10661142,-0.03070100
43772,20010118,BMS,-0.01670100,0.01400000,-0.03070100,-0.05751210,-0.04950508,-0.11228423,-0.01723100
43772,20010119,BMS,-0.02123100,-0.00400000,-0.01723100,-0.01620609,-0.02636847,-0.05287925,0.03253800
43772,20010122,BMS,0.03253800,0.00000000,0.03253800,0.00166824,-0.03961164,-0.07245608,-0.01300000
43772,20010123,BMS,0.00000000,0.01300000,-0.01300000,0.00131450,-0.04701854,-0.05517907,-0.01770600
43772,20010124,BMS,-0.01470600,0.00300000,-0.01770600,0.01635204,0.03130207,-0.00377283,0.04764400
43772,20010125,BMS,0.04264400,-0.00500000,0.04764400,0.01451501,0.03444698,-0.01679496,-0.01436000
43772,20010126,BMS,-0.01636000,-0.00200000,-0.01436000,0.06613695,0.03442049,0.00734332,0.03250100
43772,20010129,BMS,0.03950100,0.00700000,0.03250100,0.03468651,0.06531221,0.02435867,0.01668000
43772,20010130,BMS,0.02368000,0.00700000,0.01668000,0.09008102,0.12522168,0.07554581,0.03788500
43772,20010131,BMS,0.03188500,-0.00600000,0.03788500,0.05099733,0.06975764,0.10406929,-0.00439400
43772,20010201,BMS,0.00060600,0.00500000,-0.00439400,0.05458680,0.10725223,0.14620699,0.02093600
43772,20010202,BMS,0.00393600,-0.01700000,0.02093600,0.01116294,0.06670341,0.10423983,-0.00550800
43772,20010205,BMS,-0.00150800,0.00400000,-0.00550800,0.01383123,0.04731665,0.11514284,-0.00162400
43772,20010206,BMS,-0.00362400,-0.00200000,-0.00162400,0.01657859,0.03318316,0.16033206,0.02376200
43772,20010207,BMS,0.01576200,-0.00800000,0.02376200,0.02891073,0.04422428,0.11554451,0.00689500
43772,20010208,BMS,0.00089500,-0.00600000,0.00689500,0.04829130,0.04111577,0.14994110,0.01777000
43772,20010209,BMS,0.00477000,-0.01300000,0.01777000,0.01729470,0.03941071,0.10732177,-0.00754900
43772,20010212,BMS,0.00445100,0.01200000,-0.00754900,0.02326450,0.05396475,0.10183483,0.01284100
43772,20010213,BMS,0.00384100,-0.00900000,0.01284100,-0.00622650,0.01835132,0.05121340,-0.01153700
43772,20010214,BMS,-0.01353700,-0.00200000,-0.01153700,0.02576456,0.03636912,0.08096822,0.02476200
43772,20010215,BMS,0.03276200,0.00800000,0.02476200,0.02805614,0.03363535,0.07487634,0.01521600
43772,20010216,BMS,-0.00378400,-0.01900000,0.01521600,0.06192580,0.06252168,0.10180696,0.02196600
43772,20010220,BMS,0.00496600,-0.01700000,0.02196600,0.04235652,0.05525850,0.10827292,0.00620900
43772,20010221,BMS,-0.01279100,-0.01900000,0.00620900,0.03000987,0.06937738,0.08686236,0.00229500
43772,20010222,BMS,0.00029500,-0.00200000,0.00229500,0.00706943,0.04292924,0.07843967,-0.00135900
43772,20010223,BMS,-0.00735900,-0.00600000,-0.00135900,0.00143094,0.02945485,0.06286615,0.00049700
43772,20010226,BMS,0.01749700,0.01700000,0.00049700,-0.00192705,0.00658309,0.06812347,-0.00103500
43772,20010227,BMS,-0.00903500,-0.00800000,-0.00103500,0.01415696,0.01497388,0.06960625,0.01458800
43772,20010228,BMS,0.00058800,-0.01400000,0.01458800,-0.00881905,-0.00977756,0.05868371,-0.02245800
43772,20010301,BMS,-0.02145800,0.00100000,-0.02245800,0.01569991,0.01528081,0.05748584,0.02402300
43772,20010302,BMS,0.01802300,-0.00600000,0.02402300,0.00873535,0.02211024,0.05099984,0.00757300
43772,20010305,BMS,0.01357300,0.00600000,0.00757300,0.01947385,0.01112015,0.01755301,-0.01232900
43772,20010306,BMS,-0.00232900,0.01000000,-0.01232900,0.02328454,0.02440597,0.03967814,0.02784900
43772,20010307,BMS,0.03384900,0.00600000,0.02784900,0.02091781,0.05403720,0.04300142,0.00533800
43772,20010308,BMS,0.00733800,0.00200000,0.00533800,0.05395495,0.04979566,0.06530603,0.02051700
43772,20010309,BMS,-0.00448300,-0.02500000,0.02051700,0.05602667,0.07216868,0.09325653,0.03117900
43772,20010312,BMS,-0.01182100,-0.04300000,0.03117900,0.01930585,0.05176015,0.06278709,-0.03265900
43772,20010313,BMS,-0.01765900,0.01500000,-0.03265900,-0.00464233,0.01982222,0.04320201,-0.00415400
43772,20010314,BMS,-0.03015400,-0.02600000,-0.00415400,-0.04837306,0.00281045,0.05315861,-0.01287600
43772,20010315,BMS,-0.00687600,0.00600000,-0.01287600,0.00148060,0.00083592,0.04732282,0.01849500
43772,20010316,BMS,-0.00150500,-0.02000000,0.01849500,0.00295127,-0.03320888,0.03766174,-0.00292600
43772,20010319,BMS,0.01507400,0.01800000,-0.00292600,0.03984963,0.02215399,0.07167906,0.02400000
43772,20010320,BMS,0.00000000,-0.02400000,0.02400000,0.01888977,0.02434113,0.04204795,-0.00219600
43772,20010321,BMS,-0.02019600,-0.01800000,-0.00219600,0.00471215,0.01996009,0.02125522,-0.01691600
43772,20010322,BMS,-0.02091600,-0.00400000,-0.01691600,-0.03565032,-0.01473261,-0.01292544,-0.01721400
43772,20010323,BMS,0.00278600,0.02000000,-0.01721400,-0.02709622,-0.00459793,-0.03710020,0.00752400
43772,20010326,BMS,0.01852400,0.01100000,0.00752400,-0.02583441,-0.04463355,-0.02064674,-0.01539100
43772,20010327,BMS,0.01060900,0.02600000,-0.01539100,0.01014584,-0.02456953,0.00080341,0.01740100
43772,20010328,BMS,-0.00659900,-0.02400000,0.01740100,0.00787400,-0.00178032,0.01877749,0.00530200
