PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
85963,20010102,BRCM,-0.09375000,-0.02800000,-0.06575000,,,,0.35476199
85963,20010103,BRCM,0.40476200,0.05000000,0.35476199,0.18407849,,,-0.05153700
85963,20010104,BRCM,-0.06253700,-0.01100000,-0.05153700,0.13140581,,,-0.10617001
85963,20010105,BRCM,-0.13217001,-0.02600000,-0.10617001,-0.08760249,0.13118651,,0.07599400
85963,20010108,BRCM,0.07399400,-0.00200000,0.07599400,-0.00835994,0.26075337,,0.03412700
85963,20010109,BRCM,0.03812700,0.00400000,0.03412700,0.25163680,0.05319522,,0.12337600
85963,20010110,BRCM,0.13337600,0.01000000,0.12337600,0.21528356,0.15967862,,0.04343900
85963,20010111,BRCM,0.05343900,0.01000000,0.04343900,0.25599457,0.39994829,,0.06968100
85963,20010112,BRCM,0.06368100,-0.00600000,0.06968100,0.06223686,0.23739496,0.39842008,-0.04912500
85963,20010116,BRCM,-0.04312500,0.00600000,-0.04912500,0.10920855,0.30457267,0.65460901,0.08972900
85963,20010117,BRCM,0.09172900,0.00200000,0.08972900,0.01542147,0.13644250,0.19485635,-0.02079900
85963,20010118,BRCM,-0.00679900,0.01400000,-0.02079900,0.09143061,0.11111821,0.28995085,0.02160400
85963,20010119,BRCM,0.01760400,-0.00400000,0.02160400,-0.00897244,0.02762752,0.44628076,-0.00961100
85963,20010122,BRCM,-0.00961100,0.00000000,-0.00961100,0.03506170,0.10690695,0.37822543,0.02290500
85963,20010123,BRCM,0.03590500,0.01300000,0.02290500,-0.05544309,-0.05528236,0.23919321,-0.06670000
85963,20010124,BRCM,-0.06370000,0.00300000,-0.06670000,-0.20358372,-0.19322314,-0.08725406,-0.16258401
85963,20010125,BRCM,-0.16758400,-0.00500000,-0.16258401,-0.17163333,-0.16319007,-0.07115865,0.05969200
85963,20010126,BRCM,0.05769200,-0.00200000,0.05969200,-0.11752008,-0.16010422,-0.13934556,-0.00472700
85963,20010129,BRCM,0.00227300,0.00700000,-0.00472700,0.07391622,-0.16361199,-0.07723903,0.01737600
85963,20010130,BRCM,0.02437600,0.00700000,0.01737600,-0.00853260,-0.12097927,-0.17278712,-0.02056300
85963,20010131,BRCM,-0.02656300,-0.00600000,-0.02056300,-0.03544148,0.01786739,-0.18080590,-0.03172000
85963,20010201,BRCM,-0.02672000,0.00500000,-0.03172000,-0.10428946,-0.09464694,-0.24254931,-0.05659800
85963,20010202,BRCM,-0.07359800,-0.01700000,-0.05659800,-0.12546531,-0.12887128,-0.26925448,-0.04309200
85963,20010205,BRCM,-0.03909200,0.00400000,-0.04309200,-0.12047162,-0.16490596,-0.30055637,-0.02687100
85963,20010206,BRCM,-0.02887100,-0.00200000,-0.02687100,-0.15854085,-0.22869490,-0.32003500,-0.09673000
85963,20010207,BRCM,-0.10473000,-0.00800000,-0.09673000,-0.15599170,-0.23406609,-0.22346484,-0.04154700
85963,20010208,BRCM,-0.04754700,-0.00600000,-0.04154700,-0.13877036,-0.19647956,-0.26935156,-0.00839500
85963,20010209,BRCM,-0.02139500,-0.01300000,-0.00839500,-0.02153066,-0.13845047,-0.24628617,0.03010500
85963,20010212,BRCM,0.04210500,0.01200000,0.03010500,-0.03977573,-0.16590939,-0.29684149,-0.05937600
85963,20010213,BRCM,-0.06837600,-0.00900000,-0.05937600,0.05093558,-0.00157038,-0.22574930,0.08540300
85963,20010214,BRCM,0.08340300,-0.00200000,0.08540300,0.05979094,0.08187613,-0.17272282,0.03895900
85963,20010215,BRCM,0.04695900,0.00800000,0.03895900,0.00228746,-0.02940050,-0.21735443,-0.10894100
85963,20010216,BRCM,-0.12794100,-0.01900000,-0.10894100,-0.17912031,-0.16105208,-0.26910764,-0.11453499
85963,20010220,BRCM,-0.13153499,-0.01700000,-0.11453499,-0.17247187,-0.07426442,-0.21805380,0.04035900
85963,20010221,BRCM,0.02135900,-0.01900000,0.04035900,-0.08971401,-0.15489584,-0.15335080,-0.01416000
85963,20010222,BRCM,-0.01616000,-0.00200000,-0.01416000,0.10547645,-0.12153311,-0.05413444,0.07943000
85963,20010223,BRCM,0.07343000,-0.00600000,0.07943000,-0.05070123,-0.12296740,-0.14669175,-0.10970899
85963,20010226,BRCM,-0.09270900,0.01700000,-0.10970899,-0.17382543,-0.14878082,-0.27719018,-0.14081000
85963,20010227,BRCM,-0.14881000,-0.00800000,-0.14081000,-0.28546907,-0.23774480,-0.28188033,-0.06758500
85963,20010228,BRCM,-0.08158500,-0.01400000,-0.06758500,-0.21718601,-0.24773158,-0.35069382,-0.02638100
85963,20010301,BRCM,-0.02538100,0.00100000,-0.02638100,-0.11742777,-0.32279374,-0.38398243,-0.02915600
85963,20010302,BRCM,-0.03515600,-0.00600000,-0.02915600,-0.04411119,-0.23103938,-0.31675571,0.01154400
85963,20010305,BRCM,0.01754400,0.00600000,0.01154400,-0.01256752,-0.10404608,-0.23497904,0.00591500
85963,20010306,BRCM,0.01591500,0.01000000,0.00591500,-0.15306059,-0.19978074,-0.39144146,-0.16526900
85963,20010307,BRCM,-0.15926901,0.00600000,-0.16526900,-0.14939174,-0.16519048,-0.37478058,0.01508100
85963,20010308,BRCM,0.01708100,0.00200000,0.01508100,-0.17602343,-0.16458777,-0.43211497,-0.03148900
85963,20010309,BRCM,-0.05648900,-0.02500000,-0.03148900,-0.10885474,-0.24438661,-0.40228232,-0.09615900
85963,20010312,BRCM,-0.13915899,-0.04300000,-0.09615900,-0.06920942,-0.20400693,-0.28146062,0.06582700
85963,20010313,BRCM,0.08082700,0.01500000,0.06582700,-0.05127832,-0.06559722,-0.23826568,-0.01226100
85963,20010314,BRCM,-0.03826100,-0.02600000,-0.01226100,0.03177416,-0.09439495,-0.23379995,-0.01865800
85963,20010315,BRCM,-0.01265800,0.00600000,-0.01865800,-0.03155141,-0.06866357,-0.21078370,-0.00197800
85963,20010316,BRCM,-0.02197800,-0.02000000,-0.00197800,-0.01085884,0.03976047,-0.21442529,0.01009000
85963,20010319,BRCM,0.02809000,0.01800000,0.01009000,-0.07992356,-0.10537491,-0.27373698,-0.08711100
85963,20010320,BRCM,-0.11111100,-0.02400000,-0.08711100,-0.02811821,-0.04689790,-0.10336943,0.05488500
85963,20010321,BRCM,0.03688500,-0.01800000,0.05488500,0.14922638,0.15754430,0.04143029,0.20162800
85963,20010322,BRCM,0.19762801,-0.00400000,0.20162800,0.12121829,0.03125483,-0.04105389,-0.11901000
85963,20010323,BRCM,-0.09901000,0.02000000,-0.11901000,0.04484158,0.00357718,0.04283173,-0.01759300
85963,20010326,BRCM,-0.00659300,0.01100000,-0.01759300,-0.17433477,0.06254596,-0.05596275,-0.03868400
85963,20010327,BRCM,-0.01268400,0.02600000,-0.03868400,-0.10220757,-0.04637400,-0.09066753,-0.04800500
85963,20010328,BRCM,-0.07200500,-0.02400000,-0.04800500,-0.13501205,-0.25651833,-0.12283409,-0.05488400
85963,20010329,BRCM,-0.05988400,-0.00500000,-0.05488400,-0.11834273,-0.17152296,-0.14354711,-0.02127400
85963,20010330,BRCM,-0.01027400,0.01100000,-0.02127400,-0.12619811,-0.20025585,-0.19428822,-0.05547400
85963,20010402,BRCM,-0.06747400,-0.01200000,-0.05547400,-0.16148179,-0.23611390,-0.20049794,-0.09549900
85963,20010403,BRCM,-0.12949900,-0.03400000,-0.09549900,-0.21209848,-0.26917859,-0.30875883,-0.08608800
85963,20010404,BRCM,-0.08908800,-0.00300000,-0.08608800,-0.04110010,-0.11427187,-0.34573045,0.17219099
85963,20010405,BRCM,0.21619099,0.04400000,0.17219099,-0.01493576,-0.15762762,-0.30047801,-0.07272799
85963,20010406,BRCM,-0.09272800,-0.02000000,-0.07272799,0.09784818,-0.09789015,-0.27672576,0.01532500
85963,20010409,BRCM,0.02332500,0.00800000,0.01532500,0.12861995,0.21043762,-0.10182862,0.20424700
85963,20010410,BRCM,0.23124699,0.02700000,0.20424700,0.31503032,0.43056699,0.01170969,0.07201000
85963,20010411,BRCM,0.07001000,-0.00200000,0.07201000,0.42590423,0.33362277,0.17951334,0.09792900
85963,20010412,BRCM,0.11292900,0.01500000,0.09792900,0.03719093,0.27384108,0.05863239,-0.11769000
85963,20010416,BRCM,-0.12069000,-0.00300000,-0.11769000,-0.09725513,0.17082888,0.05040674,-0.06496600
85963,20010417,BRCM,-0.05496600,0.01000000,-0.06496600,-0.08496412,0.08492124,0.33056937,0.11780299
85963,20010418,BRCM,0.15680300,0.03900000,0.11780299,0.15876169,0.11991852,0.64156905,0.10461199
85963,20010419,BRCM,0.11761200,0.01300000,0.10461199,0.33859774,0.09780142,0.48354182,0.07766600
85963,20010420,BRCM,0.06866600,-0.00900000,0.07766600,0.05763114,0.10634181,0.42445549,-0.10883100
85963,20010423,BRCM,-0.12383100,-0.01500000,-0.10883100,-0.06939468,0.14208117,0.34651331,-0.03211400
85963,20010424,BRCM,-0.04411400,-0.01200000,-0.03211400,-0.05079057,0.12766638,0.23043590,0.10392900
85963,20010425,BRCM,0.11992900,0.01600000,0.10392900,0.03079026,-0.01132441,0.10454979,-0.03387100
85963,20010426,BRCM,-0.02887100,0.00500000,-0.03387100,0.06295724,-0.08787207,-0.00224392,-0.00418900
85963,20010427,BRCM,0.01081100,0.01500000,-0.00418900,0.07379959,0.14685584,0.27656679,0.11423000
85963,20010430,BRCM,0.11123000,-0.00300000,0.11423000,0.10793227,0.18563965,0.36367732,-0.00437500
85963,20010501,BRCM,0.00962500,0.01400000,-0.00437500,0.28107936,0.23700802,0.39729780,0.15152600
85963,20010502,BRCM,0.15252601,0.00100000,0.15152600,0.05386812,0.17177205,0.15575018,-0.07950000
85963,20010503,BRCM,-0.09450000,-0.01500000,-0.07950000,0.02475764,0.13872033,0.03890746,-0.03226900
85963,20010504,BRCM,-0.01826900,0.01400000,-0.03226900,-0.12230998,0.00580607,0.15536263,-0.01428300
85963,20010507,BRCM,-0.01628300,-0.00200000,-0.01428300,0.00695096,0.06545464,0.26559009,0.05496800
85963,20010508,BRCM,0.05296800,-0.00200000,0.05496800,-0.05575553,-0.15852049,0.03362338,-0.09211500
85963,20010509,BRCM,-0.09611500,-0.00400000,-0.09211500,-0.08717391,-0.13013741,0.01876758,-0.04720500
85963,20010510,BRCM,-0.04720500,-0.00000000,-0.04720500,-0.12367051,-0.08875874,0.03448738,0.01165100
85963,20010511,BRCM,0.00365100,-0.00800000,0.01165100,-0.07075179,-0.10937263,-0.10555143,-0.03651500
85963,20010514,BRCM,-0.03351500,0.00300000,-0.03651500,-0.02652697,-0.15695119,-0.10169891,-0.00161300
85963,20010515,BRCM,-0.00161300,0.00000000,-0.00161300,0.02529483,-0.01264801,-0.17266729,0.06677701
85963,20010516,BRCM,0.09477700,0.02800000,0.06677701,0.07214236,0.04424083,-0.09476364,0.00634600
85963,20010517,BRCM,0.00934600,0.00300000,0.00634600,0.11929713,0.07573769,-0.02425779,0.04086000
85963,20010518,BRCM,0.04386000,0.00300000,0.04086000,0.13333109,0.21218053,0.07172234,0.08063900
85963,20010521,BRCM,0.09663900,0.01600000,0.08063900,0.10706075,0.19340996,-0.00310507,-0.01594400
