PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
11415,20010102,BRL,-0.02485000,-0.02800000,0.00315000,,,,-0.06230200
11415,20010103,BRL,-0.01230200,0.05000000,-0.06230200,-0.09591936,,,-0.04060100
11415,20010104,BRL,-0.05160100,-0.01100000,-0.04060100,-0.11250430,,,-0.01433800
11415,20010105,BRL,-0.04033800,-0.02600000,-0.01433800,-0.06901025,-0.12169397,,-0.01755000
11415,20010108,BRL,-0.01955000,-0.00200000,-0.01755000,-0.02565883,-0.12330627,,0.00597000
11415,20010109,BRL,0.00997000,0.00400000,0.00597000,0.03295380,-0.02378919,,0.04528100
11415,20010110,BRL,0.05528100,0.01000000,0.04528100,0.01270875,-0.01994698,,-0.03712800
11415,20010111,BRL,-0.02712800,0.01000000,-0.03712800,0.04722497,0.03483189,,0.03965400
11415,20010112,BRL,0.03365400,-0.00600000,0.03965400,-0.00528589,0.04664423,-0.08454280,-0.00693000
11415,20010116,BRL,-0.00093000,0.00600000,-0.00693000,0.00669073,0.01343535,-0.11407217,-0.02527700
11415,20010117,BRL,-0.02327700,0.00200000,-0.02527700,-0.02305401,-0.02147338,-0.04483395,0.00983200
11415,20010118,BRL,0.02383200,0.01400000,0.00983200,0.00479633,0.03807330,0.01695978,0.02076000
11415,20010119,BRL,0.01676000,-0.00400000,0.02076000,0.06345967,0.02940734,0.06636226,0.03113600
11415,20010122,BRL,0.03113600,0.00000000,0.03113600,0.06554093,0.04936974,0.10068042,0.01186700
11415,20010123,BRL,0.02486700,0.01300000,0.01186700,0.00868733,0.04058874,0.05581780,-0.03332900
11415,20010124,BRL,-0.03032900,0.00300000,-0.03332900,0.01923732,0.07316107,0.05188145,0.04164000
11415,20010125,BRL,0.03664000,-0.00500000,0.04164000,0.02134247,0.06615599,0.10787740,0.01406900
11415,20010126,BRL,0.01206900,-0.00200000,0.01406900,0.05097790,0.02840673,0.05963228,-0.00529600
11415,20010129,BRL,0.00170400,0.00700000,-0.00529600,0.01142802,0.01878895,0.07005106,0.00252400
11415,20010130,BRL,0.00952400,0.00700000,0.00252400,-0.01103056,0.04501563,0.08864562,-0.00815100
11415,20010131,BRL,-0.01415100,-0.00600000,-0.00815100,-0.00922775,-0.00049498,0.07342965,-0.00349600
11415,20010201,BRL,0.00150400,0.00500000,-0.00349600,0.01760784,0.01505160,0.08205891,0.02942100
11415,20010202,BRL,0.01242100,-0.01700000,0.02942100,0.01565170,0.00990395,0.03854642,-0.01033700
11415,20010205,BRL,-0.00633700,0.00400000,-0.01033700,0.00466742,-0.00685497,0.01143507,-0.01428200
11415,20010206,BRL,-0.01628200,-0.00200000,-0.01428200,-0.07541072,-0.05059035,-0.00871048,-0.05227600
11415,20010207,BRL,-0.06027600,-0.00800000,-0.05227600,-0.07498506,-0.05666571,-0.05774050,-0.01058600
11415,20010208,BRL,-0.01658600,-0.00600000,-0.01058600,-0.04840225,-0.07116415,-0.05725737,0.01374600
11415,20010209,BRL,0.00074600,-0.01300000,0.01374600,0.03312888,-0.03449860,-0.02485750,0.03050600
11415,20010212,BRL,0.04250600,0.01200000,0.03050600,0.03999605,-0.02432032,-0.03045386,-0.00387600
11415,20010213,BRL,-0.01287600,-0.00900000,-0.00387600,0.01328201,0.01614381,-0.03464115,-0.01249300
11415,20010214,BRL,-0.01449300,-0.00200000,-0.01249300,-0.05644414,-0.01458393,-0.06976418,-0.04123500
11415,20010215,BRL,-0.03323500,0.00800000,-0.04123500,-0.05382724,-0.02954582,-0.09714243,-0.00168800
11415,20010216,BRL,-0.02068800,-0.01900000,-0.00168800,-0.06174334,-0.07581238,-0.10506915,-0.02152100
11415,20010220,BRL,-0.03852100,-0.01700000,-0.02152100,-0.00137061,-0.05166183,-0.07231250,0.02223100
11415,20010221,BRL,0.00323100,-0.01900000,0.02223100,-0.03198112,-0.07077948,-0.05528094,-0.03342700
11415,20010222,BRL,-0.03542700,-0.00200000,-0.03342700,-0.01597464,-0.03716646,-0.05015370,-0.00485100
11415,20010223,BRL,-0.01085100,-0.00600000,-0.00485100,-0.04269271,-0.04091584,-0.06803112,-0.00434200
11415,20010226,BRL,0.01265800,0.01700000,-0.00434200,-0.04287771,-0.05287263,-0.12125321,-0.03366700
11415,20010227,BRL,-0.04166700,-0.00800000,-0.03366700,-0.05634424,-0.09146463,-0.13329774,-0.01904400
11415,20010228,BRL,-0.03304400,-0.01400000,-0.01904400,-0.04242467,-0.05153089,-0.11544737,0.00979100
11415,20010301,BRL,0.01079100,0.00100000,0.00979100,0.01893520,-0.01929728,-0.05417809,0.02913200
11415,20010302,BRL,0.02313200,-0.00600000,0.02913200,0.01522313,-0.03738895,-0.07490410,-0.02339100
11415,20010305,BRL,-0.01739100,0.00600000,-0.02339100,0.00160298,-0.00812453,-0.06025152,-0.00380500
11415,20010306,BRL,0.00619500,0.01000000,-0.00380500,-0.00946065,0.03026258,-0.06592818,0.01827400
11415,20010307,BRL,0.02427400,0.00600000,0.01827400,0.01535934,0.02091317,-0.03283996,0.00074800
11415,20010308,BRL,0.00274800,0.00200000,0.00074800,-0.06566155,-0.09181284,-0.10837114,-0.08203900
11415,20010309,BRL,-0.10703900,-0.02500000,-0.08203900,-0.06769068,-0.05615124,-0.08839358,0.01154600
11415,20010312,BRL,-0.03145400,-0.04300000,0.01154600,-0.03184612,-0.01464181,-0.02223244,0.04321800
11415,20010313,BRL,0.05821800,0.01500000,0.04321800,0.10625924,0.01800576,0.04682894,0.05275900
11415,20010314,BRL,0.02675900,-0.02600000,0.05275900,0.10110272,0.01961213,0.03978343,0.00238400
11415,20010315,BRL,0.00838400,0.00600000,0.00238400,0.00195387,0.05345050,-0.03716959,-0.05066700
11415,20010316,BRL,-0.07066700,-0.02000000,-0.05066700,-0.05137435,0.04245997,-0.01776202,-0.00185800
11415,20010319,BRL,0.01614200,0.01800000,-0.00185800,-0.06297879,-0.01114329,-0.02444421,-0.01159800
11415,20010320,BRL,-0.03559800,-0.02400000,-0.01159800,-0.03013676,-0.07581191,-0.05411753,-0.01712600
11415,20010321,BRL,-0.03512600,-0.01800000,-0.01712600,-0.04933469,-0.09747402,-0.07368829,-0.02314900
11415,20010322,BRL,-0.02714900,-0.00400000,-0.02314900,0.03511119,0.02084146,0.07353469,0.08021100
11415,20010323,BRL,0.10021100,0.02000000,0.08021100,0.04077805,0.00928341,0.05140276,-0.01330600
11415,20010326,BRL,-0.00230600,0.01100000,-0.01330600,0.06797211,0.02212456,0.00933044,-0.00019100
11415,20010327,BRL,0.02580900,0.02600000,-0.00019100,0.06370438,0.12328118,0.03126568,0.07544599
11415,20010328,BRL,0.05144600,-0.02400000,0.07544599,0.06776818,0.14060002,0.02004274,-0.00839300
11415,20010329,BRL,-0.01339300,-0.00500000,-0.00839300,0.09161108,0.08016816,0.10235999,0.02375100
11415,20010330,BRL,0.03475100,0.01100000,0.02375100,-0.04780224,0.02517508,0.03425532,-0.06129000
11415,20010402,BRL,-0.07329000,-0.01200000,-0.06129000,-0.06372954,-0.00219151,0.01841527,-0.02621100
11415,20010403,BRL,-0.06021100,-0.03400000,-0.02621100,-0.07223731,-0.05952322,0.04944673,0.01264000
11415,20010404,BRL,0.00964000,-0.00300000,0.01264000,-0.03983155,-0.07836777,0.04967077,-0.02629600
11415,20010405,BRL,0.01770400,0.04400000,-0.02629600,0.01569845,-0.07149831,-0.00049920,0.02801400
11415,20010406,BRL,0.00801400,-0.02000000,0.02801400,0.02001774,0.00429414,0.02938701,0.01682100
11415,20010409,BRL,0.02482100,0.00800000,0.01682100,0.02731854,0.01452307,0.01126269,-0.01848500
11415,20010410,BRL,0.00851500,0.02700000,-0.01848500,-0.02383690,-0.02162271,-0.08232818,-0.02145200
11415,20010411,BRL,-0.02345200,-0.00200000,-0.02145200,-0.01988457,0.02647468,-0.05602138,0.02111900
11415,20010412,BRL,0.03611900,0.01500000,0.02111900,-0.02625393,-0.02881983,-0.10074807,-0.02481400
11415,20010416,BRL,-0.02781400,-0.00300000,-0.02481400,0.00482282,-0.03621764,-0.03163035,0.00945500
11415,20010417,BRL,0.01945500,0.01000000,0.00945500,-0.01935443,-0.02078646,-0.00686010,-0.00289100
11415,20010418,BRL,0.03610900,0.03900000,-0.00289100,0.00219884,-0.00273313,-0.02609033,-0.00451300
11415,20010419,BRL,0.00848700,0.01300000,-0.00451300,-0.03873071,-0.05493913,-0.03010731,-0.02985400
11415,20010420,BRL,-0.03885400,-0.00900000,-0.02985400,-0.04209273,-0.03766158,-0.06819492,-0.00828600
11415,20010423,BRL,-0.02328600,-0.01500000,-0.00828600,-0.06021347,-0.07025127,-0.10781195,-0.02481100
11415,20010424,BRL,-0.03681100,-0.01200000,-0.02481100,-0.00793873,-0.04188582,-0.06415286,0.02657400
11415,20010425,BRL,0.04257400,0.01600000,0.02657400,0.00604942,-0.03202113,-0.03705037,0.00563600
11415,20010426,BRL,0.01063600,0.00500000,0.00563600,0.06756319,0.02996102,-0.02558945,0.03273500
11415,20010427,BRL,0.04773500,0.01500000,0.03273500,0.08364936,0.08439479,0.04594666,0.04246200
11415,20010430,BRL,0.03946200,-0.00300000,0.04246200,0.04247373,0.07818694,0.00026574,-0.03280900
11415,20010501,BRL,-0.01880900,0.01400000,-0.03280900,0.00202210,0.04140928,-0.00387009,-0.00680400
11415,20010502,BRL,-0.00580400,0.00100000,-0.00680400,-0.02015081,0.05516356,0.02015889,0.01924600
11415,20010503,BRL,0.00424600,-0.01500000,0.01924600,0.00390403,0.01293255,0.04371417,-0.00871600
11415,20010504,BRL,0.00528400,0.01400000,-0.00871600,0.02585072,-0.01417393,0.06972096,0.01496700
11415,20010507,BRL,0.01296700,-0.00200000,0.01496700,0.00097323,0.01352766,0.09308940,-0.00526500
11415,20010508,BRL,-0.00726500,-0.00200000,-0.00526500,0.01060918,0.02138696,0.06399217,0.00103800
11415,20010509,BRL,-0.00296200,-0.00400000,0.00103800,-0.02375990,-0.01788583,0.03640701,-0.01974800
11415,20010510,BRL,-0.01974800,-0.00000000,-0.01974800,0.00586992,0.01539166,0.02848280,0.02493700
11415,20010511,BRL,0.01693700,-0.00800000,0.02493700,0.00432489,0.00008846,-0.01392997,-0.00054600
11415,20010514,BRL,0.00245400,0.00300000,-0.00054600,0.00537998,-0.01329964,-0.00001776,-0.01871300
11415,20010515,BRL,-0.01871300,0.00000000,-0.01871300,-0.01548175,-0.01042756,0.01132049,0.00443600
11415,20010516,BRL,0.03243600,0.02800000,0.00443600,-0.00397681,0.02116274,0.00256013,0.01081000
11415,20010517,BRL,0.01381000,0.00300000,0.01081000,0.02837831,0.00795091,0.02391221,0.01215400
11415,20010518,BRL,0.01515400,0.00300000,0.01215400,0.03434216,0.01957963,0.01945920,0.01050100
11415,20010521,BRL,0.02650100,0.01600000,0.01050100,0.05858719,0.07718245,0.06152867,0.03420900
11415,20010522,BRL,0.03120900,-0.00300000,0.03420900,0.08678425,0.11240491,0.10334353,0.03961000
11415,20010523,BRL,0.02361000,-0.01600000,0.03961000,0.08463672,0.11083640,0.13727370,0.00938400
11415,20010524,BRL,0.01238400,0.00300000,0.00938400,0.07100184,0.11960839,0.13287179,0.02148000
11415,20010525,BRL,0.00948000,-0.01200000,0.02148000,0.07346563,0.15079097,0.18027485,0.04177800
11415,20010529,BRL,0.03377800,-0.00800000,0.04177800,0.07075349,0.12089969,0.20944709,0.00794100
11415,20010530,BRL,-0.00805900,-0.01600000,0.00794100,0.09753671,0.13013939,0.25450605,0.04673300
11415,20010531,BRL,0.05273300,0.00600000,0.04673300,0.08848058,0.15542906,0.28104495,0.03248100
11415,20010601,BRL,0.03648100,0.00400000,0.03248100,0.06188317,0.11352003,0.24421906,-0.01799600
11415,20010604,BRL,-0.01299600,0.00500000,-0.01799600,0.04647547,0.10407988,0.26864252,0.03157600
11415,20010605,BRL,0.04457600,0.01300000,0.03157600,0.01452238,0.09751660,0.22755908,0.00167700
11415,20010606,BRL,-0.00932300,-0.01100000,0.00167700,0.04936747,0.06459048,0.20347439,0.01567600
11415,20010607,BRL,0.02067600,0.00500000,0.01567600,0.01828281,0.03159126,0.19154593,0.00120900
11415,20010608,BRL,-0.00779100,-0.00900000,0.00120900,-0.00588007,0.02649933,0.14162949,-0.02223200
11415,20010611,BRL,-0.03023200,-0.00800000,-0.02223200,-0.04820238,-0.03179959,0.06631509,-0.02839500
11415,20010612,BRL,-0.02739500,0.00100000,-0.02839500,-0.03912921,-0.02315881,0.06957073,0.01072300
11415,20010613,BRL,-0.00027700,-0.01100000,0.01072300,-0.01535310,-0.03505185,0.02385503,0.00203900
