PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
79545,20010102,BWA,-0.00625000,-0.02800000,0.02175000,,,,0.01761000
79545,20010103,BWA,0.06761000,0.05000000,0.01761000,0.06718949,,,0.02572800
79545,20010104,BWA,0.01472800,-0.01100000,0.02572800,0.02628596,,,-0.01609000
79545,20010105,BWA,-0.04209000,-0.02600000,-0.01609000,0.01949524,0.05946204,,0.01109100
79545,20010108,BWA,0.00909100,-0.00200000,0.01109100,-0.04705761,-0.00717524,,-0.04303900
79545,20010109,BWA,-0.03903900,0.00400000,-0.04303900,-0.05292034,-0.04260258,,-0.02093700
79545,20010110,BWA,-0.01093700,0.01000000,-0.02093700,-0.05721244,-0.06086760,,0.00737800
79545,20010111,BWA,0.01737800,0.01000000,0.00737800,-0.01554098,-0.04781638,,-0.00176400
79545,20010112,BWA,-0.00776400,-0.00600000,-0.00176400,0.00109519,-0.06318162,-0.00485073,-0.00443500
79545,20010116,BWA,0.00156500,0.00600000,-0.00443500,0.01045838,-0.00335249,-0.01070741,0.01675000
79545,20010117,BWA,0.01875000,0.00200000,0.01675000,-0.01742898,-0.01193258,-0.05484090,-0.02933700
79545,20010118,BWA,-0.01533700,0.01400000,-0.02933700,-0.03383842,-0.03987734,-0.09886651,-0.02092200
79545,20010119,BWA,-0.02492200,-0.00400000,-0.02092200,-0.03141625,-0.01960050,-0.06765565,0.01916900
79545,20010122,BWA,0.01916900,0.00000000,0.01916900,0.01130122,-0.00168155,-0.06638461,0.01364600
79545,20010123,BWA,0.02664600,0.01300000,0.01364600,0.01431246,-0.03687817,-0.04100981,-0.01826700
79545,20010124,BWA,-0.01526700,0.00300000,-0.01826700,0.04390069,0.04137194,0.02994511,0.04841100
79545,20010125,BWA,0.04341100,-0.00500000,0.04841100,0.03149216,0.06614315,0.02406074,0.00200000
79545,20010126,BWA,0.00000000,-0.00200000,0.00200000,0.06298475,0.05860919,0.03860339,0.01172200
79545,20010129,BWA,0.01872200,0.00700000,0.01172200,-0.00756298,0.02207997,0.02089914,-0.02100200
79545,20010130,BWA,-0.01400200,0.00700000,-0.02100200,-0.00112118,0.04963256,0.01218766,0.00837500
79545,20010131,BWA,0.00237500,-0.00600000,0.00837500,-0.00825453,0.00540890,0.04749622,0.00447900
79545,20010201,BWA,0.00947900,0.00500000,0.00447900,0.04247786,0.03324893,0.10160951,0.02944100
79545,20010202,BWA,0.01244100,-0.01700000,0.02944100,0.02732813,0.01449385,0.07376340,-0.00678200
79545,20010205,BWA,-0.00278200,0.00400000,-0.00678200,0.06668489,0.08018929,0.10448573,0.04361800
79545,20010206,BWA,0.04161800,-0.00200000,0.04361800,0.03315107,0.06779914,0.11996387,-0.00316100
79545,20010207,BWA,-0.01116100,-0.00800000,-0.00316100,0.03894150,0.06164745,0.06791089,-0.00077200
79545,20010208,BWA,-0.00677200,-0.00600000,-0.00077200,-0.01363182,0.02158536,0.05463532,-0.00995500
79545,20010209,BWA,-0.02295500,-0.01300000,-0.00995500,-0.01655332,0.02264092,0.03705300,-0.00595200
79545,20010212,BWA,0.00604800,0.01200000,-0.00595200,-0.00371839,-0.00751774,0.07026840,0.01223700
79545,20010213,BWA,0.00323700,-0.00900000,0.01223700,0.00772092,-0.00316637,0.06325125,0.00130900
79545,20010214,BWA,-0.00069100,-0.00200000,0.00130900,0.00700113,-0.00895925,0.05213347,-0.00661600
79545,20010215,BWA,0.00138400,0.00800000,-0.00661600,0.01197842,0.01841827,0.03972203,0.01715800
79545,20010216,BWA,-0.00184200,-0.01900000,0.01715800,0.01643194,0.02962128,0.05155268,0.00592500
79545,20010220,BWA,-0.01107500,-0.01700000,0.00592500,0.03281181,0.02782831,0.01979810,0.01060100
79545,20010221,BWA,-0.00839900,-0.01900000,0.01060100,0.00737997,0.01766594,0.01427777,-0.00905900
79545,20010222,BWA,-0.01105900,-0.00200000,-0.00905900,0.02427030,0.04612632,0.03711055,0.02313100
79545,20010223,BWA,0.01713100,-0.00600000,0.02313100,0.02406558,0.04003981,0.05828465,0.00990100
79545,20010226,BWA,0.02690100,0.01700000,0.00990100,0.05096127,0.05157574,0.08019261,0.01688400
79545,20010227,BWA,0.00888400,-0.00800000,0.01688400,0.02748324,0.04144244,0.06805326,0.00067900
79545,20010228,BWA,-0.01332100,-0.01400000,0.00067900,0.00724317,0.04045782,0.05670193,-0.01015300
79545,20010301,BWA,-0.00915300,0.00100000,-0.01015300,0.03496721,0.06287257,0.10755648,0.04526100
79545,20010302,BWA,0.03926100,-0.00600000,0.04526100,0.02397873,0.04121885,0.08095267,-0.01066700
79545,20010305,BWA,-0.00466700,0.00600000,-0.01066700,0.03068256,0.02056559,0.07266351,-0.00397200
79545,20010306,BWA,0.00602800,0.01000000,-0.00397200,-0.01615727,0.01888666,0.06156855,-0.00134000
79545,20010307,BWA,0.00466000,0.00600000,-0.00134000,0.00467981,0.03991077,0.08230511,0.00992800
79545,20010308,BWA,0.01192800,0.00200000,0.00992800,0.02917151,0.01473643,0.07829633,0.02041600
79545,20010309,BWA,-0.00458400,-0.02500000,0.02041600,0.05865300,0.05428533,0.09454200,0.02940400
79545,20010312,BWA,-0.01359600,-0.04300000,0.02940400,0.01450974,0.02292592,0.04295763,-0.03567600
79545,20010313,BWA,-0.02067600,0.01500000,-0.03567600,0.00017283,0.02887807,0.04737234,0.00556900
79545,20010314,BWA,-0.02043100,-0.02600000,0.00556900,-0.03856083,0.01067866,0.04833415,-0.00947600
79545,20010315,BWA,-0.00347600,0.00600000,-0.00947600,-0.00428780,-0.00927544,0.00434617,-0.00069800
79545,20010316,BWA,-0.02069800,-0.02000000,-0.00069800,-0.00130853,-0.03065605,0.02307553,0.00907200
79545,20010319,BWA,0.02707200,0.01800000,0.00907200,-0.00160398,-0.00514896,0.01683941,-0.00952600
79545,20010320,BWA,-0.03352600,-0.02400000,-0.00952600,-0.01439200,-0.02378454,0.00510731,-0.01357900
79545,20010321,BWA,-0.03157900,-0.01800000,-0.01357900,-0.05517670,-0.04769499,-0.03459963,-0.03503200
79545,20010322,BWA,-0.03903200,-0.00400000,-0.03503200,-0.03399711,-0.03467432,-0.04121451,0.01547600
79545,20010323,BWA,0.03547600,0.02000000,0.01547600,0.00551366,-0.01792683,-0.04741518,0.02673600
79545,20010326,BWA,0.03773600,0.01100000,0.02673600,0.02988624,-0.02239125,-0.02657584,-0.01356000
79545,20010327,BWA,0.01244000,0.02600000,-0.01356000,0.01491717,-0.00627571,-0.03034998,0.00178800
79545,20010328,BWA,-0.02221200,-0.02400000,0.00178800,-0.03703973,0.00337221,-0.04595477,-0.02593300
79545,20010329,BWA,-0.03093300,-0.00500000,-0.02593300,-0.03496908,-0.02362393,-0.05790996,-0.01174800
79545,20010330,BWA,-0.00074800,0.01100000,-0.01174800,-0.02553154,-0.03662941,-0.05324290,0.01200000
79545,20010402,BWA,0.00000000,-0.01200000,0.01200000,0.02262426,-0.00131311,-0.02231094,0.02227000
79545,20010403,BWA,-0.01173000,-0.03400000,0.02227000,0.05494305,0.01742282,0.01180306,0.02143400
79545,20010404,BWA,0.01843400,-0.00300000,0.02143400,0.01548364,0.01585817,0.01973421,-0.02961900
79545,20010405,BWA,0.01438100,0.04400000,-0.02961900,0.01883754,0.05315752,0.02988141,0.02562200
79545,20010406,BWA,0.00562200,-0.02000000,0.02562200,0.01134316,0.05616075,0.01745412,0.01412000
79545,20010409,BWA,0.02212000,0.00800000,0.01412000,0.04268698,0.03619825,0.03248507,0.00153700
79545,20010410,BWA,0.02853700,0.02700000,0.00153700,-0.00737938,-0.01066434,0.00802275,-0.02227700
79545,20010411,BWA,-0.02427700,-0.00200000,-0.02227700,-0.01297133,0.02830743,0.04517616,0.00869700
79545,20010412,BWA,0.02369700,0.01500000,0.00869700,0.00278658,0.01916143,0.07524909,0.01688900
79545,20010416,BWA,0.01388900,-0.00300000,0.01688900,0.02531887,0.00355855,0.06256677,-0.00086800
79545,20010417,BWA,0.00913200,0.01000000,-0.00086800,-0.00689047,-0.02166095,0.01470587,-0.02316300
79545,20010418,BWA,0.01583700,0.03900000,-0.02316300,-0.02079504,0.00601297,-0.00518029,0.00370400
79545,20010419,BWA,0.01670400,0.01300000,0.00370400,-0.01022902,0.00640825,0.03649838,0.00900000
79545,20010420,BWA,0.00000000,-0.00900000,0.00900000,0.01362497,-0.01003798,0.00919608,0.00098000
79545,20010423,BWA,-0.01402000,-0.01500000,0.00098000,0.02791130,0.00982631,0.01394087,0.01844300
79545,20010424,BWA,0.00644300,-0.01200000,0.01844300,-0.00277116,0.00985928,-0.01126503,-0.02240200
79545,20010425,BWA,-0.00640200,0.01600000,-0.02240200,-0.01171531,-0.00161919,0.00416971,-0.00788800
79545,20010426,BWA,-0.00288800,0.00500000,-0.00788800,-0.04853793,-0.02831601,-0.02345852,-0.01789700
79545,20010427,BWA,-0.00289700,0.01500000,-0.01789700,-0.02435133,-0.02822436,-0.03925171,0.00143100
79545,20010430,BWA,-0.00156900,-0.00300000,0.00143100,-0.03684378,-0.06764662,-0.05903457,-0.02028800
79545,20010501,BWA,-0.00628800,0.01400000,-0.02028800,-0.01196820,-0.03806014,-0.02797580,0.00691000
79545,20010502,BWA,0.00791000,0.00100000,0.00691000,-0.01169078,-0.02805158,-0.02921661,0.00154700
79545,20010503,BWA,-0.01345300,-0.01500000,0.00154700,-0.00543832,-0.02419681,-0.05234000,-0.01400000
79545,20010504,BWA,0.00000000,0.01400000,-0.01400000,-0.01181515,-0.02523243,-0.05360354,0.00040900
79545,20010507,BWA,-0.00159100,-0.00200000,0.00040900,-0.02199352,-0.01342051,-0.08051562,-0.00847100
79545,20010508,BWA,-0.01047100,-0.00200000,-0.00847100,-0.00792929,-0.01996800,-0.05756341,0.00008900
79545,20010509,BWA,-0.00391100,-0.00400000,0.00008900,-0.01290183,-0.02636314,-0.05415047,-0.00461900
79545,20010510,BWA,-0.00461900,-0.00000000,-0.00461900,-0.01402686,-0.02181097,-0.04532925,-0.00963300
79545,20010511,BWA,-0.01763300,-0.00800000,-0.00963300,-0.00536860,-0.01359873,-0.03837074,0.00904500
79545,20010514,BWA,0.01204500,0.00300000,0.00904500,0.02637024,0.02165650,0.00797509,0.02730500
79545,20010515,BWA,0.02730500,0.00000000,0.02730500,0.04827323,0.03259195,0.01121798,0.01016400
79545,20010516,BWA,0.03816400,0.02800000,0.01016400,0.03892731,0.03790100,0.01007969,0.00028200
79545,20010517,BWA,0.00328200,0.00300000,0.00028200,-0.00032932,0.03759010,0.01354786,-0.01041500
79545,20010518,BWA,-0.00741500,0.00300000,-0.01041500,-0.01882269,0.01928778,0.00452508,-0.00852900
79545,20010521,BWA,0.00747100,0.01600000,-0.00852900,-0.01380926,-0.00372843,0.01891114,0.00518100
79545,20010522,BWA,0.00218100,-0.00300000,0.00518100,0.01116568,0.00098593,0.03372164,0.01425900
79545,20010523,BWA,-0.00174100,-0.01600000,0.01425900,0.03018507,0.01144253,0.05017725,0.01073400
79545,20010524,BWA,0.01373400,0.00300000,0.01073400,0.04404243,0.04126629,0.08148507,0.01909700
79545,20010525,BWA,0.00709700,-0.01200000,0.01909700,0.03483961,0.05391417,0.07629005,0.00501000
79545,20010529,BWA,-0.00299000,-0.00800000,0.00501000,0.01537045,0.03968121,0.03787215,-0.00820200
79545,20010530,BWA,-0.02420200,-0.01600000,-0.00820200,-0.01572392,0.01337165,0.01438082,-0.01280400
79545,20010531,BWA,-0.00680400,0.00600000,-0.01280400,0.01706002,0.04097233,0.05269915,0.03909400
79545,20010601,BWA,0.04309400,0.00400000,0.03909400,0.01499681,0.01129350,0.05250945,-0.01072000
79545,20010604,BWA,-0.00572000,0.00500000,-0.01072000,0.03222741,0.01002885,0.06476389,0.00362000
79545,20010605,BWA,0.01662000,0.01300000,0.00362000,-0.00390013,0.02211066,0.06227715,0.00324500
