PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
18542,20010102,CAT,-0.02113600,-0.02800000,0.00686400,,,,-0.04595100
18542,20010103,CAT,0.00404900,0.05000000,-0.04595100,0.01968911,,,0.05804300
18542,20010104,CAT,0.04704300,-0.01100000,0.05804300,-0.02089627,,,-0.03176600
18542,20010105,CAT,-0.05776600,-0.02600000,-0.03176600,0.02251163,-0.01418798,,-0.00072500
18542,20010108,CAT,-0.00272500,-0.00200000,-0.00072500,-0.03755738,-0.02695975,,-0.00536600
18542,20010109,CAT,-0.00136600,0.00400000,-0.00536600,-0.02972325,-0.00577074,,-0.02368000
18542,20010110,CAT,-0.01368000,0.01000000,-0.02368000,-0.03101070,-0.06230842,,-0.00167800
18542,20010111,CAT,0.00832200,0.01000000,-0.00167800,-0.05775450,-0.06368270,,-0.03251400
18542,20010112,CAT,-0.03851400,-0.00600000,-0.03251400,-0.01828468,-0.04736678,-0.06033304,0.01689000
18542,20010116,CAT,0.02289000,0.00600000,0.01689000,-0.01159196,-0.03715056,-0.06420487,0.00499300
18542,20010117,CAT,0.00699300,0.00200000,0.00499300,-0.05869093,-0.09211490,-0.09518892,-0.07866700
18542,20010118,CAT,-0.06466700,0.01400000,-0.07866700,-0.09546980,-0.11056075,-0.16623222,-0.02294600
18542,20010119,CAT,-0.02694600,-0.00400000,-0.02294600,-0.09421364,-0.07479395,-0.13605878,0.00615400
18542,20010122,CAT,0.00615400,0.00000000,0.00615400,-0.01194140,-0.08606501,-0.13262291,0.00534900
18542,20010123,CAT,0.01834900,0.01300000,0.00534900,0.02242358,-0.08100709,-0.11790994,0.01051400
18542,20010124,CAT,0.01351400,0.00300000,0.01051400,0.04867553,0.03051167,-0.06425286,0.03166700
18542,20010125,CAT,0.02666700,-0.00500000,0.03166700,0.04305081,0.05567985,-0.06136085,0.00055700
18542,20010126,CAT,-0.00144300,-0.00200000,0.00055700,0.02166910,0.03843632,-0.03973587,-0.01046800
18542,20010129,CAT,-0.00346800,0.00700000,-0.01046800,0.01308713,0.05668566,-0.03369316,0.02316200
18542,20010130,CAT,0.03016200,0.00700000,0.02316200,0.01446293,0.04725891,-0.03641546,0.00194600
18542,20010131,CAT,-0.00405400,-0.00600000,0.00194600,0.02257559,0.01251385,0.04382884,-0.00251200
18542,20010201,CAT,0.00248800,0.00500000,-0.00251200,0.01508457,0.02780024,0.08504167,0.01564600
18542,20010202,CAT,-0.00135400,-0.01700000,0.01564600,-0.00204269,0.02272837,0.06212583,-0.01529400
18542,20010205,CAT,-0.01129400,0.00400000,-0.01529400,-0.00323060,-0.00376339,0.05176121,-0.00371200
18542,20010206,CAT,-0.00571200,-0.00200000,-0.00371200,-0.00888448,0.00424155,0.05085244,0.01006800
18542,20010207,CAT,0.00206800,-0.00800000,0.01006800,0.00244439,0.00284196,0.01506237,-0.00386000
18542,20010208,CAT,-0.00986000,-0.00600000,-0.00386000,0.01482189,-0.00385580,0.02316317,0.00883100
18542,20010209,CAT,-0.00416900,-0.01300000,0.00883100,-0.00385803,0.00243909,0.02481759,-0.00897700
18542,20010212,CAT,0.00302300,0.01200000,-0.00897700,0.01199756,0.01798121,0.01395160,0.01201400
18542,20010213,CAT,0.00301400,-0.00900000,0.01201400,-0.00274660,0.00223032,0.00636454,-0.00585900
18542,20010214,CAT,-0.00785900,-0.00200000,-0.00585900,0.02602397,0.02599131,0.02814700,0.01995900
18542,20010215,CAT,0.02795900,0.00800000,0.01995900,0.02260815,0.02585757,0.02129960,0.00880100
18542,20010216,CAT,-0.01019900,-0.01900000,0.00880100,0.00186796,0.00780119,0.01003196,-0.02582100
18542,20010220,CAT,-0.04282100,-0.01700000,-0.02582100,-0.01762342,-0.00482793,0.01231295,-0.00109600
18542,20010221,CAT,-0.02009600,-0.01900000,-0.00109600,-0.03063373,-0.00361878,-0.00143901,-0.00459200
18542,20010222,CAT,-0.00659200,-0.00200000,-0.00459200,-0.01407375,-0.02978626,-0.00604328,-0.00874600
18542,20010223,CAT,-0.01474600,-0.00600000,-0.00874600,0.00748107,-0.01959678,0.00525425,0.02141400
18542,20010226,CAT,0.03841400,0.01700000,0.02141400,0.04142601,0.03471666,0.04130526,0.02865800
18542,20010227,CAT,0.02065800,-0.00800000,0.02865800,0.04292575,0.02883086,0.02253386,-0.00694600
18542,20010228,CAT,-0.02094600,-0.01400000,-0.00694600,0.02979716,0.04243390,0.03664744,0.00861500
18542,20010301,CAT,0.00961500,0.00100000,0.00861500,0.02340672,0.07484384,0.03852620,0.02219000
18542,20010302,CAT,0.01619000,-0.00600000,0.02219000,0.06466028,0.08580139,0.06260692,0.03266000
18542,20010305,CAT,0.03866000,0.00600000,0.03266000,0.04979758,0.05071953,0.08616300,-0.00594000
18542,20010306,CAT,0.00406000,0.01000000,-0.00594000,0.07437565,0.10795920,0.13896817,0.04544900
18542,20010307,CAT,0.05144900,0.00600000,0.04544900,0.05995856,0.11980110,0.16685806,0.01915400
18542,20010308,CAT,0.02115400,0.00200000,0.01915400,0.06953583,0.09887339,0.17999976,0.00512100
18542,20010309,CAT,-0.01987900,-0.02500000,0.00512100,0.02574208,0.06425422,0.14992909,0.00286300
18542,20010312,CAT,-0.04013700,-0.04300000,0.00286300,0.01651902,0.07993944,0.13215960,0.00924400
18542,20010313,CAT,0.02424400,0.01500000,0.00924400,0.01013363,0.03275837,0.13663897,-0.00136200
18542,20010314,CAT,-0.02736200,-0.02600000,-0.00136200,0.00634818,0.01363706,0.12669027,-0.00131100
18542,20010315,CAT,0.00468900,0.00600000,-0.00131100,0.00826520,0.01943642,0.11355413,0.01111100
18542,20010316,CAT,-0.00888900,-0.02000000,0.01111100,0.00418898,0.01180936,0.07572987,-0.00589200
