PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
90199,20040610,CBG,,0.00500000,,,,,0.00182600
90199,20040614,CBG,-0.00817400,-0.01000000,0.00182600,,,,0.02422000
90199,20040615,CBG,0.03022000,0.00600000,0.02422000,0.03848658,,,0.01233300
90199,20040616,CBG,0.01333300,0.00100000,0.01233300,0.04070454,,,0.00363200
90199,20040617,CBG,0.00263200,-0.00100000,0.00363200,0.01193420,0.03813087,,-0.00405000
90199,20040618,CBG,-0.00105000,0.00300000,-0.00405000,0.00674817,0.04392032,,0.00715300
90199,20040621,CBG,0.00315300,-0.00400000,0.00715300,-0.00245957,0.01354984,,-0.00557200
90199,20040622,CBG,-0.00157200,0.00400000,-0.00557200,-0.01634080,-0.01678813,,-0.01791900
90199,20040623,CBG,-0.00891900,0.00900000,-0.01791900,-0.01471175,-0.01159988,,0.00882300
90199,20040624,CBG,0.00582300,-0.00300000,0.00882300,-0.00409098,-0.00250387,0.03556956,0.00500000
90199,20040625,CBG,0.00000000,-0.00500000,0.00500000,0.01480003,-0.00865683,0.03501328,0.00100000
90199,20040628,CBG,0.00000000,-0.00100000,0.00100000,0.00827592,-0.00084350,0.01273227,0.00226300
90199,20040629,CBG,0.00526300,0.00300000,0.00226300,-0.00074200,0.01314463,-0.00368555,-0.00400000
90199,20040630,CBG,0.00000000,0.00400000,-0.00400000,0.00832111,0.01429776,0.00276515,0.01000000
90199,20040701,CBG,0.00000000,-0.01000000,0.01000000,0.01163990,0.01493763,0.01242784,0.00561800
90199,20040702,CBG,0.00261800,-0.00300000,0.00561800,0.02034302,0.01873758,0.01011360,0.00486700
90199,20040706,CBG,-0.00313300,-0.00800000,0.00486700,0.00638088,0.01236657,0.01156167,-0.00409500
90199,20040707,CBG,-0.00209500,0.00200000,-0.00409500,0.00874651,0.02413964,0.03720092,0.00800000
90199,20040708,CBG,0.00000000,-0.00800000,0.00800000,-0.00168040,0.00874155,0.02288548,-0.00562500
90199,20040709,CBG,-0.00262500,0.00300000,-0.00562500,-0.00332060,-0.00251184,0.01225627,-0.00573700
90199,20040712,CBG,-0.00473700,0.00100000,-0.00573700,-0.00448304,-0.00053296,0.01818263,0.00693200
90199,20040713,CBG,0.00793200,0.00100000,0.00693200,0.00626795,0.00864809,0.02091754,0.00509900
90199,20040714,CBG,0.00209900,-0.00300000,0.00509900,0.01339829,0.00201523,0.02610094,0.00138200
90199,20040715,CBG,-0.00261800,-0.00400000,0.00138200,0.00355873,0.00471240,0.01334208,-0.00287400
90199,20040716,CBG,-0.00787400,-0.00500000,-0.00287400,0.00374417,0.01572419,0.01304282,0.00529100
90199,20040719,CBG,0.00529100,-0.00000000,0.00529100,-0.00458966,0.00188900,0.00135576,-0.00700000
90199,20040720,CBG,0.00000000,0.00700000,-0.00700000,0.01191076,0.01030371,0.01884898,0.01352600
90199,20040721,CBG,0.00052600,-0.01300000,0.01352600,0.01468806,0.01701743,0.01901634,0.00804700
90199,20040722,CBG,0.01104700,0.00300000,0.00804700,0.01467558,0.01307831,0.01766025,-0.00664900
90199,20040723,CBG,-0.01664900,-0.01000000,-0.00664900,-0.00308233,0.00347338,0.01897742,-0.00434900
90199,20040726,CBG,-0.00634900,-0.00200000,-0.00434900,-0.02079256,0.00053906,0.00240347,-0.01000000
90199,20040727,CBG,0.00000000,0.01000000,-0.01000000,-0.01110417,-0.00978470,0.00058465,0.00326000
90199,20040728,CBG,0.00426000,0.00100000,0.00326000,-0.00967513,-0.02054132,-0.00364095,-0.00287900
90199,20040729,CBG,0.00212100,0.00500000,-0.00287900,0.00150834,-0.01293074,0.00034436,0.00111600
90199,20040730,CBG,0.00211600,0.00100000,0.00111600,-0.00154573,-0.00837010,-0.00472635,0.00022400
90199,20040802,CBG,0.00422400,0.00400000,0.00022400,0.01531098,0.01579333,0.01615220,0.01388600
90199,20040803,CBG,0.00788600,-0.00600000,0.01388600,0.00882931,0.00710847,-0.00276133,-0.00526000
90199,20040804,CBG,-0.00626000,-0.00100000,-0.00526000,0.05915941,0.06084908,0.03966429,0.05064600
90199,20040805,CBG,0.03464600,-0.01600000,0.05064600,0.04477092,0.05903241,0.04666222,0.00028700
90199,20040806,CBG,-0.01471300,-0.01500000,0.00028700,0.03136588,0.03973068,0.03217446,-0.01850800
90199,20040809,CBG,-0.01750800,0.00100000,-0.01850800,-0.01960480,0.02494203,0.04096649,-0.00147000
90199,20040810,CBG,0.01153000,0.01300000,-0.00147000,-0.01715085,0.03324984,0.04055017,0.00300000
90199,20040811,CBG,0.00000000,-0.00300000,0.00300000,0.01106772,-0.00719578,0.05236261,0.00940900
90199,20040812,CBG,-0.00259100,-0.01200000,0.00940900,0.00879770,-0.01116730,0.04757253,-0.00359700
90199,20040813,CBG,-0.00259700,0.00100000,-0.00359700,-0.01008738,-0.00863019,0.03158274,-0.01608300
90199,20040816,CBG,-0.00208300,0.01400000,-0.01608300,-0.03782302,-0.02514110,-0.00032404,-0.01818000
90199,20040817,CBG,-0.01618000,0.00200000,-0.01818000,-0.04332463,-0.03710489,-0.00378015,-0.00881700
90199,20040818,CBG,0.00318300,0.01200000,-0.00881700,-0.01205627,-0.03188484,-0.03851730,0.01510500
90199,20040819,CBG,0.01110500,-0.00400000,0.01510500,0.01416948,-0.02086025,-0.03214049,0.00764400
90199,20040820,CBG,0.01464400,0.00700000,0.00764400,0.01331169,-0.01396058,-0.02277879,-0.00934000
90199,20040823,CBG,-0.01134000,-0.00200000,-0.00934000,0.00442756,0.01089408,-0.01482730,0.00625600
90199,20040824,CBG,0.00625600,0.00000000,0.00625600,-0.00907666,0.01376505,-0.02395097,-0.00592700
90199,20040825,CBG,0.00207300,0.00800000,-0.00592700,0.00555606,0.00371066,-0.02861457,0.00517100
90199,20040826,CBG,0.00517100,0.00000000,0.00517100,-0.00846030,-0.01160329,-0.03275120,-0.00765800
90199,20040827,CBG,-0.00565800,0.00200000,-0.00765800,0.01015331,0.01057794,-0.00339863,0.01265600
90199,20040830,CBG,0.00465600,-0.00800000,0.01265600,0.00361907,0.00290080,0.01393980,-0.00139500
90199,20040831,CBG,0.00360500,0.00500000,-0.00139500,0.02225709,0.01973198,0.03395881,0.01082700
90199,20040901,CBG,0.01282700,0.00200000,0.01082700,0.01023420,0.01530157,0.01931272,0.00065100
90199,20040902,CBG,0.01165100,0.01100000,0.00065100,0.04798148,0.05979795,0.04791046,0.03554700
90199,20040903,CBG,0.03154700,-0.00400000,0.03554700,0.03665293,0.04685783,0.05824546,-0.00020400
90199,20040907,CBG,0.00679600,0.00700000,-0.00020400,0.01856548,0.03061615,0.03385312,-0.01625100
90199,20040908,CBG,-0.02025100,-0.00400000,-0.01625100,0.03385701,0.07212377,0.09358369,0.05115000
90199,20040909,CBG,0.05315000,0.00200000,0.05115000,0.07512827,0.11371652,0.13220968,0.03986000
90199,20040910,CBG,0.04486000,0.00500000,0.03986000,0.10121225,0.08312247,0.14910056,0.00694400
90199,20040913,CBG,0.00894400,0.00200000,0.00694400,0.05499496,0.09088099,0.14424396,0.00730900
90199,20040914,CBG,0.00930900,0.00200000,0.00730900,0.00883800,0.10282716,0.13794356,-0.00529700
90199,20040915,CBG,-0.01229700,-0.00700000,-0.00529700,-0.01437092,0.03194964,0.10711834,-0.01633900
90199,20040916,CBG,-0.01333900,0.00300000,-0.01633900,-0.03377872,-0.02006623,0.09169985,-0.01256200
90199,20040917,CBG,-0.00856200,0.00400000,-0.01256200,-0.00497081,-0.00304187,0.07945462,0.02418200
90199,20040920,CBG,0.01818200,-0.00600000,0.02418200,0.00369757,-0.01793256,0.07118657,-0.00778600
90199,20040921,CBG,-0.00178600,0.00600000,-0.00778600,0.03448985,0.00534386,0.10800938,0.01802500
90199,20040922,CBG,0.00402500,-0.01400000,0.01802500,0.03715007,0.04884019,0.08211227,0.02682600
90199,20040923,CBG,0.02182600,-0.00500000,0.02682600,0.02770131,0.04427585,0.02383798,-0.01682100
90199,20040924,CBG,-0.01482100,0.00200000,-0.01682100,0.01611848,0.02637745,0.02320026,0.00644200
90199,20040927,CBG,0.00044200,-0.00600000,0.00644200,0.00413849,0.04920281,0.03068924,0.01478700
90199,20040928,CBG,0.02078700,0.00600000,0.01478700,0.04205268,0.05206365,0.05731997,0.02026300
90199,20040929,CBG,0.02426300,0.00400000,0.02026300,0.01164679,0.00100175,0.05016747,-0.02284300
90199,20040930,CBG,-0.02284300,-0.00000000,-0.02284300,-0.00042983,0.02124068,0.06693809,0.00274900
90199,20041001,CBG,0.01774900,0.01500000,0.00274900,0.01494965,0.05180221,0.07941042,0.03570700
