PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
93429,20100615,CBOE,,0.02300000,,,,,-0.01192700
93429,20100616,CBOE,-0.01292700,-0.00100000,-0.01192700,,,,-0.01877400
93429,20100617,CBOE,-0.01777400,0.00100000,-0.01877400,-0.04655229,,,-0.01655600
93429,20100618,CBOE,-0.01555600,0.00100000,-0.01655600,0.00107062,,,0.03721500
93429,20100621,CBOE,0.03321500,-0.00400000,0.03721500,0.05673305,0.02511164,,0.03628700
93429,20100622,CBOE,0.02028700,-0.01600000,0.03628700,0.10252731,0.06488578,,0.02716600
93429,20100623,CBOE,0.02416600,-0.00300000,0.02716600,0.07464304,0.09535112,,0.01132500
93429,20100624,CBOE,-0.00567500,-0.01700000,0.01132500,-0.00195791,0.07078736,,-0.03964800
93429,20100625,CBOE,-0.03664800,0.00300000,-0.03964800,-0.00488557,0.05776634,,0.02413900
93429,20100628,CBOE,0.02213900,-0.00200000,0.02413900,-0.01592288,0.02093724,0.04493757,-0.00011600
93429,20100629,CBOE,-0.03111600,-0.03100000,-0.00011600,0.05757621,0.02828314,0.09077483,0.03487400
93429,20100630,CBOE,0.02487400,-0.01000000,0.03487400,-0.03178225,-0.04689897,0.04172355,-0.06581700
93429,20100701,CBOE,-0.06881700,-0.00300000,-0.06581700,-0.01043206,0.01252415,0.08018229,0.02314600
93429,20100702,CBOE,0.01814600,-0.00500000,0.02314600,-0.08146042,-0.04731676,0.00683865,-0.03934900
93429,20100706,CBOE,-0.03434900,0.00500000,-0.03934900,-0.06660670,-0.09726296,-0.07319010,-0.05012800
93429,20100707,CBOE,-0.01912800,0.03100000,-0.05012800,-0.10542883,-0.14588788,-0.11250208,-0.01652600
93429,20100708,CBOE,-0.00752600,0.00900000,-0.01652600,-0.07541338,-0.09174483,-0.13266048,-0.00837900
93429,20100709,CBOE,-0.00137900,0.00700000,-0.00837900,-0.10021237,-0.18541379,-0.16521967,-0.07590500
93429,20100712,CBOE,-0.07490500,0.00100000,-0.07590500,-0.06311352,-0.12977402,-0.16833745,0.02417900
93429,20100713,CBOE,0.03917900,0.01500000,0.02417900,-0.07227977,-0.09699409,-0.18967547,-0.01831200
93429,20100714,CBOE,-0.01831200,-0.00000000,-0.01831200,-0.02720855,-0.11067177,-0.24804669,-0.03172400
93429,20100715,CBOE,-0.03072400,0.00100000,-0.03172400,-0.02223996,-0.07452339,-0.16183013,0.02711300
93429,20100716,CBOE,-0.00188700,-0.02900000,0.02711300,-0.00889314,-0.00403707,-0.18752356,-0.00448800
93429,20100719,CBOE,0.00151200,0.00600000,-0.00448800,-0.00342117,-0.05211384,-0.17699294,-0.02647800
93429,20100720,CBOE,-0.01547800,0.01100000,-0.02647800,0.00220410,-0.00240914,-0.09689123,0.03332200
93429,20100721,CBOE,0.02032200,-0.01300000,0.03332200,-0.00042281,0.02284780,-0.08948556,-0.00721600
93429,20100722,CBOE,0.01578400,0.02300000,-0.00721600,0.02324883,-0.00868397,-0.08507134,-0.00356100
93429,20100723,CBOE,0.00443900,0.00800000,-0.00356100,-0.04666081,-0.03991602,-0.04365404,-0.03494100
93429,20100726,CBOE,-0.02394100,0.01100000,-0.03494100,-0.01214975,0.01461635,-0.03988277,0.02703800
93429,20100727,CBOE,0.02603800,-0.00100000,0.02703800,-0.00291855,-0.01390050,-0.01602086,0.00552900
93429,20100728,CBOE,-0.00147100,-0.00700000,0.00552900,0.01837616,-0.02021763,0.00238345,-0.01368000
93429,20100729,CBOE,-0.01768000,-0.00400000,-0.01368000,-0.01072771,-0.01916545,-0.02834713,-0.00262500
93429,20100730,CBOE,-0.00262500,0.00000000,-0.00262500,-0.00354837,0.02946890,-0.01082622,0.01333800
93429,20100802,CBOE,0.03533800,0.02200000,0.01333800,0.00485685,-0.00352667,0.01102336,-0.00553000
93429,20100803,CBOE,-0.01053000,-0.00500000,-0.00553000,-0.01885664,-0.03510700,-0.04998267,-0.02581700
93429,20100804,CBOE,-0.01981700,0.00600000,-0.02581700,-0.09946125,-0.09208569,-0.11152099,-0.07050900
93429,20100805,CBOE,-0.07150900,-0.00100000,-0.07050900,-0.12758060,-0.12314482,-0.14015828,-0.03632300
93429,20100806,CBOE,-0.04032300,-0.00400000,-0.03632300,-0.10256278,-0.13057943,-0.10620710,0.00214300
93429,20100809,CBOE,0.00714300,0.00500000,0.00214300,-0.06755482,-0.15590703,-0.15977742,-0.03446700
93429,20100810,CBOE,-0.04046700,-0.00600000,-0.03446700,-0.00671286,-0.10691933,-0.13910497,0.02582600
93429,20100811,CBOE,-0.00217400,-0.02800000,0.02582600,0.01112829,-0.02236030,-0.10940461,0.02068600
93429,20100812,CBOE,0.01568600,-0.00500000,0.02068600,0.03672824,0.00410735,-0.11482471,-0.00929900
93429,20100813,CBOE,-0.01329900,-0.00400000,-0.00929900,0.00200855,-0.00671969,-0.13087735,-0.00913000
93429,20100816,CBOE,-0.00913000,0.00000000,-0.00913000,-0.01610255,0.03038681,-0.12633539,0.00248000
93429,20100817,CBOE,0.01448000,0.01200000,0.00248000,-0.00822951,0.00305620,-0.10471196,-0.00143300
93429,20100818,CBOE,-0.00043300,0.00100000,-0.00143300,0.01342305,-0.00510689,-0.02697718,0.01224000
93429,20100819,CBOE,-0.00476000,-0.01700000,0.01224000,0.00913925,0.00254009,0.00652841,-0.00165200
93429,20100820,CBOE,-0.00565200,-0.00400000,-0.00165200,0.02008816,0.02137334,0.01368319,0.00968400
93429,20100823,CBOE,0.00568400,-0.00400000,0.00968400,-0.02974490,-0.01901204,0.01010523,-0.03760900
93429,20100824,CBOE,-0.05260900,-0.01500000,-0.03760900,-0.03647418,-0.02571721,-0.02295213,-0.00850700
93429,20100825,CBOE,-0.00550700,0.00300000,-0.00850700,-0.05483400,-0.04700937,-0.05134923,-0.00999700
93429,20100826,CBOE,-0.01799700,-0.00800000,-0.00999700,-0.05411155,-0.08017654,-0.07720175,-0.03626700
93429,20100827,CBOE,-0.01926700,0.01700000,-0.03626700,-0.04218505,-0.08523998,-0.06504183,0.00302100
93429,20100830,CBOE,-0.01197900,-0.01500000,0.00302100,-0.01913242,-0.03709762,-0.05391304,0.01406400
93429,20100831,CBOE,0.01406400,0.00000000,0.01406400,0.02617781,-0.02123596,-0.04623539,0.00873700
93429,20100901,CBOE,0.03873700,0.03000000,0.00873700,0.01651230,-0.01804650,-0.06563761,-0.00668700
93429,20100902,CBOE,0.00231300,0.00900000,-0.00668700,0.01238141,0.03021449,-0.05556997,0.01007300
93429,20100903,CBOE,0.02307300,0.01300000,0.01007300,0.01734054,0.04186528,-0.05121873,0.01370600
93429,20100907,CBOE,0.00270600,-0.01100000,0.01370600,0.00966700,0.01194917,-0.02739120,-0.01409700
