PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
90199,20180320,CBRE,0.01204800,0.00100000,0.01104800,,,,-0.00134200
90199,20180321,CBRE,-0.00334200,-0.00200000,-0.00134200,0.00843244,,,-0.00098500
90199,20180322,CBRE,-0.02598500,-0.02500000,-0.00098500,-0.00817148,,,-0.00610800
90199,20180323,CBRE,-0.02710800,-0.02100000,-0.00610800,-0.00062326,0.00884856,,0.00683500
90199,20180326,CBRE,0.03383500,0.02700000,0.00683500,0.01596363,0.01323337,,0.01550300
90199,20180327,CBRE,-0.00149700,-0.01700000,0.01550300,0.02621692,0.01788482,,0.00342800
90199,20180328,CBRE,0.00042800,-0.00300000,0.00342800,0.01628169,0.01675085,,-0.00286500
90199,20180329,CBRE,0.01113500,0.01400000,-0.00286500,0.00656960,0.02927157,,0.00590500
90199,20180402,CBRE,-0.01609500,-0.02200000,0.00590500,-0.00180018,0.01716768,0.02567626,-0.00503600
90199,20180403,CBRE,0.00796400,0.01300000,-0.00503600,-0.00196680,-0.00137830,0.01206944,-0.00303100
90199,20180404,CBRE,0.00896900,0.01200000,-0.00303100,-0.00370435,-0.00041412,0.01790442,0.00442900
90199,20180405,CBRE,0.01142900,0.00700000,0.00442900,0.00120161,0.00221512,0.01879033,-0.00018000
90199,20180406,CBRE,-0.02218000,-0.02200000,-0.00018000,0.01262378,0.00478631,0.03455939,0.00855600
90199,20180409,CBRE,0.01155600,0.00300000,0.00855600,0.00406479,0.00556121,0.02302422,-0.00430700
90199,20180410,CBRE,0.01269300,0.01700000,-0.00430700,-0.00301701,0.00122348,-0.00013790,-0.00716100
90199,20180411,CBRE,-0.01316100,-0.00600000,-0.00716100,-0.02025481,-0.01169334,-0.01238021,-0.00863500
90199,20180412,CBRE,-0.00063500,0.00800000,-0.00863500,-0.02526762,-0.02154385,-0.01906316,-0.00970900
90199,20180413,CBRE,-0.01270900,-0.00300000,-0.00970900,-0.00581837,-0.01749777,-0.01290142,0.01281100
90199,20180416,CBRE,0.02081100,0.00800000,0.01281100,0.00197372,-0.01404552,-0.00869607,-0.00091200
90199,20180417,CBRE,0.01008800,0.01100000,-0.00091200,0.00756914,-0.01121198,-0.00995533,-0.00432900
90199,20180418,CBRE,-0.00332900,0.00100000,-0.00432900,-0.00656977,-0.00374280,-0.01551870,-0.00130700
90199,20180419,CBRE,-0.00730700,-0.00600000,-0.00130700,0.00085200,0.01273150,-0.00894976,0.00647600
90199,20180420,CBRE,-0.00252400,-0.00900000,0.00647600,0.00200147,-0.00319174,-0.02065595,-0.00316300
90199,20180423,CBRE,-0.00316300,0.00000000,-0.00316300,0.00800186,0.00243391,-0.01122583,0.00475100
90199,20180424,CBRE,-0.00824900,-0.01300000,0.00475100,-0.03198559,-0.02659492,-0.03788911,-0.03399000
90199,20180425,CBRE,-0.03199000,0.00200000,-0.03399000,-0.04243410,-0.03887590,-0.04286078,-0.01374500
90199,20180426,CBRE,-0.00374500,0.01000000,-0.01374500,-0.03905065,-0.03697085,-0.02489150,0.00895100
90199,20180427,CBRE,0.00995100,0.00100000,0.00895100,-0.00468487,-0.03353124,-0.03648556,0.00011700
90199,20180430,CBRE,-0.00788300,-0.00800000,0.00011700,0.01685398,-0.03118953,-0.02797697,0.00781400
90199,20180501,CBRE,0.01081400,0.00300000,0.00781400,0.02556403,0.02093844,-0.00672415,0.01769900
90199,20180502,CBRE,0.01069900,-0.00700000,0.01769900,0.02035842,0.02934233,-0.01046684,-0.00512900
90199,20180503,CBRE,-0.00712900,-0.00200000,-0.00512900,0.01640912,0.02435618,-0.01347611,0.00375400
90199,20180504,CBRE,0.01675400,0.01300000,0.00375400,-0.01422297,0.01147838,-0.02286409,-0.01263000
90199,20180507,CBRE,-0.00963000,0.00300000,-0.01263000,-0.00472422,0.00793919,-0.02365039,0.00432200
90199,20180508,CBRE,0.00432200,-0.00000000,0.00432200,-0.01345806,-0.01507358,0.00607159,-0.00505200
90199,20180509,CBRE,0.00494800,0.01000000,-0.00505200,0.00165401,-0.00758411,0.02267387,0.00234700
90199,20180510,CBRE,0.01134700,0.00900000,0.00234700,-0.00908011,-0.01755756,0.00698032,-0.00623400
90199,20180511,CBRE,-0.00423400,0.00200000,-0.00623400,-0.00667700,-0.00745610,0.00411690,-0.00270100
90199,20180514,CBRE,-0.00170100,0.00100000,-0.00270100,-0.00254402,-0.00531333,0.00266601,0.00636100
90199,20180515,CBRE,-0.00063900,-0.00700000,0.00636100,0.01010866,0.00623518,-0.00891695,0.00644100
90199,20180516,CBRE,0.01044100,0.00400000,0.00644100,0.01382029,0.00484448,-0.00259686,0.00100000
90199,20180517,CBRE,0.00000000,-0.00100000,0.00100000,0.01066720,0.01431025,-0.00304669,0.00321100
90199,20180518,CBRE,0.00021100,-0.00300000,0.00321100,0.00356236,0.01645874,0.00924493,-0.00067500
90199,20180521,CBRE,0.00632500,0.00700000,-0.00067500,0.00451547,0.01201480,0.00679672,0.00195200
90199,20180522,CBRE,-0.00104800,-0.00300000,0.00195200,0.00186319,0.00610100,0.01244741,0.00056500
90199,20180523,CBRE,0.00356500,0.00300000,0.00056500,0.00242692,0.00499603,0.00986905,-0.00009000
90199,20180524,CBRE,-0.00209000,-0.00200000,-0.00009000,-0.00150943,-0.00022728,0.01412354,-0.00197900
90199,20180525,CBRE,-0.00397900,-0.00200000,-0.00197900,-0.01038404,-0.00792817,0.00813794,-0.00839500
90199,20180529,CBRE,-0.02039500,-0.01200000,-0.00839500,-0.01287367,-0.01241963,-0.00060528,-0.00248300
90199,20180530,CBRE,0.01051700,0.01300000,-0.00248300,-0.02264371,-0.02455849,-0.01874198,-0.01190400
90199,20180531,CBRE,-0.01890400,-0.00700000,-0.01190400,-0.02813548,-0.03794397,-0.03319815,-0.01359800
90199,20180601,CBRE,-0.00259800,0.01100000,-0.01359800,-0.00963754,-0.02056356,-0.02084917,0.01618700
90199,20180604,CBRE,0.02018700,0.00400000,0.01618700,0.01381819,-0.00102799,-0.00910652,0.01112800
90199,20180605,CBRE,0.01212800,0.00100000,0.01112800,0.02914726,0.00278961,-0.00988901,0.00130100
90199,20180606,CBRE,0.01030100,0.00900000,0.00130100,0.00844832,0.01111150,-0.01442625,-0.00399400
90199,20180607,CBRE,-0.00499400,-0.00100000,-0.00399400,0.01042721,0.03862609,-0.00128678,0.01310200
90199,20180608,CBRE,0.01610200,0.00300000,0.01310200,0.00698813,0.01972829,-0.00133566,-0.00202900
90199,20180611,CBRE,-0.00102900,0.00100000,-0.00202900,0.01322735,0.01054504,0.00972443,0.00212000
90199,20180612,CBRE,0.00412000,0.00200000,0.00212000,-0.01236792,-0.00348289,-0.00076304,-0.01241400
90199,20180613,CBRE,-0.01641400,-0.00400000,-0.01241400,-0.00493337,0.00604552,0.01741471,0.00550900
90199,20180614,CBRE,0.00750900,0.00200000,0.00550900,0.00095317,0.00104057,0.03972308,0.00803900
90199,20180615,CBRE,0.00703900,-0.00100000,0.00803900,0.01789981,0.00733534,0.02724460,0.00426200
90199,20180618,CBRE,0.00226200,-0.00200000,0.00426200,0.01547420,0.00836333,0.01901937,0.00317900
90199,20180619,CBRE,-0.00082100,-0.00400000,0.00317900,0.01243312,0.02616300,0.02262524,0.00498000
90199,20180620,CBRE,0.00698000,0.00200000,0.00498000,0.00737979,0.01966491,0.02584148,-0.00072800
90199,20180621,CBRE,-0.00672800,-0.00600000,-0.00072800,0.00386737,0.01128905,0.01233290,-0.00035800
90199,20180622,CBRE,0.00164200,0.00200000,-0.00035800,-0.02139172,-0.01350864,-0.00637790,-0.02042600
90199,20180625,CBRE,-0.03442600,-0.01400000,-0.02042600,-0.02094116,-0.01677085,-0.00851446,-0.00009000
90199,20180626,CBRE,0.00191000,0.00200000,-0.00009000,-0.01330173,-0.01429628,0.01088563,0.00730500
90199,20180627,CBRE,-0.00169500,-0.00900000,0.00730500,0.00594084,-0.01504469,0.00423229,-0.00133200
90199,20180628,CBRE,0.00466800,0.00600000,-0.00133200,0.01328350,-0.00766075,0.00344438,0.00723700
90199,20180629,CBRE,0.00823700,0.00100000,0.00723700,0.00121861,0.00852114,-0.00531211,-0.00467600
90199,20180702,CBRE,-0.00167600,0.00300000,-0.00467600,0.00650827,0.01254051,-0.00454829,0.00395100
90199,20180703,CBRE,-0.00104900,-0.00500000,0.00395100,0.00245874,0.00846929,-0.00635897,0.00318200
90199,20180705,CBRE,0.01218200,0.00900000,0.00318200,0.00773621,0.01036146,-0.00521587,0.00050800
90199,20180706,CBRE,0.00850800,0.00800000,0.00050800,0.00717081,0.00642443,-0.00156093,0.00334600
90199,20180709,CBRE,0.01234600,0.00900000,0.00334600,0.00394876,0.01130215,0.02015866,0.00004900
90199,20180710,CBRE,0.00304900,0.00300000,0.00004900,-0.01337880,-0.00991695,0.00281667,-0.01650600
90199,20180711,CBRE,-0.02350600,-0.00700000,-0.01650600,-0.01673151,-0.01317590,-0.00481578,-0.00007700
90199,20180712,CBRE,0.00892300,0.00900000,-0.00007700,-0.00780270,-0.00450739,0.00589052,0.00907800
