PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
92988,20090901,CFN,,-0.02200000,,,,,-0.05981400
92988,20090902,CFN,-0.06281400,-0.00300000,-0.05981400,,,,-0.00685500
92988,20090903,CFN,0.00214500,0.00900000,-0.00685500,-0.08940213,,,-0.02316600
92988,20090904,CFN,-0.01016600,0.01300000,-0.02316600,-0.04203997,,,-0.01170300
92988,20090908,CFN,-0.00270300,0.00900000,-0.01170300,-0.03243457,-0.09926196,,0.00284000
92988,20090909,CFN,0.01084000,0.00800000,0.00284000,0.00735110,-0.02368935,,0.01627300
92988,20090910,CFN,0.02627300,0.01000000,0.01627300,0.02792454,-0.00798899,,0.00831500
92988,20090911,CFN,0.00731500,-0.00100000,0.00831500,0.03106825,0.02222108,,0.00592900
92988,20090914,CFN,0.01192900,0.00600000,0.00592900,0.07401828,0.09625899,,0.05850700
92988,20090915,CFN,0.06150700,0.00300000,0.05850700,0.11070056,0.13982906,0.02847242,0.04149400
92988,20090916,CFN,0.05649400,0.01500000,0.04149400,0.08341952,0.09958434,0.07803615,-0.01756700
92988,20090917,CFN,-0.02056700,-0.00300000,-0.01756700,0.03812271,0.10707862,0.10227692,0.01473200
92988,20090918,CFN,0.01773200,0.00300000,0.01473200,-0.02258581,0.07779010,0.10459094,-0.01946700
92988,20090921,CFN,-0.02246700,-0.00300000,-0.01946700,-0.00652424,0.01621853,0.11629593,-0.00137100
92988,20090922,CFN,0.00562900,0.00700000,-0.00137100,-0.03703868,-0.04009151,0.09194539,-0.01658600
92988,20090923,CFN,-0.02658600,-0.01000000,-0.01658600,-0.02495330,-0.02988277,0.06482688,-0.00725000
92988,20090924,CFN,-0.01725000,-0.01000000,-0.00725000,0.01178777,-0.00881576,0.09476056,0.03671700
92988,20090925,CFN,0.03071700,-0.00600000,0.03671700,0.04278789,0.02381611,0.10371436,0.01322000
92988,20090928,CFN,0.03122000,0.01800000,0.01322000,0.06229188,0.03588073,0.05319810,0.01071600
92988,20090929,CFN,0.00871600,-0.00200000,0.01071600,0.01830455,0.04779146,0.00562332,-0.00564000
92988,20090930,CFN,-0.00864000,-0.00300000,-0.00564000,0.01939686,0.07004659,0.03773456,0.01453200
92988,20091001,CFN,-0.01146800,-0.02600000,0.01453200,0.01331379,0.03727424,0.02747521,0.00453600
92988,20091002,CFN,-0.00046400,-0.00500000,0.00453600,-0.00889606,-0.00398296,0.01923749,-0.02846300
92988,20091005,CFN,-0.01346300,0.01500000,-0.02846300,-0.00271762,0.00646438,0.04231166,0.02176500
92988,20091006,CFN,0.03576500,0.01400000,0.02176500,-0.01094109,0.00874456,0.05694627,-0.00345400
92988,20091007,CFN,-0.00045400,0.00300000,-0.00345400,0.05160416,0.02646386,0.10025679,0.03209100
92988,20091008,CFN,0.03909100,0.00700000,0.03209100,0.04025696,0.03362704,0.07324326,0.01106000
92988,20091009,CFN,0.01706000,0.00600000,0.01106000,0.02790538,0.04745503,0.04213773,-0.01518300
92988,20091012,CFN,-0.01118300,0.00400000,-0.01518300,-0.01836814,0.00972075,0.01630443,-0.01396400
92988,20091013,CFN,-0.01696400,-0.00300000,-0.01396400,-0.04266171,-0.00047776,0.00854483,-0.01357500
92988,20091014,CFN,0.00442500,0.01800000,-0.01357500,-0.02422525,-0.02878320,-0.00329579,0.00348900
92988,20091015,CFN,0.00748900,0.00400000,0.00348900,-0.00947001,-0.03855272,-0.00748536,0.00056700
92988,20091016,CFN,-0.00743300,-0.00800000,0.00056700,0.00652270,-0.02125551,0.02540586,0.00245400
92988,20091019,CFN,0.01145400,0.00900000,0.00245400,-0.01678466,-0.02705858,-0.01789904,-0.01969700
92988,20091020,CFN,-0.02569700,-0.00600000,-0.01969700,-0.03444836,-0.03044052,-0.03188200,-0.01737500
92988,20091021,CFN,-0.02637500,-0.00900000,-0.01737500,-0.00634299,-0.00337240,-0.03206536,0.03215900
92988,20091022,CFN,0.04315900,0.01100000,0.03215900,0.02174450,0.00412205,-0.03425038,0.00803900
92988,20091023,CFN,-0.00396100,-0.01200000,0.00803900,0.05444173,0.01567364,-0.00500996,0.01421000
92988,20091026,CFN,0.00221000,-0.01200000,0.01421000,0.01710169,0.03074578,0.00404901,-0.00493700
92988,20091027,CFN,-0.00793700,-0.00300000,-0.00493700,0.02892021,0.06881579,0.03667474,0.02000000
92988,20091028,CFN,0.00000000,-0.02000000,0.02000000,0.04499981,0.06700658,0.06327670,0.02988900
92988,20091029,CFN,0.05288900,0.02300000,0.02988900,0.01975314,0.02862380,0.03249223,-0.02772000
92988,20091030,CFN,-0.05572000,-0.02800000,-0.02772000,-0.00743337,0.00763345,0.02285937,-0.00734100
92988,20091102,CFN,-0.00134100,0.00600000,-0.00734100,-0.05028166,-0.00360971,0.02657017,-0.01632400
92988,20091103,CFN,-0.01432400,0.00200000,-0.01632400,-0.00097349,-0.00110303,0.06790512,0.02306900
92988,20091104,CFN,0.02406900,0.00100000,0.02306900,0.05179937,0.01326118,0.08079388,0.04485800
92988,20091105,CFN,0.06385800,0.01900000,0.04485800,0.03686575,0.01208515,0.04146534,-0.03009500
92988,20091106,CFN,-0.02709500,0.00300000,-0.03009500,0.02108912,0.02797050,0.03554857,0.00756300
92988,20091109,CFN,0.02956300,0.02200000,0.00756300,0.00744726,0.07929910,0.07383312,0.03079500
92988,20091110,CFN,0.03079500,-0.00000000,0.03079500,0.05086808,0.06597761,0.06496630,0.01074500
92988,20091111,CFN,0.01574500,0.00500000,0.01074500,0.03792541,0.01470774,0.02841893,-0.00351400
92988,20091112,CFN,-0.01351400,-0.01000000,-0.00351400,0.00715369,0.04689647,0.06129234,0.00004300
92988,20091113,CFN,0.00604300,0.00600000,0.00004300,0.00362871,0.04623959,0.07812572,0.00722500
92988,20091116,CFN,0.02122500,0.01400000,0.00722500,0.00830668,0.01554089,0.09804547,0.00096100
92988,20091117,CFN,0.00196100,0.00100000,0.00096100,0.00781340,0.00420920,0.07139270,-0.00039100
92988,20091118,CFN,-0.00039100,-0.00000000,-0.00039100,-0.00053596,0.00667361,0.02172740,-0.00109600
92988,20091119,CFN,-0.01409600,-0.01300000,-0.00109600,-0.00321745,0.00479020,0.05196555,-0.00176600
92988,20091120,CFN,-0.00476600,-0.00300000,-0.00176600,0.02097763,0.02157848,0.06908321,0.02430800
92988,20091123,CFN,0.03830800,0.01400000,0.02430800,0.04763740,0.04545130,0.06237393,0.02444300
92988,20091124,CFN,0.02344300,-0.00100000,0.02444300,0.03462195,0.03108629,0.03577255,-0.01438800
92988,20091125,CFN,-0.00938800,0.00500000,-0.01438800,0.00423347,0.02648327,0.03352591,-0.00536500
92988,20091127,CFN,-0.02236500,-0.01700000,-0.00536500,-0.02190746,0.02597912,0.03088568,-0.00244900
92988,20091130,CFN,0.00155100,0.00400000,-0.00244900,-0.01886582,-0.00929896,0.01214957,-0.01122600
92988,20091201,CFN,0.00077400,0.01200000,-0.01122600,-0.01217108,-0.03155738,0.01273132,0.00154700
92988,20091202,CFN,0.00154700,0.00000000,0.00154700,-0.04842628,-0.05522759,-0.02624410,-0.03873600
92988,20091203,CFN,-0.04673600,-0.00800000,-0.03873600,-0.04978956,-0.06359894,-0.03828647,-0.01288800
92988,20091204,CFN,-0.00688800,0.00600000,-0.01288800,-0.04114685,-0.05088103,-0.02625986,0.01056800
92988,20091207,CFN,0.00856800,-0.00200000,0.01056800,-0.00691377,-0.04363665,-0.05252028,-0.00456300
92988,20091208,CFN,-0.01456300,-0.01000000,-0.00456300,-0.01073995,-0.06101010,-0.09055466,-0.01672600
92988,20091209,CFN,-0.01272600,0.00400000,-0.01672600,-0.02743217,-0.02984347,-0.08336389,-0.00641600
92988,20091210,CFN,-0.00041600,0.00600000,-0.00641600,-0.01078032,-0.00477171,-0.06825565,0.01263900
92988,20091211,CFN,0.01663900,0.00400000,0.01263900,0.00743766,-0.01418765,-0.06501618,0.00118300
92988,20091214,CFN,0.00818300,0.00700000,0.00118300,0.00502175,-0.01831982,-0.06155661,-0.00861000
92988,20091215,CFN,-0.01461000,-0.00600000,-0.00861000,-0.00768696,-0.00160738,-0.06323552,-0.00017600
92988,20091216,CFN,0.00082400,0.00100000,-0.00017600,-0.00659291,0.00693672,-0.02290444,0.00212300
92988,20091217,CFN,-0.00987700,-0.01200000,0.00212300,0.04667554,0.03890356,0.03404041,0.04512200
92988,20091218,CFN,0.05112200,0.00600000,0.04512200,0.04740184,0.03791293,0.02360496,0.00007200
92988,20091221,CFN,0.01107200,0.01100000,0.00007200,0.06282250,0.06424527,0.04553327,0.01594500
92988,20091222,CFN,0.01994500,0.00400000,0.01594500,0.01693169,0.06523273,0.06428595,0.00068400
92988,20091223,CFN,0.00268400,0.00200000,0.00068400,0.01946606,0.06688606,0.07407467,0.00264800
92988,20091224,CFN,0.00764800,0.00500000,0.00264800,0.00770353,0.02426791,0.06491732,0.00431300
92988,20091228,CFN,0.00531300,0.00100000,0.00431300,-0.01494188,0.00147719,0.03986432,-0.02165000
92988,20091229,CFN,-0.02265000,-0.00100000,-0.02165000,-0.04705742,-0.04420204,0.01721662,-0.03012700
92988,20091230,CFN,-0.03012700,0.00000000,-0.03012700,-0.04487920,-0.03854298,0.02342594,0.00601800
92988,20091231,CFN,-0.00398200,-0.01000000,0.00601800,-0.04291932,-0.05972838,0.00186338,-0.01919900
92988,20100104,CFN,-0.00319900,0.01600000,-0.01919900,-0.02677819,-0.07693039,-0.05612232,-0.01383000
92988,20100105,CFN,-0.01083000,0.00300000,-0.01383000,-0.02846393,-0.05196690,-0.05112546,0.00467700
92988,20100106,CFN,0.00567700,0.00100000,0.00467700,-0.00039782,-0.01350757,-0.05782189,0.00890300
92988,20100107,CFN,0.01290300,0.00400000,0.00890300,0.05280747,0.01876112,-0.02164886,0.03840100
92988,20100108,CFN,0.04140100,0.00300000,0.03840100,0.06516751,0.05552695,-0.00797410,0.01634900
92988,20100111,CFN,0.01834900,0.00200000,0.01634900,0.02235116,0.03636216,-0.04315287,-0.03079000
92988,20100112,CFN,-0.03979000,-0.00900000,-0.03079000,-0.01659819,0.03036211,-0.02329589,-0.00135400
92988,20100113,CFN,0.00664600,0.00800000,-0.00135400,-0.02532557,0.02869713,0.01512080,0.00732000
92988,20100114,CFN,0.00932000,0.00200000,0.00732000,0.00148448,-0.01368485,0.00429498,-0.00439100
92988,20100115,CFN,-0.01539100,-0.01100000,-0.00439100,0.00778920,-0.02493227,0.02903915,0.00497600
92988,20100119,CFN,0.01797600,0.01300000,0.00497600,0.03955945,0.04615042,0.08426198,0.03902300
92988,20100120,CFN,0.02802300,-0.01100000,0.03902300,0.07892122,0.08119013,0.11387155,0.03356300
92988,20100121,CFN,0.01456300,-0.01900000,0.03356300,0.10871696,0.10939619,0.14046522,0.03598600
92988,20100122,CFN,0.01398600,-0.02200000,0.03598600,0.06267035,0.10863281,0.09304612,-0.00681500
92988,20100125,CFN,-0.00181500,0.00500000,-0.00681500,0.03392306,0.10663508,0.08059284,0.00472700
92988,20100126,CFN,0.00072700,-0.00400000,0.00472700,-0.02812723,0.04081364,0.08727080,-0.02607600
92988,20100127,CFN,-0.02107600,0.00500000,-0.02607600,-0.03842374,-0.00995756,0.06841395,-0.01769600
92988,20100128,CFN,-0.02969600,-0.01200000,-0.01769600,-0.04732853,-0.04931110,0.05537212,-0.00492000
92988,20100129,CFN,-0.01492000,-0.01000000,-0.00492000,-0.02633563,-0.04696887,0.05737454,-0.00390300
92988,20100201,CFN,0.01009700,0.01400000,-0.00390300,0.01216389,-0.03226079,0.07359148,0.02121800
92988,20100202,CFN,0.03421800,0.01300000,0.02121800,0.00086658,-0.02195608,0.01871350,-0.01581800
92988,20100203,CFN,-0.02081800,-0.00500000,-0.01581800,0.01908167,0.01035901,0.00020331,0.01429500
92988,20100204,CFN,-0.01670500,-0.03100000,0.01429500,-0.00124856,0.01559813,-0.03440339,0.00008900
92988,20100205,CFN,0.00308900,0.00300000,0.00008900,0.01785722,0.02266129,-0.02416407,0.00361100
92988,20100208,CFN,-0.00538900,-0.00900000,0.00361100,0.00661889,0.00503346,-0.02639879,0.00286700
92988,20100209,CFN,0.01586700,0.01300000,0.00286700,0.01621545,0.03044625,0.00838885,0.00961900
92988,20100210,CFN,0.00761900,-0.00200000,0.00961900,-0.02263199,-0.01879102,-0.00810482,-0.03457500
92988,20100211,CFN,-0.02457500,0.01000000,-0.03457500,-0.04609965,-0.04003698,-0.02465828,-0.02141900
92988,20100212,CFN,-0.02441900,-0.00300000,-0.02141900,-0.06781869,-0.05646978,-0.03261577,-0.01204100
92988,20100216,CFN,0.00595900,0.01800000,-0.01204100,-0.00311514,-0.02866245,-0.02279979,0.03115000
92988,20100217,CFN,0.03515000,0.00400000,0.03115000,0.01209212,-0.04547503,-0.01411044,-0.00700000
92988,20100218,CFN,0.00000000,0.00700000,-0.00700000,0.02407511,-0.01036214,-0.02964289,-0.00009200
92988,20100219,CFN,0.00190800,0.00200000,-0.00009200,-0.00113751,0.01821615,-0.02360004,0.00595000
92988,20100222,CFN,0.00495000,-0.00100000,0.00595000,0.00033072,0.02419880,-0.03275191,-0.00543100
92988,20100223,CFN,-0.01743100,-0.01200000,-0.00543100,-0.01287675,-0.01998516,-0.04878532,-0.01347100
92988,20100224,CFN,-0.00347100,0.01000000,-0.01347100,-0.03453569,-0.02892757,-0.07399812,-0.01618900
92988,20100225,CFN,-0.01818900,-0.00200000,-0.01618900,-0.03559825,-0.03472634,-0.04566495,-0.00612400
92988,20100226,CFN,-0.00512400,0.00100000,-0.00612400,0.00068718,-0.01821691,-0.00075897,0.02367700
92988,20100301,CFN,0.03367700,0.01000000,0.02367700,0.00234043,-0.02767247,-0.00362935,-0.01464900
92988,20100302,CFN,-0.01264900,0.00200000,-0.01464900,-0.00647385,-0.02880845,-0.04860687,-0.01475200
92988,20100303,CFN,-0.01475200,0.00000000,-0.01475200,-0.03092259,-0.01432542,-0.04328807,-0.00163600
92988,20100304,CFN,0.00236400,0.00400000,-0.00163600,-0.00990460,-0.00137166,-0.03709669,0.00683300
92988,20100305,CFN,0.02083300,0.01400000,0.00683300,0.00361449,-0.02622571,-0.04451051,-0.00154000
92988,20100308,CFN,-0.00154000,-0.00000000,-0.00154000,-0.00148425,-0.01815179,-0.04626125,-0.00662800
92988,20100309,CFN,-0.00462800,0.00200000,-0.00662800,-0.01894703,-0.01416080,-0.04344291,-0.01081200
92988,20100310,CFN,-0.00581200,0.00500000,-0.01081200,-0.02260790,-0.01772441,-0.03245962,-0.00516900
92988,20100311,CFN,-0.00116900,0.00400000,-0.00516900,-0.00940738,-0.01758389,-0.01947924,0.00663300
92988,20100312,CFN,0.00663300,-0.00000000,0.00663300,0.00106617,-0.01643769,-0.04285205,-0.00038800
92988,20100315,CFN,-0.00038800,0.00000000,-0.00038800,-0.00292784,-0.01902954,-0.03752850,-0.00916300
92988,20100316,CFN,-0.00116300,0.00800000,-0.00916300,-0.02955199,-0.02823646,-0.04296513,-0.01997500
92988,20100317,CFN,-0.01397500,0.00600000,-0.01997500,-0.02800669,-0.02185138,-0.03998798,0.00118100
92988,20100318,CFN,0.00118100,-0.00000000,0.00118100,-0.02348564,-0.03300908,-0.05053476,-0.00483100
92988,20100319,CFN,-0.00983100,-0.00500000,-0.00483100,-0.00509356,-0.03418564,-0.05066923,-0.00142600
92988,20100322,CFN,0.00357400,0.00500000,-0.00142600,-0.01719900,-0.03592044,-0.05512809,-0.01095700
92988,20100323,CFN,-0.00395700,0.00700000,-0.01095700,-0.01491789,-0.01847583,-0.04657987,-0.00254900
92988,20100324,CFN,-0.00754900,-0.00500000,-0.00254900,-0.01064539,-0.01684529,-0.03856383,0.00280100
92988,20100325,CFN,0.00080100,-0.00200000,0.00280100,0.01712128,0.00475697,-0.02856336,0.01700000
92988,20100326,CFN,0.01800000,0.00100000,0.01700000,0.02783402,0.01400643,-0.02069979,0.00775200
92988,20100329,CFN,0.01375200,0.00600000,0.00775200,0.05619391,0.05605192,0.01884886,0.03023300
92988,20100330,CFN,0.03023300,0.00000000,0.03023300,0.03552519,0.05607002,0.03663049,-0.00264300
92988,20100331,CFN,-0.00564300,-0.00300000,-0.00264300,0.01036328,0.03578778,0.01815183,-0.01683700
92988,20100401,CFN,-0.00983700,0.00700000,-0.01683700,-0.02028728,0.01767390,0.02270640,-0.00074000
92988,20100405,CFN,0.00726000,0.00800000,-0.00074000,-0.01897750,0.00844700,0.02282717,-0.00124100
92988,20100406,CFN,0.00075900,0.00200000,-0.00124100,-0.00089897,-0.02036528,0.03499144,0.00107200
92988,20100407,CFN,-0.00492800,-0.00600000,0.00107200,-0.00276930,-0.02044825,0.03522072,-0.00261900
92988,20100408,CFN,0.00038100,0.00300000,-0.00261900,0.00324160,0.00126821,0.03761697,0.00480500
92988,20100409,CFN,0.01180500,0.00700000,0.00480500,-0.00480311,-0.00494572,0.01269238,-0.00689300
92988,20100412,CFN,-0.00489300,0.00200000,-0.00689300,0.01777589,0.01614877,0.02501774,0.01980200
92988,20100413,CFN,0.02080200,0.00100000,0.01980200,-0.00387372,-0.00172093,-0.02255762,-0.01655800
92988,20100414,CFN,-0.00555800,0.01100000,-0.01655800,0.00513129,0.00297868,-0.01794174,0.00198100
92988,20100415,CFN,0.00298100,0.00100000,0.00198100,0.01085034,0.02377353,0.02540360,0.02528700
92988,20100416,CFN,0.00928700,-0.01600000,0.02528700,0.04138850,0.04510049,0.04028274,0.01377100
92988,20100419,CFN,0.01877100,0.00500000,0.01377100,0.03623055,0.02157814,0.03836805,-0.00330300
92988,20100420,CFN,0.00469700,0.00800000,-0.00330300,0.02109842,0.04899787,0.04838365,0.01034900
92988,20100421,CFN,0.00934900,-0.00100000,0.01034900,0.00038765,0.04006499,0.04404416,-0.00663100
92988,20100422,CFN,-0.00463100,0.00200000,-0.00663100,-0.00800496,0.00240683,0.02673750,-0.01165300
92988,20100423,CFN,-0.00465300,0.00700000,-0.01165300,-0.03490314,-0.02826175,0.01605470,-0.01685600
92988,20100426,CFN,-0.02085600,-0.00400000,-0.01685600,-0.02607430,-0.02259336,-0.00211420,0.00170000
92988,20100427,CFN,-0.02130000,-0.02300000,0.00170000,-0.00158494,-0.01946154,0.02804444,0.01388700
92988,20100428,CFN,0.01988700,0.00600000,0.01388700,0.01390815,-0.01470543,0.02474620,-0.00159500
92988,20100429,CFN,0.01140500,0.01300000,-0.00159500,0.03314222,0.01693004,0.01967502,0.02027400
92988,20100430,CFN,0.00327400,-0.01700000,0.02027400,-0.00430922,0.01113351,-0.01706722,-0.02315200
92988,20100503,CFN,-0.01015200,0.01300000,-0.02315200,0.06704348,0.08124750,0.05548156,0.07015400
92988,20100504,CFN,0.04615400,-0.02400000,0.07015400,0.06754403,0.08713005,0.06534137,0.02030500
92988,20100505,CFN,0.01330500,-0.00700000,0.02030500,0.07356642,0.07053411,0.05566028,-0.01361200
92988,20100506,CFN,-0.04561200,-0.03200000,-0.01361200,-0.03083971,0.01241800,0.02816342,-0.03786000
92988,20100507,CFN,-0.05286000,-0.01500000,-0.03786000,-0.07525391,0.01071528,0.02148378,-0.02603400
92988,20100510,CFN,0.01796600,0.04400000,-0.02603400,-0.06689136,-0.05867951,0.01718434,-0.00300800
92988,20100511,CFN,-0.00600800,-0.00300000,-0.00300800,-0.04703048,-0.09480020,-0.01325626,-0.01740000
92988,20100512,CFN,-0.00340000,0.01400000,-0.01740000,-0.02098117,-0.08433753,-0.01228840,-0.00088800
92988,20100513,CFN,-0.01288800,-0.01200000,-0.00088800,-0.00659769,-0.03519463,-0.02067944,0.01131900
92988,20100514,CFN,-0.00768100,-0.01900000,0.01131900,-0.00166057,-0.02138429,-0.01034961,-0.01222300
92988,20100517,CFN,-0.01122300,0.00100000,-0.01222300,0.00642005,-0.01118628,-0.06728721,0.00734600
92988,20100518,CFN,-0.00665400,-0.01400000,0.00734600,-0.00101446,0.00912338,-0.08191748,0.00381800
92988,20100519,CFN,-0.00118200,-0.00500000,0.00381800,0.02431418,0.02310345,-0.05629952,0.01375300
92988,20100520,CFN,-0.02524700,-0.03900000,0.01375300,0.00345717,-0.00125171,-0.03494960,-0.01459500
92988,20100521,CFN,0.00040500,0.01500000,-0.01459500,0.02424752,0.03474581,0.01313900,0.02513600
92988,20100524,CFN,0.01213600,-0.01300000,0.02513600,0.00062352,0.01804429,0.00658567,-0.00999200
92988,20100525,CFN,-0.00999200,0.00000000,-0.00999200,0.01932646,0.01858395,0.02658903,0.00438500
92988,20100526,CFN,-0.00161500,-0.00600000,0.00438500,-0.00442024,0.00655306,0.02998384,0.00137100
92988,20100527,CFN,0.03437100,0.03300000,0.00137100,0.01176065,0.02702470,0.02460000,0.00574500
92988,20100528,CFN,-0.00625500,-0.01200000,0.00574500,0.01009024,0.00436422,0.03892340,0.00283800
92988,20100601,CFN,-0.01416200,-0.01700000,0.00283800,0.01605490,0.02245751,0.04037998,0.00752000
92988,20100602,CFN,0.03352000,0.02600000,0.00752000,0.00747095,0.01506838,0.03390552,-0.00284200
92988,20100603,CFN,0.00115800,0.00400000,-0.00284200,-0.00545556,0.00308133,0.00952287,-0.00957900
92988,20100604,CFN,-0.04357900,-0.03400000,-0.00957900,-0.00030184,0.00956637,0.03590176,0.01238700
92988,20100607,CFN,-0.00161300,-0.01400000,0.01238700,0.00542312,0.01005333,0.01439845,0.00313600
92988,20100608,CFN,0.01413600,0.01100000,0.00313600,0.02082822,0.00772088,0.02965487,0.00520300
92988,20100609,CFN,-0.00079700,-0.00600000,0.00520300,-0.01286951,-0.00980227,0.00457786,-0.02123200
92988,20100610,CFN,0.00876800,0.03000000,-0.02123200,-0.01238446,0.00355181,0.00660087,0.00350700
92988,20100611,CFN,0.00750700,0.00400000,0.00350700,-0.01371792,-0.00523805,0.00481965,0.00396100
92988,20100614,CFN,0.00196100,-0.00200000,0.00396100,-0.01634556,-0.03272873,-0.02224353,-0.02378300
92988,20100615,CFN,-0.00078300,0.02300000,-0.02378300,-0.02032551,-0.03879120,-0.02943454,-0.00056700
92988,20100616,CFN,-0.00156700,-0.00100000,-0.00056700,-0.03278432,-0.02543221,-0.03487178,-0.00845400
92988,20100617,CFN,-0.00745400,0.00100000,-0.00845400,-0.03429360,-0.05413130,-0.05202930,-0.02550600
92988,20100618,CFN,-0.02450600,0.00100000,-0.02550600,-0.03487002,-0.05906511,-0.06629206,-0.00126700
92988,20100621,CFN,-0.00526700,-0.00400000,-0.00126700,-0.03361273,-0.04214750,-0.07496074,-0.00762500
92988,20100622,CFN,-0.02362500,-0.01600000,-0.00762500,-0.01075342,-0.04341736,-0.08208917,-0.00200600
92988,20100623,CFN,-0.00500600,-0.00300000,-0.00200600,-0.00428822,-0.02985189,-0.05429248,0.00526000
92988,20100624,CFN,-0.01174000,-0.01700000,0.00526000,-0.00927357,-0.01768820,-0.06926918,-0.01275800
92988,20100625,CFN,-0.00975800,0.00300000,-0.01275800,0.00721759,-0.00239578,-0.05931927,0.01485300
92988,20100628,CFN,0.01285300,-0.00200000,0.01485300,-0.00051084,0.00266148,-0.03756713,-0.00241800
92988,20100629,CFN,-0.03341800,-0.03100000,-0.00241800,0.01518696,0.00784217,-0.03364572,0.00343500
92988,20100630,CFN,-0.00656500,-0.01000000,0.00343500,-0.00846265,-0.00659829,-0.03472679,-0.00977500
92988,20100701,CFN,-0.01277500,-0.00300000,-0.00977500,-0.00091358,0.01083525,-0.00655235,0.00544600
92988,20100702,CFN,0.00044600,-0.00500000,0.00544600,0.00390616,0.00467446,0.00220984,0.00838100
92988,20100706,CFN,0.01338100,0.00500000,0.00838100,-0.01535599,-0.02154110,-0.01782626,-0.02923900
92988,20100707,CFN,0.00176100,0.03100000,-0.02923900,-0.03076047,-0.03492860,-0.02511101,-0.00943900
92988,20100708,CFN,-0.00043900,0.00900000,-0.00943900,-0.05240181,-0.03860966,-0.04362140,-0.01315400
92988,20100709,CFN,-0.00615400,0.00700000,-0.01315400,-0.02938142,-0.05117497,-0.03773900,-0.00675000
92988,20100712,CFN,-0.00575000,0.00100000,-0.00675000,-0.01829235,-0.05817526,-0.05093603,0.00190400
92988,20100713,CFN,0.01690400,0.01500000,0.00190400,-0.01822631,-0.04112218,-0.06319786,-0.01312300
92988,20100714,CFN,-0.01312300,-0.00000000,-0.01312300,-0.01868391,-0.03865610,-0.07451341,-0.00720600
92988,20100715,CFN,-0.00620600,0.00100000,-0.00720600,-0.02927668,-0.03441965,-0.07285532,-0.00980500
92988,20100716,CFN,-0.03880500,-0.02900000,-0.00980500,-0.01016181,-0.02138482,-0.07223168,0.00699300
92988,20100719,CFN,0.01299300,0.00600000,0.00699300,-0.02146947,-0.04105214,-0.09881478,-0.01878700
92988,20100720,CFN,-0.00778700,0.01100000,-0.01878700,-0.04421536,-0.05904141,-0.09864583,-0.03224500
92988,20100721,CFN,-0.04524500,-0.01300000,-0.03224500,-0.05012457,-0.05201314,-0.08980464,0.00166200
92988,20100722,CFN,0.02466200,0.02300000,0.00166200,-0.02239536,-0.03468361,-0.06868699,0.00946100
92988,20100723,CFN,0.01746100,0.00800000,0.00946100,0.01404987,-0.03937614,-0.06048406,0.00245100
92988,20100726,CFN,0.01345100,0.01100000,0.00245100,-0.00249558,-0.03440859,-0.07480172,-0.01410300
92988,20100727,CFN,-0.01510300,-0.00100000,-0.01410300,-0.01451414,-0.00372902,-0.06447854,-0.00275800
92988,20100728,CFN,-0.00975800,-0.00700000,-0.00275800,-0.02236304,-0.01114508,-0.06290560,-0.00585400
92988,20100729,CFN,-0.00985400,-0.00400000,-0.00585400,-0.00993806,-0.02163387,-0.05628963,-0.00142200
92988,20100730,CFN,-0.00142200,0.00000000,-0.00142200,-0.01228034,-0.02899693,-0.06878458,-0.00491400
92988,20100802,CFN,0.01708600,0.02200000,-0.00491400,-0.01499384,-0.02338934,-0.05784401,-0.00853200
92988,20100803,CFN,-0.01353200,-0.00500000,-0.00853200,-0.00495572,-0.01232886,-0.01650396,0.00866400
92988,20100804,CFN,0.01466400,0.00600000,0.00866400,0.00283132,-0.00348441,-0.01485954,0.00286500
92988,20100805,CFN,0.00186500,-0.00100000,0.00286500,0.01558236,0.00205380,-0.02001357,0.00400000
