PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
87378,20010102,CHTR,-0.09573000,-0.02800000,-0.06772999,,,,0.04672500
87378,20010103,CHTR,0.09672500,0.05000000,0.04672500,-0.00386371,,,0.02488900
87378,20010104,CHTR,0.01388900,-0.01100000,0.02488900,0.06699604,,,-0.00413700
87378,20010105,CHTR,-0.03013700,-0.02600000,-0.00413700,-0.00580428,-0.03350543,,-0.02624900
87378,20010108,CHTR,-0.02824900,-0.00200000,-0.02624900,0.03775758,0.11372362,,0.07158100
87378,20010109,CHTR,0.07558100,0.00400000,0.07158100,0.01058571,0.03069747,,-0.03162200
87378,20010110,CHTR,-0.02162200,0.01000000,-0.03162200,-0.00092502,-0.03117390,,-0.03762400
87378,20010111,CHTR,-0.02762400,0.01000000,-0.03762400,-0.01938447,0.02354825,,0.05145500
87378,20010112,CHTR,0.04545500,-0.00600000,0.05145500,0.00108655,0.03980967,0.00341158,-0.01143500
87378,20010116,CHTR,-0.00543500,0.00600000,-0.01143500,0.06053631,-0.01129243,0.10350860,0.01985800
87378,20010117,CHTR,0.02185800,0.00200000,0.01985800,0.00504930,0.01804785,0.04964835,-0.00330500
87378,20010118,CHTR,0.01069500,0.01400000,-0.00330500,0.02355554,0.06477756,0.03092463,0.00664600
87378,20010119,CHTR,0.00264600,-0.00400000,0.00664600,-0.06341971,-0.05607908,-0.03432391,-0.06596300
87378,20010122,CHTR,-0.06596300,0.00000000,-0.06596300,-0.07508526,-0.06063840,-0.02370676,-0.01582500
87378,20010123,CHTR,-0.00282500,0.01300000,-0.01582500,-0.09519443,-0.09298697,-0.10557990,-0.01433100
87378,20010124,CHTR,-0.01133100,0.00300000,-0.01433100,-0.01095818,-0.07040598,-0.05534522,0.01932700
87378,20010125,CHTR,0.01432700,-0.00500000,0.01932700,0.00117861,-0.08017666,-0.02097014,-0.00365000
87378,20010126,CHTR,-0.00565000,-0.00200000,-0.00365000,0.04874993,0.01789949,-0.03975778,0.03277300
87378,20010129,CHTR,0.03977300,0.00700000,0.03277300,0.01905283,0.02401377,-0.03808285,-0.00973200
87378,20010130,CHTR,-0.00273200,0.00700000,-0.00973200,0.02044514,0.03633111,-0.05916985,-0.00221900
87378,20010131,CHTR,-0.00821900,-0.00600000,-0.00221900,-0.02235591,0.00597095,-0.06558708,-0.01052500
87378,20010201,CHTR,-0.00552500,0.00500000,-0.01052500,-0.00938484,0.01273977,-0.06800639,0.00311100
87378,20010202,CHTR,-0.01388900,-0.01700000,0.00311100,0.00260883,-0.00920952,0.00824921,0.01008500
87378,20010205,CHTR,0.01408500,0.00400000,0.01008500,0.04282036,0.02975574,0.05439550,0.02977800
87378,20010206,CHTR,0.02777800,-0.00200000,0.02977800,0.04264492,0.03461173,0.07157685,0.00259500
87378,20010207,CHTR,-0.00540500,-0.00800000,0.00259500,0.02981378,0.04267417,0.04919655,-0.00215200
87378,20010208,CHTR,-0.00815200,-0.00600000,-0.00215200,0.01866262,0.05863571,0.07155889,0.01847900
87378,20010209,CHTR,0.00547900,-0.01300000,0.01847900,0.03432297,0.06706235,0.05691063,0.01797300
87378,20010212,CHTR,0.02997300,0.01200000,0.01797300,0.05672074,0.05638886,0.08620426,0.01958200
87378,20010213,CHTR,0.01058200,-0.00900000,0.01958200,0.00183906,0.01805272,0.05233885,-0.03464900
87378,20010214,CHTR,-0.03664900,-0.00200000,-0.03464900,-0.04454892,-0.00947620,0.03288617,-0.02973900
87378,20010215,CHTR,-0.02173900,0.00800000,-0.02973900,-0.00519430,0.03207494,0.09119238,0.06066700
87378,20010216,CHTR,0.04166700,-0.01900000,0.06066700,0.06057118,0.04392858,0.11059627,0.03033300
87378,20010220,CHTR,0.01333300,-0.01700000,0.03033300,0.07344305,0.00907106,0.06302838,-0.01521100
87378,20010221,CHTR,-0.03421100,-0.01900000,-0.01521100,-0.02906226,-0.00057565,0.01660443,-0.04432200
87378,20010222,CHTR,-0.04632200,-0.00200000,-0.04432200,-0.07579597,0.00877732,-0.00023580,-0.01971400
87378,20010223,CHTR,-0.02571400,-0.00600000,-0.01971400,-0.03067468,-0.01555009,0.01531608,0.03578600
87378,20010226,CHTR,0.05278600,0.01700000,0.03578600,0.00290348,-0.05547501,-0.01263991,-0.01149900
87378,20010227,CHTR,-0.01949900,-0.00800000,-0.01149900,0.00819245,-0.05491419,-0.04380660,-0.01440900
