PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
91068,20060126,CMG,,0.00700000,,,,,-0.04890900
91068,20060127,CMG,-0.04090900,0.00800000,-0.04890900,,,,0.06061100
91068,20060130,CMG,0.06161100,0.00100000,0.06061100,0.07502748,,,0.06471400
91068,20060131,CMG,0.06071400,-0.00400000,0.06471400,0.10432695,,,-0.02220200
91068,20060201,CMG,-0.02020200,0.00200000,-0.02220200,0.00987324,0.01912549,,-0.02987500
91068,20060202,CMG,-0.03887500,-0.00900000,-0.02987500,-0.00843034,0.11802993,,0.04522300
91068,20060203,CMG,0.04022300,-0.00500000,0.04522300,0.03766692,0.07990466,,0.02391900
91068,20060206,CMG,0.02491900,0.00100000,0.02391900,0.04616170,-0.00718883,,-0.02197300
91068,20060207,CMG,-0.02997300,-0.00800000,-0.02197300,-0.01933014,-0.00556012,,-0.02066800
91068,20060208,CMG,-0.01166800,0.00900000,-0.02066800,-0.07664074,-0.01156590,0.00728446,-0.03594800
91068,20060209,CMG,-0.03694800,-0.00100000,-0.03594800,-0.09679755,-0.09501567,0.01368397,-0.04250100
91068,20060210,CMG,-0.03950100,0.00300000,-0.04250100,-0.09212652,-0.13049916,-0.05907746,-0.01661700
91068,20060213,CMG,-0.01961700,-0.00300000,-0.01661700,-0.03382798,-0.08893513,-0.09393297,0.02664400
91068,20060214,CMG,0.03664400,0.01000000,0.02664400,-0.00178049,-0.07948024,-0.08371284,-0.01097700
91068,20060215,CMG,-0.00697700,0.00400000,-0.01097700,0.05046254,-0.01204883,-0.02367062,0.03398400
91068,20060216,CMG,0.04098400,0.00700000,0.03398400,0.01076200,0.02035976,-0.07803432,-0.01149800
91068,20060217,CMG,-0.01349800,-0.00200000,-0.01149800,0.00739712,0.02301633,-0.11258135,-0.01410400
91068,20060221,CMG,-0.01710400,-0.00300000,-0.01410400,-0.01601487,0.00620555,-0.08441686,0.00986500
91068,20060222,CMG,0.01786500,0.00800000,0.00986500,0.04351325,0.06665300,-0.01772989,0.04799400
91068,20060223,CMG,0.04399400,-0.00400000,0.04799400,0.07785882,0.04999081,0.03839647,0.01799600
91068,20060224,CMG,0.01899600,0.00100000,0.01799600,0.05965019,0.05515226,0.07764091,-0.00700000
91068,20060227,CMG,-0.00300000,0.00400000,-0.00700000,0.00067947,0.05910278,0.08440209,-0.00998700
91068,20060228,CMG,-0.01998700,-0.01000000,-0.00998700,-0.02698140,0.03825387,0.04522657,-0.01019300
91068,20060301,CMG,-0.00219300,0.00800000,-0.01019300,-0.01268703,-0.00199882,0.06456957,0.00749500
91068,20060302,CMG,0.00549500,-0.00200000,0.00749500,-0.00760955,-0.02440616,0.02431112,-0.00490200
91068,20060303,CMG,-0.00590200,-0.00100000,-0.00490200,0.01635057,-0.00386743,0.05038464,0.01381600
91068,20060306,CMG,0.00681600,-0.00700000,0.01381600,-0.00641724,-0.00910559,0.04922950,-0.01525300
91068,20060307,CMG,-0.01725300,-0.00200000,-0.01525300,-0.05852018,-0.05595389,-0.02016084,-0.05755600
91068,20060308,CMG,-0.05555600,0.00200000,-0.05755600,-0.08955923,-0.08081503,-0.08269978,-0.01947100
91068,20060309,CMG,-0.02447100,-0.00500000,-0.01947100,-0.06819166,-0.06904670,-0.09156897,0.00867800
91068,20060310,CMG,0.01567800,0.00700000,0.00867800,0.01744321,-0.05594171,-0.05893480,0.02887200
91068,20060313,CMG,0.03087200,0.00200000,0.02887200,0.15552257,0.06618518,0.05606269,0.11186101
91068,20060314,CMG,0.12186100,0.01000000,0.11186101,0.21903049,0.20569995,0.13517248,0.06396700
91068,20060315,CMG,0.06796700,0.00400000,0.06396700,0.25207198,0.30255896,0.19133365,0.05645000
91068,20060316,CMG,0.05845000,0.00200000,0.05645000,0.09893998,0.25991204,0.17028595,-0.02261700
91068,20060317,CMG,-0.02161700,0.00100000,-0.02261700,-0.03791229,0.13883073,0.07483112,-0.06799600
91068,20060320,CMG,-0.06999600,-0.00200000,-0.06799600,-0.04840859,0.06879093,0.14056406,0.04413100
91068,20060321,CMG,0.03813100,-0.00600000,0.04413100,0.01948831,0.05268265,0.27036859,0.04784600
91068,20060322,CMG,0.05384600,0.00600000,0.04784600,0.07869947,-0.01721882,0.27847531,-0.01378800
91068,20060323,CMG,-0.01678800,-0.00300000,-0.01378800,0.04428473,0.01610355,0.27946029,0.01069300
91068,20060324,CMG,0.01169300,0.00100000,0.01069300,-0.00995455,0.08289327,0.23405808,-0.00670500
91068,20060327,CMG,-0.00770500,-0.00100000,-0.00670500,-0.00661927,0.02611436,0.09646593,-0.01045400
