PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
10942,20010102,CMVT,-0.16168000,-0.02800000,-0.13368000,,,,0.11060400
10942,20010103,CMVT,0.16060400,0.05000000,0.11060400,-0.03468983,,,0.01277400
10942,20010104,CMVT,0.00177400,-0.01100000,0.01277400,0.01463110,,,-0.09147300
10942,20010105,CMVT,-0.11747300,-0.02600000,-0.09147300,-0.05420353,-0.09853920,,0.02808700
10942,20010108,CMVT,0.02608700,-0.00200000,0.02808700,-0.05209044,0.06066072,,0.01620900
10942,20010109,CMVT,0.02020900,0.00400000,0.01620900,0.07561436,-0.01329461,,0.02897800
10942,20010110,CMVT,0.03897800,0.01000000,0.02897800,0.13227433,0.05167042,,0.08102100
10942,20010111,CMVT,0.09102100,0.01000000,0.08102100,0.10742717,0.15791519,,-0.00471000
10942,20010112,CMVT,-0.01071000,-0.00600000,-0.00471000,0.04108203,0.08993829,-0.02153657,-0.03221100
10942,20010116,CMVT,-0.02621100,0.00600000,-0.03221100,0.00931033,0.12422338,0.19543307,0.04773700
10942,20010117,CMVT,0.04973700,0.00200000,0.04773700,0.04283306,0.12329557,0.10491409,0.02780600
10942,20010118,CMVT,0.04180600,0.01400000,0.02780600,0.05240177,0.01343946,0.06636088,-0.02275200
10942,20010119,CMVT,-0.02675200,-0.00400000,-0.02275200,-0.01663290,-0.00265093,0.15765134,-0.02034100
10942,20010122,CMVT,-0.02034100,0.00000000,-0.02034100,0.01405939,0.09366420,0.19654707,0.05995200
10942,20010123,CMVT,0.07295200,0.01300000,0.05995200,0.05377922,0.05858423,0.19462757,0.01478200
10942,20010124,CMVT,0.01778200,0.00300000,0.01478200,-0.02498788,-0.06683981,0.04731934,-0.09212200
10942,20010125,CMVT,-0.09712200,-0.00500000,-0.09212200,-0.05195186,-0.01663380,-0.00349619,0.02931900
10942,20010126,CMVT,0.02731900,-0.00200000,0.02931900,-0.05597294,0.01486505,0.01240040,0.01072900
10942,20010129,CMVT,0.01772900,0.00700000,0.01072900,0.06481472,-0.02044198,0.07172897,0.02294000
10942,20010130,CMVT,0.02994000,0.00700000,0.02294000,-0.00353241,-0.06926424,-0.01649471,-0.03575500
10942,20010131,CMVT,-0.04175500,-0.00600000,-0.03575500,-0.02066129,0.01918606,-0.04953727,-0.00665500
10942,20010201,CMVT,-0.00165500,0.00500000,-0.00665500,-0.07765385,-0.04786098,-0.06405626,-0.03769600
10942,20010202,CMVT,-0.05469600,-0.01700000,-0.03769600,-0.02882198,-0.04235450,-0.02890348,0.01645600
10942,20010205,CMVT,0.02045600,0.00400000,0.01645600,-0.05015145,-0.08965232,-0.10882829,-0.02892800
10942,20010206,CMVT,-0.03092800,-0.00200000,-0.02892800,-0.00975626,-0.05311672,-0.11750142,0.00327200
10942,20010207,CMVT,-0.00472800,-0.00800000,0.00327200,-0.04535886,-0.06569091,-0.04903864,-0.02072200
10942,20010208,CMVT,-0.02672200,-0.00600000,-0.02072200,0.01199581,-0.00088349,-0.04750997,0.03008400
10942,20010209,CMVT,0.01708400,-0.01300000,0.03008400,-0.05935917,-0.08259467,-0.12013498,-0.06898900
10942,20010212,CMVT,-0.05698900,0.01200000,-0.06898900,-0.08320361,-0.09779281,-0.17495986,-0.04570700
10942,20010213,CMVT,-0.05470700,-0.00900000,-0.04570700,-0.04047828,-0.03123438,-0.08116979,0.07938900
10942,20010214,CMVT,0.07738900,-0.00200000,0.07938900,0.11057634,0.06645551,-0.00523642,0.07944500
10942,20010215,CMVT,0.08744500,0.00800000,0.07944500,0.13022220,0.00607619,0.00504553,-0.02752500
10942,20010216,CMVT,-0.04652500,-0.01900000,-0.02752500,-0.04136994,-0.01352582,-0.09158132,-0.08541000
10942,20010220,CMVT,-0.10241000,-0.01700000,-0.08541000,-0.08729910,0.05439433,-0.04529380,0.02235600
10942,20010221,CMVT,0.00335600,-0.01900000,0.02235600,-0.15998476,-0.11968205,-0.14350786,-0.10703000
10942,20010222,CMVT,-0.10903000,-0.00200000,-0.10703000,-0.05437130,-0.15211440,-0.09921618,0.03377800
10942,20010223,CMVT,0.02777800,-0.00600000,0.03377800,-0.13195309,-0.18312356,-0.17644312,-0.05936700
10942,20010226,CMVT,-0.04236700,0.01700000,-0.05936700,-0.10341166,-0.17776299,-0.18176983,-0.07819400
10942,20010227,CMVT,-0.08619400,-0.00800000,-0.07819400,-0.11891838,-0.18478722,-0.13223031,0.01483500
10942,20010228,CMVT,0.00083500,-0.01400000,0.01483500,-0.04602395,-0.07140460,-0.17786372,0.01922500
10942,20010301,CMVT,0.02022500,0.00100000,0.01922500,0.03479603,-0.10079033,-0.22981123,0.00089100
10942,20010302,CMVT,-0.00510900,-0.00600000,0.00089100,0.00570830,-0.05838362,-0.22539702,-0.01421700
10942,20010305,CMVT,-0.00821700,0.00600000,-0.01421700,0.00373011,0.03823923,-0.14645235,0.01734100
10942,20010306,CMVT,0.02734100,0.01000000,0.01734100,0.07809083,0.09972537,-0.10795550,0.07383900
10942,20010307,CMVT,0.07983900,0.00600000,0.07383900,0.08132867,0.06676054,-0.01138393,-0.01096200
10942,20010308,CMVT,-0.00896200,0.00200000,-0.01096200,-0.00458567,-0.00188180,-0.10232165,-0.06090800
10942,20010309,CMVT,-0.08590800,-0.02500000,-0.06090800,-0.12911599,-0.05600382,-0.10702300,-0.06747000
10942,20010312,CMVT,-0.11047000,-0.04300000,-0.06747000,-0.10306228,-0.05143330,-0.01673109,0.02299800
10942,20010313,CMVT,0.03799800,0.01500000,0.02299800,-0.06234058,-0.12369478,-0.04596262,-0.01685700
10942,20010314,CMVT,-0.04285700,-0.02600000,-0.01685700,-0.06775745,-0.17440239,-0.12724194,-0.07316399
10942,20010315,CMVT,-0.06716400,0.00600000,-0.07316399,-0.13971113,-0.17511508,-0.17629487,-0.06100000
10942,20010316,CMVT,-0.08100000,-0.02000000,-0.06100000,-0.09877503,-0.09321392,-0.13889551,0.03749500
10942,20010319,CMVT,0.05549500,0.01800000,0.03749500,-0.08769675,-0.16299923,-0.19629612,-0.06259800
10942,20010320,CMVT,-0.08659800,-0.02400000,-0.06259800,0.01778717,-0.11022808,-0.20723121,0.04847400
10942,20010321,CMVT,0.03047400,-0.01800000,0.04847400,0.08457727,0.05565479,-0.12415101,0.10805300
10942,20010322,CMVT,0.10405300,-0.00400000,0.10805300,0.19762634,0.16112287,-0.05150614,0.03059500
10942,20010323,CMVT,0.05059500,0.02000000,0.03059500,0.08396781,0.06137269,-0.03658700,-0.05311500
10942,20010326,CMVT,-0.04211500,0.01100000,-0.05311500,-0.02295228,0.14277650,-0.05573025,0.00254900
10942,20010327,CMVT,0.02854900,0.02600000,0.00254900,-0.14515781,-0.02259348,-0.13261290,-0.09576701
10942,20010328,CMVT,-0.11976700,-0.02400000,-0.09576701,-0.06056447,-0.08572946,-0.02923137,0.03862400
10942,20010329,CMVT,0.03362400,-0.00500000,0.03862400,-0.07871969,-0.12866428,0.01582419,-0.01841600
10942,20010330,CMVT,-0.00741600,0.01100000,-0.01841600,-0.03254937,-0.12489409,-0.06953030,-0.05099900
10942,20010402,CMVT,-0.06299900,-0.01200000,-0.05099900,-0.14424241,-0.19037522,-0.09040003,-0.08361500
10942,20010403,CMVT,-0.11761500,-0.03400000,-0.08361500,-0.17348375,-0.15894328,-0.18150994,-0.05594400
10942,20010404,CMVT,-0.05894400,-0.00300000,-0.05594400,-0.03991078,-0.10631195,-0.18622045,0.11881100
10942,20010405,CMVT,0.16281100,0.04400000,0.11881100,-0.01368310,-0.14148420,-0.25114535,-0.06033000
10942,20010406,CMVT,-0.08033000,-0.02000000,-0.06033000,0.12474037,-0.03330221,-0.15303578,0.07302000
