PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
16497,20170103,CNDT,,0.00800000,,,,,-0.00745800
16497,20170104,CNDT,-0.00145800,0.00600000,-0.00745800,,,,0.03092700
16497,20170105,CNDT,0.02992700,-0.00100000,0.03092700,0.05731193,,,0.03285300
16497,20170106,CNDT,0.03685300,0.00400000,0.03285300,0.01707456,,,-0.04453000
16497,20170109,CNDT,-0.04853000,-0.00400000,-0.04453000,-0.04888578,-0.02684442,,-0.03592000
16497,20170110,CNDT,-0.03592000,0.00000000,-0.03592000,-0.08921388,-0.03044873,,-0.01119700
16497,20170111,CNDT,-0.00819700,0.00300000,-0.01119700,0.00259734,-0.01090045,,0.05158700
16497,20170112,CNDT,0.04958700,-0.00200000,0.05158700,0.03798753,-0.04409691,,-0.00200000
16497,20170113,CNDT,0.00000000,0.00200000,-0.00200000,0.06911994,0.01940896,,0.01874800
16497,20170117,CNDT,0.01574800,-0.00300000,0.01874800,0.03837829,0.07998032,0.05133367,0.02125600
16497,20170118,CNDT,0.02325600,0.00200000,0.02125600,0.04222488,0.09366164,0.06069899,0.00193400
16497,20170119,CNDT,-0.00206600,-0.00400000,0.00193400,0.01804214,0.03509686,0.02384840,-0.00507000
16497,20170120,CNDT,-0.00207000,0.00300000,-0.00507000,0.00676469,0.04724540,0.00123809,0.00991600
16497,20170123,CNDT,0.00691600,-0.00300000,0.00991600,-0.00353983,0.01969708,0.03958453,-0.00837400
16497,20170124,CNDT,-0.00137400,0.00700000,-0.00837400,0.01288523,0.00967476,0.09132681,0.01125700
16497,20170125,CNDT,0.01925700,0.00800000,0.01125700,0.01823862,0.02323543,0.12027127,0.01517000
16497,20170126,CNDT,0.01417000,-0.00100000,0.01517000,0.01946178,0.02113234,0.05732098,-0.00698400
16497,20170127,CNDT,-0.00798400,-0.00100000,-0.00698400,0.01001143,0.01296833,0.06108974,0.00197600
16497,20170130,CNDT,-0.00402400,-0.00600000,0.00197600,0.00332932,0.02993605,0.05035084,0.00840700
16497,20170131,CNDT,0.00740700,-0.00100000,0.00840700,-0.00440824,0.00358044,0.01324231,-0.01470600
16497,20170201,CNDT,-0.01470600,0.00000000,-0.01470600,-0.02289548,-0.02760319,-0.00555899,-0.01660400
16497,20170202,CNDT,-0.01560400,0.00100000,-0.01660400,-0.00934406,0.00105454,0.02223992,0.02263500
16497,20170203,CNDT,0.02963500,0.00700000,0.02263500,-0.01413213,-0.02047384,-0.00784864,-0.01941900
16497,20170206,CNDT,-0.02141900,-0.00200000,-0.01941900,-0.00085071,-0.03206069,-0.00287138,-0.00342000
16497,20170207,CNDT,-0.00342000,0.00000000,-0.00342000,-0.03848886,-0.03345517,-0.02966907,-0.01609900
16497,20170208,CNDT,-0.01509900,0.00100000,-0.01609900,-0.01452934,-0.01202609,-0.03954519,0.00515000
16497,20170209,CNDT,0.01115000,0.00600000,0.00515000,-0.01171961,-0.03444632,-0.03345157,-0.00055400
16497,20170210,CNDT,0.00344600,0.00400000,-0.00055400,0.01071007,-0.00924856,-0.02990856,0.00598900
16497,20170213,CNDT,0.01098900,0.00500000,0.00598900,0.02829527,0.01691011,-0.01623756,0.02249500
16497,20170214,CNDT,0.02649500,0.00400000,0.02249500,0.02439702,0.02942932,-0.00561512,-0.00433800
16497,20170215,CNDT,0.00066200,0.00500000,-0.00433800,0.01780462,0.02355884,0.01132708,-0.00032300
16497,20170216,CNDT,-0.00132300,-0.00100000,-0.00032300,-0.01195938,0.01651661,-0.01886914,-0.00729800
16497,20170217,CNDT,-0.00529800,0.00200000,-0.00729800,-0.00898882,0.00904861,-0.00028684,-0.00134000
16497,20170221,CNDT,0.00466000,0.00600000,-0.00134000,0.07776364,0.07302265,0.09282572,0.08648700
16497,20170222,CNDT,0.08548700,-0.00100000,0.08648700,0.14347462,0.13487569,0.17171883,0.05311400
16497,20170223,CNDT,0.05311400,0.00000000,0.05311400,0.12458708,0.11582981,0.14428725,-0.01723200
16497,20170224,CNDT,-0.01623200,0.00100000,-0.01723200,0.01143044,0.09818794,0.11792237,-0.02280300
16497,20170227,CNDT,-0.02180300,0.00100000,-0.02280300,-0.06624150,0.06827335,0.07901993,-0.02772300
16497,20170228,CNDT,-0.03072300,-0.00300000,-0.02772300,-0.05086126,-0.01725428,0.05526607,-0.00032700
16497,20170301,CNDT,0.01367300,0.01400000,-0.00032700,-0.04224191,-0.08052655,0.04393622,-0.01423300
16497,20170302,CNDT,-0.02023300,-0.00600000,-0.01423300,-0.01886832,-0.06818795,0.03999700,-0.00412900
16497,20170303,CNDT,-0.00312900,0.00100000,-0.00412900,-0.03124848,-0.05890354,0.03337090,-0.01332100
16497,20170306,CNDT,-0.01632100,-0.00300000,-0.01332100,-0.02191140,-0.03644063,0.02961442,-0.00465800
16497,20170307,CNDT,-0.00765800,-0.00300000,-0.00465800,-0.01399196,-0.03181274,-0.04870772,0.00392900
16497,20170308,CNDT,0.00192900,-0.00200000,0.00392900,0.00017009,-0.01715961,-0.09594014,0.00092600
16497,20170309,CNDT,0.00192600,0.00100000,0.00092600,0.00379305,-0.01419605,-0.08124071,-0.00107800
16497,20170310,CNDT,0.00192200,0.00300000,-0.00107800,0.01461125,0.01377459,-0.04584111,0.01470600
16497,20170313,CNDT,0.01470600,0.00000000,0.01470600,0.02243077,0.02737792,-0.00994471,0.00867100
16497,20170314,CNDT,0.00567100,-0.00300000,0.00867100,0.02123878,0.02116842,-0.01187806,-0.00236100
16497,20170315,CNDT,0.00563900,0.00800000,-0.00236100,-0.00863688,0.00491603,-0.01245992,-0.01482200
16497,20170316,CNDT,-0.01682200,-0.00200000,-0.01482200,-0.01876235,0.00443101,-0.00987357,-0.00153500
16497,20170317,CNDT,-0.00253500,-0.00100000,-0.00153500,0.00312304,0.00949265,0.02338783,0.01978900
16497,20170320,CNDT,0.01778900,-0.00200000,0.01978900,0.02383402,0.00656158,0.03386425,0.00575800
16497,20170321,CNDT,-0.00624200,-0.01200000,0.00575800,0.03106413,0.01434365,0.03562797,0.00553800
16497,20170322,CNDT,0.00753800,0.00200000,0.00553800,0.00914203,0.02728742,0.03243193,-0.00211700
16497,20170323,CNDT,-0.00311700,-0.00100000,-0.00211700,-0.00690606,0.01842688,0.02291377,-0.01025700
16497,20170324,CNDT,-0.01125700,-0.00100000,-0.01025700,-0.00448373,0.00674987,0.01618300,0.00795800
16497,20170327,CNDT,0.00695800,-0.00100000,0.00795800,-0.00623702,-0.00284804,0.00375998,-0.00385900
16497,20170328,CNDT,0.00314100,0.00700000,-0.00385900,0.02589203,0.01309444,0.02750146,0.02154200
