PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
86799,20010102,CNX,-0.01566000,-0.02800000,0.01234000,,,,-0.09318200
86799,20010103,CNX,-0.04318200,0.05000000,-0.09318200,-0.05187932,,,0.02762700
86799,20010104,CNX,0.01662700,-0.01100000,0.02762700,-0.04326886,,,0.02132700
86799,20010105,CNX,-0.00467300,-0.02600000,0.02132700,0.01251177,-0.06393817,,-0.03555900
86799,20010108,CNX,-0.03755900,-0.00200000,-0.03555900,0.01704971,-0.04755702,,0.03258500
86799,20010109,CNX,0.03658500,0.00400000,0.03258500,0.05606227,0.10590199,,0.06058800
86799,20010110,CNX,0.07058800,0.01000000,0.06058800,0.12459959,0.10490976,,0.02516500
86799,20010111,CNX,0.03516500,0.01000000,0.02516500,0.01190281,0.00747412,,-0.06831000
86799,20010112,CNX,-0.07431000,-0.00600000,-0.06831000,-0.03194178,0.06122160,-0.00932786,0.01464200
86799,20010116,CNX,0.02064200,0.00600000,0.01464200,-0.02744154,0.05789660,0.00731460,0.02946100
86799,20010117,CNX,0.03146100,0.00200000,0.02946100,-0.01065650,-0.05692071,0.04715391,-0.05321600
86799,20010118,CNX,-0.03921600,0.01400000,-0.05321600,-0.03443537,-0.08836041,0.00892343,-0.00960500
86799,20010119,CNX,-0.01360500,-0.00400000,-0.00960500,-0.07094569,-0.02950290,-0.02258651,-0.00919500
86799,20010122,CNX,-0.00919500,0.00000000,-0.00919500,-0.03615765,-0.06107327,-0.00352735,-0.01764000
86799,20010123,CNX,-0.00464000,0.01300000,-0.01764000,0.02534105,-0.03921360,0.01705948,0.05294400
86799,20010124,CNX,0.05594400,0.00300000,0.05294400,0.01920339,-0.00011156,-0.05742245,-0.01486800
86799,20010125,CNX,-0.01986800,-0.00500000,-0.01486800,0.02965137,0.00255758,-0.08678799,-0.00700900
86799,20010126,CNX,-0.00900900,-0.00200000,-0.00700900,-0.05338359,-0.02110451,-0.05083743,-0.03245500
86799,20010129,CNX,-0.02545500,0.00700000,-0.03245500,-0.07436317,-0.03953929,-0.09980058,-0.03610400
86799,20010130,CNX,-0.02910400,0.00700000,-0.03610400,-0.03305573,-0.05398805,-0.09253201,0.03636100
86799,20010131,CNX,0.03036100,-0.00600000,0.03636100,0.14291814,0.09857085,0.09912869,0.14345200
86799,20010201,CNX,0.14845200,0.00500000,0.14345200,0.19403050,0.11694351,0.12083451,0.01082900
86799,20010202,CNX,-0.00617100,-0.01700000,0.01082900,0.12935668,0.12882518,0.10721461,-0.02164700
86799,20010205,CNX,-0.01764700,0.00400000,-0.02164700,-0.00899232,0.17093647,0.12697957,0.00166700
86799,20010206,CNX,-0.00033300,-0.00200000,0.00166700,0.00700395,0.16051967,0.09898673,0.02730100
86799,20010207,CNX,0.01930100,-0.00800000,0.02730100,0.03656391,0.02522542,0.12372243,0.00764700
