PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
81055,20010102,COF,-0.05887900,-0.02800000,-0.03087900,,,,0.03173600
81055,20010103,COF,0.08173600,0.05000000,0.03173600,0.00867104,,,0.01100000
81055,20010104,COF,0.00000000,-0.01100000,0.01100000,0.02992292,,,-0.01131300
81055,20010105,COF,-0.03731300,-0.02600000,-0.01131300,-0.02572493,-0.02864591,,-0.02610100
81055,20010108,COF,-0.02810100,-0.00200000,-0.02610100,-0.06922327,-0.03263676,,-0.03490700
81055,20010109,COF,-0.03090700,0.00400000,-0.03490700,-0.03623686,-0.03549093,,0.02600800
81055,20010110,COF,0.03600800,0.01000000,0.02600800,-0.00922465,-0.04592897,,0.00092400
81055,20010111,COF,0.01092400,0.01000000,0.00092400,0.03231747,-0.03053351,,0.00501800
81055,20010112,COF,-0.00098200,-0.00600000,0.00501800,0.01784235,0.00776155,-0.02194452,0.01169900
81055,20010116,COF,0.01769900,0.00600000,0.01169900,0.03732882,0.06637424,0.03174358,0.02022200
81055,20010117,COF,0.02222200,0.00200000,0.02022200,-0.02310829,-0.01721398,-0.05258929,-0.05369800
81055,20010118,COF,-0.03969800,0.01400000,-0.05369800,-0.06220577,-0.04630879,-0.09045289,-0.02848000
81055,20010119,COF,-0.03248000,-0.00400000,-0.02848000,-0.06665533,-0.03671894,-0.06726946,0.01525900
81055,20010122,COF,0.01525900,0.00000000,0.01525900,-0.01682209,-0.05120712,-0.04488438,-0.00298000
81055,20010123,COF,0.01002000,0.01300000,-0.00298000,0.05110240,-0.03464932,0.03039442,0.03767500
81055,20010124,COF,0.04067500,0.00300000,0.03767500,0.02210793,0.00784936,-0.00941350,-0.01215900
81055,20010125,COF,-0.01715900,-0.00500000,-0.01215900,0.04567859,0.05922235,0.01046357,0.02042900
81055,20010126,COF,0.01842900,-0.00200000,0.02042900,0.02577842,0.06215799,0.02369025,0.01776200
81055,20010129,COF,0.02476200,0.00700000,0.01776200,-0.00329074,0.02176577,-0.03052030,-0.04045700
81055,20010130,COF,-0.03345700,0.00700000,-0.04045700,-0.04766000,-0.03969838,-0.07404185,-0.02446200
81055,20010131,COF,-0.03046200,-0.00600000,-0.02446200,-0.07614857,-0.04058031,-0.03324393,-0.01277500
81055,20010201,COF,-0.00777500,0.00500000,-0.01277500,-0.03075729,-0.05361212,0.00170635,0.00580500
81055,20010202,COF,-0.01119500,-0.01700000,0.00580500,-0.01201914,-0.07460158,-0.01872076,-0.00529400
81055,20010205,COF,-0.00129400,0.00400000,-0.00529400,0.00475277,-0.03184194,-0.01143655,0.00421300
81055,20010206,COF,0.00221300,-0.00200000,0.00421300,0.00143904,-0.00534513,-0.04412023,0.00250400
81055,20010207,COF,-0.00549600,-0.00800000,0.00250400,0.01570670,0.01609486,-0.02379383,0.00908800
81055,20010208,COF,0.00308800,-0.00600000,0.00908800,0.03291384,0.03189694,-0.02222845,0.02158900
81055,20010209,COF,0.00858900,-0.01300000,0.02158900,0.04339758,0.04989556,-0.02751389,0.01226100
81055,20010212,COF,0.02426100,0.01200000,0.01226100,0.02294782,0.03430222,0.00158007,-0.01060800
81055,20010213,COF,-0.01960800,-0.00900000,-0.01060800,-0.03526934,-0.00502943,-0.01016047,-0.03640000
