PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
34841,20010314,COV,0.01220900,-0.02600000,0.03820900,,,,-0.01231800
34841,20010315,COV,-0.00631800,0.00600000,-0.01231800,0.01300862,,,-0.01237000
34841,20010316,COV,-0.03237000,-0.02000000,-0.01237000,-0.05589461,,,-0.03233700
34841,20010319,COV,-0.01433700,0.01800000,-0.03233700,-0.01878361,0.00639402,,0.02521200
34841,20010320,COV,0.00121200,-0.02400000,0.02521200,0.00699252,-0.01704764,,0.01376300
34841,20010321,COV,-0.00423700,-0.01800000,0.01376300,0.02176525,-0.02113179,,-0.01666900
34841,20010322,COV,-0.02066900,-0.00400000,-0.01666900,-0.01155610,-0.01809874,,-0.00882700
34841,20010323,COV,0.01117300,0.02000000,-0.00882700,-0.02284034,0.01681092,,0.00311900
34841,20010326,COV,0.01411900,0.01100000,0.00311900,-0.02699534,-0.02938348,-0.02160507,-0.02055200
34841,20010327,COV,0.00544800,0.02600000,-0.02055200,0.00172829,-0.02425320,-0.04044950,0.01858200
34841,20010328,COV,-0.00541800,-0.02400000,0.01858200,-0.01937073,-0.02561299,-0.04556357,-0.01800200
34841,20010329,COV,-0.02300200,-0.00500000,-0.01800200,0.02963717,0.01289828,-0.00588039,0.02989200
34841,20010330,COV,0.04089200,0.01100000,0.02989200,0.03578762,0.03442049,0.05119312,0.02450000
34841,20010402,COV,0.01250000,-0.01200000,0.02450000,0.06669188,0.06536887,0.03819148,0.01283600
34841,20010403,COV,-0.02116400,-0.03400000,0.01283600,0.02464580,0.03553465,0.01247066,-0.01201500
34841,20010404,COV,-0.01501500,-0.00300000,-0.01201500,-0.00665384,0.04832420,0.02269006,-0.00802400
34841,20010405,COV,0.03597600,0.04400000,-0.00802400,-0.04107112,-0.00330578,0.00914777,-0.02061200
34841,20010406,COV,-0.04061200,-0.02000000,-0.02061200,-0.01971945,-0.01794306,0.01571293,0.00979100
34841,20010409,COV,0.01779100,0.00800000,0.00979100,-0.01568942,-0.03675367,0.03218553,-0.00409500
34841,20010410,COV,0.02290500,0.02700000,-0.00409500,-0.02578423,-0.05581247,-0.01784581,-0.03041000
34841,20010411,COV,-0.03241000,-0.00200000,-0.03041000,-0.04212894,-0.05297958,-0.00610839,-0.00647400
34841,20010412,COV,0.00852600,0.01500000,-0.00647400,0.02660385,0.03364339,0.02918593,0.06519800
34841,20010416,COV,0.06219800,-0.00300000,0.06519800,0.06805961,0.03139194,0.01182020,0.00762400
34841,20010417,COV,0.01762400,0.01000000,0.00762400,0.01837181,-0.02091944,-0.06027346,-0.05408400
34841,20010418,COV,-0.01508400,0.03900000,-0.05408400,-0.04313400,0.01682962,-0.04318960,0.00458400
34841,20010419,COV,0.01758400,0.01300000,0.00458400,-0.06593985,0.00585501,-0.04993786,-0.01608400
34841,20010420,COV,-0.02508400,-0.00900000,-0.01608400,-0.00640875,-0.05301266,-0.02229760,0.00528000
34841,20010423,COV,-0.00972000,-0.01500000,0.00528000,0.03613528,-0.01226769,0.01862833,0.04837400
34841,20010424,COV,0.03637400,-0.01200000,0.04837400,0.05413035,0.04200937,0.02287878,0.00015600
34841,20010425,COV,0.01615600,0.01600000,0.00015600,0.08528320,0.07154615,0.09474219,0.03392500
