PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
80320,20010102,CPRT,-0.10755800,-0.02800000,-0.07955800,,,,-0.01416900
80320,20010103,CPRT,0.03583100,0.05000000,-0.01416900,-0.10820991,,,-0.01415700
80320,20010104,CPRT,-0.02515700,-0.01100000,-0.01415700,0.00483736,,,0.03245200
80320,20010105,CPRT,0.00645200,-0.02600000,0.03245200,0.01977323,-0.07418567,,0.00200000
80320,20010108,CPRT,0.00000000,-0.00200000,0.00200000,-0.01787537,-0.04603747,,-0.05207700
80320,20010109,CPRT,-0.04807700,0.00400000,-0.05207700,-0.07611447,-0.05661734,,-0.02683500
80320,20010110,CPRT,-0.01683500,0.01000000,-0.02683500,-0.10751372,-0.07297563,,-0.03054800
80320,20010111,CPRT,-0.02054800,0.01000000,-0.03054800,-0.05101643,-0.09933261,,0.00600000
80320,20010112,CPRT,0.00000000,-0.00600000,0.00600000,-0.06133404,-0.13632348,-0.19961914,-0.03746900
80320,20010116,CPRT,-0.03146900,0.00600000,-0.03746900,-0.06140511,-0.11638007,-0.15964434,-0.03088100
80320,20010117,CPRT,-0.02888100,0.00200000,-0.03088100,-0.07107625,-0.09464555,-0.14500525,-0.00284800
80320,20010118,CPRT,0.01115200,0.01400000,-0.00284800,-0.02640528,-0.05738344,-0.12678692,0.00767600
80320,20010119,CPRT,0.00367600,-0.00400000,0.00767600,0.04581713,-0.02503021,-0.12406851,0.04029300
80320,20010122,CPRT,0.04029300,0.00000000,0.04029300,0.06182333,0.02632331,-0.11637749,0.01252800
80320,20010123,CPRT,0.02552800,0.01300000,0.01252800,0.00593879,0.01103112,-0.10943141,-0.04506000
80320,20010124,CPRT,-0.04206000,0.00300000,-0.04506000,0.00312549,0.05190785,-0.04694755,0.03725800
80320,20010125,CPRT,0.03225800,-0.00500000,0.03725800,0.00658613,0.06065995,0.00000632,0.01588900
80320,20010126,CPRT,0.01388900,-0.00200000,0.01588900,0.07530755,0.04033821,0.01462538,0.02039700
80320,20010129,CPRT,0.02739700,0.00700000,0.02039700,0.03311749,0.02349424,0.05128891,-0.00366700
80320,20010130,CPRT,0.00333300,0.00700000,-0.00366700,0.02285666,0.07793344,0.09187177,0.00600000
80320,20010131,CPRT,0.00000000,-0.00600000,0.00600000,-0.01596307,0.02027104,0.07394116,-0.01828900
80320,20010201,CPRT,-0.01328900,0.00500000,-0.01828900,-0.02517678,-0.00948249,0.05026172,-0.01330300
80320,20010202,CPRT,-0.03030300,-0.01700000,-0.01330300,-0.02924230,-0.02698410,0.01154413,0.00207600
80320,20010205,CPRT,0.00607600,0.00400000,0.00207600,0.01167418,-0.00055554,0.02254287,0.02357000
80320,20010206,CPRT,0.02157000,-0.00200000,0.02357000,0.06157872,0.02800230,0.10673817,0.03502700
80320,20010207,CPRT,0.02702700,-0.00800000,0.03502700,0.08667406,0.07339580,0.09537694,0.02655900
80320,20010208,CPRT,0.02055900,-0.00600000,0.02655900,0.04028372,0.06649743,0.05633945,-0.02003800
80320,20010209,CPRT,-0.03303800,-0.01300000,-0.02003800,0.04004372,0.10075404,0.07078784,0.03466700
80320,20010212,CPRT,0.04666700,0.01200000,0.03466700,0.03512574,0.09828038,0.09610552,0.02173900
80320,20010213,CPRT,0.01273900,-0.00900000,0.02173900,0.02244771,0.02792115,0.05569620,-0.03259100
80320,20010214,CPRT,-0.03459100,-0.00200000,-0.03259100,0.03491761,0.04854223,0.12379369,0.04737500
80320,20010215,CPRT,0.05537500,0.00800000,0.04737500,-0.00259346,0.05360957,0.12165736,-0.01495100
80320,20010216,CPRT,-0.03395100,-0.01900000,-0.01495100,0.03773402,0.02589835,0.12492702,0.00741500
80320,20010220,CPRT,-0.00958500,-0.01700000,0.00741500,0.01078856,0.02318081,0.11843339,0.01900000
80320,20010221,CPRT,0.00000000,-0.01900000,0.01900000,0.05038515,0.08091148,0.10828145,0.02458100
80320,20010222,CPRT,0.02258100,-0.00200000,0.02458100,0.05586866,0.04612314,0.09372149,0.01230900
80320,20010223,CPRT,0.00630900,-0.00600000,0.01230900,0.04918839,0.07504050,0.13044812,0.01121300
80320,20010226,CPRT,0.02821300,0.01700000,0.01121300,-0.08483007,-0.04308028,-0.01710474,-0.10480500
80320,20010227,CPRT,-0.11280500,-0.00800000,-0.10480500,-0.04489697,-0.00937474,0.01373579,0.05523700
80320,20010228,CPRT,0.04123700,-0.01400000,0.05523700,0.01481237,0.03863073,0.11997202,0.07490800
80320,20010301,CPRT,0.07590800,0.00100000,0.07490800,0.13577511,0.02904894,0.07425149,0.00293300
80320,20010302,CPRT,-0.00306700,-0.00600000,0.00293300,0.10794756,0.04533571,0.12097711,0.02784600
80320,20010305,CPRT,0.03384600,0.00600000,0.02784600,-0.00689613,0.12689160,0.07617108,-0.03678600
80320,20010306,CPRT,-0.02678600,0.01000000,-0.03678600,0.01168942,0.09187187,0.08026285,0.02152300
80320,20010307,CPRT,0.02752300,0.00600000,0.02152300,0.00571774,0.03715990,0.07754314,0.02181000
80320,20010308,CPRT,0.02381000,0.00200000,0.02181000,0.08446725,0.07525072,0.10567427,0.03953500
