PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
15797,20151130,CSRA,,-0.00500000,,,,,-0.04083200
15797,20151201,CSRA,-0.02983200,0.01100000,-0.04083200,,,,0.01721500
15797,20151202,CSRA,0.00621500,-0.01100000,0.01721500,-0.05284381,,,-0.03021300
15797,20151203,CSRA,-0.04421300,-0.01400000,-0.03021300,-0.04698939,,,-0.03460500
15797,20151204,CSRA,-0.01360500,0.02100000,-0.03460500,-0.06890448,-0.09093781,,-0.00575900
15797,20151207,CSRA,-0.01275900,-0.00700000,-0.00575900,-0.05844962,-0.06974374,,-0.01914800
15797,20151208,CSRA,-0.02514800,-0.00600000,-0.01914800,-0.01086966,-0.07283718,,0.01409100
15797,20151209,CSRA,0.00609100,-0.00800000,0.01409100,0.00883705,-0.03095806,,0.01438200
15797,20151210,CSRA,0.01638200,0.00200000,0.01438200,0.06109001,0.03477909,,0.03231500
15797,20151211,CSRA,0.01331500,-0.01900000,0.03231500,0.02423210,0.01857219,-0.07170727,-0.02228900
15797,20151214,CSRA,-0.01728900,0.00500000,-0.02228900,-0.03213854,-0.00436811,-0.07308688,-0.04231600
15797,20151215,CSRA,-0.03131600,0.01100000,-0.04231600,-0.08247128,-0.03651590,-0.10717127,-0.01826900
15797,20151216,CSRA,-0.00326900,0.01500000,-0.01826900,-0.07234855,-0.06204705,-0.09108262,-0.01306100
15797,20151217,CSRA,-0.02806100,-0.01500000,-0.01306100,0.01567840,-0.04802544,-0.01319940,0.04762100
15797,20151218,CSRA,0.02962100,-0.01800000,0.04762100,0.02207598,-0.03781721,-0.01895804,-0.01164200
15797,20151221,CSRA,-0.00364200,0.00800000,-0.01164200,0.01660768,-0.01488606,-0.01904512,-0.01923400
15797,20151222,CSRA,-0.01023400,0.00900000,-0.01923400,-0.04566476,-0.01125964,-0.04735783,-0.01458500
