PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
62148,20010102,CSX,-0.00963900,-0.02800000,0.01836100,,,,-0.00863700
62148,20010103,CSX,0.04136300,0.05000000,-0.00863700,0.06291620,,,0.05072000
62148,20010104,CSX,0.03972000,-0.01100000,0.05072000,0.07857549,,,0.03274200
62148,20010105,CSX,0.00674200,-0.02600000,0.03274200,0.12742697,0.14172955,,0.04217900
62148,20010108,CSX,0.04017900,-0.00200000,0.04217900,0.07574630,0.12522324,,0.00029200
62148,20010109,CSX,0.00429200,0.00400000,0.00029200,0.00807827,0.09290194,,-0.03350400
62148,20010110,CSX,-0.02350400,0.01000000,-0.03350400,-0.04563898,0.02916403,,-0.01218800
62148,20010111,CSX,-0.00218800,0.01000000,-0.01218800,-0.07380834,-0.03385566,,-0.02908800
62148,20010112,CSX,-0.03508800,-0.00600000,-0.02908800,-0.00777568,-0.04131065,0.09876396,0.03490900
62148,20010116,CSX,0.04090900,0.00600000,0.03490900,0.00900035,-0.03706086,0.08579034,0.00455000
62148,20010117,CSX,0.00655000,0.00200000,0.00455000,0.00514792,-0.03709302,0.05572505,-0.03352300
62148,20010118,CSX,-0.01952300,0.01400000,-0.03352300,-0.04471600,-0.04043763,-0.01192539,-0.01591200
62148,20010119,CSX,-0.01991200,-0.00400000,-0.01591200,-0.02946760,0.00923588,-0.02539532,0.02031600
62148,20010122,CSX,0.02031600,0.00000000,0.02031600,-0.01558551,-0.04477095,-0.08635071,-0.01963700
62148,20010123,CSX,-0.00663700,0.01300000,-0.01963700,-0.00700918,-0.05651160,-0.09369605,-0.00745400
62148,20010124,CSX,-0.00445400,0.00300000,-0.00745400,-0.01980806,-0.01576474,-0.05294177,0.00723700
62148,20010125,CSX,0.00223700,-0.00500000,0.00723700,-0.04498671,-0.04505402,-0.08456855,-0.04487500
62148,20010126,CSX,-0.04687500,-0.00200000,-0.04487500,-0.02456998,-0.05139761,-0.04341566,0.01407700
62148,20010129,CSX,0.02107700,0.00700000,0.01407700,0.00869287,0.00845891,-0.03692515,0.04180700
62148,20010130,CSX,0.04880700,0.00700000,0.04180700,0.13489207,0.09080299,0.03148186,0.07318000
62148,20010131,CSX,0.06718000,-0.00600000,0.07318000,0.14486314,0.10902145,0.09211883,0.02319700
62148,20010201,CSX,0.02819700,0.00500000,0.02319700,0.08519336,0.14707423,0.09689830,-0.01042300
62148,20010202,CSX,-0.02742300,-0.01700000,-0.01042300,0.01141317,0.13012005,0.07448564,-0.00072100
62148,20010205,CSX,0.00327900,0.00400000,-0.00072100,-0.00185818,0.09478378,0.10485475,0.00951600
62148,20010206,CSX,0.00751600,-0.00200000,0.00951600,-0.01200923,0.00000376,0.08916936,-0.02054400
62148,20010207,CSX,-0.02854400,-0.00800000,-0.02054400,0.01853779,0.00710045,0.11383588,0.03037400
62148,20010208,CSX,0.02437400,-0.00600000,0.03037400,0.02612134,0.03499531,0.18341674,0.01723700
62148,20010209,CSX,0.00423700,-0.01300000,0.01723700,0.06624755,0.05366224,0.18815929,0.01753600
62148,20010212,CSX,0.02953600,0.01200000,0.01753600,0.06164498,0.07033911,0.16838986,0.02602400
62148,20010213,CSX,0.01702400,-0.00900000,0.02602400,0.01339523,0.06145841,0.06035386,-0.02930800
62148,20010214,CSX,-0.03130800,-0.00200000,-0.02930800,-0.00418086,0.03062406,0.03703049,-0.00032000
62148,20010215,CSX,0.00768000,0.00800000,-0.00032000,-0.00143916,0.04208407,0.07714749,0.02852700
