PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
76619,20010102,CVTY,-0.19906300,-0.02800000,-0.17106301,,,,0.06988300
76619,20010103,CVTY,0.11988300,0.05000000,0.06988300,-0.24824897,,,-0.14043599
76619,20010104,CVTY,-0.15143600,-0.01100000,-0.14043599,-0.12840903,,,-0.04476900
76619,20010105,CVTY,-0.07076900,-0.02600000,-0.04476900,-0.09974055,-0.20832937,,0.09471500
76619,20010108,CVTY,0.09271500,-0.00200000,0.09471500,-0.01593964,-0.10118376,,-0.05854500
76619,20010109,CVTY,-0.05454500,0.00400000,-0.05854500,0.03103434,-0.15240243,,-0.00038500
76619,20010110,CVTY,0.00961500,0.01000000,-0.00038500,-0.06963482,-0.02632567,,-0.01000000
76619,20010111,CVTY,0.00000000,0.01000000,-0.01000000,0.02448126,0.05684789,,0.03457100
76619,20010112,CVTY,0.02857100,-0.00600000,0.03457100,0.06940129,0.00615948,-0.20859892,0.04338300
76619,20010116,CVTY,0.04938300,0.00600000,0.04338300,0.14724237,0.13815247,0.02261365,0.06270600
76619,20010117,CVTY,0.06470600,0.00200000,0.06270600,0.16923388,0.19924500,0.00748197,0.05229800
76619,20010118,CVTY,0.06629800,0.01400000,0.05229800,-0.06784670,0.00711951,-0.01973921,-0.16439401
76619,20010119,CVTY,-0.16839400,-0.00400000,-0.16439401,-0.16740288,-0.07667764,-0.02439021,-0.04984400
76619,20010122,CVTY,-0.04984400,0.00000000,-0.04984400,-0.13330014,-0.03100182,-0.02562707,0.09519701
76619,20010123,CVTY,0.10819700,0.01300000,0.09519701,0.01511415,-0.11177795,0.01207310,-0.02371000
76619,20010124,CVTY,-0.02071000,0.00300000,-0.02371000,0.02510728,-0.18826172,-0.03007245,-0.04031700
76619,20010125,CVTY,-0.04531700,-0.00500000,-0.04031700,-0.07882872,-0.04320380,-0.03684356,-0.01698700
76619,20010126,CVTY,-0.01898700,-0.00200000,-0.01698700,-0.09059473,-0.02911309,-0.10531029,-0.03603200
76619,20010129,CVTY,-0.02903200,0.00700000,-0.03603200,-0.09429890,-0.15199282,-0.18241001,-0.04354500
76619,20010130,CVTY,-0.03654500,0.00700000,-0.04354500,-0.07248066,-0.12478545,-0.22598008,0.00600000
76619,20010131,CVTY,0.00000000,-0.00600000,0.00600000,-0.01592990,-0.06794027,-0.24594807,0.02258600
76619,20010201,CVTY,0.02758600,0.00500000,0.02258600,0.07318511,-0.00868629,-0.05141026,0.04384600
76619,20010202,CVTY,0.02684600,-0.01700000,0.04384600,0.09089249,0.05037288,0.02080835,0.02214400
76619,20010205,CVTY,0.02614400,0.00400000,0.02214400,0.04524393,0.07467756,-0.08547985,-0.02029300
76619,20010206,CVTY,-0.02229300,-0.00200000,-0.02029300,0.00929221,0.07665736,-0.05537272,0.00800000
76619,20010207,CVTY,0.00000000,-0.00800000,0.00800000,-0.04458553,0.01871751,-0.04833334,-0.03308800
76619,20010208,CVTY,-0.03908800,-0.00600000,-0.03308800,-0.05792033,-0.05686754,-0.06460438,-0.03445800
76619,20010209,CVTY,-0.04745800,-0.01300000,-0.03445800,-0.04171123,-0.05300235,-0.00577807,0.02714600
76619,20010212,CVTY,0.03914600,0.01200000,0.02714600,0.01353555,-0.01187452,0.06031796,0.02269900
76619,20010213,CVTY,0.01369900,-0.00900000,0.02269900,0.10943455,0.03433918,0.11162568,0.05605400
76619,20010214,CVTY,0.05405400,-0.00200000,0.05605400,0.02019343,0.01100195,0.02952968,-0.05607700
76619,20010215,CVTY,-0.04807700,0.00800000,-0.05607700,-0.02741097,0.02095219,-0.03704278,-0.02477100
76619,20010216,CVTY,-0.04377100,-0.01900000,-0.02477100,-0.06178122,0.01124038,-0.04050165,0.01700000
76619,20010220,CVTY,0.00000000,-0.01700000,0.01700000,-0.07731367,-0.08003991,-0.08847256,-0.07254900
76619,20010221,CVTY,-0.09154900,-0.01900000,-0.07254900,-0.05834481,-0.12874491,-0.09816244,-0.00284500
76619,20010222,CVTY,-0.00484500,-0.00200000,-0.00284500,0.01627321,0.00768411,0.01806093,0.10044999
76619,20010223,CVTY,0.09445000,-0.00600000,0.10044999,0.11903059,0.05176556,0.07270226,0.01858700
76619,20010226,CVTY,0.03558700,0.01700000,0.01858700,0.07605957,-0.00643764,0.00477442,-0.04011000
76619,20010227,CVTY,-0.04811000,-0.00800000,-0.04011000,0.05152341,0.15274096,0.05414946,0.07537200
76619,20010228,CVTY,0.06137200,-0.01400000,0.07537200,0.07589309,0.20595578,0.04205790,0.04321800
76619,20010301,CVTY,0.04421800,0.00100000,0.04321800,0.08030848,0.05650359,0.06106507,-0.03634500
