PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
78927,20010102,DDR,0.00000000,-0.02800000,0.02800000,,,,-0.02652600
78927,20010103,DDR,0.02347400,0.05000000,-0.02652600,0.00940593,,,0.00641300
78927,20010104,DDR,-0.00458700,-0.01100000,0.00641300,-0.00675557,,,0.01217500
78927,20010105,DDR,-0.01382500,-0.02600000,0.01217500,0.02029197,0.02353127,,0.00200000
78927,20010108,DDR,0.00000000,-0.00200000,0.00200000,0.01484324,-0.00407541,,0.00067300
78927,20010109,DDR,0.00467300,0.00400000,0.00067300,-0.00266620,0.01596875,,-0.00534900
78927,20010110,DDR,0.00465100,0.01000000,-0.00534900,-0.01950794,-0.00477375,,-0.01463000
78927,20010111,DDR,-0.00463000,0.01000000,-0.01463000,-0.01863102,-0.01599957,,0.00134900
78927,20010112,DDR,-0.00465100,-0.00600000,0.00134900,-0.01922320,-0.02414387,-0.00015782,-0.00600000
78927,20010116,DDR,0.00000000,0.00600000,-0.00600000,-0.01126624,-0.03140631,-0.03586669,-0.00667300
78927,20010117,DDR,-0.00467300,0.00200000,-0.00667300,-0.04081642,-0.05393003,-0.03704890,-0.02808500
78927,20010118,DDR,-0.01408500,0.01400000,-0.02808500,-0.04467504,-0.04913754,-0.05351531,-0.01028600
78927,20010119,DDR,-0.01428600,-0.00400000,-0.01028600,-0.01933421,-0.03205503,-0.04834315,0.01932400
78927,20010122,DDR,0.01932400,0.00000000,0.01932400,0.00533808,-0.02979259,-0.05454293,-0.00352100
78927,20010123,DDR,0.00947900,0.01300000,-0.00352100,0.00811604,-0.03083770,-0.06277817,-0.00769500
78927,20010124,DDR,-0.00469500,0.00300000,-0.00769500,-0.01095865,-0.00215290,-0.05639605,0.00028300
78927,20010125,DDR,-0.00471700,-0.00500000,0.00028300,0.00401111,0.02004941,-0.03027330,0.01147900
78927,20010126,DDR,0.00947900,-0.00200000,0.01147900,0.00607747,-0.00519277,-0.03768786,-0.00568500
78927,20010129,DDR,0.00131500,0.00700000,-0.00568500,0.02684265,0.01912708,-0.01105227,0.02075700
78927,20010130,DDR,0.02775700,0.00700000,0.02075700,0.02414891,0.03606339,0.00502802,0.00892000
78927,20010131,DDR,0.00292000,-0.00600000,0.00892000,0.01654313,0.02257713,0.02050810,-0.01300600
78927,20010201,DDR,-0.00800600,0.00500000,-0.01300600,0.01801295,0.03332562,0.05425648,0.02213600
78927,20010202,DDR,0.00513600,-0.01700000,0.02213600,0.01395586,0.04394288,0.03926228,0.00475900
78927,20010205,DDR,0.00875900,0.00400000,0.00475900,0.02531349,0.02116618,0.04060227,-0.00161800
78927,20010206,DDR,-0.00361800,-0.00200000,-0.00161800,0.00602335,0.01512450,0.05109678,0.00291600
78927,20010207,DDR,-0.00508400,-0.00800000,0.00291600,0.01013516,0.03685446,0.06001839,0.00892000
78927,20010208,DDR,0.00292000,-0.00600000,0.00892000,0.01878252,0.02191239,0.05504832,0.00717800
78927,20010209,DDR,-0.00582200,-0.01300000,0.00717800,0.00641967,0.00765503,0.05112956,-0.00980400
78927,20010212,DDR,0.00219600,0.01200000,-0.00980400,-0.00295461,0.00870559,0.02940920,-0.00049600
78927,20010213,DDR,-0.00949600,-0.00900000,-0.00049600,0.00057811,0.01659363,0.03139678,0.01085000
78927,20010214,DDR,0.00885000,-0.00200000,0.01085000,-0.00496485,-0.00742195,0.02921699,-0.01531000
78927,20010215,DDR,-0.00731000,0.00800000,-0.01531000,-0.00014478,-0.01022246,0.01149461,0.00427200
78927,20010216,DDR,-0.01472800,-0.01900000,0.00427200,0.00749431,0.01745411,0.02464919,0.01849500
78927,20010220,DDR,0.00149500,-0.01700000,0.01849500,0.04810818,0.04391389,0.05152896,0.02646300
78927,20010221,DDR,0.00746300,-0.01900000,0.02646300,0.03087927,0.01982906,0.03559166,-0.01355600
78927,20010222,DDR,-0.01555600,-0.00200000,-0.01355600,0.01788129,0.03946454,0.03203991,0.00524800
78927,20010223,DDR,-0.00075200,-0.00600000,0.00524800,-0.01258002,0.03234959,0.02174123,-0.00419900
78927,20010226,DDR,0.01280100,0.01700000,-0.00419900,0.00019928,0.01298636,0.02984754,-0.00092200
78927,20010227,DDR,-0.00892200,-0.00800000,-0.00092200,0.03312140,0.02431705,0.06754342,0.03800600
78927,20010228,DDR,0.02400600,-0.01400000,0.03800600,0.05362308,0.05538628,0.07343328,0.01658200
78927,20010301,DDR,0.01758200,0.00100000,0.01658200,0.07669998,0.07198621,0.10945638,0.02111900
78927,20010302,DDR,0.01511900,-0.00600000,0.02111900,0.04152660,0.07893740,0.11102243,0.00322000
78927,20010305,DDR,0.00922000,0.00600000,0.00322000,0.03755313,0.09470296,0.10715332,0.01248800
78927,20010306,DDR,0.02248800,0.01000000,0.01248800,0.01897904,0.05841871,0.08379920,0.00293500
78927,20010307,DDR,0.00893500,0.00600000,0.00293500,0.02758657,0.05321966,0.11200865,0.01162400
78927,20010308,DDR,0.01362400,0.00200000,0.01162400,0.04536683,0.06239751,0.13813546,0.03037600
78927,20010309,DDR,0.00537600,-0.02500000,0.03037600,0.07459554,0.09150584,0.17179956,0.03364200
78927,20010312,DDR,-0.00935800,-0.04300000,0.03364200,0.07107373,0.08657797,0.18491089,0.00726700
78927,20010313,DDR,0.02226700,0.01500000,0.00726700,0.05724252,0.09818704,0.15959203,0.01675900
78927,20010314,DDR,-0.00924100,-0.02600000,0.01675900,-0.01276035,0.04984046,0.10277973,-0.03664600
78927,20010315,DDR,-0.03064600,0.00600000,-0.03664600,0.01071056,0.05054861,0.11183244,0.03099700
78927,20010316,DDR,0.01099700,-0.02000000,0.03099700,-0.00762298,0.01657734,0.10805627,-0.00168500
78927,20010319,DDR,0.01631500,0.01800000,-0.00168500,0.05310739,0.03206784,0.11599175,0.02333100
78927,20010320,DDR,-0.00066900,-0.02400000,0.02333100,0.03315363,0.02676761,0.12181615,0.01130700
78927,20010321,DDR,-0.00669300,-0.01800000,0.01130700,0.00593718,0.03459653,0.08129460,-0.02834500
78927,20010322,DDR,-0.03234500,-0.00400000,-0.02834500,-0.01172092,0.01011064,0.06004631,0.00573300
78927,20010323,DDR,0.02573300,0.02000000,0.00573300,-0.02278064,0.01252437,0.02895298,0.00084700
78927,20010326,DDR,0.01184700,0.01100000,0.00084700,-0.00728018,-0.02487141,0.00865814,-0.01360300
78927,20010327,DDR,0.01239700,0.02600000,-0.01360300,0.00642497,-0.01727668,0.01044970,0.01855800
