PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
11081,20010102,DELL,0.00358400,-0.02800000,0.03158400,,,,0.09285700
11081,20010103,DELL,0.14285700,0.05000000,0.09285700,0.09098467,,,-0.02962500
11081,20010104,DELL,-0.04062500,-0.01100000,-0.02962500,0.07426386,,,0.01622800
11081,20010105,DELL,-0.00977200,-0.02600000,0.01622800,-0.00510935,0.11561049,,0.00857900
11081,20010108,DELL,0.00657900,-0.00200000,0.00857900,0.05337618,0.11510665,,0.02868000
11081,20010109,DELL,0.03268000,0.00400000,0.02868000,0.10969911,0.09076857,,0.06911400
11081,20010110,DELL,0.07911400,0.01000000,0.06911400,0.16863030,0.19336881,,0.06038100
11081,20010111,DELL,0.07038100,0.01000000,0.06038100,0.10627359,0.14847472,,-0.02413700
11081,20010112,DELL,-0.03013700,-0.00600000,-0.02413700,-0.00116668,0.10003913,0.22812204,-0.03424900
11081,20010116,DELL,-0.02824900,0.00600000,-0.03424900,-0.00744346,0.12663054,0.26056254,0.05323300
11081,20010117,DELL,0.05523300,0.00200000,0.05323300,0.07109634,0.10874598,0.20902478,0.05211600
11081,20010118,DELL,0.06611600,0.01400000,0.05211600,0.17989793,0.11136090,0.32807502,0.06343200
11081,20010119,DELL,0.05943200,-0.00400000,0.06343200,0.11402379,0.13450752,0.30778308,-0.00487800
11081,20010122,DELL,-0.00487800,0.00000000,-0.00487800,0.08149219,0.20162659,0.32921717,0.02131400
11081,20010123,DELL,0.03431400,0.01300000,0.02131400,0.04249786,0.16945094,0.32459504,0.02543600
11081,20010124,DELL,0.02843600,0.00300000,0.02543600,0.02580572,0.08610870,0.20722249,-0.02034600
11081,20010125,DELL,-0.02534600,-0.00500000,-0.02034600,0.00874979,0.02520929,0.14067343,0.00436400
11081,20010126,DELL,0.00236400,-0.00200000,0.00436400,0.04842538,0.09919616,0.25098744,0.06611300
11081,20010129,DELL,0.07311300,0.00700000,0.06611300,0.05180865,0.05636830,0.27278876,-0.01798900
11081,20010130,DELL,-0.01098900,0.00700000,-0.01798900,-0.02211574,-0.03778589,0.12443011,-0.06511100
11081,20010131,DELL,-0.07111100,-0.00600000,-0.06511100,-0.09387474,-0.02989115,0.05438231,-0.01217700
11081,20010201,DELL,-0.00717700,0.00500000,-0.01217700,-0.08643214,-0.04531211,-0.02175636,-0.01191600
11081,20010202,DELL,-0.02891600,-0.01700000,-0.01191600,-0.05646048,-0.13347659,-0.05036889,-0.03377700
11081,20010205,DELL,-0.02977700,0.00400000,-0.03377700,0.05118552,-0.02838880,0.02519083,0.10174400
11081,20010206,DELL,0.09974400,-0.00200000,0.10174400,0.05813310,0.03238990,-0.00590859,-0.00595300
11081,20010207,DELL,-0.01395300,-0.00800000,-0.00595300,0.08242099,0.03360336,0.00393707,-0.01050900
11081,20010208,DELL,-0.01650900,-0.00600000,-0.01050900,-0.09880960,-0.04216484,-0.08426338,-0.08532099
11081,20010209,DELL,-0.09832100,-0.01300000,-0.08532099,-0.11549145,-0.03153034,-0.15829453,-0.02263800
11081,20010212,DELL,-0.01063800,0.01200000,-0.02263800,-0.13613699,-0.14813580,-0.16926060,-0.03401100
11081,20010213,DELL,-0.04301100,-0.00900000,-0.03401100,-0.02482218,-0.11638054,-0.08624585,0.03289900
11081,20010214,DELL,0.03089900,-0.00200000,0.03289900,0.07833829,-0.03654475,-0.00325939,0.08191800
11081,20010215,DELL,0.08991800,0.00800000,0.08191800,0.06930937,0.01027564,-0.03214437,-0.04100000
11081,20010216,DELL,-0.06000000,-0.01900000,-0.04100000,-0.01290997,-0.01512667,-0.04470373,-0.04683000
11081,20010220,DELL,-0.06383000,-0.01700000,-0.04683000,-0.12100106,-0.02469575,-0.16142099,-0.04350000
11081,20010221,DELL,-0.06250000,-0.01900000,-0.04350000,-0.02888432,0.00474068,-0.10665153,0.06563599
11081,20010222,DELL,0.06363600,-0.00200000,0.06563599,0.08365388,-0.00844490,-0.04239583,0.06582900
11081,20010223,DELL,0.05982900,-0.00600000,0.06582900,0.09718412,-0.00213832,0.00785866,-0.03581700
11081,20010226,DELL,-0.01881700,0.01700000,-0.03581700,0.01143387,0.02957298,0.01313181,-0.01665800
11081,20010227,DELL,-0.02465800,-0.00800000,-0.01665800,-0.05387997,0.07381129,0.04405094,-0.00285400
11081,20010228,DELL,-0.01685400,-0.01400000,-0.00285400,-0.03662506,-0.00970383,-0.00458863,-0.01814300
11081,20010301,DELL,-0.01714300,0.00100000,-0.01814300,0.01050886,-0.04083583,-0.04633571,0.03216300
11081,20010302,DELL,0.02616300,-0.00600000,0.03216300,0.07046456,0.04834179,0.04483398,0.05632300
11081,20010305,DELL,0.06232300,0.00600000,0.05632300,0.20805952,0.18014593,0.21167185,0.10733300
11081,20010306,DELL,0.11733300,0.01000000,0.10733300,0.15348015,0.16867392,0.25396544,-0.01554700
11081,20010307,DELL,-0.00954700,0.00600000,-0.01554700,0.09657381,0.19706021,0.18325108,0.00522900
11081,20010308,DELL,0.00722900,0.00200000,0.00522900,-0.09021051,0.06089388,0.01700521,-0.08026300
11081,20010309,DELL,-0.10526300,-0.02500000,-0.08026300,-0.08433881,-0.00862375,0.03706258,-0.01315000
