PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
63554,20010102,DF,-0.02444000,-0.02800000,0.00356000,,,,-0.06461400
63554,20010103,DF,-0.01461400,0.05000000,-0.06461400,-0.07047336,,,-0.01230500
63554,20010104,DF,-0.02330500,-0.01100000,-0.01230500,-0.03232678,,,0.04335400
63554,20010105,DF,0.01735400,-0.02600000,0.04335400,0.06406488,0.00458026,,0.03398300
63554,20010108,DF,0.03198300,-0.00200000,0.03398300,0.08696747,0.00950022,,0.00839700
63554,20010109,DF,0.01239700,0.00400000,0.00839700,0.03063231,0.06116087,,-0.01204100
63554,20010110,DF,-0.00204100,0.01000000,-0.01204100,-0.01591566,0.06301253,,-0.01204500
63554,20010111,DF,-0.00204500,0.01000000,-0.01204500,-0.03846956,0.00319060,,-0.01449200
63554,20010112,DF,-0.02049200,-0.00600000,-0.01449200,0.03298130,0.02957589,0.03384509,0.06094600
63554,20010116,DF,0.06694600,0.00600000,0.06094600,0.05746199,0.03299818,0.04346620,0.01172500
63554,20010117,DF,0.01372500,0.00200000,0.01172500,0.07201754,0.04337755,0.10770023,-0.00239500
63554,20010118,DF,0.01160500,0.01400000,-0.00239500,0.01548617,0.06184220,0.12922835,0.00591200
63554,20010119,DF,0.00191200,-0.00400000,0.00591200,0.00939770,0.08447401,0.08934320,0.00572500
63554,20010122,DF,0.00572500,0.00000000,0.00572500,0.01782011,0.02782030,0.05963361,0.00597500
63554,20010123,DF,0.01897500,0.01300000,0.00597500,0.00686146,0.01060719,0.04505250,-0.00486200
63554,20010124,DF,-0.00186200,0.00300000,-0.00486200,0.02129874,0.03323726,0.07922572,0.01992500
63554,20010125,DF,0.01492500,-0.00500000,0.01992500,0.03380578,0.04640576,0.11222398,0.01854400
63554,20010126,DF,0.01654400,-0.00200000,0.01854400,0.03735187,0.03902838,0.12885472,-0.00157500
63554,20010129,DF,0.00542500,0.00700000,-0.00157500,0.01709719,0.03255117,0.06237242,-0.00009300
63554,20010130,DF,0.00690700,0.00700000,-0.00009300,-0.00716863,0.03161817,0.04339706,-0.00543200
63554,20010131,DF,-0.01143200,-0.00600000,-0.00543200,0.00842641,0.02578680,0.06042436,0.01408100
63554,20010201,DF,0.01908100,0.00500000,0.01408100,0.01829867,0.01687576,0.06401979,0.00990800
63554,20010202,DF,-0.00709200,-0.01700000,0.00990800,0.02287793,0.01725588,0.05695347,-0.00114300
63554,20010205,DF,0.00285700,0.00400000,-0.00114300,0.01929720,0.02777418,0.06098401,0.01054700
63554,20010206,DF,0.00854700,-0.00200000,0.01054700,0.04602418,0.07036423,0.10370158,0.03624900
63554,20010207,DF,0.02824900,-0.00800000,0.03624900,0.04441421,0.05289766,0.07988701,-0.00224200
63554,20010208,DF,-0.00824200,-0.00600000,-0.00224200,0.04654482,0.05626049,0.07342940,0.01300000
63554,20010209,DF,0.00000000,-0.01300000,0.01300000,-0.00933445,0.03700508,0.05433928,-0.02031000
63554,20010212,DF,-0.00831000,0.01200000,-0.02031000,-0.00675142,0.02649908,0.05391841,0.00034100
63554,20010213,DF,-0.00865900,-0.00900000,0.00034100,-0.04105234,-0.03002454,0.03749831,-0.02166900
63554,20010214,DF,-0.02366900,-0.00200000,-0.02166900,-0.04860627,-0.05533437,-0.00399437,-0.02820200
63554,20010215,DF,-0.02020200,0.00800000,-0.02820200,-0.04012482,-0.05897604,-0.00514719,0.00869100
63554,20010216,DF,-0.01030900,-0.01900000,0.00869100,-0.00753498,-0.02784286,0.00717716,0.01164300
63554,20010220,DF,-0.00535700,-0.01700000,0.01164300,0.03706338,-0.01125546,0.01393408,0.01765400
63554,20010221,DF,-0.00134600,-0.01900000,0.01765400,0.02641512,0.00718412,-0.02173448,-0.00252500
63554,20010222,DF,-0.00452500,-0.00200000,-0.00252500,0.02127252,0.04046817,-0.01387019,0.00630300
63554,20010223,DF,0.00030300,-0.00600000,0.00630300,-0.02275259,0.00663820,-0.05119826,-0.02669400
63554,20010226,DF,-0.00969400,0.01700000,-0.02669400,-0.02523513,-0.00994763,-0.03662215,-0.00515400
