PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
84373,20010102,DGX,-0.04973600,-0.02800000,-0.02173600,,,,-0.01526200
84373,20010103,DGX,0.03473800,0.05000000,-0.01526200,-0.20655654,,,-0.17252699
84373,20010104,DGX,-0.18352699,-0.01100000,-0.17252699,-0.18560485,,,0.00352200
84373,20010105,DGX,-0.02247800,-0.02600000,0.00352200,-0.13235263,-0.16602240,,0.04069900
84373,20010108,DGX,0.03869900,-0.00200000,0.04069900,-0.00225598,-0.19086198,,-0.04503700
84373,20010109,DGX,-0.04103700,0.00400000,-0.04503700,0.02107808,-0.15032677,,0.02716200
84373,20010110,DGX,0.03716200,0.01000000,0.02716200,-0.07385701,-0.03064464,,-0.05451700
84373,20010111,DGX,-0.04451700,0.01000000,-0.05451700,-0.08323606,-0.08891005,,-0.05479500
84373,20010112,DGX,-0.06079500,-0.00600000,-0.05479500,-0.11094053,-0.12997517,-0.27597886,-0.00418500
84373,20010116,DGX,0.00181500,0.00600000,-0.00418500,-0.12128200,-0.14935584,-0.31794125,-0.06601000
84373,20010117,DGX,-0.06401000,0.00200000,-0.06601000,-0.08564512,-0.18576028,-0.30742297,-0.01529000
84373,20010118,DGX,-0.00129000,0.01400000,-0.01529000,-0.06329238,-0.11931338,-0.14613705,0.01885800
84373,20010119,DGX,0.01485800,-0.00400000,0.01885800,0.04425011,-0.02952972,-0.11789030,0.04010200
84373,20010122,DGX,0.04010200,0.00000000,0.04010200,0.08795186,0.00024337,-0.13302246,0.02616800
84373,20010123,DGX,0.03916800,0.01300000,0.02616800,0.10617628,0.11127743,-0.05614329,0.03528000
84373,20010124,DGX,0.03828000,0.00300000,0.03528000,0.06431685,0.12809855,-0.07939193,0.00159700
84373,20010125,DGX,-0.00340300,-0.00500000,0.00159700,0.04405757,0.11518782,-0.01756139,0.00712200
84373,20010126,DGX,0.00512200,-0.00200000,0.00712200,-0.01981417,0.04152744,0.01104794,-0.02851800
84373,20010129,DGX,-0.02151800,0.00700000,-0.02851800,-0.01186276,0.02492867,0.02580673,0.00994400
84373,20010130,DGX,0.01694400,0.00700000,0.00994400,-0.07025358,-0.06161242,0.04130050,-0.05163500
84373,20010131,DGX,-0.05763500,-0.00600000,-0.05163500,-0.09050035,-0.11062693,0.00394181,-0.04973400
84373,20010201,DGX,-0.04473400,0.00500000,-0.04973400,-0.07622395,-0.09449298,0.00848022,0.02317000
84373,20010202,DGX,0.00617000,-0.01700000,0.02317000,-0.00722825,-0.04920589,-0.01080742,0.02042700
84373,20010205,DGX,0.02442700,0.00400000,0.02042700,0.14278615,0.03126219,0.05688196,0.09610300
84373,20010206,DGX,0.09410300,-0.00200000,0.09610300,0.14152874,0.10943799,0.04229466,0.02109400
84373,20010207,DGX,0.01309400,-0.00800000,0.02109400,0.07872470,0.12426346,0.00443816,-0.03516500
84373,20010208,DGX,-0.04116500,-0.00600000,-0.03516500,0.00524595,0.12153520,0.01739197,0.02029400
84373,20010209,DGX,0.00729400,-0.01300000,0.02029400,-0.00223406,0.11509025,0.06023406,0.01366500
84373,20010212,DGX,0.02566500,0.01200000,0.01366500,0.02805821,0.01274612,0.04345320,-0.00574500
84373,20010213,DGX,-0.01474500,-0.00900000,-0.00574500,-0.00730149,-0.02231471,0.08310804,-0.01478000
84373,20010214,DGX,-0.01678000,-0.00200000,-0.01478000,-0.03491039,-0.00187049,0.12168969,-0.01491900
84373,20010215,DGX,-0.00691900,0.00800000,-0.01491900,-0.01317456,-0.00576423,0.11396470,0.01621300
84373,20010216,DGX,-0.00278700,-0.01900000,0.01621300,0.01873715,-0.00157700,0.10891188,0.01746600
84373,20010220,DGX,0.00046600,-0.01700000,0.01746600,-0.00415219,-0.03202467,-0.01953567,-0.03695900
84373,20010221,DGX,-0.05595900,-0.01900000,-0.03695900,-0.04017677,-0.03837745,-0.05806431,-0.02157200
84373,20010222,DGX,-0.02357200,-0.00200000,-0.02157200,-0.03275377,-0.00021811,-0.00197213,0.02620200
84373,20010223,DGX,0.02020200,-0.00600000,0.02620200,0.04191769,0.01957228,0.01365042,0.03785100
84373,20010226,DGX,0.05485100,0.01700000,0.03785100,0.07304695,0.00992291,0.00797559,0.00771800
84373,20010227,DGX,-0.00028200,-0.00800000,0.00771800,0.04882320,0.05275540,0.01691408,0.00357800
84373,20010228,DGX,-0.01042200,-0.01400000,0.00357800,-0.02480149,0.03720817,-0.00400283,-0.03638900
84373,20010301,DGX,-0.03538900,0.00100000,-0.03638900,-0.02340788,0.02013962,0.01867965,0.00924600
84373,20010302,DGX,0.00324600,-0.00600000,0.00924600,-0.05599199,-0.04419506,-0.02469927,-0.02952900
84373,20010305,DGX,-0.02352900,0.00600000,-0.02952900,-0.05609257,-0.08629493,-0.07568843,-0.03630500
84373,20010306,DGX,-0.02630500,0.01000000,-0.03630500,-0.05823457,-0.08421184,-0.03388803,0.00781700
84373,20010307,DGX,0.01381700,0.00600000,0.00781700,-0.07431696,-0.09349508,-0.05813651,-0.04593800
84373,20010308,DGX,-0.04393800,0.00200000,-0.04593800,-0.01044599,-0.07408504,-0.05470713,0.02819200
84373,20010309,DGX,0.00319200,-0.02500000,0.02819200,-0.05668552,-0.08298763,-0.11956518,-0.04130500
84373,20010312,DGX,-0.08430500,-0.04300000,-0.04130500,-0.02685765,-0.06272203,-0.13949223,-0.01326300
84373,20010313,DGX,0.00173700,0.01500000,-0.01326300,-0.00336321,-0.02010060,-0.09658674,0.05374600
84373,20010314,DGX,0.02774600,-0.02600000,0.05374600,-0.01503954,-0.02819386,-0.11282868,-0.05459400
84373,20010315,DGX,-0.04859400,0.00600000,-0.05459400,0.00796132,-0.04461721,-0.11035123,0.01018700
84373,20010316,DGX,-0.00981300,-0.02000000,0.01018700,-0.04468359,-0.00493358,-0.08661713,-0.00009000
84373,20010319,DGX,0.01791000,0.01800000,-0.00009000,0.02535687,0.02280737,-0.03949852,0.01520200
84373,20010320,DGX,-0.00879800,-0.02400000,0.01520200,-0.01329666,-0.05527130,-0.06931076,-0.02815400
84373,20010321,DGX,-0.04615400,-0.01800000,-0.02815400,-0.02744349,-0.01784645,-0.04290832,-0.01535500
84373,20010322,DGX,-0.01935500,-0.00400000,-0.01535500,-0.01633208,-0.00112833,-0.04522742,0.02908900
84373,20010323,DGX,0.04908900,0.02000000,0.02908900,0.02290430,0.00832536,0.00336269,0.00962200
84373,20010326,DGX,0.02062200,0.01100000,0.00962200,0.02584969,-0.02098554,0.00310146,-0.01371100
84373,20010327,DGX,0.01228900,0.02600000,-0.01371100,0.04163706,0.05585880,-0.00620341,0.04419400
84373,20010328,DGX,0.02019400,-0.02400000,0.04419400,0.04498752,0.08752902,0.06345899,0.01335200
84373,20010329,DGX,0.00835200,-0.00500000,0.01335200,0.05555049,0.05334622,0.05166837,-0.00260300
84373,20010330,DGX,0.00839700,0.01100000,-0.00260300,0.00578257,0.03713498,0.04515061,-0.00487900
84373,20010402,DGX,-0.01687900,-0.01200000,-0.00487900,0.01489539,0.07089665,0.05221397,0.02232500
84373,20010403,DGX,-0.01167500,-0.03400000,0.02232500,0.03135083,0.04222533,0.09925591,0.01458100
84373,20010404,DGX,0.01158100,-0.00300000,0.01458100,0.03446596,0.02663590,0.11760809,-0.00381700
84373,20010405,DGX,0.04018300,0.04400000,-0.00381700,0.02916713,0.04592065,0.10115066,0.01713800
84373,20010406,DGX,-0.00286200,-0.02000000,0.01713800,0.02284470,0.06065612,0.09950432,0.00833600
84373,20010409,DGX,0.01633600,0.00800000,0.00833600,0.02334829,0.03609387,0.11124526,-0.00289100
84373,20010410,DGX,0.02410900,0.02700000,-0.00289100,-0.02089443,-0.00711902,0.03751859,-0.02546600
84373,20010411,DGX,-0.02746600,-0.00200000,-0.02546600,-0.01729746,0.00908916,0.03674362,0.01215100
84373,20010412,DGX,0.02715100,0.01500000,0.01215100,0.00597510,0.01189781,0.06013929,0.01998500
84373,20010416,DGX,0.01698500,-0.00300000,0.01998500,0.06286703,0.03300982,0.09833091,0.02862200
84373,20010417,DGX,0.03862200,0.01000000,0.02862200,0.01543552,0.00073959,0.03906038,-0.03387400
84373,20010418,DGX,0.00512600,0.03900000,-0.03387400,0.01108085,0.04627464,0.04092613,0.01589700
84373,20010419,DGX,0.02889700,0.01300000,0.01589700,-0.00584867,0.04523655,0.05644579,0.01191500
84373,20010420,DGX,0.00291500,-0.00900000,0.01191500,0.03107267,0.02705500,0.04095372,0.00337200
84373,20010423,DGX,-0.01162800,-0.01500000,0.00337200,0.09923198,0.08493935,0.12529080,0.08503900
84373,20010424,DGX,0.07303900,-0.01200000,0.08503900,0.13528017,0.16729329,0.17815721,0.04384500
84373,20010425,DGX,0.05984500,0.01600000,0.04384500,0.15058511,0.16451956,0.23016248,0.01448300
84373,20010426,DGX,0.01948300,0.00500000,0.01448300,0.04994530,0.14353224,0.20287103,-0.00958800
84373,20010427,DGX,0.00541200,0.01500000,-0.00958800,0.04505480,0.18695640,0.22667593,0.03916500
84373,20010430,DGX,0.03616500,-0.00300000,0.03916500,0.01818700,0.08061684,0.17767396,-0.01156500
84373,20010501,DGX,0.00243500,0.01400000,-0.01156500,0.04101650,0.04702630,0.22723926,0.01276500
84373,20010502,DGX,0.01376500,0.00100000,0.01276500,-0.02738660,0.00128083,0.16792326,-0.02813100
84373,20010503,DGX,-0.04313100,-0.01500000,-0.02813100,-0.03541655,-0.00906261,0.13463311,-0.01984300
84373,20010504,DGX,-0.00584300,0.01400000,-0.01984300,-0.04862990,-0.04820388,0.13093196,-0.00127500
84373,20010507,DGX,-0.00327500,-0.00200000,-0.00127500,-0.03248562,-0.04761575,0.02654957,-0.01156200
84373,20010508,DGX,-0.01356200,-0.00200000,-0.01156200,-0.03316176,-0.07867894,-0.03832443,-0.02076500
84373,20010509,DGX,-0.02476500,-0.00400000,-0.02076500,-0.03621089,-0.05682606,-0.05627766,-0.00437800
84373,20010510,DGX,-0.00437800,-0.00000000,-0.00437800,-0.00844150,-0.02094324,-0.02989683,0.01688300
84373,20010511,DGX,0.00888300,-0.00800000,0.01688300,0.00782669,-0.02430908,-0.07109744,-0.00465600
84373,20010514,DGX,-0.00165600,0.00300000,-0.00465600,0.02745228,0.00174638,-0.04553114,0.01510700
84373,20010515,DGX,0.01510700,0.00000000,0.01510700,0.06733906,0.08049341,-0.00705428,0.05587100
