PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
90805,20050721,DISCA,,-0.00700000,,,,,-0.01162700
90805,20050722,DISCA,-0.00662700,0.00500000,-0.01162700,,,,-0.05870800
90805,20050725,DISCA,-0.06270800,-0.00400000,-0.05870800,-0.07521511,,,-0.00555900
90805,20050726,DISCA,-0.00355900,0.00200000,-0.00555900,-0.06902576,,,-0.00500000
90805,20050727,DISCA,0.00000000,0.00500000,-0.00500000,0.00118234,-0.06971094,,0.01185700
90805,20050728,DISCA,0.01785700,0.00600000,0.01185700,0.01634429,-0.04895933,,0.00940400
90805,20050729,DISCA,0.00140400,-0.00800000,0.00940400,0.00390721,-0.00666456,,-0.01711800
90805,20050801,DISCA,-0.01611800,0.00100000,-0.01711800,-0.01889054,-0.01240134,,-0.01127400
90805,20050802,DISCA,-0.00427400,0.00700000,-0.01127400,-0.01181868,0.00947976,,0.01688300
90805,20050803,DISCA,0.01788300,0.00100000,0.01688300,0.00759600,-0.00025189,-0.06952610,0.00208100
90805,20050804,DISCA,-0.00491900,-0.00700000,0.00208100,0.02254338,-0.00584945,-0.05423094,0.00376300
90805,20050805,DISCA,-0.00423700,-0.00800000,0.00376300,0.00525048,0.01074811,0.00414278,-0.00054600
90805,20050808,DISCA,-0.00354600,-0.00300000,-0.00054600,-0.00936481,0.00932104,-0.00296917,-0.01269400
90805,20050809,DISCA,-0.00569400,0.00700000,-0.01269400,-0.00126222,0.00456966,0.01400124,0.01202100
90805,20050810,DISCA,0.01002100,-0.00200000,0.01202100,0.02641237,0.02945383,0.02901569,0.02701800
90805,20050811,DISCA,0.03401800,0.00700000,0.02701800,0.05258205,0.03891230,0.03258214,0.01285400
90805,20050812,DISCA,0.00685400,-0.00600000,0.01285400,0.06903653,0.06861242,0.07950580,0.02763300
90805,20050815,DISCA,0.03063300,0.00300000,0.02763300,0.05679115,0.09811525,0.10727232,0.01596300
90805,20050816,DISCA,0.00396300,-0.01200000,0.01596300,0.03595497,0.07725720,0.08114294,-0.00757900
90805,20050817,DISCA,-0.00657900,0.00100000,-0.00757900,0.00407487,0.04445482,0.07481729,-0.00429800
90805,20050818,DISCA,-0.00529800,-0.00100000,-0.00429800,-0.00034104,0.04344420,0.08386126,0.01165000
90805,20050819,DISCA,0.01265000,0.00100000,0.01165000,0.02449081,0.03281276,0.10335084,0.01706600
90805,20050822,DISCA,0.01906600,0.00200000,0.01706600,0.04394831,0.03158675,0.13248227,0.01461300
90805,20050823,DISCA,0.01161300,-0.00300000,0.01461300,0.04876098,0.05634383,0.13693620,0.01656600
90805,20050824,DISCA,0.00956600,-0.00700000,0.01656600,0.02412749,0.05362207,0.09943404,-0.00705400
90805,20050825,DISCA,-0.00505400,0.00200000,-0.00705400,0.00460539,0.03630369,0.08051257,-0.00479400
90805,20050826,DISCA,-0.01079400,-0.00600000,-0.00479400,-0.03039164,0.00029183,0.03284788,-0.01883700
90805,20050829,DISCA,-0.01283700,0.00600000,-0.01883700,-0.02426592,-0.01492535,0.01593629,-0.00090100
90805,20050830,DISCA,-0.00390100,-0.00300000,-0.00090100,-0.04125271,-0.05253591,0.00177228,-0.02174900
90805,20050831,DISCA,-0.01174900,0.01000000,-0.02174900,-0.02228084,-0.04540100,0.00644034,0.00032100
90805,20050901,DISCA,0.00132100,0.00100000,0.00032100,-0.01907369,-0.03858223,-0.00281833,0.00234000
90805,20050902,DISCA,-0.00066000,-0.00300000,0.00234000,-0.00634829,-0.02907106,-0.02854888,-0.00904000
90805,20050906,DISCA,0.00396000,0.01300000,-0.00904000,-0.00802436,-0.02965122,-0.04424089,-0.00134300
90805,20050907,DISCA,0.00065700,0.00200000,-0.00134300,-0.01426674,-0.01158390,-0.06408461,-0.00388400
90805,20050908,DISCA,-0.00788400,-0.00400000,-0.00388400,-0.01978329,-0.02655194,-0.07168455,-0.01462300
90805,20050909,DISCA,-0.00662300,0.00800000,-0.01462300,-0.01938996,-0.02991678,-0.06836915,-0.00100000
90805,20050912,DISCA,-0.00200000,-0.00100000,-0.00100000,-0.01615505,-0.02125686,-0.05000371,-0.00068400
90805,20050913,DISCA,-0.00868400,-0.00800000,-0.00068400,0.00663196,-0.01166632,-0.04100285,0.00839100
90805,20050914,DISCA,0.00539100,-0.00300000,0.00839100,0.01298037,-0.00256193,-0.01409202,0.00536200
90805,20050915,DISCA,0.00536200,0.00000000,0.00536200,0.00580595,0.00406110,-0.02242588,-0.00800000
90805,20050916,DISCA,0.00000000,0.00800000,-0.00800000,0.00676084,0.01438941,-0.01542774,0.00933300
90805,20050919,DISCA,0.00333300,-0.00600000,0.00933300,0.00873036,0.02252289,0.00091040,0.00733600
90805,20050920,DISCA,-0.00066400,-0.00800000,0.00733600,0.00882686,0.00629643,-0.00531890,-0.00762200
90805,20050921,DISCA,-0.01662200,-0.00900000,-0.00762200,-0.01025904,-0.00893025,-0.01140467,-0.01008500
