PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
82307,20010102,DVA,-0.06204400,-0.02800000,-0.03404400,,,,0.04727600
82307,20010103,DVA,0.09727600,0.05000000,0.04727600,-0.03492083,,,-0.04219100
82307,20010104,DVA,-0.05319100,-0.01100000,-0.04219100,0.03524298,,,0.03349100
82307,20010105,DVA,0.00749100,-0.02600000,0.03349100,-0.00745792,0.00058876,,0.00200000
82307,20010108,DVA,0.00000000,-0.00200000,0.00200000,0.06525850,0.06824745,,0.02945700
82307,20010109,DVA,0.03345700,0.00400000,0.02945700,0.04375022,0.03223621,,0.01158300
82307,20010110,DVA,0.02158300,0.01000000,0.01158300,0.06503888,0.10182200,,0.02169000
82307,20010111,DVA,0.03169000,0.01000000,0.02169000,0.02199176,0.05463247,,-0.01106500
82307,20010112,DVA,-0.01706500,-0.00600000,-0.01106500,0.03933154,0.08366262,0.08273893,0.02872200
82307,20010116,DVA,0.03472200,0.00600000,0.02872200,0.00827496,0.04264490,0.11588547,-0.00871100
82307,20010117,DVA,-0.00671100,0.00200000,-0.00871100,-0.09156897,-0.08249000,-0.04999587,-0.10859500
82307,20010118,DVA,-0.09459500,0.01400000,-0.10859500,-0.14954807,-0.13479504,-0.04488470,-0.03704500
82307,20010119,DVA,-0.04104500,-0.00400000,-0.03704500,-0.10453892,-0.08748032,-0.03804139,0.04280200
82307,20010122,DVA,0.04280200,0.00000000,0.04280200,0.00224615,-0.11572343,-0.04243494,-0.00180600
82307,20010123,DVA,0.01119400,0.01300000,-0.00180600,0.05400013,-0.09708896,-0.05961556,0.01176000
82307,20010124,DVA,0.01476000,0.00300000,0.01176000,0.00769741,0.01174141,-0.07198050,-0.00227300
82307,20010125,DVA,-0.00727300,-0.00500000,-0.00227300,0.02615071,0.06888400,-0.07557930,0.01665200
82307,20010126,DVA,0.01465200,-0.00200000,0.01665200,0.09036605,0.10280615,0.00678686,0.07545500
82307,20010129,DVA,0.08245500,0.00700000,0.07545500,0.05523178,0.06514693,-0.05763418,-0.03528200
82307,20010130,DVA,-0.02828200,0.00700000,-0.03528200,0.12127716,0.13653514,0.02967027,0.07958600
82307,20010131,DVA,0.07358600,-0.00600000,0.07958600,0.03245709,0.12953381,0.14382076,-0.00960400
82307,20010201,DVA,-0.00460400,0.00500000,-0.00960400,0.04766625,0.08724871,0.16263203,-0.01948500
82307,20010202,DVA,-0.03648500,-0.01700000,-0.01948500,-0.19902763,-0.16570908,-0.08332858,-0.17733300
82307,20010205,DVA,-0.17333300,0.00400000,-0.17733300,-0.15248102,-0.09432263,-0.03730805,0.04716100
82307,20010206,DVA,0.04516100,-0.00200000,0.04716100,-0.12730962,-0.15076227,-0.03741261,0.01108600
82307,20010207,DVA,0.00308600,-0.00800000,0.01108600,0.04173025,-0.15415513,-0.05001052,-0.01553800
82307,20010208,DVA,-0.02153800,-0.00600000,-0.01553800,-0.04421689,-0.17250111,-0.10174209,-0.04045900
82307,20010209,DVA,-0.05345900,-0.01300000,-0.04045900,-0.09438854,-0.04100262,-0.19679538,-0.04190000
82307,20010212,DVA,-0.02990000,0.01200000,-0.04190000,-0.02130096,-0.02542669,-0.11468314,0.06379400
82307,20010213,DVA,0.05479400,-0.00900000,0.06379400,0.00044205,-0.05456288,-0.19339337,-0.01942900
82307,20010214,DVA,-0.02142900,-0.00200000,-0.01942900,0.03868535,-0.04483468,-0.19013690,-0.00468200
82307,20010215,DVA,0.00331800,0.00800000,-0.00468200,0.03910374,0.06010940,-0.12248073,0.06397400
82307,20010216,DVA,0.04497400,-0.01900000,0.06397400,0.06313239,0.10713020,0.06149137,0.00434200
82307,20010220,DVA,-0.01265800,-0.01700000,0.00434200,0.06524295,0.04119546,0.01496350,-0.00087200
82307,20010221,DVA,-0.01987200,-0.01900000,-0.00087200,0.04646596,0.10606891,0.04644126,0.04451100
82307,20010222,DVA,0.04251100,-0.00200000,0.04451100,0.04927108,0.11644959,0.06866207,0.00662700
82307,20010223,DVA,0.00062700,-0.00600000,0.00662700,0.09707453,0.09736982,0.16070150,0.04318800
82307,20010226,DVA,0.06018800,0.01700000,0.04318800,0.09254624,0.13743955,0.25203254,0.04052500
82307,20010227,DVA,0.03252500,-0.00800000,0.04052500,0.10745445,0.16297625,0.20246357,0.02087300
82307,20010228,DVA,0.00687300,-0.01400000,0.02087300,0.06644467,0.11939833,0.23127407,0.00468800
82307,20010301,DVA,0.00568800,0.00100000,0.00468800,0.00977208,0.09487905,0.21534450,-0.01549300
82307,20010302,DVA,-0.02149300,-0.00600000,-0.01549300,-0.01802895,0.04282553,0.14116453,-0.00715600
82307,20010305,DVA,-0.00115600,0.00600000,-0.00715600,-0.03654716,-0.01113843,0.12453604,-0.01405100
82307,20010306,DVA,-0.00405100,0.01000000,-0.01405100,-0.03949724,-0.05003152,0.10822855,-0.01820200
82307,20010307,DVA,-0.01220200,0.00600000,-0.01820200,-0.03371716,-0.05595121,0.05949536,-0.00141200
82307,20010308,DVA,0.00058800,0.00200000,-0.00141200,-0.00663543,-0.02749775,0.06492068,0.01265400
82307,20010309,DVA,-0.01234600,-0.02500000,0.01265400,0.03564668,0.00490451,0.04569421,0.02514300
82307,20010312,DVA,-0.01785700,-0.04300000,0.02514300,0.03352815,0.01454452,0.00370286,-0.00409100
82307,20010313,DVA,0.01090900,0.01500000,-0.00409100,0.04735309,0.05747249,0.00933262,0.02660000
82307,20010314,DVA,0.00060000,-0.02600000,0.02660000,0.02303488,0.05908497,0.00492419,-0.00000800
82307,20010315,DVA,0.00599200,0.00600000,-0.00000800,-0.00161279,0.01904610,-0.00715264,-0.02764700
82307,20010316,DVA,-0.04764700,-0.02000000,-0.02764700,-0.05994586,-0.03764759,-0.03108198,-0.03300900
82307,20010319,DVA,-0.01500900,0.01800000,-0.03300900,-0.02968182,-0.00382964,0.01016480,0.03034900
82307,20010320,DVA,0.00634900,-0.02400000,0.03034900,0.02494207,-0.00324803,0.05209440,0.02746400
82307,20010321,DVA,0.00946400,-0.01800000,0.02746400,0.02317955,-0.03513202,0.02159165,-0.03350000
82307,20010322,DVA,-0.03750000,-0.00400000,-0.03350000,0.01372330,0.01128532,0.02962003,0.02090900
82307,20010323,DVA,0.04090900,0.02000000,0.02090900,0.00040471,0.05940858,0.01964797,0.01457700
82307,20010326,DVA,0.02557700,0.01100000,0.01457700,0.00690326,-0.00013067,-0.00408719,-0.02843300
82307,20010327,DVA,-0.00243300,0.02600000,-0.02843300,-0.00241003,-0.01663362,-0.01928660,0.01119500
82307,20010328,DVA,-0.01280500,-0.02400000,0.01119500,0.02248707,0.06018614,0.01910624,0.03958900
82307,20010329,DVA,0.03458900,-0.00500000,0.03958900,0.05356282,0.04085329,0.05244858,0.00273100
82307,20010330,DVA,0.01373100,0.01100000,0.00273100,0.04071542,0.02361499,0.08377543,-0.00154500
82307,20010402,DVA,-0.01354500,-0.01200000,-0.00154500,0.01419750,0.06295920,0.06502147,0.01310400
82307,20010403,DVA,-0.02089600,-0.03400000,0.01310400,0.00134054,0.04217960,0.02675874,-0.01041500
82307,20010404,DVA,-0.01341500,-0.00300000,-0.01041500,0.00526740,0.00640563,0.06741453,0.00235400
82307,20010405,DVA,0.04635400,0.04400000,0.00235400,-0.01395322,-0.00181330,0.03785173,-0.00539900
82307,20010406,DVA,-0.02539900,-0.02000000,-0.00539900,0.00948630,0.01212056,0.03580474,0.01260600
82307,20010409,DVA,0.02060600,0.00800000,0.01260600,-0.03400421,-0.04377798,0.02270524,-0.04125200
82307,20010410,DVA,-0.01425200,0.02700000,-0.04125200,-0.01799450,-0.02180348,0.02279519,0.01103600
82307,20010411,DVA,0.00903600,-0.00200000,0.01103600,-0.05457213,-0.04716241,-0.04108634,-0.02395500
82307,20010412,DVA,-0.00895500,0.01500000,-0.02395500,-0.01053306,-0.04004205,-0.04080592,0.00239800
82307,20010416,DVA,-0.00060200,-0.00300000,0.00239800,-0.02923814,-0.06004134,-0.04766677,-0.00758900
82307,20010417,DVA,0.00241100,0.01000000,-0.00758900,-0.05226544,-0.06583519,-0.11303445,-0.04681700
82307,20010418,DVA,-0.00781700,0.03900000,-0.04681700,-0.06544347,-0.08768057,-0.11422431,-0.00997000
82307,20010419,DVA,0.00303000,0.01300000,-0.00997000,-0.06708721,-0.07259305,-0.12071292,-0.01033500
82307,20010420,DVA,-0.01933500,-0.00900000,-0.01033500,-0.00579432,-0.05996522,-0.10184246,0.01438400
82307,20010423,DVA,-0.00061600,-0.01500000,0.01438400,0.01926475,-0.03610646,-0.09660179,0.01569900
82307,20010424,DVA,0.00369900,-0.01200000,0.01569900,0.02665259,0.00619759,-0.05918710,-0.00371500
82307,20010425,DVA,0.01228500,0.01600000,-0.00371500,0.04419388,0.04727327,-0.03963474,0.03140800
82307,20010426,DVA,0.03640800,0.00500000,0.03140800,0.03547147,0.06656968,-0.00813143,0.00666300
82307,20010427,DVA,0.02166300,0.01500000,0.00666300,0.05094676,0.06419273,0.00154334,0.01159600
82307,20010430,DVA,0.00859600,-0.00300000,0.01159600,0.00139522,0.03025697,-0.00821048,-0.01684100
82307,20010501,DVA,-0.00284100,0.01400000,-0.01684100,0.00808815,0.04781305,0.05415277,0.01324500
82307,20010502,DVA,0.01424500,0.00100000,0.01324500,-0.00262994,0.01577623,0.06410977,0.00095500
82307,20010503,DVA,-0.01404500,-0.01500000,0.00095500,0.00363009,-0.00157551,0.06559101,-0.01058100
82307,20010504,DVA,0.00341900,0.01400000,-0.01058100,0.07905009,0.07630955,0.14774952,0.08944999
82307,20010507,DVA,0.08745000,-0.00200000,0.08944999,0.11141905,0.12557337,0.16549906,0.02967600
82307,20010508,DVA,0.02767600,-0.00200000,0.02967600,0.15051229,0.13951719,0.19806627,0.02635800
82307,20010509,DVA,0.02235800,-0.00400000,0.02635800,0.01904706,0.09950498,0.11811256,-0.03578500
82307,20010510,DVA,-0.03578500,-0.00000000,-0.03578500,-0.03427110,0.08178806,0.08098756,-0.02447400
82307,20010511,DVA,-0.03247400,-0.00800000,-0.02447400,-0.06952777,-0.01668943,0.05731199,-0.01099100
82307,20010514,DVA,-0.00799100,0.00300000,-0.01099100,-0.03208905,-0.04180829,0.07756028,0.00322200
82307,20010515,DVA,0.00322200,0.00000000,0.00322200,-0.02415822,-0.08347115,0.04835259,-0.01622300
82307,20010516,DVA,0.01177700,0.02800000,-0.01622300,0.00812102,-0.02848058,0.07059974,0.02081000
82307,20010517,DVA,0.02381000,0.00300000,0.02081000,0.01400251,0.00587417,0.09109823,0.00888600
82307,20010518,DVA,0.01188600,0.00300000,0.00888600,-0.04379811,-0.05770627,-0.07364522,-0.07166900
82307,20010521,DVA,-0.05566900,0.01600000,-0.07166900,-0.07800630,-0.07594424,-0.11588253,-0.01538800
82307,20010522,DVA,-0.01838800,-0.00300000,-0.01538800,-0.04679584,-0.01860707,-0.10117820,0.04079300
82307,20010523,DVA,0.02479300,-0.01600000,0.04079300,0.02195799,-0.04149423,-0.06994576,-0.00300000
82307,20010524,DVA,0.00000000,0.00300000,-0.00300000,0.03040089,-0.05566445,-0.05226444,-0.00681700
82307,20010525,DVA,-0.01881700,-0.01200000,-0.00681700,-0.00346636,0.02099176,-0.03480707,0.00635600
82307,20010529,DVA,-0.00164400,-0.00800000,0.00635600,0.04096225,0.07847221,0.00395971,0.04234500
82307,20010530,DVA,0.02634500,-0.01600000,0.04234500,0.05363156,0.04301758,0.02422801,0.00469500
82307,20010531,DVA,0.01069500,0.00600000,0.00469500,0.05717987,0.05548886,0.01291935,0.00922800
82307,20010601,DVA,0.01322800,0.00400000,0.00922800,0.00899041,0.05847331,-0.00065325,-0.00500000
82307,20010604,DVA,0.00000000,0.00500000,-0.00500000,-0.00467584,0.04361703,0.06421995,-0.00882200
82307,20010605,DVA,0.00417800,0.01300000,-0.00882200,-0.00738780,0.00657135,0.08657351,0.00632000
82307,20010606,DVA,-0.00468000,-0.01100000,0.00632000,-0.02514251,-0.02123808,0.02212299,-0.02276400
82307,20010607,DVA,-0.01776400,0.00500000,-0.02276400,-0.00736032,-0.02106972,0.03395111,0.00900000
82307,20010608,DVA,0.00000000,-0.00900000,0.00900000,-0.03135229,-0.03368588,0.02253105,-0.01806400
82307,20010611,DVA,-0.02606400,-0.00800000,-0.01806400,-0.01384242,-0.02957873,0.01144325,-0.00482300
82307,20010612,DVA,-0.00382300,0.00100000,-0.00482300,-0.00015472,-0.01362495,-0.00751814,0.02306100
82307,20010613,DVA,0.01206100,-0.01100000,0.02306100,0.01417713,0.00492592,-0.01539764,-0.00366800
82307,20010614,DVA,-0.02166800,-0.01800000,-0.00366800,0.03585140,0.01277084,-0.00768044,0.01718200
82307,20010615,DVA,0.01218200,-0.00500000,0.01718200,0.01642049,0.03425189,0.00032776,0.00335900
82307,20010618,DVA,-0.00164100,-0.00500000,0.00335900,0.05351668,0.07178956,0.03956812,0.03261600
82307,20010619,DVA,0.03561600,0.00300000,0.03261600,0.03242022,0.04535583,0.03033887,-0.00370900
82307,20010620,DVA,0.00529100,0.00900000,-0.00370900,0.00971673,0.03078965,0.03456745,-0.01889500
82307,20010621,DVA,-0.00789500,0.01100000,-0.01889500,-0.01144744,0.02448820,0.03669513,0.01112200
82307,20010622,DVA,0.00212200,-0.00900000,0.01112200,-0.00536387,0.02336472,0.05780953,0.00229400
82307,20010625,DVA,-0.00370600,-0.00600000,0.00229400,0.00365286,-0.01871682,0.05259958,-0.00969000
82307,20010626,DVA,-0.01169000,-0.00200000,-0.00969000,0.02088816,0.01317607,0.05841518,0.02865600
82307,20010627,DVA,0.02365600,-0.00500000,0.02865600,0.03970695,0.05306372,0.08586376,0.02056300
82307,20010628,DVA,0.03256300,0.01200000,0.02056300,0.08707734,0.07833206,0.10538266,0.03507900
82307,20010629,DVA,0.03407900,-0.00100000,0.03507900,0.04507780,0.06467825,0.09038918,-0.01147600
82307,20010702,DVA,-0.00147600,0.01000000,-0.01147600,0.06067711,0.11453332,0.09373712,0.03599000
82307,20010703,DVA,0.03399000,-0.00200000,0.03599000,0.03215241,0.09086083,0.10431806,0.00771200
82307,20010705,DVA,-0.00428800,-0.01200000,0.00771200,0.04207285,0.06614142,0.12056178,-0.00044500
82307,20010706,DVA,-0.02344500,-0.02300000,-0.00044500,0.02463220,0.04923096,0.12973277,0.01798800
82307,20010709,DVA,0.02498800,0.00700000,0.01798800,0.04668109,0.09028993,0.15925545,0.02977400
82307,20010710,DVA,0.01577400,-0.01400000,0.02977400,0.04287735,0.04872670,0.16464954,-0.00511800
82307,20010711,DVA,-0.00611800,-0.00100000,-0.00511800,0.00233870,0.01960732,0.11168878,-0.02258000
82307,20010712,DVA,0.00142000,0.02400000,-0.02258000,-0.04276136,0.00513787,0.07291778,-0.01498300
82307,20010713,DVA,-0.00898300,0.00600000,-0.01498300,0.00864928,0.03373922,0.08412382,0.04630500
82307,20010716,DVA,0.03530500,-0.01100000,0.04630500,0.02348534,-0.00444311,0.08816445,-0.00769600
82307,20010717,DVA,0.00230400,0.01000000,-0.00769600,0.07389671,0.03588498,0.08594617,0.03404600
82307,20010718,DVA,0.02804600,-0.00600000,0.03404600,0.01307723,0.04479768,0.06503587,-0.01315600
82307,20010719,DVA,-0.00715600,0.00600000,-0.01315600,0.01223119,0.05137470,0.05787569,-0.00826100
82307,20010720,DVA,-0.01126100,-0.00300000,-0.00826100,0.00367417,0.02991459,0.06445950,0.02511200
82307,20010723,DVA,0.00911200,-0.01600000,0.02511200,-0.01264821,0.00709724,0.00297522,-0.02914700
82307,20010724,DVA,-0.04514700,-0.01600000,-0.02914700,-0.04206242,-0.06226312,-0.03051164,-0.03869500
82307,20010725,DVA,-0.02269500,0.01600000,-0.03869500,-0.05443690,-0.03745124,0.00506630,0.01370600
82307,20010726,DVA,0.02370600,0.01000000,0.01370600,-0.00788104,-0.01242890,0.03813130,0.01784900
82307,20010727,DVA,0.01984900,0.00200000,0.01784900,0.05285290,-0.01797275,0.01189068,0.01999900
82307,20010730,DVA,0.01899900,-0.00100000,0.01999900,0.00622896,-0.01963509,-0.01175951,-0.03101100
82307,20010731,DVA,-0.02501100,0.00600000,-0.03101100,0.01044837,0.04320234,-0.02364246,0.02211900
82307,20010801,DVA,0.02611900,0.00400000,0.02211900,-0.10774309,-0.07320464,-0.10779113,-0.09809100
82307,20010802,DVA,-0.09409100,0.00400000,-0.09809100,-0.06407711,-0.07517686,-0.08643782,0.01503500
82307,20010803,DVA,0.01003500,-0.00500000,0.01503500,-0.05844558,-0.06792650,-0.08537075,0.02689700
82307,20010806,DVA,0.01589700,-0.01100000,0.02689700,0.00897883,-0.06907978,-0.08956234,-0.03234000
82307,20010807,DVA,-0.02934000,0.00300000,-0.03234000,0.01843892,-0.06501770,-0.02711746,0.02455700
82307,20010808,DVA,0.00755700,-0.01700000,0.02455700,-0.02653562,0.01421794,-0.05763373,-0.01900000
82307,20010809,DVA,-0.01900000,-0.00000000,-0.01900000,0.00354516,-0.00231537,-0.07590486,-0.00192300
82307,20010810,DVA,0.00407700,0.00600000,-0.00192300,-0.00900655,-0.01681780,-0.08308130,0.01219800
82307,20010813,DVA,0.01319800,0.00100000,0.01219800,0.05461562,0.05941241,-0.01310131,0.04357900
82307,20010814,DVA,0.03957900,-0.00400000,0.04357900,0.05820656,0.03654254,-0.03153435,0.00218100
82307,20010815,DVA,-0.00481900,-0.00700000,0.00218100,0.02654256,0.03724257,0.05086624,-0.01849600
82307,20010816,DVA,-0.01549600,0.00300000,-0.01849600,0.00408567,0.05942711,0.05589763,0.02044300
82307,20010817,DVA,0.00344300,-0.01700000,0.02044300,0.01827032,0.06416259,0.04609442,0.01651000
82307,20010820,DVA,0.02451000,0.00800000,0.01651000,0.03627500,0.01966251,0.07848331,-0.00044000
82307,20010821,DVA,-0.01244000,-0.01200000,-0.00044000,0.03732138,0.03881978,0.07621408,0.02110100
82307,20010822,DVA,0.02810100,0.00700000,0.02110100,0.02672970,0.06435260,0.10328594,0.00629900
82307,20010823,DVA,0.00329900,-0.00300000,0.00629900,-0.03132523,-0.01545107,0.04460746,-0.05757600
82307,20010824,DVA,-0.03757600,0.02000000,-0.05757600,-0.03164773,-0.01149509,0.05255674,0.02012900
82307,20010827,DVA,0.01512900,-0.00500000,0.02012900,-0.02597957,0.00070709,0.02043770,0.01163500
82307,20010828,DVA,-0.00336500,-0.01500000,0.01163500,0.05071593,-0.00079323,0.03745008,0.01920100
82307,20010829,DVA,0.00820100,-0.01100000,0.01920100,0.04720422,0.00980972,0.07281548,0.01700000
82307,20010830,DVA,0.00000000,-0.01700000,0.01700000,0.02006521,0.05118137,0.03662631,-0.01596200
82307,20010831,DVA,-0.01196200,0.00400000,-0.01596200,0.01548978,0.04577696,0.03451724,0.01455900
82307,20010904,DVA,0.01355900,-0.00100000,0.01455900,-0.00199325,0.03407617,0.03491358,-0.00043300
82307,20010905,DVA,-0.00143300,-0.00100000,-0.00043300,0.01233270,0.01326476,0.01230062,-0.00144500
82307,20010906,DVA,-0.02344500,-0.02200000,-0.00144500,-0.00289196,-0.00439242,0.00511842,-0.00108800
82307,20010907,DVA,-0.02008800,-0.01900000,-0.00108800,-0.00345192,0.01012057,0.05949982,-0.00100000
82307,20010910,DVA,0.00500000,0.00600000,-0.00100000,0.00218699,0.00038096,0.04235913,0.00422400
82307,20010917,DVA,-0.04477600,-0.04900000,0.00422400,-0.01096540,-0.01285165,0.01813316,-0.01483300
82307,20010918,DVA,-0.02083300,-0.00600000,-0.01483300,0.00515447,0.00314653,0.01524943,0.01600000
82307,20010919,DVA,0.00000000,-0.01600000,0.01600000,0.00587095,0.00875816,0.00439822,0.00493600
82307,20010920,DVA,-0.02606400,-0.03100000,0.00493600,0.04334333,0.03121411,0.03933145,0.02391500
82307,20010921,DVA,0.00491500,-0.01900000,0.02391500,-0.00361973,-0.00248659,-0.00191304,-0.03356500
82307,20010924,DVA,0.00543500,0.03900000,-0.03356500,0.04092814,0.06088256,0.04216279,0.04937800
82307,20010925,DVA,0.05837800,0.00900000,0.04937800,0.04384667,0.07226050,0.06968042,0.02645000
82307,20010926,DVA,0.02145000,-0.00500000,0.02645000,0.06824388,0.05993646,0.06393256,-0.00900000
82307,20010927,DVA,0.00200000,0.01100000,-0.00900000,0.01124949,0.02819322,0.05945080,-0.00653100
82307,20010928,DVA,0.01546900,0.02200000,-0.00653100,-0.02667526,0.05069161,0.04626923,-0.01077600
82307,20011001,DVA,-0.01277600,-0.00200000,-0.01077600,-0.02920081,-0.01177399,0.05095383,-0.01150200
82307,20011002,DVA,0.00049800,0.01200000,-0.01150200,-0.06064169,-0.07792006,-0.00597803,-0.03840800
82307,20011003,DVA,-0.01840800,0.02000000,-0.03840800,-0.08492851,-0.10312800,-0.04989457,-0.03550600
82307,20011004,DVA,-0.03750600,-0.00200000,-0.03550600,-0.07969676,-0.10142317,-0.08312789,-0.00673900
82307,20011005,DVA,-0.00473900,0.00200000,-0.00673900,-0.05636394,-0.10511154,-0.06223830,-0.01528000
82307,20011008,DVA,-0.02328000,-0.00800000,-0.01528000,-0.03851288,-0.10876565,-0.12350801,-0.01721000
82307,20011009,DVA,-0.02221000,-0.00500000,-0.01721000,-0.05736032,-0.09742034,-0.17478405,-0.02577000
82307,20011010,DVA,-0.00277000,0.02300000,-0.02577000,-0.07432345,-0.09486763,-0.19580314,-0.03166700
82307,20011011,DVA,-0.01666700,0.01500000,-0.03166700,-0.03703190,-0.06844077,-0.16699189,0.02081900
82307,20011012,DVA,0.01581900,-0.00500000,0.02081900,0.02876106,-0.01509748,-0.12170981,0.03982000
82307,20011015,DVA,0.03782000,-0.00200000,0.03982000,0.05936069,0.00047605,-0.11250437,-0.00217700
82307,20011016,DVA,0.00482300,0.00700000,-0.00217700,0.00409727,-0.00678827,-0.10319217,-0.03166700
