PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
40125,20170403,DXC,-0.01536000,-0.00200000,-0.01336000,,,,0.02033900
40125,20170404,DXC,0.02133900,0.00100000,0.02033900,0.04428275,,,0.03743800
40125,20170405,DXC,0.03443800,-0.00300000,0.03743800,0.09904980,,,0.03825600
40125,20170406,DXC,0.04025600,0.00200000,0.03825600,0.09523268,0.10241062,,0.01693500
40125,20170407,DXC,0.01593500,-0.00100000,0.01693500,0.03867549,0.09949289,,-0.01628900
40125,20170410,DXC,-0.01528900,0.00100000,-0.01628900,-0.00435510,0.07232282,,-0.00475600
40125,20170411,DXC,-0.00575600,-0.00100000,-0.00475600,0.00742800,0.06346122,,0.02890600
40125,20170412,DXC,0.02490600,-0.00400000,0.02890600,0.03605460,0.03646753,,0.01199200
40125,20170413,DXC,0.00499200,-0.00700000,0.01199200,0.03868953,0.01696602,0.12085099,-0.00259600
40125,20170417,DXC,0.00640400,0.00900000,-0.00259600,-0.00865102,0.01516155,0.11555990,-0.01790900
40125,20170418,DXC,-0.02090900,-0.00300000,-0.01790900,-0.02042967,0.02011377,0.09334073,0.00014300
40125,20170419,DXC,-0.00185700,-0.00200000,0.00014300,-0.02257674,-0.01331550,0.04965226,-0.00481100
40125,20170420,DXC,0.00318900,0.00800000,-0.00481100,0.00936960,-0.01144049,0.02507332,0.01399500
40125,20170421,DXC,0.01099500,-0.00300000,0.01399500,-0.01018409,-0.02797008,-0.01123476,-0.01925500
40125,20170424,DXC,-0.00825500,0.01100000,-0.01925500,-0.00553720,-0.01026780,0.00510478,-0.00018700
40125,20170425,DXC,0.00581300,0.00600000,-0.00018700,-0.01942538,-0.01030079,0.01012353,0.00013100
40125,20170426,DXC,0.00013100,-0.00000000,0.00013100,-0.00449660,-0.00986353,-0.02329622,-0.00441500
40125,20170427,DXC,-0.00341500,0.00100000,-0.00441500,-0.00937610,-0.02888922,-0.04044154,-0.00511700
40125,20170428,DXC,-0.00711700,-0.00200000,-0.00511700,0.00241849,0.00237755,-0.02582883,0.01207000
40125,20170501,DXC,0.01407000,0.00200000,0.01207000,0.01350087,0.00916779,-0.00103053,0.00659200
40125,20170502,DXC,0.00759200,0.00100000,0.00659200,0.02361880,0.01384589,0.00369860,0.00476700
40125,20170503,DXC,0.00376700,-0.00100000,0.00476700,0.01418415,0.02114513,0.01138101,0.00275300
40125,20170504,DXC,0.00375300,0.00100000,0.00275300,0.01431666,0.03347016,0.00394850,0.00670100
40125,20170505,DXC,0.01070100,0.00400000,0.00670100,0.00974874,0.02130526,0.02389453,0.00025500
40125,20170508,DXC,0.00025500,0.00000000,0.00025500,0.01557013,0.02324505,0.03269982,0.00852500
40125,20170509,DXC,0.00752500,-0.00100000,0.00852500,0.01556493,0.02528057,0.03957092,0.00672200
40125,20170510,DXC,0.00772200,0.00100000,0.00672200,0.01488249,0.02199037,0.04366447,-0.00038700
40125,20170511,DXC,-0.00238700,-0.00200000,-0.00038700,0.00984896,0.01868989,0.05281630,0.00351800
40125,20170512,DXC,0.00251800,-0.00100000,0.00351800,0.00956840,0.02505129,0.04705792,0.00642900
40125,20170515,DXC,0.01142900,0.00500000,0.00642900,0.01174023,0.01814008,0.04190729,0.00174500
40125,20170516,DXC,0.00074500,-0.00100000,0.00174500,0.00352680,0.00660630,0.03165633,-0.00445900
40125,20170517,DXC,-0.02245900,-0.01800000,-0.00445900,-0.01486870,-0.00524601,0.01637395,-0.01237800
40125,20170518,DXC,-0.00837800,0.00400000,-0.01237800,-0.02409867,-0.01626344,0.00211138,-0.00764000
40125,20170519,DXC,-0.00064000,0.00700000,-0.00764000,-0.01989103,-0.02225170,0.00211770,0.00025200
40125,20170522,DXC,0.00525200,0.00500000,0.00025200,-0.01213868,-0.02857654,-0.01101542,-0.00467600
40125,20170523,DXC,-0.00267600,0.00200000,-0.00467600,-0.01056048,-0.03068671,-0.02362734,-0.00608800
40125,20170524,DXC,-0.00408800,0.00200000,-0.00608800,-0.00598074,-0.01349416,-0.01862500,0.00485200
40125,20170525,DXC,0.00885200,0.00400000,0.00485200,-0.00102485,-0.00550223,-0.02187096,0.00025400
40125,20170526,DXC,0.00025400,0.00000000,0.00025400,0.00200726,-0.00879553,-0.03097936,-0.00306800
40125,20170530,DXC,-0.00406800,-0.00100000,-0.00306800,-0.01324209,-0.01458350,-0.04288316,-0.01046700
