PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
75828,20111220,EA,0.03653300,0.03000000,0.00653300,,,,-0.01512600
75828,20111221,EA,-0.01312600,0.00200000,-0.01512600,-0.01738899,,,-0.00800000
75828,20111222,EA,0.00000000,0.00800000,-0.00800000,-0.01230017,,,0.01119700
75828,20111223,EA,0.02019700,0.00900000,0.01119700,0.01790360,0.00902568,,0.01448600
75828,20111227,EA,0.01448600,0.00000000,0.01448600,0.01493126,-0.00833481,,-0.01037000
75828,20111228,EA,-0.02237000,-0.01200000,-0.01037000,0.00837502,0.01166571,,0.00457900
75828,20111229,EA,0.01557900,0.01100000,0.00457900,-0.01438703,0.01095221,,-0.00846400
75828,20111230,EA,-0.01246400,-0.00400000,-0.00846400,0.01494069,0.01869365,,0.01898100
75828,20120103,EA,0.03398100,0.01500000,0.01898100,-0.03826474,-0.04406478,-0.03753751,-0.04741800
75828,20120104,EA,-0.04741800,0.00000000,-0.04741800,-0.02144339,-0.02561405,-0.03412094,0.00882800
75828,20120105,EA,0.01182800,0.00300000,0.00882800,-0.07651757,-0.06797822,-0.05806026,-0.03889000
75828,20120106,EA,-0.04189000,-0.00300000,-0.03889000,-0.04487010,-0.07430303,-0.06426250,-0.01471000
75828,20120109,EA,-0.01271000,0.00200000,-0.01471000,-0.06034788,-0.09762980,-0.08151175,-0.00719800
75828,20120110,EA,0.00180200,0.00900000,-0.00719800,-0.02576168,-0.05585960,-0.09849522,-0.00385500
75828,20120111,EA,-0.00385500,0.00000000,-0.00385500,-0.00638368,-0.05968469,-0.08552580,0.00470800
75828,20120112,EA,0.00670800,0.00200000,0.00470800,-0.06972181,-0.09084245,-0.15418046,-0.07034600
75828,20120113,EA,-0.07534600,-0.00500000,-0.07034600,-0.08560142,-0.09649581,-0.16601338,-0.02063000
75828,20120117,EA,-0.01663000,0.00400000,-0.02063000,-0.07403901,-0.07341289,-0.16585404,0.01831200
75828,20120118,EA,0.02931200,0.01100000,0.01831200,-0.04783549,-0.11199190,-0.16378091,-0.04443000
75828,20120119,EA,-0.03943000,0.00500000,-0.04443000,-0.00636055,-0.09701777,-0.15283921,0.02123500
75828,20120120,EA,0.02223500,0.00100000,0.02123500,-0.02133814,-0.02446488,-0.11520034,0.00278900
75828,20120123,EA,0.00278900,0.00000000,0.00278900,0.02280621,-0.00477969,-0.10241116,-0.00122500
75828,20120124,EA,-0.00222500,-0.00100000,-0.00122500,-0.00185603,-0.02609164,-0.09893287,-0.00342600
75828,20120125,EA,0.00557400,0.00900000,-0.00342600,-0.01974069,0.00389692,-0.10879479,-0.01506400
75828,20120126,EA,-0.02106400,-0.00600000,-0.01506400,0.01020825,0.01177323,-0.08619209,0.02918000
75828,20120127,EA,0.02718000,-0.00200000,0.02918000,0.01040986,0.00584127,-0.01856816,-0.00306400
75828,20120130,EA,-0.00606400,-0.00300000,-0.00306400,0.05680537,0.03745807,0.03311056,0.03022700
75828,20120131,EA,0.03022700,-0.00000000,0.03022700,0.01056443,0.02423523,-0.00209456,-0.01626800
75828,20120201,EA,-0.00726800,0.00900000,-0.01626800,0.07512660,0.10290541,0.10752575,0.06000900
75828,20120202,EA,0.06100900,0.00100000,0.06000900,0.01064221,0.03855586,0.05104066,-0.03161100
75828,20120203,EA,-0.01661100,0.01500000,-0.03161100,0.01435444,0.02864018,0.03470805,-0.01247400
75828,20120206,EA,-0.01247400,-0.00000000,-0.01247400,-0.07197460,-0.03178483,0.00556742,-0.02884200
75828,20120207,EA,-0.02684200,0.00200000,-0.02884200,-0.05597907,-0.03092850,-0.00689231,-0.01552100
75828,20120208,EA,-0.01352100,0.00200000,-0.01552100,-0.06448169,-0.10671710,-0.01325665,-0.02128500
75828,20120209,EA,-0.02028500,0.00100000,-0.02128500,-0.05385034,-0.09256763,-0.05970318,-0.01818200
75828,20120210,EA,-0.02518200,-0.00700000,-0.01818200,-0.04206982,-0.08443290,-0.06019313,-0.00298200
75828,20120213,EA,0.00401800,0.00700000,-0.00298200,-0.01070297,-0.04683953,-0.07847203,0.01072000
75828,20120214,EA,0.00972000,-0.00100000,0.01072000,0.01798011,-0.02181493,-0.05235066,0.01009600
75828,20120215,EA,0.00509600,-0.00500000,0.01009600,0.01107011,-0.01048627,-0.11681673,-0.00987300
75828,20120216,EA,0.00112700,0.01100000,-0.00987300,-0.01871535,-0.01112727,-0.10393805,-0.01888200
75828,20120217,EA,-0.01688200,0.00200000,-0.01888200,-0.04389338,-0.02339266,-0.10663819,-0.01531000
75828,20120221,EA,-0.01431000,0.00100000,-0.01531000,-0.03600769,-0.03594830,-0.08145226,-0.00222600
75828,20120222,EA,-0.00522600,-0.00300000,-0.00222600,-0.01801540,-0.04658454,-0.06747602,-0.00049700
75828,20120223,EA,0.00350300,0.00400000,-0.00049700,-0.01982987,-0.05327009,-0.06352116,-0.01712500
75828,20120224,EA,-0.01512500,0.00200000,-0.01712500,-0.02569422,-0.04277489,-0.05408054,-0.00808800
75828,20120227,EA,-0.00708800,0.00100000,-0.00808800,-0.03393434,-0.03662094,-0.05961215,-0.00894900
75828,20120228,EA,-0.00594900,0.00300000,-0.00894900,-0.03412827,-0.05139476,-0.08597989,-0.01744200
75828,20120229,EA,-0.02244200,-0.00500000,-0.01744200,-0.01111155,-0.03607347,-0.08184546,0.01573300
75828,20120301,EA,0.02173300,0.00600000,0.01573300,0.00622172,-0.01082251,-0.06368554,0.00839200
75828,20120302,EA,0.00539200,-0.00300000,0.00839200,0.01051825,-0.01599446,-0.05803496,-0.01328300
75828,20120305,EA,-0.01728300,-0.00400000,-0.01328300,0.00690325,0.00477568,-0.03122005,0.01196800
75828,20120306,EA,-0.00303200,-0.01500000,0.01196800,-0.00401829,0.01983953,-0.03200692,-0.00274200
75828,20120307,EA,0.00425800,0.00700000,-0.00274200,0.05337160,0.04772669,0.01045213,0.04390700
75828,20120308,EA,0.05390700,0.01000000,0.04390700,0.02874061,0.02680764,0.01572815,-0.01204600
75828,20120309,EA,-0.00804600,0.00400000,-0.01204600,0.00594795,0.01540410,-0.00097672,-0.02433400
75828,20120312,EA,-0.02433400,0.00000000,-0.02433400,-0.02896901,0.01157613,0.01635349,0.00812800
75828,20120313,EA,0.02612800,0.01800000,0.00812800,-0.06130437,-0.03216885,-0.01205376,-0.04442800
