PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
83862,20010102,EGRP,0.00000000,-0.02800000,0.02800000,,,,0.23813601
83862,20010103,EGRP,0.28813601,0.05000000,0.23813601,0.44825433,,,0.14257899
83862,20010104,EGRP,0.13157900,-0.01100000,0.14257899,0.30210988,,,-0.07283700
83862,20010105,EGRP,-0.09883700,-0.02600000,-0.07283700,0.05837769,0.33239672,,0.00200000
83862,20010108,EGRP,0.00000000,-0.00200000,0.00200000,-0.06896291,0.30857014,,0.00245200
83862,20010109,EGRP,0.00645200,0.00400000,0.00245200,0.01702086,0.07448603,,0.01243600
83862,20010110,EGRP,0.02243600,0.01000000,0.01243600,0.22098123,0.12653696,,0.20003100
83862,20010111,EGRP,0.21003100,0.01000000,0.20003100,0.21037905,0.21625875,,-0.00436300
83862,20010112,EGRP,-0.01036300,-0.00600000,-0.00436300,0.21887575,0.24037250,0.65616567,0.02017800
83862,20010116,EGRP,0.02617800,0.00600000,0.02017800,0.03948625,0.26635724,0.66752423,0.02351000
83862,20010117,EGRP,0.02551000,0.00200000,0.02351000,-0.00118238,0.19641778,0.28254356,-0.04385100
83862,20010118,EGRP,-0.02985100,0.01400000,-0.04385100,0.01354551,0.02952213,0.16117283,0.03476900
83862,20010119,EGRP,0.03076900,-0.00400000,0.03476900,-0.02984458,0.01337758,0.23664376,-0.01990000
83862,20010122,EGRP,-0.01990000,0.00000000,-0.01990000,0.06284747,0.04120712,0.29851759,0.04791400
83862,20010123,EGRP,0.06091400,0.01300000,0.04791400,0.09590218,0.08579807,0.38386794,0.06637800
83862,20010124,EGRP,0.06937800,0.00300000,0.06637800,0.12102137,0.13667555,0.36487133,0.00276300
83862,20010125,EGRP,-0.00223700,-0.00500000,0.00276300,0.04707274,0.07564064,0.10856189,-0.02042200
83862,20010126,EGRP,-0.02242200,-0.00200000,-0.02042200,0.06938952,0.19719818,0.21698445,0.08933000
83862,20010129,EGRP,0.09633000,0.00700000,0.08933000,0.03282101,0.10484978,0.15342254,-0.03210500
83862,20010130,EGRP,-0.02510500,0.00700000,-0.03210500,0.01955719,0.00131667,0.08734098,-0.03262700
83862,20010131,EGRP,-0.03862700,-0.00600000,-0.03262700,-0.07709368,-0.01546480,0.12049065,-0.01392900
83862,20010201,EGRP,-0.00892900,0.00500000,-0.01392900,-0.13220273,-0.08752774,-0.01960893,-0.09110799
83862,20010202,EGRP,-0.10810800,-0.01700000,-0.09110799,-0.06329545,-0.12252490,0.04713474,0.04650500
83862,20010205,EGRP,0.05050500,0.00400000,0.04650500,-0.04802103,-0.09124041,0.00144859,0.00200000
83862,20010206,EGRP,0.00000000,-0.00200000,0.00200000,0.01107474,-0.09357099,-0.09248726,-0.03526900
83862,20010207,EGRP,-0.04326900,-0.00800000,-0.03526900,-0.02253731,-0.07031479,-0.08501899,0.01102500
83862,20010208,EGRP,0.00502500,-0.00600000,0.01102500,-0.04294078,0.00210484,-0.08344252,-0.01950000
83862,20010209,EGRP,-0.03250000,-0.01300000,-0.01950000,-0.00792629,-0.04063035,-0.15579469,0.00092000
83862,20010212,EGRP,0.01292000,0.01200000,0.00092000,0.01014561,-0.01450532,-0.10200358,0.02940800
83862,20010213,EGRP,0.02040800,-0.00900000,0.02940800,0.04820939,0.03815292,-0.05798701,0.01700000
83862,20010214,EGRP,0.01500000,-0.00200000,0.01700000,,,,
