PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
88436,20010102,ENDP,0.00000000,-0.02800000,0.02800000,,,,0.00208300
88436,20010103,ENDP,0.05208300,0.05000000,0.00208300,0.08437628,,,0.05060400
88436,20010104,ENDP,0.03960400,-0.01100000,0.05060400,0.11354894,,,0.05457100
88436,20010105,ENDP,0.02857100,-0.02600000,0.05457100,0.02873919,0.06050255,,-0.07207400
88436,20010108,ENDP,-0.07407400,-0.00200000,-0.07207400,-0.06165480,-0.01346573,,-0.04400000
88436,20010109,ENDP,-0.04000000,0.00400000,-0.04400000,-0.12312297,-0.02436220,,-0.01000000
88436,20010110,ENDP,0.00000000,0.01000000,-0.01000000,-0.08418004,-0.10031849,,-0.03083300
88436,20010111,ENDP,-0.02083300,0.01000000,-0.03083300,-0.01397873,-0.12710971,,0.02727700
88436,20010112,ENDP,0.02127700,-0.00600000,0.02727700,0.13587010,0.07585689,0.14098084,0.13983300
88436,20010116,ENDP,0.14583300,0.00600000,0.13983300,0.14697210,0.10289684,0.08913340,-0.02018200
88436,20010117,ENDP,-0.01818200,0.00200000,-0.02018200,0.08204141,0.07801498,0.04915351,-0.03251900
88436,20010118,ENDP,-0.01851900,0.01400000,-0.03251900,-0.06651001,0.09445476,-0.01695556,-0.01486800
88436,20010119,ENDP,-0.01886800,-0.00400000,-0.01486800,-0.04698159,0.06529655,-0.07136081,0.00000000
88436,20010122,ENDP,0.00000000,0.00000000,0.00000000,-0.02781597,-0.07966556,-0.00986977,-0.01300000
88436,20010123,ENDP,0.00000000,0.01300000,-0.01300000,-0.01603903,-0.06318011,0.03450919,-0.00300000
88436,20010124,ENDP,0.00000000,0.00300000,-0.00300000,-0.02057385,-0.03521656,0.03966951,-0.00461500
88436,20010125,ENDP,-0.00961500,-0.00500000,-0.00461500,-0.05368132,-0.06662919,0.02158153,-0.04654400
88436,20010126,ENDP,-0.04854400,-0.00200000,-0.04654400,0.00965480,-0.00638361,0.05942570,0.06442900
88436,20010129,ENDP,0.07142900,0.00700000,0.06442900,0.03652250,0.02847995,-0.05353428,0.02157100
88436,20010130,ENDP,0.02857100,0.00700000,0.02157100,0.10427994,0.04715770,-0.01782709,0.01525900
88436,20010131,ENDP,0.00925900,-0.00600000,0.01525900,0.02975037,0.04484568,0.00797330,-0.00729400
88436,20010201,ENDP,-0.00229400,0.00500000,-0.00729400,0.03653009,0.12666458,0.05300877,0.02849400
88436,20010202,ENDP,0.01149400,-0.01700000,0.02849400,-0.02397719,0.01194391,0.00572100,-0.04490900
88436,20010205,ENDP,-0.04090900,0.00400000,-0.04490900,0.03573171,0.04383361,0.07354218,0.05413300
88436,20010206,ENDP,0.05213300,-0.00200000,0.05413300,-0.04852111,-0.02783559,0.01713332,-0.05506300
88436,20010207,ENDP,-0.06306300,-0.00800000,-0.05506300,0.00170635,-0.01489394,0.02782945,0.00600000
88436,20010208,ENDP,0.00000000,-0.00600000,0.00600000,-0.03629239,-0.02971310,0.09016784,0.01300000
88436,20010209,ENDP,0.00000000,-0.01300000,0.01300000,-0.01208193,-0.01611362,-0.00445021,-0.03123100
88436,20010212,ENDP,-0.01923100,0.01200000,-0.03123100,0.01014556,-0.03910701,0.00259023,0.02860800
88436,20010213,ENDP,0.01960800,-0.00900000,0.02860800,-0.00088629,0.01805248,-0.01010871,0.00200000
88436,20010214,ENDP,0.00000000,-0.00200000,0.00200000,0.00306973,-0.01500879,-0.02918429,-0.02723100
88436,20010215,ENDP,-0.01923100,0.00800000,-0.02723100,0.01312957,0.01027549,-0.01969276,0.03860800
88436,20010216,ENDP,0.01960800,-0.01900000,0.03860800,0.02796233,0.05824525,0.04082191,0.01700000
