PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
77481,20010102,EPG,-0.01919700,-0.02800000,0.00880300,,,,-0.09448400
77481,20010103,EPG,-0.04448400,0.05000000,-0.09448400,-0.14986206,,,-0.07186800
77481,20010104,EPG,-0.08286800,-0.01100000,-0.07186800,-0.09863946,,,0.06762400
77481,20010105,EPG,0.04162400,-0.02600000,0.06762400,-0.00605277,-0.08587584,,0.00200000
77481,20010108,EPG,0.00000000,-0.00200000,0.00200000,0.03827243,-0.12467576,,-0.03031600
77481,20010109,EPG,-0.02631600,0.00400000,-0.03031600,-0.03442924,-0.04096565,,-0.00599600
77481,20010110,EPG,0.00400400,0.01000000,-0.00599600,-0.05342022,0.01561044,,-0.01697900
77481,20010111,EPG,-0.00697900,0.01000000,-0.01697900,-0.00797352,-0.03646738,,0.01503600
77481,20010112,EPG,0.00903600,-0.00600000,0.01503600,0.01296783,-0.02414342,-0.10956448,0.01489600
77481,20010116,EPG,0.02089600,0.00600000,0.01489600,0.01008435,-0.01309422,-0.13906952,-0.01954400
77481,20010117,EPG,-0.01754400,0.00200000,-0.01954400,-0.08879017,-0.09095638,-0.12698033,-0.08344400
77481,20010118,EPG,-0.06944400,0.01400000,-0.08344400,-0.08896149,-0.06112362,-0.04600955,0.01359500
77481,20010119,EPG,0.00959500,-0.00400000,0.01359500,-0.08038027,-0.08569685,-0.12106788,-0.01056000
77481,20010122,EPG,-0.01056000,0.00000000,-0.01056000,0.04755530,-0.05923207,-0.08398196,0.04463100
77481,20010123,EPG,0.05763100,0.01300000,0.04463100,0.02831169,-0.04499103,-0.05883290,-0.00501800
77481,20010124,EPG,-0.00201800,0.00300000,-0.00501800,0.08189082,0.08476940,-0.01230942,0.04038900
77481,20010125,EPG,0.03538900,-0.00500000,0.04038900,0.02015566,0.05442037,-0.00992678,-0.01460200
77481,20010126,EPG,-0.01660200,-0.00200000,-0.01460200,0.02086731,0.06148156,-0.02974631,-0.00441800
77481,20010129,EPG,0.00258200,0.00700000,-0.00441800,-0.02920919,0.00555720,-0.05445568,-0.01017000
77481,20010130,EPG,-0.00317000,0.00700000,-0.01017000,-0.00856091,0.01667332,-0.02867332,0.00600000
77481,20010131,EPG,0.00000000,-0.00600000,0.00600000,-0.02815032,-0.04691692,0.03448157,-0.02407800
77481,20010201,EPG,-0.01907800,0.00500000,-0.02407800,0.02500736,0.01061107,0.06547426,0.04358000
77481,20010202,EPG,0.02658000,-0.01700000,0.04358000,0.05058158,0.04632681,0.11095618,0.03120700
77481,20010205,EPG,0.03520700,0.00400000,0.03120700,0.10985579,0.08998340,0.09684961,0.03219700
77481,20010206,EPG,0.03019700,-0.00200000,0.03219700,0.13501064,0.15491998,0.17401799,0.06662300
77481,20010207,EPG,0.05862300,-0.00800000,0.06662300,0.10712390,0.18842699,0.13608876,0.00655900
77481,20010208,EPG,0.00055900,-0.00600000,0.00655900,0.08613357,0.15460782,0.16594402,0.01314000
77481,20010209,EPG,0.00014000,-0.01300000,0.01314000,0.00267449,0.10277197,0.15233123,-0.01717000
77481,20010212,EPG,-0.00517000,0.01200000,-0.01717000,0.02398247,0.09782695,0.19288676,0.02796300
77481,20010213,EPG,0.01896300,-0.00900000,0.02796300,-0.01192540,0.00770465,0.16088256,-0.02240000
77481,20010214,EPG,-0.02440000,-0.00200000,-0.02240000,-0.02361952,-0.02736351,0.15589949,-0.02891300
77481,20010215,EPG,-0.02091300,0.00800000,-0.02891300,-0.00823737,0.00231098,0.15563000,0.04353500
77481,20010216,EPG,0.02453500,-0.01900000,0.04353500,0.05184264,0.05647693,0.16011872,0.03770700
77481,20010220,EPG,0.02070700,-0.01700000,0.03770700,0.12919008,0.07535769,0.17402260,0.04715300
77481,20010221,EPG,0.02815300,-0.01900000,0.04715300,0.03211129,0.04593565,0.05279253,-0.05034900
77481,20010222,EPG,-0.05234900,-0.00200000,-0.05034900,0.00061391,0.07988382,0.05168149,0.00543300
77481,20010223,EPG,-0.00056700,-0.00600000,0.00543300,-0.06525263,0.01739656,0.01950631,-0.02068500
77481,20010226,EPG,-0.00368500,0.01700000,-0.02068500,-0.00167873,-0.00635670,0.04897837,0.01340500
77481,20010227,EPG,0.00540500,-0.00800000,0.01340500,0.00458616,-0.04031857,0.03295456,0.01163000
77481,20010228,EPG,-0.00237000,-0.01400000,0.01163000,0.03506057,0.02008040,0.06549744,0.01009500
77481,20010301,EPG,0.01109500,0.00100000,0.01009500,0.03998113,0.03302084,0.11269188,0.01824000
77481,20010302,EPG,0.01224000,-0.00600000,0.01824000,0.00188084,0.02682069,0.04359216,-0.02615300
77481,20010305,EPG,-0.02015300,0.00600000,-0.02615300,-0.00419491,0.01769764,0.01092638,0.00404300
77481,20010306,EPG,0.01404300,0.01000000,0.00404300,0.00647514,0.03573490,-0.00718338,0.02925000
77481,20010307,EPG,0.03525000,0.00600000,0.02925000,0.03155408,0.02302597,0.04369553,-0.00213500
77481,20010308,EPG,-0.00013500,0.00200000,-0.00213500,0.05131925,0.02892404,0.06255743,0.02405400
77481,20010309,EPG,-0.00094600,-0.02500000,0.02405400,0.03384657,0.06706533,0.09293787,0.01283600
77481,20010312,EPG,-0.03016400,-0.04300000,0.01283600,0.00563154,0.03149316,0.04884559,-0.03173600
77481,20010313,EPG,-0.01673600,0.01500000,-0.03173600,0.01102191,0.03179500,0.06650245,0.02968800
77481,20010314,EPG,0.00368800,-0.02600000,0.02968800,-0.03331355,0.00336975,0.02487587,-0.03200300
77481,20010315,EPG,-0.02600300,0.00600000,-0.03200300,0.01833517,0.00043992,0.02743065,0.02101600
77481,20010316,EPG,0.00101600,-0.02000000,0.02101600,-0.02779108,-0.02915272,0.03689291,-0.01713000
77481,20010319,EPG,0.00087000,0.01800000,-0.01713000,0.03646080,0.03344805,0.06303158,0.03225500
77481,20010320,EPG,0.00825500,-0.02400000,0.03225500,-0.02337181,-0.03341578,-0.00136456,-0.03830600
77481,20010321,EPG,-0.05630600,-0.01800000,-0.03830600,-0.07842214,-0.07451606,-0.06619150,-0.07514800
77481,20010322,EPG,-0.07914800,-0.00400000,-0.07514800,-0.10708569,-0.09253629,-0.08591704,0.00479300
77481,20010323,EPG,0.02479300,0.02000000,0.00479300,-0.06819174,-0.07201942,-0.09805568,0.00512900
77481,20010326,EPG,0.01612900,0.01100000,0.00512900,-0.02117293,-0.13379830,-0.09751526,-0.03028600
77481,20010327,EPG,-0.00428600,0.02600000,-0.03028600,0.01744688,-0.05666805,-0.08698421,0.04185400
77481,20010328,EPG,0.01785400,-0.02400000,0.04185400,0.00791576,0.01830809,-0.06049207,-0.00408400
77481,20010329,EPG,-0.00908400,-0.00500000,-0.00408400,0.05916655,0.03481527,-0.06295208,0.02108500
77481,20010330,EPG,0.03208500,0.01100000,0.02108500,0.01145181,0.02364752,-0.05010115,-0.00499800
77481,20010402,EPG,-0.01699800,-0.01200000,-0.00499800,0.01344129,0.04972920,-0.08056671,-0.00167500
77481,20010403,EPG,-0.03567500,-0.03400000,-0.00167500,0.00389248,0.01993301,-0.03487105,0.01091600
77481,20010404,EPG,0.00791600,-0.00300000,0.01091600,-0.02354962,-0.00813265,0.00988256,-0.03374200
77481,20010405,EPG,0.01025800,0.04400000,-0.03374200,-0.00631860,-0.01259401,0.02062989,0.01555800
77481,20010406,EPG,-0.00444200,-0.02000000,0.01555800,-0.02152765,-0.01179014,0.01147510,-0.00401600
77481,20010409,EPG,0.00398400,0.00800000,-0.00401600,0.02229691,-0.00023708,0.05227873,0.01030200
77481,20010410,EPG,0.03730200,0.02700000,0.01030200,0.01800976,0.00018899,0.02125449,0.01133400
77481,20010411,EPG,0.00933400,-0.00200000,0.01133400,0.02428272,0.03642655,0.02793073,0.00182800
77481,20010412,EPG,0.01682800,0.01500000,0.00182800,0.02709972,0.03450298,0.01998867,0.01343700
77481,20010416,EPG,0.01043700,-0.00300000,0.01343700,0.04372268,0.06830162,0.05468442,0.02733200
77481,20010417,EPG,0.03733200,0.01000000,0.02733200,-0.00255560,0.01134352,0.01172449,-0.04326700
77481,20010418,EPG,-0.00426700,0.03900000,-0.04326700,-0.06701555,-0.05239266,-0.05518732,-0.04871400
77481,20010419,EPG,-0.03571400,0.01300000,-0.04871400,-0.09424307,-0.05582043,-0.02113935,-0.00285200
77481,20010420,EPG,-0.01185200,-0.00900000,-0.00285200,0.01117502,-0.00475728,0.03066460,0.06447500
77481,20010423,EPG,0.04947500,-0.01500000,0.06447500,0.06135609,-0.03013812,0.03569995,0.00114300
77481,20010424,EPG,-0.01085700,-0.01200000,0.00114300,0.05097937,-0.00187573,0.00925027,-0.01441100
77481,20010425,EPG,0.00158900,0.01600000,-0.01441100,-0.00796935,0.05317461,0.00282238,0.00523800
77481,20010426,EPG,0.01023800,0.00500000,0.00523800,-0.02787486,0.03832662,-0.01818528,-0.01828300
77481,20010427,EPG,-0.00328300,0.01500000,-0.01828300,-0.02494541,-0.03802987,-0.04413792,-0.01175000
77481,20010430,EPG,-0.01475000,-0.00300000,-0.01175000,-0.04139471,-0.05136301,-0.08216588,-0.01123800
77481,20010501,EPG,0.00276200,0.01400000,-0.01123800,-0.06681652,-0.08058999,-0.08177796,-0.04434000
77481,20010502,EPG,-0.04334000,0.00100000,-0.04434000,-0.05284155,-0.08182446,-0.03112878,0.00212100
77481,20010503,EPG,-0.01287900,-0.01500000,0.00212100,-0.02066216,-0.04339558,-0.00669357,0.02283800
77481,20010504,EPG,0.03683800,0.01400000,0.02283800,0.01154041,-0.04446244,-0.08217729,-0.01280400
77481,20010507,EPG,-0.01480400,-0.00200000,-0.01280400,-0.00166017,-0.04362799,-0.09461746,-0.01092300
77481,20010508,EPG,-0.01292300,-0.00200000,-0.01092300,-0.00608422,0.01827036,-0.06246235,0.01785300
77481,20010509,EPG,0.01385300,-0.00400000,0.01785300,0.00358752,0.01312420,-0.07010349,-0.00315300
77481,20010510,EPG,-0.00315300,-0.00000000,-0.00315300,0.01486039,-0.00880683,-0.05122417,0.00031800
