PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
88519,20010102,EQIX,-0.18571401,-0.02800000,-0.15771401,,,,-0.03245600
88519,20010103,EQIX,0.01754400,0.05000000,-0.03245600,-0.18080153,,,0.01100000
88519,20010104,EQIX,0.00000000,-0.01100000,0.01100000,0.11135671,,,0.12944800
88519,20010105,EQIX,0.10344800,-0.02600000,0.12944800,0.12484721,-0.08116315,,-0.01362500
88519,20010108,EQIX,-0.01562500,-0.00200000,-0.01362500,0.04992120,0.03039407,,-0.05955600
88519,20010109,EQIX,-0.05555600,0.00400000,-0.05955600,-0.05888739,0.07686647,,0.01521000
88519,20010110,EQIX,0.02521000,0.01000000,0.01521000,-0.04005435,0.07340766,,0.00639300
88519,20010111,EQIX,0.01639300,0.01000000,0.00639300,0.22971696,0.14024919,,0.19954799
88519,20010112,EQIX,0.19354799,-0.00600000,0.19954799,0.30151056,0.24569595,0.13800370,0.07508101
88519,20010116,EQIX,0.08108100,0.00600000,0.07508101,0.44964836,0.49050019,0.54307897,0.12300000
88519,20010117,EQIX,0.12500000,0.00200000,0.12300000,0.23463198,0.49843682,0.60309428,0.01933300
88519,20010118,EQIX,0.03333300,0.01400000,0.01933300,0.16303605,0.50420084,0.61325587,0.01475300
88519,20010119,EQIX,0.01075300,-0.00400000,0.01475300,0.05672295,0.27926191,0.46567483,0.02127700
88519,20010122,EQIX,0.02127700,0.00000000,0.02127700,0.08782695,0.24988095,0.56917639,0.04950000
88519,20010123,EQIX,0.06250000,0.01300000,0.04950000,0.17545054,0.21830205,0.83352760,0.09503900
88519,20010124,EQIX,0.09803900,0.00300000,0.09503900,0.07237379,0.11136462,0.67166870,-0.06642900
88519,20010125,EQIX,-0.07142900,-0.00500000,-0.06642900,-0.05481315,0.01233941,0.52741499,-0.07492300
88519,20010126,EQIX,-0.07692300,-0.00200000,-0.07492300,-0.13388972,-0.00558308,0.27648704,0.00341700
88519,20010129,EQIX,0.01041700,0.00700000,0.00341700,-0.09855937,-0.07860976,0.15214770,-0.02761900
88519,20010130,EQIX,-0.02061900,0.00700000,-0.02761900,-0.01838144,-0.15270518,0.02846954,0.00600000
88519,20010131,EQIX,0.00000000,-0.00600000,0.00600000,-0.01627284,-0.08790196,0.01428827,0.00552600
88519,20010201,EQIX,0.01052600,0.00500000,0.00552600,0.02853844,0.00421613,0.01659322,0.01700000
88519,20010202,EQIX,0.00000000,-0.01700000,0.01700000,-0.08660408,-0.10621986,-0.11286926,-0.10816700
88519,20010205,EQIX,-0.10416700,0.00400000,-0.10816700,-0.10475018,-0.09447067,-0.16533490,-0.01544200
88519,20010206,EQIX,-0.01744200,-0.00200000,-0.01544200,0.02685652,0.04961397,-0.10786770,0.16776299
88519,20010207,EQIX,0.15976299,-0.00800000,0.16776299,0.22522531,0.11211602,0.01811989,0.06722400
88519,20010208,EQIX,0.06122400,-0.00600000,0.06722400,0.19836729,0.05608063,0.06019204,-0.03507700
88519,20010209,EQIX,-0.04807700,-0.01300000,-0.03507700,-0.01325957,0.13333973,0.01381103,-0.04230300
88519,20010212,EQIX,-0.03030300,0.01200000,-0.04230300,-0.08600794,0.13638159,0.02910021,-0.01183300
88519,20010213,EQIX,-0.02083300,-0.00900000,-0.01183300,-0.12209795,-0.09419244,-0.04844852,-0.07246801
88519,20010214,EQIX,-0.07446800,-0.00200000,-0.07246801,-0.14276292,-0.20731562,-0.11294901,-0.06547100
88519,20010215,EQIX,-0.05747100,0.00800000,-0.06547100,-0.22623197,-0.26750179,-0.22035649,-0.10904900
88519,20010216,EQIX,-0.12804900,-0.01900000,-0.10904900,-0.16743983,-0.23219568,-0.13100709,-0.00397900
88519,20010220,EQIX,-0.02097900,-0.01700000,-0.00397900,-0.16551298,-0.27081038,-0.17146722,-0.06671400
