PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
75828,20010102,ERTS,-0.08651000,-0.02800000,-0.05851000,,,,-0.01348300
75828,20010103,ERTS,0.03651700,0.05000000,-0.01348300,-0.05482762,,,0.01913000
75828,20010104,ERTS,0.00813000,-0.01100000,0.01913000,-0.10615374,,,-0.10764100
75828,20010105,ERTS,-0.13364100,-0.02600000,-0.10764100,-0.04924261,-0.11752746,,0.04632600
75828,20010108,ERTS,0.04432600,-0.00200000,0.04632600,-0.04045686,-0.03593751,,0.02995600
75828,20010109,ERTS,0.03395600,0.00400000,0.02995600,0.09791751,-0.00544182,,0.01791500
75828,20010110,ERTS,0.02791500,0.01000000,0.01791500,-0.06153103,-0.12458882,,-0.10424900
75828,20010111,ERTS,-0.09424900,0.01000000,-0.10424900,-0.06159760,0.01237039,,0.02892800
75828,20010112,ERTS,0.02292800,-0.00600000,0.02892800,-0.05309388,-0.00716417,-0.12655222,0.02675900
75828,20010116,ERTS,0.03275900,0.00600000,0.02675900,0.05271090,-0.04016418,-0.07599344,-0.00366900
75828,20010117,ERTS,-0.00166900,0.00200000,-0.00366900,0.05891116,-0.02455261,-0.02938581,0.03449500
75828,20010118,ERTS,0.04849500,0.01400000,0.03449500,0.09655067,0.15914944,0.01253917,0.06301100
75828,20010119,ERTS,0.05901100,-0.00400000,0.06301100,0.07366829,0.09920682,0.11461479,-0.02409600
75828,20010122,ERTS,-0.02409600,0.00000000,-0.02409600,0.08196184,0.11678511,0.11142391,0.04255600
75828,20010123,ERTS,0.05555600,0.01300000,0.04255600,0.00203405,0.10429298,0.06119520,-0.01469600
75828,20010124,ERTS,-0.01169600,0.00300000,-0.01469600,-0.03410612,0.00265550,-0.02206265,-0.05860900
75828,20010125,ERTS,-0.06360900,-0.00500000,-0.05860900,-0.10125153,-0.08724868,0.05839684,-0.03117500
75828,20010126,ERTS,-0.03317500,-0.00200000,-0.03117500,-0.08427971,-0.06075125,0.03292020,0.00443800
75828,20010129,ERTS,0.01143800,0.00700000,0.00443800,-0.00096161,-0.07430802,0.03309815,0.02692600
75828,20010130,ERTS,0.03392600,0.00700000,0.02692600,0.18974880,0.08340240,0.19866986,0.15131299
75828,20010131,ERTS,0.14531299,-0.00600000,0.15131299,0.17174416,0.14068176,0.14471280,-0.01045700
75828,20010201,ERTS,-0.00545700,0.00500000,-0.01045700,0.15863834,0.19702845,0.09471803,0.01837200
75828,20010202,ERTS,0.00137200,-0.01700000,0.01837200,0.02177601,0.20750728,0.13790610,0.01380800
75828,20010205,ERTS,0.01780800,0.00400000,0.01380800,0.06442496,0.21136988,0.12465833,0.03161000
75828,20010206,ERTS,0.02961000,-0.00200000,0.03161000,0.05533895,0.06305686,0.15027204,0.00930700
75828,20010207,ERTS,0.00130700,-0.00800000,0.00930700,0.03072886,0.06307752,0.20927624,-0.00966600
75828,20010208,ERTS,-0.01566600,-0.00600000,-0.00966600,0.02023478,0.06592806,0.27077561,0.02095800
75828,20010209,ERTS,0.00795800,-0.01300000,0.02095800,0.03325955,0.07493618,0.29391455,0.02221100
75828,20010212,ERTS,0.03421100,0.01200000,0.02221100,0.06319693,0.06186505,0.28025442,0.01917800
75828,20010213,ERTS,0.01017800,-0.00900000,0.01917800,0.07543022,0.08593860,0.15172613,0.03222700
75828,20010214,ERTS,0.03022700,-0.00200000,0.03222700,0.01579243,0.05992624,0.12479251,-0.03489500
75828,20010215,ERTS,-0.02689500,0.00800000,-0.03489500,-0.00450299,0.03659139,0.10334576,-0.00110100
75828,20010216,ERTS,-0.02010100,-0.01900000,-0.00110100,-0.06617021,-0.01861513,0.05234837,-0.03300000
75828,20010220,ERTS,-0.05000000,-0.01700000,-0.03300000,0.00374751,0.00047902,0.05937179,0.03924300
75828,20010221,ERTS,0.02024300,-0.01900000,0.03924300,0.12350287,0.08378970,0.17126233,0.12237000
75828,20010222,ERTS,0.12037000,-0.00200000,0.12237000,0.17258472,0.12813769,0.19151290,0.00836100
75828,20010223,ERTS,0.00236100,-0.00600000,0.00836100,0.08768420,0.08993770,0.12790360,-0.04055700
75828,20010226,ERTS,-0.02355700,0.01700000,-0.04055700,-0.05948130,0.09648262,0.07268261,-0.02818800
75828,20010227,ERTS,-0.03618800,-0.00800000,-0.02818800,-0.05245406,0.07140743,0.06846262,0.01525200
75828,20010228,ERTS,0.00125200,-0.01400000,0.01525200,0.03056070,-0.00156607,0.08131013,0.04525000
75828,20010301,ERTS,0.04625000,0.00100000,0.04525000,0.05648320,-0.01331669,0.11262225,-0.00355800
75828,20010302,ERTS,-0.00955800,-0.00600000,-0.00355800,-0.00096429,-0.01403642,0.07313576,-0.04098200
75828,20010305,ERTS,-0.03498200,0.00600000,-0.04098200,-0.03027454,0.02946304,0.12794500,0.01500000
75828,20010306,ERTS,0.02500000,0.01000000,0.01500000,0.03212597,0.07546046,0.15247654,0.05985400
75828,20010307,ERTS,0.06585400,0.00600000,0.05985400,0.03815789,-0.00849778,-0.00999180,-0.03518100
75828,20010308,ERTS,-0.03318100,0.00200000,-0.03518100,-0.00476337,-0.03116563,-0.04372947,-0.02588800
75828,20010309,ERTS,-0.05088800,-0.02500000,-0.02588800,-0.02075450,0.04879283,0.03375200,0.03925900
75828,20010312,ERTS,-0.00374100,-0.04300000,0.03925900,0.05174416,0.07460794,0.10469602,0.04132000
75828,20010313,ERTS,0.05632000,0.01500000,0.04132000,0.10377437,0.03909282,0.11245641,0.02363000
75828,20010314,ERTS,-0.00237000,-0.02600000,0.02363000,0.04050108,0.05071440,0.04331333,-0.02381500
75828,20010315,ERTS,-0.01781500,0.00600000,-0.02381500,-0.06214332,0.01239506,-0.01707810,-0.06343400
75828,20010316,ERTS,-0.08343400,-0.02000000,-0.06343400,-0.04638094,0.01656595,0.06495721,0.04532500
75828,20010319,ERTS,0.06332500,0.01800000,0.04532500,-0.03899246,-0.03819418,0.03186925,-0.01694300
75828,20010320,ERTS,-0.04094300,-0.02400000,-0.01694300,0.08500208,-0.00703810,0.03082326,0.05810300
75828,20010321,ERTS,0.04010300,-0.01800000,0.05810300,0.05780769,0.03435310,0.08191888,0.01892500
75828,20010322,ERTS,0.01492500,-0.00400000,0.01892500,0.07869184,0.10640832,0.11285652,-0.00039200
75828,20010323,ERTS,0.01960800,0.02000000,-0.00039200,0.00275509,0.04289329,0.05957659,-0.01580800
75828,20010326,ERTS,-0.00480800,0.01100000,-0.01580800,0.01549748,0.09841469,0.05061119,0.03197100
75828,20010327,ERTS,0.05797100,0.02600000,0.03197100,0.06212771,0.08343132,0.07242723,0.04454800
75828,20010328,ERTS,0.02054800,-0.02400000,0.04454800,0.08817169,0.07301399,0.10733978,0.00947400
75828,20010329,ERTS,0.00447400,-0.00500000,0.00947400,0.00906460,0.02485833,0.13565241,-0.04440800
75828,20010330,ERTS,-0.03340800,0.01100000,-0.04440800,-0.03749848,0.03736674,0.08107581,-0.00297700
75828,20010402,ERTS,-0.01497700,-0.01200000,-0.00297700,-0.01947305,0.03213701,0.12863764,0.02698200
75828,20010403,ERTS,-0.00701800,-0.03400000,0.02698200,-0.05983984,-0.09143063,-0.02180476,-0.08533900
75828,20010404,ERTS,-0.08833900,-0.00300000,-0.08533900,-0.05606306,-0.10038726,-0.03714426,0.00477300
75828,20010405,ERTS,0.04877300,0.04400000,0.00477300,-0.02476127,-0.00004184,0.02415704,0.06096100
75828,20010406,ERTS,0.04096100,-0.02000000,0.06096100,0.07443157,0.00773052,0.04509719,0.00482800
75828,20010409,ERTS,0.01282800,0.00800000,0.00482800,0.08375716,-0.00588988,0.02822747,0.01469000
75828,20010410,ERTS,0.04169000,0.02700000,0.01469000,0.02701998,0.10038458,-0.00973503,0.00684600
75828,20010411,ERTS,0.00484600,-0.00200000,0.00684600,0.03932107,0.11061146,-0.00317739,0.01643400
75828,20010412,ERTS,0.03143400,0.01500000,0.01643400,0.02488652,0.04629041,0.04502009,0.00144200
75828,20010416,ERTS,-0.00155800,-0.00300000,0.00144200,-0.02600312,-0.00494539,0.00314802,-0.04277800
75828,20010417,ERTS,-0.03277800,0.01000000,-0.04277800,-0.02442256,-0.00076504,-0.00704552,0.01909600
75828,20010418,ERTS,0.05809600,0.03900000,0.01909600,-0.01967409,-0.00126228,0.10652678,0.00648800
75828,20010419,ERTS,0.01948800,0.01300000,0.00648800,-0.02474470,-0.06692665,0.03999435,-0.04701700
75828,20010420,ERTS,-0.05601700,-0.00900000,-0.04701700,-0.04576425,-0.07252175,-0.03114448,-0.00507400
75828,20010423,ERTS,-0.02007400,-0.01500000,-0.00507400,-0.04171523,-0.01972223,-0.02558277,0.00948400
75828,20010424,ERTS,-0.00251600,-0.01200000,0.00948400,0.01565134,-0.02597426,-0.02826733,0.01156300
75828,20010425,ERTS,0.02756300,0.01600000,0.01156300,-0.00289655,-0.05423199,-0.05951413,-0.02358300
75828,20010426,ERTS,-0.01858300,0.00500000,-0.02358300,-0.01009363,-0.00542980,-0.07284176,0.00268500
75828,20010427,ERTS,0.01768500,0.01500000,0.00268500,-0.02437777,-0.00345683,-0.07737287,-0.00314400
75828,20010430,ERTS,-0.00614400,-0.00300000,-0.00314400,0.08480964,0.07258608,0.05158366,0.08437500
75828,20010501,ERTS,0.09837500,0.01400000,0.08437500,0.00611028,-0.01545374,-0.04175065,-0.06837400
