PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
75625,20010806,ETS,0.01353700,-0.01100000,0.02453700,,,,-0.00809100
75625,20010807,ETS,-0.00509100,0.00300000,-0.00809100,0.04064481,,,0.02431000
75625,20010808,ETS,0.00731000,-0.01700000,0.02431000,0.03150505,,,0.01523900
75625,20010809,ETS,0.01523900,-0.00000000,0.01523900,-0.00205627,0.01415439,,-0.04102500
75625,20010810,ETS,-0.03502500,0.00600000,-0.04102500,-0.03240549,-0.01612965,,-0.00618500
75625,20010813,ETS,-0.00518500,0.00100000,-0.00618500,-0.01369947,0.02576866,,0.03452900
75625,20010814,ETS,0.03052900,-0.00400000,0.03452900,0.02850192,0.00186573,,0.00049700
75625,20010815,ETS,-0.00650300,-0.00700000,0.00049700,-0.01358862,-0.05970267,,-0.04736400
75625,20010816,ETS,-0.04436400,0.00300000,-0.04736400,-0.03612837,-0.00943926,0.00442311,0.01015100
75625,20010817,ETS,-0.00684900,-0.01700000,0.01015100,-0.32547258,-0.29864272,-0.30754677,-0.30378500
75625,20010820,ETS,-0.29578501,0.00800000,-0.30378500,-0.28567000,-0.31679977,-0.29537968,0.00329500
75625,20010821,ETS,-0.00870500,-0.01200000,0.00329500,-0.25191683,-0.27605606,-0.27361026,0.06874100
75625,20010822,ETS,0.07574100,0.00700000,0.06874100,0.06356420,-0.24466405,-0.28847875,-0.00720400
75625,20010823,ETS,-0.01020400,-0.00300000,-0.00720400,0.09558997,-0.23825439,-0.23993942,0.03154600
75625,20010824,ETS,0.05154600,0.02000000,0.03154600,0.07998157,0.15759843,-0.19280395,0.05402000
75625,20010827,ETS,0.04902000,-0.00500000,0.05402000,0.07248889,0.13794913,-0.22715413,-0.01303700
75625,20010828,ETS,-0.02803700,-0.01500000,-0.01303700,0.02972648,0.05408269,-0.23356609,-0.00919200
75625,20010829,ETS,-0.02019200,-0.01100000,-0.00919200,-0.06040745,0.01781880,-0.22462834,-0.04090000
75625,20010830,ETS,-0.05790000,-0.01700000,-0.04090000,-0.00011370,0.03847190,-0.19785067,0.05329200
75625,20010831,ETS,0.05729200,0.00400000,0.05329200,-0.03108680,-0.05112627,0.09184227,-0.04037900
75625,20010904,ETS,-0.04137900,-0.00100000,-0.04037900,-0.03845075,-0.08470080,0.03768492,-0.04833200
75625,20010905,ETS,-0.04933200,-0.00100000,-0.04833200,-0.06964043,-0.06044325,-0.01075138,0.01659500
75625,20010906,ETS,-0.00540500,-0.02200000,0.01659500,-0.05917767,-0.04987082,-0.03222697,-0.02991300
75625,20010907,ETS,-0.04891300,-0.01900000,-0.02991300,-0.03436329,-0.11496868,-0.07734738,-0.02200000
75625,20010910,ETS,-0.01600000,0.00600000,-0.02200000,-0.07222404,-0.09784647,-0.13585729,-0.02533200
75625,20010917,ETS,-0.07433200,-0.04900000,-0.02533200,-0.12239440,-0.12858960,-0.19164942,-0.08433900
75625,20010918,ETS,-0.09033900,-0.00600000,-0.08433900,-0.09393279,-0.13536275,-0.17769698,0.00910300
75625,20010919,ETS,-0.00689700,-0.01600000,0.00910300,-0.03811489,-0.07817146,-0.11647008,0.03794400
75625,20010920,ETS,0.00694400,-0.03100000,0.03794400,-0.00020843,-0.09675337,-0.18372992,-0.04582800
75625,20010921,ETS,-0.06482800,-0.01900000,-0.04582800,-0.02932964,-0.10028322,-0.17666611,-0.02130100
75625,20010924,ETS,0.01769900,0.03900000,-0.02130100,-0.09050200,-0.04267666,-0.15954503,-0.02349300
75625,20010925,ETS,-0.01449300,0.00900000,-0.02349300,-0.10210691,-0.10545845,-0.21675406,-0.05676500
75625,20010926,ETS,-0.06176500,-0.00500000,-0.05676500,-0.10920177,-0.17247824,-0.22378241,-0.03137600
75625,20010927,ETS,-0.02037600,0.01100000,-0.03137600,-0.07954659,-0.12645737,-0.20385880,0.01000000
75625,20010928,ETS,0.03200000,0.02200000,0.01000000,-0.09073612,-0.16568856,-0.24726263,-0.06776700
75625,20011001,ETS,-0.06976700,-0.00200000,-0.06776700,-0.04819502,-0.13391990,-0.16991995,0.01300000
75625,20011002,ETS,0.02500000,0.01200000,0.01300000,-0.01001971,-0.03307176,-0.14155735,0.04991900
75625,20011003,ETS,0.06991900,0.02000000,0.04991900,-0.00350882,-0.06513323,-0.23737797,-0.06183000
