PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
13641,20121012,FANG,,-0.00300000,,,,,0.00628600
13641,20121015,FANG,0.01428600,0.00800000,0.00628600,,,,-0.00774600
13641,20121016,FANG,0.00225400,0.01000000,-0.00774600,-0.01072287,,,-0.00905900
13641,20121017,FANG,-0.00505900,0.00400000,-0.00905900,-0.01482828,,,0.00200000
13641,20121018,FANG,0.00000000,-0.00200000,0.00200000,-0.00631821,-0.00790800,,0.00061600
13641,20121019,FANG,-0.01638400,-0.01700000,0.00061600,-0.01888644,-0.03536989,,-0.02182600
13641,20121022,FANG,-0.02182600,0.00000000,-0.02182600,-0.00144068,-0.00826747,,0.01987200
13641,20121023,FANG,0.00587200,-0.01400000,0.01987200,0.01580971,0.01808889,,0.01817800
13641,20121024,FANG,0.01517800,-0.00300000,0.01817800,0.01400938,-0.00708120,,-0.02370100
13641,20121025,FANG,-0.02070100,0.00300000,-0.02370100,0.00159305,-0.00051265,-0.00829943,0.00745900
13641,20121026,FANG,0.00645900,-0.00100000,0.00745900,-0.02269846,0.01499492,-0.02045284,-0.00641800
13641,20121031,FANG,-0.00641800,0.00000000,-0.00641800,0.00175452,-0.00414216,-0.01233847,0.00074400
13641,20121101,FANG,0.01174400,0.01100000,0.00074400,-0.01006946,-0.02632857,-0.00770799,-0.00434900
13641,20121102,FANG,-0.01334900,-0.00900000,-0.00434900,-0.02269553,-0.02169207,-0.02797273,-0.01905900
13641,20121105,FANG,-0.01705900,0.00200000,-0.01905900,-0.01369494,-0.01952154,-0.01973759,0.00995300
13641,20121106,FANG,0.01795300,0.00800000,0.00995300,0.01775284,0.01411089,0.02892061,0.02693900
13641,20121107,FANG,0.00293900,-0.02400000,0.02693900,0.03039088,0.00695989,0.00300258,-0.00617100
13641,20121108,FANG,-0.01817100,-0.01200000,-0.00617100,0.00674054,-0.00236522,-0.02800607,-0.01394000
13641,20121109,FANG,-0.01194000,0.00200000,-0.01394000,-0.02280069,0.01348625,-0.00789409,-0.00302100
13641,20121112,FANG,-0.00302100,0.00000000,-0.00302100,-0.04037981,-0.01937702,-0.03801663,-0.02387900
13641,20121113,FANG,-0.02787900,-0.00400000,-0.02387900,-0.01226798,-0.03141470,-0.01775123,0.01462300
13641,20121114,FANG,0.00062300,-0.01400000,0.01462300,0.03202914,0.01496314,0.02138125,0.04249900
13641,20121115,FANG,0.04049900,-0.00200000,0.04249900,0.05968077,0.03132225,0.02816339,0.00218600
13641,20121116,FANG,0.00718600,0.00500000,0.00218600,0.04361793,0.03288390,0.04602017,-0.00216400
13641,20121119,FANG,0.01783600,0.02000000,-0.00216400,-0.00037623,0.05821970,0.03533403,-0.00041600
13641,20121120,FANG,0.00058400,0.00100000,-0.00041600,-0.00047032,0.04553062,0.01059979,0.00208600
13641,20121121,FANG,0.00408600,0.00200000,0.00208600,-0.00435909,-0.00441769,0.01118026,-0.00602300
13641,20121123,FANG,0.00697700,0.01300000,-0.00602300,-0.00540688,-0.00812981,0.02413382,-0.00146400
13641,20121126,FANG,-0.00346400,-0.00200000,-0.00146400,-0.00417444,-0.00251367,0.03056973,0.00326200
13641,20121127,FANG,-0.00173800,-0.00500000,0.00326200,-0.00499515,-0.00898881,0.04955124,-0.00683900
13641,20121128,FANG,0.00116100,0.00800000,-0.00683900,0.04517264,0.03779282,0.08685193,0.04875400
13641,20121129,FANG,0.05275400,0.00400000,0.04875400,0.03265772,0.03430362,0.03113758,-0.00881100
13641,20121130,FANG,-0.00881100,0.00000000,-0.00881100,0.05029583,0.04673125,0.03980814,0.01055600
13641,20121203,FANG,0.00555600,-0.00500000,0.01055600,-0.01118172,0.02986584,0.02753161,-0.01291700
13641,20121204,FANG,-0.01491700,-0.00200000,-0.01291700,0.00389357,0.04334359,0.03466764,0.00641300
13641,20121205,FANG,0.00841300,0.00200000,0.00641300,-0.02951480,-0.02771617,0.00845336,-0.02302200
13641,20121206,FANG,-0.02002200,0.00300000,-0.02302200,-0.01250741,-0.01486291,0.01889061,0.00437800
13641,20121207,FANG,0.00737800,0.00300000,0.00437800,-0.02603105,-0.03252384,0.01290515,-0.00732400
13641,20121210,FANG,-0.00732400,0.00000000,-0.00732400,-0.01456105,-0.03134120,-0.00211648,-0.01154000
13641,20121211,FANG,-0.00454000,0.00700000,-0.01154000,-0.01319723,-0.03196077,0.01059594,0.00570100
13641,20121212,FANG,0.00570100,0.00000000,0.00570100,0.01379749,0.01079456,-0.01735237,0.01960500
13641,20121213,FANG,0.01360500,-0.00600000,0.01960500,0.01168545,-0.00709567,-0.02181477,-0.01333800
13641,20121214,FANG,-0.01733800,-0.00400000,-0.01333800,0.01736924,0.01151286,-0.02160633,0.01133500
13641,20121217,FANG,0.02333500,0.01200000,0.01133500,0.03241402,0.05890909,0.02620470,0.03460600
13641,20121218,FANG,0.04560600,0.01100000,0.03460600,0.07668631,0.08247887,0.04880433,0.02821300
13641,20121219,FANG,0.02021300,-0.00800000,0.02821300,0.04991550,0.04781641,0.05948861,-0.01334200
13641,20121220,FANG,-0.00834200,0.00500000,-0.01334200,0.02158745,0.06940882,0.06153231,0.00689700
13641,20121221,FANG,-0.00210300,-0.00900000,0.00689700,-0.02211776,0.03984959,0.05214041,-0.01591400
13641,20121224,FANG,-0.01791400,-0.00200000,-0.01591400,-0.00352698,0.01093933,0.06951976,0.00553600
13641,20121226,FANG,0.00053600,-0.00500000,0.00553600,-0.01520011,-0.02137311,0.05825048,-0.00489800
13641,20121227,FANG,-0.00589800,-0.00100000,-0.00489800,0.02443942,0.01510614,0.06255997,0.02394500
13641,20121228,FANG,0.01294500,-0.01100000,0.02394500,0.02039368,0.00959143,0.07961613,0.00110400
13641,20121231,FANG,0.01810400,0.01700000,0.00110400,0.00679743,0.00741025,0.04851923,-0.01872400
13641,20130102,FANG,0.00627600,0.02500000,-0.01872400,-0.02117184,-0.00159492,0.00966199,-0.00319800
13641,20130103,FANG,-0.00519800,-0.00200000,-0.00319800,0.02057434,0.04740319,0.02372073,0.04254400
13641,20130104,FANG,0.04754400,0.00500000,0.04254400,0.07953962,0.06355682,0.07850152,0.03891000
13641,20130107,FANG,0.03591000,-0.00300000,0.03891000,0.07730024,0.05549880,0.06570965,-0.00518500
13641,20130108,FANG,-0.00818500,-0.00300000,-0.00518500,0.02395593,0.06395562,0.07342426,-0.00931100
13641,20130109,FANG,-0.00631100,0.00300000,-0.00931100,0.03341419,0.12010079,0.12164530,0.04866800
13641,20130110,FANG,0.05666800,0.00800000,0.04866800,0.04091688,0.07582982,0.12964434,0.00184900
13641,20130111,FANG,0.00184900,-0.00000000,0.00184900,0.05798049,0.04260669,0.11112202,0.00699900
13641,20130114,FANG,0.00599900,-0.00100000,0.00699900,0.00416124,0.04334463,0.10281027,-0.00467000
13641,20130115,FANG,-0.00367000,0.00100000,-0.00467000,-0.01799683,0.03156998,0.09805538,-0.02025800
13641,20130116,FANG,-0.02025800,0.00000000,-0.02025800,-0.03819938,-0.02957842,0.08739493,-0.01351900
13641,20130117,FANG,-0.00751900,0.00600000,-0.01351900,-0.06334614,-0.06116354,0.01040822,-0.03046200
13641,20130118,FANG,-0.02746200,0.00300000,-0.03046200,0.01091217,-0.01452625,0.02795945,0.05685700
13641,20130122,FANG,0.06085700,0.00400000,0.05685700,0.00565274,-0.02843165,0.01402087,-0.01852100
13641,20130123,FANG,-0.01652100,0.00200000,-0.01852100,0.03732274,-0.00803083,0.02369746,0.00000000
13641,20130124,FANG,0.00000000,0.00000000,0.00000000,0.00262761,0.02759602,-0.00304930,0.02159800
13641,20130125,FANG,0.02659800,0.00500000,0.02159800,0.00680873,0.04453809,-0.01949940,-0.01436400
13641,20130128,FANG,-0.01636400,-0.00200000,-0.01436400,0.02465863,0.00558203,-0.00909235,0.01764300
13641,20130129,FANG,0.02264300,0.00500000,0.01764300,0.03147553,0.05388863,0.02462453,0.02840100
13641,20130130,FANG,0.02440100,-0.00400000,0.02840100,0.03806652,0.04523448,0.03751480,-0.00802800
13641,20130131,FANG,-0.01102800,-0.00300000,-0.00802800,0.02281440,0.02587622,0.05471437,0.00248900
13641,20130201,FANG,0.01248900,0.01000000,0.00248900,-0.00062040,0.04572813,0.09253081,0.00495200
13641,20130204,FANG,-0.00704800,-0.01200000,0.00495200,0.00150858,0.02177814,0.02770453,-0.00600700
13641,20130205,FANG,0.00399300,0.01000000,-0.00600700,-0.00196101,-0.00760400,0.04615936,-0.00100000
13641,20130206,FANG,0.00000000,0.00100000,-0.00100000,-0.01431209,-0.00684857,0.03837934,-0.00728000
13641,20130207,FANG,-0.00928000,-0.00200000,-0.00728000,-0.03062196,-0.03149544,-0.00654727,-0.02250300
13641,20130208,FANG,-0.01650300,0.00600000,-0.02250300,-0.05026638,-0.05750504,-0.01352708,-0.02122200
13641,20130211,FANG,-0.02222200,-0.00100000,-0.02122200,-0.04491608,-0.05283534,-0.03212040,-0.00153600
13641,20130212,FANG,0.00046400,0.00200000,-0.00153600,-0.02422128,-0.05327762,-0.06083323,-0.00146400
13641,20130213,FANG,-0.00046400,0.00100000,-0.00146400,0.01640268,-0.02775241,-0.03466276,0.01940800
13641,20130214,FANG,0.02040800,0.00100000,0.01940800,0.03284326,0.00933925,-0.02248654,0.01463600
13641,20130215,FANG,0.01363600,-0.00100000,0.01463600,0.05144167,0.04841835,-0.01176815,0.01631800
13641,20130219,FANG,0.02331800,0.00700000,0.01631800,-0.02664931,-0.00935612,-0.06153711,-0.05548500
13641,20130220,FANG,-0.06748500,-0.01200000,-0.05548500,-0.05935080,-0.02744400,-0.07883505,-0.01984600
13641,20130221,FANG,-0.02584600,-0.00600000,-0.01984600,-0.07154184,-0.04321363,-0.07006906,0.00306000
13641,20130222,FANG,0.01206000,0.00900000,0.00306000,-0.05726139,-0.09468451,-0.08660658,-0.04110400
13641,20130225,FANG,-0.05910400,-0.01800000,-0.04110400,-0.02958572,-0.10029786,-0.05876197,0.00970400
13641,20130226,FANG,0.01570400,0.00600000,0.00970400,-0.00168770,-0.01872005,-0.02785891,0.03238700
13641,20130227,FANG,0.04538700,0.01300000,0.03238700,0.13239700,0.08678245,0.05575784,0.08449201
13641,20130228,FANG,0.08349200,-0.00100000,0.08449201,0.10020415,0.06309065,0.01687694,-0.01829200
13641,20130301,FANG,-0.01629200,0.00200000,-0.01829200,0.06222223,0.10905005,-0.00053890,-0.00276200
13641,20130304,FANG,0.00223800,0.00500000,-0.00276200,0.02651317,0.15277339,0.03099520,0.04850800
13641,20130305,FANG,0.05850800,0.01000000,0.04850800,0.03809764,0.10648950,0.08584842,-0.00732900
13641,20130306,FANG,-0.00632900,0.00100000,-0.00732900,0.08165261,0.05912674,0.15330385,0.03876400
13641,20130307,FANG,0.04076400,0.00200000,0.03876400,0.04361888,0.09242273,0.16290328,0.01191200
13641,20130308,FANG,0.01591200,0.00400000,0.01191200,0.03088877,0.07365603,0.19478985,-0.01946600
13641,20130311,FANG,-0.01646600,0.00300000,-0.01946600,0.01213838,0.04388400,0.20587074,0.01996700
