PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
89003,20060201,FIS,-0.00506300,0.00200000,-0.00706300,,,,0.00114800
89003,20060202,FIS,-0.00785200,-0.00900000,0.00114800,-0.00643603,,,-0.00061600
89003,20060203,FIS,-0.00561600,-0.00500000,-0.00061600,-0.00754749,,,-0.00818900
89003,20060206,FIS,-0.00718900,0.00100000,-0.00818900,-0.02070520,-0.02622572,,-0.01217100
89003,20060207,FIS,-0.02017100,-0.00800000,-0.01217100,-0.03735905,-0.03632545,,-0.01744500
89003,20060208,FIS,-0.00844500,0.00900000,-0.01744500,-0.04052683,-0.04876854,,-0.01151000
89003,20060209,FIS,-0.01251000,-0.00100000,-0.01151000,-0.02869679,-0.04834538,,0.00023500
89003,20060210,FIS,0.00323500,0.00300000,0.00023500,-0.00750804,-0.03663843,,0.00380600
89003,20060213,FIS,0.00080600,-0.00300000,0.00380600,-0.00540813,-0.03442385,-0.05956961,-0.00946300
89003,20060214,FIS,0.00053700,0.01000000,-0.00946300,-0.02846160,-0.03963341,-0.07451430,-0.02278200
89003,20060215,FIS,-0.01878200,0.00400000,-0.02278200,0.03738515,0.04167455,-0.01032676,0.07120600
89003,20060216,FIS,0.07820600,0.00700000,0.07120600,0.04358334,0.03796470,-0.01284230,-0.00307200
89003,20060217,FIS,-0.00507200,-0.00200000,-0.00307200,0.05736792,0.02396201,-0.01414395,-0.00949000
89003,20060221,FIS,-0.01249000,-0.00300000,-0.00949000,-0.01640696,0.02970862,-0.00568417,-0.00387000
89003,20060222,FIS,0.00413000,0.00800000,-0.00387000,-0.01319120,0.05366549,0.01236799,0.00014400
89003,20060223,FIS,-0.00385600,-0.00400000,0.00014400,-0.00858597,-0.02100253,0.01935104,-0.00487100
89003,20060224,FIS,-0.00387100,0.00100000,-0.00487100,0.00415708,-0.00927861,0.02841146,0.00895300
89003,20060227,FIS,0.01295300,0.00400000,0.00895300,0.02827202,0.02458810,0.04950734,0.02406700
89003,20060228,FIS,0.01406700,-0.01000000,0.02406700,0.03435774,0.02937563,0.06033638,0.00082700
89003,20060301,FIS,0.00882700,0.00800000,0.00082700,0.03553388,0.03986628,0.09595701,0.01025000
89003,20060302,FIS,0.00825000,-0.00200000,0.01025000,0.00788443,0.04150674,0.01965346,-0.00321500
89003,20060303,FIS,-0.00421500,-0.00100000,-0.00321500,0.01872721,0.04400604,0.03469329,0.01173100
89003,20060306,FIS,0.00473100,-0.00700000,0.01173100,0.00154671,0.01262759,0.03741267,-0.00692200
89003,20060307,FIS,-0.00892200,-0.00200000,-0.00692200,-0.00469939,0.00223098,0.03137649,-0.00950200
89003,20060308,FIS,-0.00750200,0.00200000,-0.00950200,-0.01060943,-0.00216804,0.03709329,0.00575600
