PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
89986,20040130,FLT,,-0.00300000,,,,,-0.01396700
89986,20040202,FLT,-0.00996700,0.00400000,-0.01396700,,,,-0.02449000
89986,20040203,FLT,-0.02349000,0.00100000,-0.02449000,-0.03350874,,,0.00456400
89986,20040204,FLT,-0.00343600,-0.00800000,0.00456400,-0.08558150,,,-0.06751700
89986,20040205,FLT,-0.06551700,0.00200000,-0.06751700,0.00684076,-0.03187741,,0.07556100
89986,20040206,FLT,0.08856100,0.01300000,0.07556100,0.01905367,-0.00153286,,0.01655900
89986,20040209,FLT,0.01355900,-0.00300000,0.01655900,0.05878961,-0.00890411,,-0.03175600
89986,20040210,FLT,-0.02675600,0.00500000,-0.03175600,-0.04351564,-0.04202130,,-0.02818200
89986,20040211,FLT,-0.01718200,0.01100000,-0.02818200,-0.10462065,-0.02104569,,-0.04744800
89986,20040212,FLT,-0.05244800,-0.00500000,-0.04744800,-0.05246215,-0.06730977,-0.09793800,0.02345000
89986,20040213,FLT,0.01845000,-0.00500000,0.02345000,0.00357058,-0.05611351,-0.05785918,0.02985500
89986,20040217,FLT,0.03985500,0.01000000,0.02985500,0.03596990,-0.04124558,-0.05021097,-0.01690600
89986,20040218,FLT,-0.02090600,-0.00400000,-0.01690600,0.00531026,-0.01991443,-0.06132244,-0.00667600
89986,20040219,FLT,-0.01067600,-0.00400000,-0.00667600,-0.01691450,0.03558439,0.01466630,0.00659700
89986,20040220,FLT,0.00359700,-0.00300000,0.00659700,0.00640820,0.01855897,-0.04967242,0.00658400
89986,20040223,FLT,0.00358400,-0.00300000,0.00658400,-0.02439566,-0.04681893,-0.10016121,-0.03728600
89986,20040224,FLT,-0.03928600,-0.00200000,-0.03728600,-0.07067131,-0.07029756,-0.10879762,-0.04117500
89986,20040225,FLT,-0.03717500,0.00400000,-0.04117500,-0.03870887,-0.02576289,-0.04489662,0.04147100
89986,20040226,FLT,0.04247100,0.00100000,0.04147100,0.01358324,-0.01790679,0.01714846,0.01481500
89986,20040227,FLT,0.01481500,0.00000000,0.01481500,-0.01101039,-0.08802483,-0.07049985,-0.06474500
89986,20040301,FLT,-0.05474500,0.01000000,-0.06474500,-0.13356987,-0.13535825,-0.17410741,-0.08666401
89986,20040302,FLT,-0.09266400,-0.00600000,-0.08666401,-0.13003552,-0.08031285,-0.14481136,0.01927700
89986,20040303,FLT,0.02127700,0.00200000,0.01927700,-0.14183273,-0.18674343,-0.20736322,-0.07800000
89986,20040304,FLT,-0.07500000,0.00300000,-0.07800000,-0.10914374,-0.24091105,-0.25469697,-0.05155000
89986,20040305,FLT,-0.04955000,0.00200000,-0.05155000,-0.14279964,-0.20146030,-0.27375628,-0.02043600
