PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
49905,20120515,FNP,-0.00153800,-0.00600000,0.00446200,,,,-0.02527600
49905,20120516,FNP,-0.02927600,-0.00400000,-0.02527600,-0.03517367,,,-0.01515900
49905,20120517,FNP,-0.03015900,-0.01500000,-0.01515900,-0.04121952,,,-0.00200200
49905,20120518,FNP,-0.00900200,-0.00700000,-0.00200200,-0.01200918,-0.03230279,,0.00547000
49905,20120521,FNP,0.02147000,0.01600000,0.00547000,0.00502351,-0.03523478,,0.00161700
49905,20120522,FNP,0.00161700,0.00000000,0.00161700,0.00013464,-0.01717150,,-0.00684300
49905,20120523,FNP,-0.00484300,0.00200000,-0.00684300,-0.02402120,-0.02091918,,-0.01884300
49905,20120524,FNP,-0.01784300,0.00100000,-0.01884300,-0.00180356,0.00528342,,0.02429600
49905,20120525,FNP,0.02229600,-0.00200000,0.02429600,0.02002088,0.01467001,-0.01873157,0.01484800
49905,20120529,FNP,0.02584800,0.01100000,0.01484800,0.00927634,-0.01640312,-0.05081615,-0.02852000
49905,20120530,FNP,-0.04252000,-0.01400000,-0.02852000,-0.02797071,-0.02305312,-0.03962511,-0.01362500
49905,20120531,FNP,-0.01562500,-0.00200000,-0.01362500,-0.06336474,-0.02832211,-0.04831777,-0.02429000
49905,20120601,FNP,-0.04929000,-0.02500000,-0.02429000,-0.04459657,-0.05802717,-0.05419609,-0.00790900
49905,20120604,FNP,-0.00790900,0.00000000,-0.00790900,-0.03765923,-0.07620831,-0.06408206,-0.00600000
49905,20120605,FNP,0.00000000,0.00600000,-0.00600000,-0.02826008,-0.06472602,-0.07995057,-0.01414300
49905,20120606,FNP,0.00885700,0.02300000,-0.01414300,-0.04596756,-0.07609223,-0.09700225,-0.02546100
49905,20120607,FNP,-0.02546100,-0.00000000,-0.02546100,-0.03207040,-0.04615954,-0.07275754,0.00821600
49905,20120608,FNP,0.01621600,0.00800000,0.00821600,-0.06249979,-0.08323087,-0.13531588,-0.04551100
49905,20120611,FNP,-0.05851100,-0.01300000,-0.04551100,-0.04647543,-0.08579501,-0.15476362,-0.00823400
49905,20120612,FNP,0.00376600,0.01200000,-0.00823400,-0.09070012,-0.10733815,-0.16525338,-0.03943500
49905,20120613,FNP,-0.04643500,-0.00700000,-0.03943500,-0.03856922,-0.07565024,-0.14706463,0.01015100
49905,20120614,FNP,0.02115100,0.01100000,0.01015100,-0.00458095,-0.05888984,-0.10512221,0.02660900
49905,20120615,FNP,0.03660900,0.01000000,0.02660900,0.02853290,-0.02150641,-0.10572117,-0.00843500
49905,20120618,FNP,-0.00743500,0.00100000,-0.00843500,0.01452514,-0.01668318,-0.10370290,-0.00344600
49905,20120619,FNP,0.00655400,0.01000000,-0.00344600,-0.01177704,0.02529426,-0.08801535,0.00013900
49905,20120620,FNP,-0.00186100,-0.00200000,0.00013900,-0.00827713,0.00912147,-0.06686763,-0.00502700
49905,20120621,FNP,-0.02702700,-0.02200000,-0.00502700,0.01526300,0.00351348,-0.05516720,0.02077800
49905,20120622,FNP,0.02777800,0.00700000,0.02077800,-0.00823122,-0.01146695,-0.03253966,-0.02314300
49905,20120625,FNP,-0.03914300,-0.01600000,-0.02314300,-0.01595810,-0.02035931,-0.03674702,-0.01276000
49905,20120626,FNP,-0.00776000,0.00500000,-0.01276000,-0.01832393,-0.00320267,0.02147598,0.01837100
49905,20120627,FNP,0.02737100,0.00900000,0.01837100,-0.02947559,-0.03248900,-0.02352981,-0.03415600
49905,20120628,FNP,-0.03615600,-0.00200000,-0.03415600,0.01671995,-0.02072065,-0.01707659,0.03423000
49905,20120629,FNP,0.05923000,0.02500000,0.03423000,0.00354859,0.00910497,-0.00312912,0.00545600
49905,20120702,FNP,0.00745600,0.00200000,0.00545600,0.04477427,0.02702355,0.00453397,0.00417600
49905,20120703,FNP,0.01017600,0.00600000,0.00417600,0.03710300,0.03585611,0.03183504,0.02697800
49905,20120705,FNP,0.02197800,-0.00500000,0.02697800,-0.01508739,0.02365524,-0.01014676,-0.04476300
49905,20120706,FNP,-0.05376300,-0.00900000,-0.04476300,-0.03077618,-0.02177984,-0.04233383,-0.01220500
49905,20120709,FNP,-0.01420500,-0.00200000,-0.01220500,-0.08594471,-0.05791325,-0.05178025,-0.03234600
49905,20120710,FNP,-0.04034600,-0.00800000,-0.03234600,-0.08092567,-0.09707958,-0.07724717,-0.03903900
49905,20120711,FNP,-0.03903900,-0.00000000,-0.03903900,-0.07541640,-0.12584172,-0.09862182,-0.00645800
49905,20120712,FNP,-0.01145800,-0.00500000,-0.00645800,-0.02193059,-0.06522114,-0.04431491,0.02509600
49905,20120713,FNP,0.04109600,0.01600000,0.02509600,-0.02243949,-0.09112462,-0.11020490,-0.03949800
49905,20120716,FNP,-0.04149800,-0.00200000,-0.03949800,-0.00209875,-0.04799240,-0.10318948,0.01411900
49905,20120717,FNP,0.02111900,0.00700000,0.01411900,-0.02517911,-0.00744709,-0.10586630,0.00127300
49905,20120718,FNP,0.00827300,0.00700000,0.00127300,0.07055343,0.05405450,-0.08381460,0.05341000
49905,20120719,FNP,0.05641000,0.00300000,0.05341000,0.05488731,0.02748134,-0.03982944,0.00029100
49905,20120720,FNP,-0.00970900,-0.01000000,0.00029100,0.01801730,0.03382002,-0.06016326,-0.03315700
49905,20120723,FNP,-0.04215700,-0.00900000,-0.03315700,-0.03827989,0.01282558,-0.03471395,-0.00635300
49905,20120724,FNP,-0.01535300,-0.00900000,-0.00635300,-0.07521870,-0.02646004,-0.03413571,-0.03846200
49905,20120725,FNP,-0.03846200,-0.00000000,-0.03846200,0.14670700,0.10635585,0.16888205,0.20245899
49905,20120726,FNP,0.21945900,0.01700000,0.20245899,0.18093223,0.13028559,0.16247446,0.01912100
49905,20120727,FNP,0.03812100,0.01900000,0.01912100,0.18637957,0.13062874,0.16949983,-0.03415900
49905,20120730,FNP,-0.03415900,-0.00000000,-0.03415900,-0.03265430,0.11958881,0.13220866,-0.01633600
49905,20120731,FNP,-0.02033600,-0.00400000,-0.01633600,-0.05962195,0.15254025,0.11748799,-0.01053800
49905,20120801,FNP,-0.01353800,-0.00300000,-0.01053800,-0.03469094,-0.05089569,0.05112781,-0.00855400
49905,20120802,FNP,-0.01555400,-0.00700000,-0.00855400,0.03448889,-0.01760674,0.11069723,0.05534900
49905,20120803,FNP,0.07434900,0.01900000,0.05534900,0.07211053,0.04270744,0.18095695,0.02481700
49905,20120806,FNP,0.02681700,0.00200000,0.02481700,0.07329898,0.05178544,0.18113539,-0.00837000
49905,20120807,FNP,-0.00337000,0.00500000,-0.00837000,0.03696612,0.08523533,0.25630377,0.02013300
49905,20120808,FNP,0.02113300,0.00100000,0.02013300,0.01000141,0.09364809,0.03705245,-0.00165600
49905,20120809,FNP,-0.00165600,0.00000000,-0.00165600,0.01052309,0.02716458,0.00903320,-0.00780400
49905,20120810,FNP,-0.00580400,0.00200000,-0.00780400,-0.02417733,-0.01290671,0.02946101,-0.01484700
49905,20120813,FNP,-0.01584700,-0.00100000,-0.01484700,-0.01509446,0.00307238,0.05516931,0.00762700
49905,20120814,FNP,0.00762700,-0.00000000,0.00762700,0.02001652,0.01041704,0.09691878,0.02759500
49905,20120815,FNP,0.02859500,0.00100000,0.02759500,0.05131451,0.02747056,0.12528163,0.01507700
49905,20120816,FNP,0.02207700,0.00700000,0.01507700,0.07408094,0.06604856,0.09591483,0.02920000
49905,20120817,FNP,0.03120000,0.00200000,0.02920000,0.05721685,0.09506131,0.08146460,0.01163700
49905,20120820,FNP,0.01163700,-0.00000000,0.01163700,0.02580615,0.07038274,0.07383355,-0.01463800
49905,20120821,FNP,-0.01763800,-0.00300000,-0.01463800,-0.01329129,0.03080845,0.04167037,-0.01014800
49905,20120822,FNP,-0.01014800,0.00000000,-0.01014800,-0.02429927,0.01539891,0.04318409,0.00011400
49905,20120823,FNP,-0.00788600,-0.00800000,0.00011400,0.00282951,-0.00038777,0.06529868,0.01307800
49905,20120824,FNP,0.01907800,0.00600000,0.01307800,-0.00110649,-0.02563256,0.06625589,-0.01404100
49905,20120827,FNP,-0.01404100,-0.00000000,-0.01404100,0.02441709,0.01397506,0.08522475,0.02552500
49905,20120828,FNP,0.02452500,-0.00100000,0.02552500,0.02340070,0.03674861,0.06884612,0.01212700
49905,20120829,FNP,0.01312700,0.00100000,0.01212700,0.04676583,0.04576780,0.06142811,0.00876200
49905,20120830,FNP,0.00076200,-0.00800000,0.00876200,0.02520794,0.03658045,0.03599524,0.00413900
49905,20120831,FNP,0.00913900,0.00500000,0.00413900,0.01394486,0.05229599,0.02516279,0.00100000
49905,20120904,FNP,0.00000000,-0.00100000,0.00100000,0.03508902,0.05654619,0.07108282,0.02967900
49905,20120905,FNP,0.02867900,-0.00100000,0.02967900,0.02581277,0.03924899,0.07790585,-0.00532600
49905,20120906,FNP,0.01467400,0.02000000,-0.00532600,0.00939714,0.01474556,0.06240029,-0.01484600
49905,20120907,FNP,-0.01084600,0.00400000,-0.01484600,-0.02233722,0.00825039,0.04568920,-0.00204100
49905,20120910,FNP,-0.00804100,-0.00600000,-0.00204100,-0.03856951,-0.01544000,0.03715515,-0.02216000
49905,20120911,FNP,-0.01916000,0.00300000,-0.02216000,-0.02602291,-0.04650863,0.00889780,-0.00200000
49905,20120912,FNP,0.00000000,0.00200000,-0.00200000,-0.01224309,-0.02914245,0.00927598,0.01255000
49905,20120913,FNP,0.02855000,0.01600000,0.01255000,0.00569513,-0.01901902,-0.00478969,-0.00473000
49905,20120914,FNP,-0.00073000,0.00400000,-0.00473000,-0.01099286,-0.03535912,-0.02778040,-0.01819900
49905,20120917,FNP,-0.02119900,-0.00300000,-0.01819900,-0.03870102,-0.02928805,-0.04513888,-0.01617700
49905,20120918,FNP,-0.01717700,-0.00100000,-0.01617700,-0.02039059,-0.01324542,-0.06023386,0.01419800
49905,20120919,FNP,0.01519800,0.00100000,0.01419800,-0.01020101,-0.03285596,-0.06166540,-0.00798200
49905,20120920,FNP,-0.00898200,-0.00100000,-0.00798200,0.02127822,-0.01354540,-0.03248839,0.01510600
49905,20120921,FNP,0.01510600,-0.00000000,0.01510600,-0.00748077,-0.00969641,-0.04482087,-0.01436900
49905,20120924,FNP,-0.01636900,-0.00200000,-0.01436900,-0.01119104,-0.00525757,-0.03410625,-0.01169300
49905,20120925,FNP,-0.02269300,-0.01100000,-0.01169300,-0.02351071,-0.01679532,-0.02984051,0.00213000
49905,20120926,FNP,-0.00387000,-0.00600000,0.00213000,-0.01937186,-0.01885640,-0.05079392,-0.01000000
49905,20120927,FNP,0.00000000,0.01000000,-0.01000000,-0.01076018,-0.03605447,-0.04879055,-0.00299300
49905,20120928,FNP,-0.00699300,-0.00400000,-0.00299300,-0.01674742,-0.02593090,-0.03521948,-0.00378200
49905,20121001,FNP,-0.00078200,0.00300000,-0.00378200,-0.12042135,-0.12776523,-0.13071347,-0.11454700
49905,20121002,FNP,-0.11354700,0.00100000,-0.11454700,-0.16764288,-0.17952740,-0.18997387,-0.05523700
49905,20121003,FNP,-0.05123700,0.00400000,-0.05523700,-0.18901588,-0.19438622,-0.20801810,-0.02841500
49905,20121004,FNP,-0.02141500,0.00700000,-0.02841500,-0.08169966,-0.19191351,-0.21908717,0.00095100
49905,20121005,FNP,0.00095100,-0.00000000,0.00095100,-0.04215427,-0.20007575,-0.21942972,-0.01506100
