PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
12060,20010102,GE,-0.08735300,-0.02800000,-0.05935300,,,,0.04285700
12060,20010103,GE,0.09285700,0.05000000,0.04285700,-0.00676534,,,0.01622900
12060,20010104,GE,0.00522900,-0.01100000,0.01622900,0.06997812,,,0.01039500
12060,20010105,GE,-0.01560500,-0.02600000,0.01039500,-0.00841824,-0.03070683,,-0.03498800
12060,20010108,GE,-0.03698800,-0.00200000,-0.03498800,-0.04746168,0.00653501,,-0.02457600
12060,20010109,GE,-0.02057600,0.00400000,-0.02457600,-0.06749347,-0.04021584,,-0.00859900
12060,20010110,GE,0.00140100,0.01000000,-0.00859900,-0.00223199,-0.02676565,,0.03195800
12060,20010111,GE,0.04195800,0.01000000,0.03195800,0.00983043,-0.05034482,,-0.01279200
12060,20010112,GE,-0.01879200,-0.00600000,-0.01279200,0.05017642,0.01563779,-0.01658516,0.03093600
12060,20010116,GE,0.03693600,0.00600000,0.03093600,0.00072077,0.02411558,0.03127735,-0.01651200
12060,20010117,GE,-0.01451200,0.00200000,-0.01651200,0.02028326,0.03958259,-0.00427203,0.00608000
12060,20010118,GE,0.02008000,0.01400000,0.00608000,-0.01987956,-0.00253135,-0.02953725,-0.00912300
12060,20010119,GE,-0.01312300,-0.00400000,-0.00912300,-0.03002459,-0.01666778,-0.06734814,-0.02659600
12060,20010122,GE,-0.02659600,0.00000000,-0.02659600,-0.02863278,-0.03963153,-0.02517752,0.00749200
12060,20010123,GE,0.02049200,0.01300000,0.00749200,-0.03066671,-0.03417467,-0.01100817,-0.01103200
12060,20010124,GE,-0.00803200,0.00300000,-0.01103200,-0.00686005,-0.04234754,-0.00527491,-0.00309700
12060,20010125,GE,-0.00809700,-0.00500000,-0.00309700,-0.04016511,-0.05946831,-0.06258106,-0.02657100
12060,20010126,GE,-0.02857100,-0.00200000,-0.02657100,-0.04168770,-0.04594381,-0.06294111,-0.01249000
12060,20010129,GE,-0.00549000,0.00700000,-0.01249000,-0.00521766,-0.01935173,-0.05909802,0.03513600
12060,20010130,GE,0.04213600,0.00700000,0.03513600,0.02239939,-0.00809799,-0.04223903,0.00016200
12060,20010131,GE,-0.00583800,-0.00600000,0.00016200,0.03572225,-0.00461093,-0.04726001,0.00043700
12060,20010201,GE,0.00543700,0.00500000,0.00043700,0.01866127,0.04130364,-0.02000104,0.01808200
12060,20010202,GE,0.00108200,-0.01700000,0.01808200,0.04880359,0.08537162,0.03720144,0.02992400
12060,20010205,GE,0.03392400,0.00400000,0.02992400,0.04467644,0.04524541,0.02578045,-0.00322500
12060,20010206,GE,-0.00522500,-0.00200000,-0.00322500,0.02050123,0.03913276,0.03089990,-0.00565500
12060,20010207,GE,-0.01365500,-0.00800000,-0.00565500,0.00108632,0.04846897,0.04429939,0.01004700
12060,20010208,GE,0.00404700,-0.00600000,0.01004700,-0.01398524,0.01143541,0.05213750,-0.01839600
12060,20010209,GE,-0.03139600,-0.01300000,-0.01839600,0.01907676,0.00995637,0.09464988,0.02851700
12060,20010212,GE,0.04051700,0.01200000,0.02851700,0.01056968,0.01471279,0.05930375,0.00163300
12060,20010213,GE,-0.00736700,-0.00900000,0.00163300,0.01225435,0.00335601,0.04185312,-0.01708400
12060,20010214,GE,-0.01908400,-0.00200000,-0.01708400,0.01296219,0.02204120,0.07073940,0.02918100
12060,20010215,GE,0.03718100,0.00800000,0.02918100,0.00973697,0.03962299,0.05041008,-0.00142500
12060,20010216,GE,-0.02042500,-0.01900000,-0.00142500,0.05887482,0.04242599,0.05169623,0.03168100
12060,20010220,GE,0.01468100,-0.01700000,0.03168100,0.03982668,0.05130682,0.06483418,0.01082200
12060,20010221,GE,-0.00817800,-0.01900000,0.01082200,0.03973358,0.06649679,0.06871330,-0.00222800
12060,20010222,GE,-0.00422800,-0.00200000,-0.00222800,-0.00482656,0.02404048,0.04515329,-0.01353300
12060,20010223,GE,-0.01953300,-0.00600000,-0.01353300,0.00550045,0.04796883,0.08792510,0.02197800
12060,20010226,GE,0.03897800,0.01700000,0.02197800,0.01629765,0.02471073,0.06645776,0.00841700
12060,20010227,GE,0.00041700,-0.00800000,0.00841700,0.01218978,-0.00370676,0.04691150,-0.01725000
12060,20010228,GE,-0.03125000,-0.01400000,-0.01725000,-0.02223279,-0.01502531,0.05051774,-0.01368800
12060,20010301,GE,-0.01268800,0.00100000,-0.01368800,-0.05252272,-0.02462386,0.00009423,-0.02318800
12060,20010302,GE,-0.02918800,-0.00600000,-0.02318800,-0.02806064,-0.03616174,0.01004836,0.00903300
12060,20010305,GE,0.01503300,0.00600000,0.00903300,-0.01712550,-0.04721152,-0.02288628,-0.00245800
12060,20010306,GE,0.00754200,0.01000000,-0.00245800,0.01314067,-0.02471313,-0.02806508,0.00632900
12060,20010307,GE,0.01232900,0.00600000,0.00632900,-0.00056789,-0.01538080,-0.03028880,-0.00439200
12060,20010308,GE,-0.00239200,0.00200000,-0.00439200,-0.01825818,-0.01215799,-0.03632340,-0.01990900
12060,20010309,GE,-0.04490900,-0.02500000,-0.01990900,-0.07369657,-0.07151788,-0.10178580,-0.05309700
12060,20010312,GE,-0.09609700,-0.04300000,-0.05309700,-0.02424585,-0.02269091,-0.06661839,0.05393900
12060,20010313,GE,0.06893900,0.01500000,0.05393900,-0.00955609,-0.03194733,-0.05454433,-0.00471100
12060,20010314,GE,-0.03071100,-0.02600000,-0.00471100,0.04283218,-0.03240717,-0.04676696,-0.00478100
12060,20010315,GE,0.00121900,0.00600000,-0.00478100,-0.00111652,-0.00601241,-0.01727112,0.00831500
12060,20010316,GE,-0.01168500,-0.02000000,0.00831500,-0.00192016,0.04568356,-0.03082946,-0.00568500
12060,20010319,GE,0.01231500,0.01800000,-0.00568500,0.00123000,-0.00793319,-0.02904221,-0.00154700
12060,20010320,GE,-0.02554700,-0.02400000,-0.00154700,-0.01509222,-0.01138284,-0.04088779,-0.00821700
12060,20010321,GE,-0.02621700,-0.01800000,-0.00821700,-0.03732239,-0.03462366,-0.06187090,-0.02933300
12060,20010322,GE,-0.03333300,-0.00400000,-0.02933300,0.00086931,-0.00624025,-0.01174262,0.04074300
12060,20010323,GE,0.06074300,0.02000000,0.04074300,0.00444343,-0.00556797,0.03919206,-0.00499900
12060,20010326,GE,0.00600100,0.01100000,-0.00499900,0.05363914,0.01161117,0.00277625,0.01576000
12060,20010327,GE,0.04176000,0.02600000,0.01576000,0.02661796,0.03687620,0.02334437,0.01541000
12060,20010328,GE,-0.00859000,-0.02400000,0.01541000,0.03271365,0.07066717,0.02927783,0.00139000
12060,20010329,GE,-0.00361000,-0.00500000,0.00139000,0.01700445,0.02835119,0.02157012,0.00011100
12060,20010330,GE,0.01111100,0.01100000,0.00011100,0.01214351,0.04378461,0.03731634,0.01056700
12060,20010402,GE,-0.00143300,-0.01200000,0.01056700,-0.00645249,0.00975058,0.02108355,-0.01671800
12060,20010403,GE,-0.05071800,-0.03400000,-0.01671800,-0.00553411,-0.00413300,0.03089472,0.00098400
12060,20010404,GE,-0.00201600,-0.00300000,0.00098400,0.00169799,0.01256761,0.08477492,0.01913100
12060,20010405,GE,0.06313100,0.04400000,0.01913100,0.01749979,0.00997203,0.03803948,-0.00209000
12060,20010406,GE,-0.02209000,-0.02000000,-0.00209000,0.02930060,0.01153214,0.05547134,0.01216000
12060,20010409,GE,0.02016000,0.00800000,0.01216000,0.02658044,0.04861317,0.05632285,0.01657100
12060,20010410,GE,0.04357100,0.02700000,0.01657100,0.01786130,0.03564356,0.02960204,-0.01077700
12060,20010411,GE,-0.01277700,-0.00200000,-0.01077700,0.02396448,0.03408665,0.04757833,0.01804800
