PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
22293,20010102,GLW,-0.10295900,-0.02800000,-0.07495899,,,,0.12018500
22293,20010103,GLW,0.17018500,0.05000000,0.12018500,0.03678042,,,0.00761800
22293,20010104,GLW,-0.00338200,-0.01100000,0.00761800,0.04659791,,,-0.06676000
22293,20010105,GLW,-0.09276000,-0.02600000,-0.06676000,-0.00870962,0.01883685,,0.05561600
22293,20010108,GLW,0.05361600,-0.00200000,0.05561600,-0.02118829,0.09999273,,-0.00518300
22293,20010109,GLW,-0.00118300,0.00400000,-0.00518300,0.12514616,0.05332927,,0.07056900
22293,20010110,GLW,0.08056900,0.01000000,0.07056900,0.09298051,0.07231813,,0.02508800
22293,20010111,GLW,0.03508800,0.01000000,0.02508800,0.14005000,0.19846629,,0.03778000
22293,20010112,GLW,0.03178000,-0.00600000,0.03778000,0.04157242,0.11076967,0.13006135,-0.02140000
22293,20010116,GLW,-0.01540000,0.00600000,-0.02140000,0.08172310,0.18998319,0.31374117,0.06473600
22293,20010117,GLW,0.06673600,0.00200000,0.06473600,0.10929304,0.18218305,0.24204199,0.06322400
22293,20010118,GLW,0.07722400,0.01400000,0.06322400,0.14132104,0.15968380,0.24370299,0.00763000
22293,20010119,GLW,0.00363000,-0.00400000,0.00763000,0.04772969,0.09284773,0.31480614,-0.02170000
22293,20010122,GLW,-0.02170000,0.00000000,-0.02170000,0.00738587,0.14276364,0.27557649,0.02212000
22293,20010123,GLW,0.03512000,0.01300000,0.02212000,-0.00157255,0.07063202,0.28056196,-0.00121400
22293,20010124,GLW,0.00178600,0.00300000,-0.00121400,-0.17916580,-0.19021796,-0.04640408,-0.19286101
22293,20010125,GLW,-0.19786100,-0.00500000,-0.19286101,-0.21027444,-0.21327682,-0.08876666,-0.02022200
22293,20010126,GLW,-0.02222200,-0.00200000,-0.02022200,-0.17643155,-0.16202512,-0.08565778,0.04300000
22293,20010129,GLW,0.05000000,0.00700000,0.04300000,0.02051244,-0.18026723,-0.06634239,-0.00128600
22293,20010130,GLW,0.00571400,0.00700000,-0.00128600,0.02312613,-0.19222022,-0.14012532,-0.01758800
22293,20010131,GLW,-0.02358800,-0.00600000,-0.01758800,-0.06223969,-0.04208928,-0.22668046,-0.04397000
22293,20010201,GLW,-0.03897000,0.00500000,-0.04397000,-0.10251033,-0.06705574,-0.26573109,-0.04575200
22293,20010202,GLW,-0.06275200,-0.01700000,-0.04575200,-0.07915273,-0.09653974,-0.24330372,0.00931200
22293,20010205,GLW,0.01331200,0.00400000,0.00931200,-0.07211415,-0.12736623,-0.28305039,-0.03683300
22293,20010206,GLW,-0.03883300,-0.00200000,-0.03683300,-0.08364001,-0.16200281,-0.31976477,-0.05732700
22293,20010207,GLW,-0.06532700,-0.00800000,-0.05732700,-0.15235328,-0.18130848,-0.21654561,-0.06819400
22293,20010208,GLW,-0.07419400,-0.00600000,-0.06819400,-0.14991332,-0.17328946,-0.22632932,-0.03554800
22293,20010209,GLW,-0.04854800,-0.01300000,-0.03554800,-0.09607728,-0.17729764,-0.25380041,0.00606600
22293,20010212,GLW,0.01806600,0.01200000,0.00606600,-0.07115549,-0.18107002,-0.27941551,-0.04255900
22293,20010213,GLW,-0.05155900,-0.00900000,-0.04255900,-0.05117985,-0.14538913,-0.27829166,-0.01443500
22293,20010214,GLW,-0.01643500,-0.00200000,-0.01443500,0.01050291,-0.01993670,-0.19629108,0.07194800
22293,20010215,GLW,0.07994800,0.00800000,0.07194800,-0.15248439,-0.18406161,-0.31910385,-0.19547300
22293,20010216,GLW,-0.21447299,-0.01900000,-0.19547300,-0.19954476,-0.24074015,-0.36439739,-0.07239400
22293,20010220,GLW,-0.08939400,-0.01700000,-0.07239400,-0.22474460,-0.18554411,-0.31982014,0.02731900
22293,20010221,GLW,0.00831900,-0.01900000,0.02731900,-0.00754630,-0.14163716,-0.25684902,0.04193400
22293,20010222,GLW,0.03993400,-0.00200000,0.04193400,0.13166132,-0.14815662,-0.16328678,0.05963400
22293,20010223,GLW,0.05363400,-0.00600000,0.05963400,0.06274126,0.01105668,-0.17016236,-0.03898800
22293,20010226,GLW,-0.02198800,0.01700000,-0.03898800,-0.09357533,-0.02837899,-0.25680678,-0.10964700
22293,20010227,GLW,-0.11764700,-0.00800000,-0.10964700,-0.17847455,-0.09240393,-0.25388608,-0.04010100
22293,20010228,GLW,-0.05410100,-0.01400000,-0.04010100,-0.04561290,-0.02784297,-0.16274033,0.11745000
22293,20010301,GLW,0.11845000,0.00100000,0.11745000,-0.01230459,-0.15376739,-0.26816000,-0.07829700
22293,20010302,GLW,-0.08429700,-0.00600000,-0.07829700,0.09160511,-0.06717832,-0.05527428,0.06078700
22293,20010305,GLW,0.06678700,0.00600000,0.06078700,0.01482996,0.08735093,0.05499259,0.03906900
22293,20010306,GLW,0.04906900,0.01000000,0.03906900,0.06448612,0.09586502,-0.00823774,-0.03503200
22293,20010307,GLW,-0.02903200,0.00600000,-0.03503200,-0.05362503,-0.07590615,-0.10136113,-0.05515600
22293,20010308,GLW,-0.05315600,0.00200000,-0.05515600,-0.11152136,-0.02350571,-0.17320207,-0.02728100
22293,20010309,GLW,-0.05228100,-0.02500000,-0.02728100,-0.15653644,-0.15706358,-0.20703908,-0.08954400
22293,20010312,GLW,-0.13254400,-0.04300000,-0.08954400,-0.08391396,-0.16111104,-0.09128155,0.03493600
22293,20010313,GLW,0.04993600,0.01500000,0.03493600,-0.05828061,-0.12761474,-0.05341575,0.00079700
22293,20010314,GLW,-0.02520300,-0.02600000,0.00079700,0.02551854,-0.08938589,-0.15465440,-0.00933600
22293,20010315,GLW,-0.00333600,0.00600000,-0.00933600,-0.01796990,-0.07453986,-0.09460781,-0.01012500
22293,20010316,GLW,-0.03012500,-0.02000000,-0.01012500,0.04725040,0.08335056,-0.08974957,0.06914400
22293,20010319,GLW,0.08714400,0.01800000,0.06914400,0.02881458,0.01991401,-0.13790862,-0.02520600
22293,20010320,GLW,-0.04920600,-0.02400000,-0.02520600,0.06228065,0.04143020,-0.08974703,0.02217400
22293,20010321,GLW,0.00417400,-0.01800000,0.02217400,0.01762504,0.07276076,-0.02410935,0.02228800
22293,20010322,GLW,0.01828800,-0.00400000,0.02228800,-0.00180578,0.03812057,-0.04117004,-0.04612200
